Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-05-28,10.82,10.82,10.82,10.82,500,0.0,0
2010-06-01,10.64,10.71,9.55,10.56,520500,0.0,0
2010-06-02,11.27,11.79,10.37,10.85,3494500,0.0,0
2010-06-03,10.88,10.97,10.32,10.36,1937700,0.0,0
2010-06-04,10.35,10.4,9.89,10.28,1646000,0.0,0
2010-06-07,10.34,10.44,10.1,10.16,1138600,0.0,0
2010-06-08,10.19,10.3,9.92,10.12,1763500,0.0,0
2010-06-09,10.19,10.22,9.69,9.73,1753500,0.0,0
2010-06-10,9.66,9.81,9.01,9.22,3345500,0.0,0
2010-06-11,9.19,9.92,9.1,9.82,1745200,0.0,0
2010-06-14,9.98,10.25,9.86,9.98,1590400,0.0,0
2010-06-15,9.98,10.19,9.83,9.89,1301900,0.0,0
2010-06-16,9.77,10.12,9.57,10.05,1247500,0.0,0
2010-06-17,10.18,10.18,9.94,10.1,677500,0.0,0
2010-06-18,10.12,10.26,9.99,10.1,1572400,0.0,0
2010-06-21,10.19,10.2,9.95,9.95,1053600,0.0,0
2010-06-22,9.89,10.2,9.72,10.06,875000,0.0,0
2010-06-23,9.83,10.19,9.63,10.03,1170700,0.0,0
2010-06-24,9.89,10.07,9.8,9.93,1104500,0.0,0
2010-06-25,9.94,10.27,9.75,10.24,5082800,0.0,0
2010-06-28,10.19,10.19,9.9,10.07,261200,0.06,0
2010-06-29,10.02,10.02,9.5,9.54,999300,0.0,0
2010-06-30,9.49,9.89,9.49,9.54,1168700,0.0,0
2010-07-01,9.5,9.55,8.95,9.52,1007100,0.0,0
2010-07-02,9.6,9.89,9.33,9.77,977200,0.0,0
2010-07-06,9.94,10.15,9.77,9.83,1363900,0.0,0
2010-07-07,9.87,10.23,9.87,10.21,937000,0.0,0
2010-07-08,10.4,10.4,10.04,10.22,743800,0.0,0
2010-07-09,10.19,10.46,10.12,10.44,431900,0.0,0
2010-07-12,10.37,10.43,10.23,10.41,361900,0.0,0
2010-07-13,10.53,10.8,10.47,10.71,1035000,0.0,0
2010-07-14,10.65,10.65,10.07,10.24,242400,0.0,0
2010-07-15,10.36,10.36,9.59,10.16,882800,0.0,0
2010-07-16,10.08,10.13,9.6,9.65,978900,0.0,0
2010-07-19,9.63,9.83,9.3,9.8,764000,0.0,0
2010-07-20,9.71,10.22,9.34,10.22,1203700,0.0,0
2010-07-21,10.31,10.56,9.9,10.22,917200,0.0,0
2010-07-22,10.37,10.96,10.37,10.93,1118200,0.0,0
2010-07-23,10.92,11.18,10.75,11.13,640000,0.0,0
2010-07-26,11.13,11.29,11.06,11.2,613800,0.0,0
2010-07-27,11.26,11.38,11.19,11.24,462300,0.0,0
2010-07-28,11.24,11.29,11.1,11.15,465200,0.0,0
2010-07-29,11.21,11.29,11.1,11.15,628100,0.0,0
2010-07-30,11.01,11.4,10.79,11.1,411800,0.0,0
2010-08-02,11.38,11.38,11.06,11.19,639300,0.0,0
2010-08-03,11.29,11.34,11.17,11.2,688400,0.0,0
2010-08-04,11.29,11.32,11.2,11.24,605500,0.0,0
2010-08-05,11.13,11.27,11.05,11.16,543200,0.0,0
2010-08-06,11.03,11.28,10.92,11.17,485100,0.0,0
2010-08-09,11.21,11.4,11.19,11.35,746400,0.0,0
2010-08-10,11.23,11.23,10.77,10.86,447800,0.0,0
2010-08-11,10.58,10.58,10.03,10.26,781300,0.0,0
2010-08-12,10.05,10.31,9.98,10.23,698700,0.0,0
2010-08-13,10.17,10.41,10.06,10.21,400100,0.0,0
2010-08-16,10.13,10.59,10.05,10.56,534000,0.0,0
2010-08-17,10.65,10.82,10.61,10.68,562000,0.0,0
2010-08-18,10.68,10.71,10.52,10.65,911700,0.0,0
2010-08-19,10.61,10.65,10.39,10.5,696400,0.0,0
2010-08-20,10.48,10.62,10.29,10.56,653300,0.0,0
2010-08-23,10.57,10.8,10.44,10.45,329800,0.0,0
2010-08-24,10.3,10.54,10.2,10.31,364200,0.0,0
2010-08-25,10.15,10.72,9.92,10.68,390600,0.0,0
2010-08-26,10.77,10.77,10.27,10.28,382000,0.0,0
2010-08-27,10.37,10.87,10.28,10.86,564200,0.0,0
2010-08-30,10.78,11.13,10.77,10.97,387300,0.0,0
2010-08-31,10.98,11.26,10.85,11.16,513600,0.0,0
2010-09-01,11.29,11.73,11.17,11.7,735100,0.0,0
2010-09-02,11.74,11.96,11.59,11.78,666400,0.0,0
2010-09-03,11.97,12.0,11.61,11.69,740300,0.0,0
2010-09-07,11.66,11.66,11.03,11.06,785100,0.0,0
2010-09-08,11.03,11.14,10.95,11.07,611200,0.0,0
2010-09-09,11.19,11.34,10.95,11.0,466800,0.0,0
2010-09-10,11.0,11.21,10.77,10.89,523200,0.0,0
2010-09-13,11.02,11.32,11.01,11.29,808100,0.0,0
2010-09-14,11.31,11.38,11.07,11.13,950700,0.0,0
2010-09-15,11.13,11.34,10.96,11.33,591900,0.0,0
2010-09-16,11.29,11.38,10.98,11.12,719000,0.0,0
2010-09-17,11.26,11.29,10.8,10.86,676600,0.0,0
2010-09-20,10.86,11.12,10.62,11.1,608500,0.0,0
2010-09-21,11.11,11.16,10.89,10.96,432300,0.0,0
2010-09-22,10.9,11.12,10.77,11.01,261000,0.0,0
2010-09-23,10.89,11.11,10.83,10.87,329200,0.0,0
2010-09-24,11.04,11.22,10.96,11.17,438600,0.0,0
2010-09-27,11.14,11.31,11.04,11.1,316500,0.0,0
2010-09-28,11.17,11.46,10.92,11.39,420200,0.06,0
2010-09-29,11.38,11.44,11.01,11.17,417500,0.0,0
2010-09-30,11.25,11.67,11.23,11.29,526300,0.0,0
2010-10-01,11.41,11.43,10.55,10.94,798100,0.0,0
2010-10-04,10.87,11.04,10.52,10.54,834000,0.0,0
2010-10-05,10.69,10.69,10.49,10.5,1054500,0.0,0
2010-10-06,10.51,10.73,10.49,10.69,789900,0.0,0
2010-10-07,10.77,10.98,10.66,10.7,507200,0.0,0
2010-10-08,10.67,10.71,10.54,10.67,630900,0.0,0
2010-10-11,10.64,10.83,10.55,10.73,311700,0.0,0
2010-10-12,10.78,11.04,10.73,10.99,400600,0.0,0
2010-10-13,11.02,11.41,11.0,11.26,503700,0.0,0
2010-10-14,11.22,11.39,10.93,11.04,419100,0.0,0
2010-10-15,11.14,11.38,10.87,10.92,708200,0.0,0
2010-10-18,10.89,11.14,10.77,11.13,470700,0.0,0
2010-10-19,10.95,11.26,10.83,10.95,361300,0.0,0
2010-10-20,10.98,11.41,10.98,11.31,501500,0.0,0
2010-10-21,11.28,11.28,10.62,10.83,849300,0.0,0
2010-10-22,10.88,10.91,10.61,10.78,349000,0.0,0
2010-10-25,10.83,11.16,10.83,11.01,312200,0.0,0
2010-10-26,10.94,11.01,10.78,10.89,384900,0.0,0
2010-10-27,10.78,10.79,10.47,10.7,558200,0.0,0
2010-10-28,10.82,10.83,10.39,10.52,990000,0.0,0
2010-10-29,10.52,10.74,10.52,10.61,773500,0.0,0
2010-11-01,10.68,10.81,10.61,10.76,584500,0.0,0
2010-11-02,10.89,10.92,10.72,10.91,463600,0.0,0
2010-11-03,10.89,10.95,10.62,10.82,368800,0.0,0
2010-11-04,10.94,11.02,10.84,10.98,805200,0.0,0
2010-11-05,11.01,11.11,10.79,11.03,552900,0.0,0
2010-11-08,10.97,10.98,10.72,10.84,1844600,0.0,0
2010-11-09,10.83,10.83,10.54,10.57,426400,0.0,0
2010-11-10,10.6,10.76,10.39,10.76,727700,0.0,0
2010-11-11,10.64,10.79,10.63,10.7,256700,0.0,0
2010-11-12,10.61,10.76,10.55,10.65,192700,0.0,0
2010-11-15,10.68,10.74,10.48,10.5,408800,0.0,0
2010-11-16,10.39,10.49,10.24,10.29,475900,0.0,0
2010-11-17,10.32,10.42,10.27,10.39,244500,0.0,0
2010-11-18,10.49,10.95,10.44,10.75,588000,0.0,0
2010-11-19,10.72,10.83,10.64,10.76,496600,0.0,0
2010-11-22,10.69,10.69,10.39,10.53,511200,0.0,0
2010-11-23,10.38,10.5,10.21,10.35,372100,0.0,0
2010-11-24,10.42,10.83,10.36,10.83,455900,0.0,0
2010-11-26,10.72,10.86,10.71,10.79,163600,0.0,0
2010-11-29,10.7,10.84,10.57,10.81,271300,0.0,0
2010-11-30,10.67,10.82,10.64,10.7,791400,0.0,0
2010-12-01,10.89,11.31,10.86,11.27,563700,0.0,0
2010-12-02,11.32,11.37,11.13,11.33,432700,0.0,0
2010-12-03,11.29,11.33,11.12,11.28,277000,0.0,0
2010-12-06,11.21,11.32,10.89,11.13,294500,0.0,0
2010-12-07,11.23,11.3,11.17,11.23,457200,0.0,0
2010-12-08,11.3,11.44,11.14,11.2,391500,0.0,0
2010-12-09,11.32,11.36,11.26,11.32,317900,0.0,0
2010-12-10,11.32,11.41,11.13,11.28,353000,0.0,0
2010-12-13,11.38,11.42,11.27,11.3,540900,0.0,0
2010-12-14,11.35,11.43,11.29,11.31,638200,0.0,0
2010-12-15,11.26,11.44,11.21,11.22,658800,0.0,0
2010-12-16,11.21,11.42,11.21,11.3,451700,0.0,0
2010-12-17,11.32,11.35,11.27,11.32,2036600,0.0,0
2010-12-20,11.32,11.36,11.27,11.31,354400,0.0,0
2010-12-21,11.37,11.43,11.29,11.36,393100,0.0,0
2010-12-22,11.37,11.52,11.31,11.46,409500,0.0,0
2010-12-23,11.46,11.47,11.31,11.38,276900,0.0,0
2010-12-27,11.35,11.48,11.3,11.38,199700,0.0,0
2010-12-28,11.41,11.41,11.28,11.32,269200,0.0,0
2010-12-29,11.36,11.42,11.32,11.35,179800,0.06,0
2010-12-30,11.34,11.43,11.31,11.33,296700,0.0,0
2010-12-31,11.29,11.43,11.29,11.33,400600,0.0,0
2011-01-03,11.41,11.6,11.29,11.4,519500,0.0,0
2011-01-04,11.39,11.45,11.29,11.33,390200,0.0,0
2011-01-05,11.28,11.42,11.25,11.37,369700,0.0,0
2011-01-06,11.34,11.38,11.3,11.34,201800,0.0,0
2011-01-07,11.38,11.42,11.09,11.17,767700,0.0,0
2011-01-10,11.09,11.38,10.96,11.32,751000,0.0,0
2011-01-11,11.37,11.4,11.27,11.36,295400,0.0,0
2011-01-12,11.47,11.55,11.29,11.36,367500,0.0,0
2011-01-13,11.34,11.4,11.28,11.35,267600,0.0,0
2011-01-14,11.37,11.39,11.32,11.39,386400,0.0,0
2011-01-18,11.28,11.57,11.22,11.57,601100,0.0,0
2011-01-19,11.57,11.69,11.39,11.51,476200,0.0,0
2011-01-20,11.48,11.82,11.48,11.67,574700,0.0,0
2011-01-21,11.72,12.1,11.7,11.79,583600,0.0,0
2011-01-24,11.81,11.88,11.51,11.63,285700,0.0,0
2011-01-25,11.59,11.95,11.39,11.95,313200,0.0,0
2011-01-26,12.01,12.51,12.01,12.48,707900,0.0,0
2011-01-27,12.44,12.8,12.26,12.53,688400,0.0,0
2011-01-28,12.55,12.58,12.15,12.24,667700,0.0,0
2011-01-31,12.29,12.29,11.76,11.76,541900,0.0,0
2011-02-01,11.81,12.25,11.76,12.23,636400,0.0,0
2011-02-02,12.17,12.32,12.06,12.21,394000,0.0,0
2011-02-03,12.18,12.34,12.02,12.33,380700,0.0,0
2011-02-04,12.3,12.34,11.88,11.92,337000,0.0,0
2011-02-07,11.92,12.0,11.7,11.88,299000,0.0,0
2011-02-08,11.85,11.97,11.73,11.97,350000,0.0,0
2011-02-09,11.89,12.1,11.85,12.01,237000,0.0,0
2011-02-10,11.95,12.14,11.81,11.88,248300,0.0,0
2011-02-11,11.86,11.98,11.74,11.87,399200,0.0,0
2011-02-14,11.91,11.91,11.66,11.79,260400,0.0,0
2011-02-15,11.79,12.01,11.79,11.91,369300,0.0,0
2011-02-16,11.93,12.16,11.92,12.1,287400,0.0,0
2011-02-17,12.08,12.48,12.01,12.47,553400,0.0,0
2011-02-18,12.48,12.51,12.27,12.48,378600,0.0,0
2011-02-22,12.31,12.39,12.01,12.12,420200,0.0,0
2011-02-23,12.17,12.29,11.81,11.84,758200,0.0,0
2011-02-24,11.73,11.96,11.41,11.62,1180000,0.0,0
2011-02-25,11.65,11.85,11.65,11.77,479400,0.0,0
2011-02-28,11.86,12.03,11.79,11.95,338000,0.0,0
2011-03-01,12.06,12.06,11.73,11.76,624900,0.0,0
2011-03-02,11.78,11.93,11.72,11.84,273900,0.0,0
2011-03-03,11.97,12.17,11.95,12.11,470300,0.0,0
2011-03-04,12.13,12.32,12.01,12.08,332700,0.0,0
2011-03-07,12.14,12.45,11.91,12.1,468700,0.0,0
2011-03-08,12.09,12.52,12.09,12.32,456200,0.0,0
2011-03-09,12.32,12.46,12.22,12.42,365300,0.0,0
2011-03-10,12.27,12.27,12.09,12.2,647900,0.0,0
2011-03-11,12.09,12.33,12.09,12.27,351700,0.0,0
2011-03-14,12.17,12.54,12.06,12.25,334400,0.0,0
2011-03-15,11.86,12.21,11.86,12.11,445800,0.0,0
2011-03-16,12.21,12.55,12.06,12.23,668400,0.0,0
2011-03-17,12.45,12.85,12.42,12.71,1478500,0.0,0
2011-03-18,12.7,12.81,12.67,12.73,916800,0.0,0
2011-03-21,12.88,13.17,12.83,12.94,570100,0.0,0
2011-03-22,12.92,13.0,12.66,12.69,879200,0.0,0
2011-03-23,12.67,12.72,12.42,12.56,532000,0.0,0
2011-03-24,12.61,12.64,12.45,12.53,497400,0.0,0
2011-03-25,12.58,12.71,12.54,12.61,4077100,0.0,0
2011-03-28,12.64,12.69,12.57,12.6,1022500,0.0,0
2011-03-29,12.57,12.68,12.57,12.62,774700,0.06,0
2011-03-30,12.68,12.76,12.58,12.61,506300,0.0,0
2011-03-31,12.61,12.68,12.54,12.56,686900,0.0,0
2011-04-01,12.61,12.7,12.47,12.5,1353100,0.0,0
2011-04-04,12.52,12.65,12.37,12.38,1273300,0.0,0
2011-04-05,12.34,12.48,12.33,12.37,703000,0.0,0
2011-04-06,12.44,12.54,12.4,12.45,2129900,0.0,0
2011-04-07,12.38,12.55,12.21,12.29,602500,0.0,0
2011-04-08,12.38,12.42,12.04,12.09,522200,0.0,0
2011-04-11,12.07,12.12,11.75,11.79,458000,0.0,0
2011-04-12,11.67,11.83,11.65,11.74,458800,0.0,0
2011-04-13,11.76,11.87,11.69,11.75,404100,0.0,0
2011-04-14,11.65,11.82,11.56,11.8,391800,0.0,0
2011-04-15,11.78,12.19,11.75,12.11,1088400,0.0,0
2011-04-18,11.94,12.12,11.9,12.03,1493700,0.0,0
2011-04-19,12.09,12.13,12.02,12.07,500400,0.0,0
2011-04-20,12.19,12.25,12.1,12.16,427800,0.0,0
2011-04-21,12.22,12.26,12.09,12.18,446100,0.0,0
2011-04-25,12.12,12.19,12.11,12.18,487100,0.0,0
2011-04-26,12.19,12.31,12.09,12.13,979400,0.0,0
2011-04-27,12.13,12.22,12.1,12.16,435400,0.0,0
2011-04-28,11.91,12.11,11.91,12.08,674900,0.0,0
2011-04-29,12.07,12.07,11.76,11.87,908000,0.0,0
2011-05-02,11.89,11.91,11.76,11.78,801100,0.0,0
2011-05-03,11.74,11.78,11.57,11.68,771000,0.0,0
2011-05-04,11.66,11.67,11.38,11.52,658200,0.0,0
2011-05-05,11.49,11.65,11.44,11.6,752000,0.0,0
2011-05-06,11.73,11.79,11.59,11.72,797000,0.0,0
2011-05-09,11.68,11.93,11.65,11.9,483300,0.0,0
2011-05-10,11.94,12.13,11.9,12.12,510700,0.0,0
2011-05-11,12.07,12.14,11.98,12.01,1090600,0.0,0
2011-05-12,11.99,12.19,11.91,12.15,424000,0.0,0
2011-05-13,12.16,12.26,12.03,12.1,379500,0.0,0
2011-05-16,11.99,12.13,11.83,11.83,412500,0.0,0
2011-05-17,11.75,11.89,11.67,11.87,356200,0.0,0
2011-05-18,11.87,12.13,11.71,12.12,548500,0.0,0
2011-05-19,12.18,12.24,12.1,12.17,659400,0.0,0
2011-05-20,12.12,12.22,12.06,12.13,613400,0.0,0
2011-05-23,11.99,12.24,11.87,12.17,1004200,0.0,0
2011-05-24,12.18,12.29,12.12,12.13,1252600,0.0,0
2011-05-25,12.06,12.1,11.89,12.04,513500,0.0,0
2011-05-26,11.98,12.12,11.89,12.1,569100,0.0,0
2011-05-27,12.12,12.23,12.08,12.21,457900,0.0,0
2011-05-31,12.31,12.35,12.19,12.24,894100,0.0,0
2011-06-01,12.22,12.25,11.74,11.76,866000,0.0,0
2011-06-02,11.78,11.86,11.62,11.75,288600,0.0,0
2011-06-03,11.61,11.61,11.23,11.27,658200,0.0,0
2011-06-06,11.19,11.43,11.19,11.41,731300,0.0,0
2011-06-07,11.47,11.61,11.43,11.61,725000,0.0,0
2011-06-08,11.53,11.7,11.43,11.65,729200,0.0,0
2011-06-09,11.73,11.81,11.63,11.64,343400,0.0,0
2011-06-10,11.56,11.62,11.34,11.38,548500,0.0,0
2011-06-13,11.37,11.48,11.27,11.38,244600,0.0,0
2011-06-14,11.47,11.63,11.36,11.58,373200,0.0,0
2011-06-15,11.46,11.49,11.07,11.16,477300,0.0,0
2011-06-16,11.17,11.36,11.14,11.29,689400,0.0,0
2011-06-17,11.3,11.35,11.04,11.05,924300,0.0,0
2011-06-20,11.04,11.4,11.04,11.29,553300,0.0,0
2011-06-21,11.37,11.57,11.36,11.49,281200,0.0,0
2011-06-22,11.43,11.65,11.43,11.45,314000,0.0,0
2011-06-23,11.31,11.55,11.1,11.48,474400,0.0,0
2011-06-24,11.49,11.71,11.48,11.68,613000,0.0,0
2011-06-27,11.7,11.97,11.67,11.84,470100,0.0,0
2011-06-28,11.87,11.98,11.87,11.98,466200,0.06,0
2011-06-29,12.05,12.19,12.03,12.13,299300,0.0,0
2011-06-30,12.15,12.19,11.93,11.96,418300,0.0,0
2011-07-01,11.98,12.15,11.9,12.15,626300,0.0,0
2011-07-05,12.15,12.16,11.94,12.07,341200,0.0,0
2011-07-06,12.04,12.25,11.97,12.15,606000,0.0,0
2011-07-07,12.25,12.25,11.95,12.04,517400,0.0,0
2011-07-08,11.9,12.04,11.87,11.99,272500,0.0,0
2011-07-11,11.87,11.94,11.64,11.68,268000,0.0,0
2011-07-12,11.65,11.85,11.62,11.65,315700,0.0,0
2011-07-13,11.73,11.95,11.66,11.75,307800,0.0,0
2011-07-14,11.78,11.85,11.49,11.56,340500,0.0,0
2011-07-15,11.57,11.68,11.52,11.64,356100,0.0,0
2011-07-18,11.61,11.61,11.31,11.34,233200,0.0,0
2011-07-19,11.38,11.81,11.38,11.74,391500,0.0,0
2011-07-20,11.76,11.87,11.69,11.76,439600,0.0,0
2011-07-21,11.83,12.14,11.81,12.1,390000,0.0,0
2011-07-22,12.11,12.13,11.94,12.04,138900,0.0,0
2011-07-25,11.86,11.96,11.73,11.87,359200,0.0,0
2011-07-26,11.83,12.23,11.78,12.23,630500,0.0,0
2011-07-27,12.15,12.17,11.59,11.71,731600,0.0,0
2011-07-28,12.27,12.5,12.05,12.2,1024900,0.0,0
2011-07-29,12.08,12.33,12.05,12.22,866500,0.0,0
2011-08-01,12.39,12.46,12.15,12.24,854400,0.0,0
2011-08-02,12.17,12.27,11.79,11.79,471000,0.0,0
2011-08-03,11.79,11.95,11.58,11.79,553700,0.0,0
2011-08-04,11.62,11.76,11.19,11.2,574600,0.0,0
2011-08-05,11.31,11.31,10.68,10.88,893700,0.0,0
2011-08-08,10.54,10.88,9.7,9.72,1119300,0.0,0
2011-08-09,9.98,10.84,9.51,10.83,1221600,0.0,0
2011-08-10,10.54,11.01,10.14,10.19,890300,0.0,0
2011-08-11,10.21,10.74,10.1,10.54,1224300,0.0,0
2011-08-12,10.64,10.77,10.15,10.22,788100,0.0,0
2011-08-15,10.36,10.64,10.3,10.61,549900,0.0,0
2011-08-16,10.5,10.77,10.46,10.64,605000,0.0,0
2011-08-17,10.68,11.01,10.67,10.98,468800,0.0,0
2011-08-18,10.63,11.04,10.63,10.87,1115000,0.0,0
2011-08-19,10.66,11.03,10.66,10.85,958300,0.0,0
2011-08-22,11.1,11.15,10.75,10.84,533000,0.0,0
2011-08-23,10.86,11.3,10.72,11.16,750200,0.0,0
2011-08-24,11.13,11.52,11.08,11.41,661800,0.0,0
2011-08-25,11.51,11.54,10.96,11.03,477600,0.0,0
2011-08-26,10.94,11.23,10.71,11.1,449400,0.0,0
2011-08-29,11.25,11.72,11.19,11.69,567100,0.0,0
2011-08-30,11.63,11.95,11.35,11.78,744600,0.0,0
2011-08-31,11.83,11.84,11.57,11.65,545300,0.0,0
2011-09-01,11.66,11.89,11.59,11.69,736400,0.0,0
2011-09-02,11.41,11.6,11.16,11.19,648700,0.0,0
2011-09-06,10.83,11.14,10.77,11.03,650900,0.0,0
2011-09-07,11.23,11.46,11.23,11.46,470900,0.0,0
2011-09-08,11.32,11.6,11.15,11.36,938600,0.0,0
2011-09-09,11.22,11.24,10.64,10.78,588900,0.0,0
2011-09-12,10.59,10.85,10.51,10.81,401400,0.0,0
2011-09-13,10.87,10.95,10.64,10.74,493100,0.0,0
2011-09-14,10.84,11.17,10.68,11.05,637300,0.0,0
2011-09-15,11.19,11.29,10.98,11.27,454500,0.0,0
2011-09-16,11.35,11.52,11.21,11.32,942300,0.0,0
2011-09-19,11.09,11.13,10.81,10.82,541700,0.0,0
