Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1994-04-08,4.13,4.13,4.13,4.13,800.0,0.0,0.0
1994-04-11,4.13,4.13,4.13,4.13,0.0,0.0,0.0
1994-04-12,4.15,4.15,4.15,4.15,200.0,0.0,0.0
1994-04-13,4.15,4.15,4.15,4.15,0.0,0.0,0.0
1994-04-14,4.15,4.15,4.15,4.15,0.0,0.0,0.0
1994-04-15,4.15,4.15,4.15,4.15,0.0,0.0,0.0
1994-04-18,4.15,4.15,4.15,4.15,0.0,0.0,0.0
1994-04-19,4.37,4.37,4.37,4.37,100.0,0.0,0.0
1994-04-20,4.0,4.0,4.0,4.0,2000.0,0.0,0.0
1994-04-21,4.0,4.0,4.0,4.0,0.0,0.0,0.0
1994-04-22,4.0,4.0,4.0,4.0,0.0,0.0,0.0
1994-04-25,4.0,4.0,4.0,4.0,0.0,0.0,0.0
1994-04-26,4.3,4.3,4.3,4.3,800.0,0.0,0.0
1994-04-28,4.3,4.3,4.3,4.3,0.0,0.0,0.0
1994-04-29,4.15,4.15,4.15,4.15,800.0,0.0,0.0
1994-05-02,4.08,4.23,4.08,4.23,3900.0,0.0,0.0
1994-05-03,4.23,4.3,4.15,4.15,9300.0,0.0,0.0
1994-05-04,4.3,4.3,4.3,4.3,2000.0,0.0,0.0
1994-05-05,4.3,4.3,4.3,4.3,0.0,0.0,0.0
1994-05-06,4.3,4.37,4.15,4.15,7500.0,0.0,0.0
1994-05-09,4.15,4.15,4.15,4.15,0.0,0.0,0.0
1994-05-10,4.26,4.26,4.26,4.26,800.0,0.0,0.0
1994-05-11,4.26,4.26,4.26,4.26,0.0,0.0,0.0
1994-05-12,4.26,4.26,4.26,4.26,0.0,0.0,0.0
1994-05-13,4.26,4.26,4.26,4.26,0.0,0.0,0.0
1994-05-16,4.26,4.26,4.26,4.26,0.0,0.0,0.0
1994-05-17,4.26,4.26,4.26,4.26,0.0,0.0,0.0
1994-05-18,4.26,4.26,4.26,4.26,0.0,0.0,0.0
1994-05-19,4.23,4.6,4.15,4.6,106000.0,0.0,0.0
1994-05-20,4.6,4.6,4.6,4.6,0.0,0.0,0.0
1994-05-23,4.6,4.6,4.6,4.6,0.0,0.0,0.0
1994-05-24,4.23,4.23,4.23,4.23,4500.0,0.0,0.0
1994-05-25,4.23,4.23,4.23,4.23,0.0,0.0,0.0
1994-05-26,4.23,4.23,4.23,4.23,0.0,0.0,0.0
1994-05-27,4.23,4.23,4.23,4.23,0.0,0.0,0.0
1994-05-31,4.23,4.23,4.23,4.23,0.0,0.0,0.0
1994-06-01,4.23,4.23,4.23,4.23,0.0,0.0,0.0
1994-06-02,4.23,4.23,4.23,4.23,0.0,0.0,0.0
1994-06-03,4.23,4.23,4.23,4.23,0.0,0.0,0.0
1994-06-06,4.23,4.6,4.23,4.41,3800.0,0.0,0.0
1994-06-07,4.41,4.41,4.41,4.41,0.0,0.0,0.0
