Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-05-25,4.5489,4.5694,4.5466,4.5466,61200,0.0,0
2007-05-29,4.5648,4.6148,4.5648,4.5898,22800,0.0,0
2007-05-30,4.5966,4.6148,4.5807,4.6148,17100,0.0,0
2007-05-31,4.6148,4.658,4.5944,4.658,10100,0.0,0
2007-06-01,4.7058,4.7103,4.6376,4.683,22000,0.0,0
2007-06-04,4.6603,4.6603,4.6148,4.6557,20900,0.0,0
2007-06-05,4.6557,4.658,4.6376,4.6398,11800,0.0,0
2007-06-06,4.6512,4.658,4.5921,4.5921,20700,0.0,0
2007-06-07,4.6148,4.6376,4.5921,4.6376,10800,0.0,0
2007-06-08,4.6376,4.6376,4.5944,4.6057,23800,0.0,0
2007-06-11,4.6057,4.6057,4.5921,4.6035,6200,0.0,0
2007-06-12,4.6035,4.6353,4.6035,4.6353,12800,0.0,0
2007-06-13,4.6148,4.6148,4.558,4.5921,15300,0.0,0
2007-06-14,4.6148,4.6376,4.5807,4.583,9000,0.0,0
2007-06-15,4.5694,4.5921,4.5489,4.5921,4400,0.0,0
2007-06-18,4.6148,4.6148,4.5694,4.5807,4500,0.0,0
2007-06-19,4.6035,4.6035,4.5807,4.5807,5400,0.0,0
2007-06-20,4.6035,4.6148,4.6035,4.6148,8000,0.0,0
2007-06-21,4.6262,4.6603,4.6262,4.6603,8100,0.0,0
2007-06-22,4.6603,4.6603,4.5603,4.5694,9600,0.0,0
2007-06-25,4.5716,4.5716,4.4239,4.4261,48900,0.0,0
2007-06-26,4.4216,4.4875,4.4216,4.4807,46500,0.0,0
2007-06-27,4.4784,4.4898,4.4762,4.4807,25500,0.0,0
2007-06-28,4.4898,4.5239,4.4898,4.5239,14100,0.0,0
2007-06-29,4.5171,4.5239,4.5125,4.5239,9300,0.0,0
2007-07-02,4.4898,4.4898,4.3989,4.4557,20000,0.0,0
2007-07-03,4.4557,4.4784,4.4557,4.4784,4200,0.0,0
2007-07-05,4.4557,4.4898,4.4557,4.4898,9600,0.0,0
2007-07-06,4.4671,4.4784,4.4557,4.4602,11000,0.0,0
2007-07-09,4.4557,4.5125,4.4557,4.4671,17200,0.0,0
2007-07-10,4.4602,4.4784,4.4534,4.4739,29100,0.0,0
2007-07-11,4.4602,4.4784,4.458,4.4693,8500,0.0,0
2007-07-12,4.4716,4.558,4.4602,4.4898,15500,0.0,0
2007-07-13,4.5466,4.5466,4.483,4.5262,8200,0.0,0
2007-07-16,4.5239,4.5239,4.4898,4.4921,14400,0.0,0
2007-07-17,4.4784,4.5012,4.4625,4.4625,12100,0.0,0
2007-07-18,4.4557,4.4648,4.3193,4.342,28600,0.0,0
2007-07-19,4.342,4.342,4.217,4.2625,19900,0.0,0
2007-07-20,4.2511,4.2511,4.1511,4.1852,13600,0.0,0
2007-07-23,4.2056,4.2056,4.1488,4.1965,13500,0.0,0
2007-07-24,4.1965,4.2397,4.0192,4.0374,41200,0.0,0
2007-07-25,4.0465,4.0465,3.8078,3.8987,43500,0.0,0
2007-07-26,3.8987,3.976,3.6828,3.976,36500,0.0,0
2007-07-27,3.9669,4.0374,3.7396,3.8624,25900,0.0,0
2007-07-30,3.8646,3.8646,3.5191,3.7737,52900,0.0,0
2007-07-31,3.7396,3.9215,3.7282,3.8305,46700,0.0,0
2007-08-01,3.8078,3.9442,3.66,3.7305,43700,0.0,0
2007-08-02,3.7305,3.7396,3.4122,3.6487,59100,0.0,0
