Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-03-24,11.23,11.53,10.81,11.02,5219700,0.0,0
2010-03-25,11.41,11.41,11.2,11.27,1166700,0.0,0
2010-03-26,11.56,11.91,11.41,11.62,563600,0.0,0
2010-03-29,11.97,11.97,11.62,11.72,246800,0.0,0
2010-03-30,11.76,11.76,11.38,11.47,150600,0.0,0
2010-03-31,11.59,11.63,11.38,11.49,180200,0.113,0
2010-04-01,11.59,11.59,11.31,11.32,193800,0.0,0
2010-04-05,11.38,11.42,11.29,11.33,240600,0.0,0
2010-04-06,11.33,11.34,11.24,11.29,253000,0.0,0
2010-04-07,11.3,11.31,11.17,11.2,101700,0.0,0
2010-04-08,11.26,11.26,11.09,11.24,122500,0.0,0
2010-04-09,11.22,11.36,11.09,11.29,106600,0.0,0
2010-04-12,11.37,11.46,11.31,11.31,52800,0.0,0
2010-04-13,11.29,11.34,11.03,11.1,178600,0.0,0
2010-04-14,11.3,11.42,11.25,11.31,209900,0.0,0
2010-04-15,11.31,11.43,11.31,11.38,87500,0.0,0
2010-04-16,11.44,11.44,11.24,11.24,111200,0.0,0
2010-04-19,11.17,11.34,11.17,11.2,141300,0.0,0
2010-04-20,11.17,11.38,11.17,11.34,144900,0.0,0
2010-04-21,11.37,11.39,11.3,11.39,166700,0.0,0
2010-04-22,11.37,11.68,11.3,11.67,123500,0.0,0
2010-04-23,11.66,11.87,11.66,11.78,163100,0.0,0
2010-04-26,11.71,11.78,11.38,11.43,75400,0.0,0
2010-04-27,11.35,11.41,11.24,11.29,242200,0.0,0
2010-04-28,11.31,11.49,11.31,11.48,40700,0.0,0
2010-04-29,11.45,11.58,11.37,11.53,47000,0.0,0
2010-04-30,11.46,11.58,11.38,11.45,46500,0.0,0
2010-05-03,11.43,11.55,11.38,11.42,93700,0.0,0
2010-05-04,11.42,11.56,11.31,11.44,127800,0.0,0
2010-05-05,11.34,11.45,11.34,11.44,84100,0.0,0
2010-05-06,11.34,11.45,11.2,11.25,164900,0.0,0
2010-05-07,11.17,11.34,11.03,11.15,131800,0.0,0
2010-05-10,11.31,11.37,10.99,11.06,136500,0.0,0
2010-05-11,11.06,11.29,11.01,11.14,79000,0.0,0
2010-05-12,11.22,11.26,11.03,11.21,43000,0.0,0
2010-05-13,11.2,11.3,11.09,11.25,35600,0.0,0
2010-05-14,11.3,11.31,11.13,11.2,56900,0.0,0
2010-05-17,11.28,11.28,11.06,11.11,105100,0.0,0
2010-05-18,11.1,11.22,10.87,10.98,118200,0.0,0
2010-05-19,10.88,11.06,10.86,10.86,35000,0.0,0
2010-05-20,10.85,10.96,10.74,10.82,80300,0.0,0
2010-05-21,10.78,10.89,10.67,10.88,57100,0.0,0
2010-05-24,10.87,10.95,10.73,10.81,46900,0.0,0
2010-05-25,10.64,10.74,10.64,10.65,45500,0.0,0
2010-05-26,10.65,10.85,10.65,10.8,17200,0.0,0
2010-05-27,10.83,11.2,10.83,11.17,35900,0.0,0
2010-05-28,11.1,11.15,10.96,11.13,20300,0.0,0
2010-06-01,11.27,11.48,11.17,11.43,110600,0.0,0
2010-06-02,11.26,11.49,11.13,11.31,169700,0.0,0
2010-06-03,11.26,11.31,11.14,11.22,31600,0.0,0
2010-06-04,11.03,11.25,10.96,11.12,18600,0.0,0
2010-06-07,11.08,11.12,11.01,11.05,21000,0.0,0
2010-06-08,11.1,11.13,10.96,11.05,33900,0.0,0
2010-06-09,11.15,11.15,10.85,10.85,88900,0.0,0
2010-06-10,11.08,11.08,10.72,10.82,59700,0.0,0
2010-06-11,10.73,11.01,10.72,10.89,30800,0.0,0
2010-06-14,10.93,11.13,10.85,10.86,35300,0.0,0
2010-06-15,10.98,11.1,10.81,11.04,59000,0.0,0
2010-06-16,10.79,11.31,10.79,11.17,44100,0.0,0
2010-06-17,11.31,11.31,11.0,11.06,25300,0.0,0
2010-06-18,11.01,11.24,10.99,11.18,69700,0.0,0
2010-06-21,11.16,11.16,10.96,11.1,59800,0.0,0
2010-06-22,11.04,11.37,11.04,11.23,59300,0.0,0
2010-06-23,11.25,11.45,11.08,11.39,60300,0.0,0
2010-06-24,11.24,11.41,11.03,11.28,110300,0.0,0
2010-06-25,11.22,11.48,11.1,11.46,1747000,0.0,0
2010-06-28,11.42,11.42,11.09,11.17,47800,0.0,0
2010-06-29,11.06,11.34,11.06,11.18,74000,0.113,0
2010-06-30,11.22,11.28,11.15,11.2,26200,0.0,0
2010-07-01,11.2,11.2,10.98,11.01,29800,0.0,0
2010-07-02,11.11,11.19,10.98,11.06,21200,0.0,0
2010-07-06,11.11,11.26,11.11,11.22,71200,0.0,0
2010-07-07,11.16,11.25,11.03,11.11,59800,0.0,0
2010-07-08,11.16,11.21,11.05,11.11,36500,0.0,0
2010-07-09,11.06,11.25,11.03,11.2,25000,0.0,0
2010-07-12,11.19,11.27,10.82,10.82,62300,0.0,0
2010-07-13,10.88,11.24,10.82,11.18,87500,0.0,0
2010-07-14,11.11,11.11,10.94,11.03,31700,0.0,0
2010-07-15,11.1,11.1,10.78,10.84,54800,0.0,0
2010-07-16,10.77,10.9,10.62,10.64,98300,0.0,0
2010-07-19,10.68,10.68,10.6,10.63,72700,0.0,0
2010-07-20,10.59,10.67,10.51,10.64,68500,0.0,0
2010-07-21,10.68,10.68,10.44,10.46,52400,0.0,0
2010-07-22,10.57,10.69,10.49,10.66,54900,0.0,0
2010-07-23,10.64,10.64,9.8,10.15,209000,0.0,0
2010-07-26,10.05,10.25,9.13,9.37,383600,0.0,0
2010-07-27,9.4,9.46,9.18,9.27,147800,0.0,0
2010-07-28,9.29,9.38,9.22,9.35,133700,0.0,0
2010-07-29,9.4,9.4,9.25,9.35,74500,0.0,0
2010-07-30,9.25,9.67,9.25,9.47,167400,0.0,0
2010-08-02,9.58,10.17,9.43,9.95,173600,0.0,0
2010-08-03,10.01,10.01,9.67,9.68,83500,0.0,0
2010-08-04,9.71,9.91,9.6,9.63,46300,0.0,0
2010-08-05,9.58,9.61,9.48,9.53,34100,0.0,0
2010-08-06,9.5,9.63,9.5,9.61,36600,0.0,0
2010-08-09,9.65,9.79,9.53,9.71,46900,0.0,0
2010-08-10,9.61,9.77,9.29,9.33,44000,0.0,0
2010-08-11,9.25,9.45,9.03,9.03,67800,0.0,0
2010-08-12,8.95,9.25,8.79,8.91,81700,0.0,0
2010-08-13,8.88,9.01,8.79,8.8,74600,0.0,0
2010-08-16,8.76,8.88,8.54,8.64,89100,0.0,0
2010-08-17,8.72,9.02,8.61,8.9,84100,0.0,0
2010-08-18,8.93,9.01,8.69,8.97,78800,0.0,0
2010-08-19,8.91,8.91,8.62,8.64,65400,0.0,0
2010-08-20,8.65,8.8,8.65,8.7,35800,0.0,0
2010-08-23,8.74,8.84,8.54,8.54,56900,0.0,0
2010-08-24,8.59,8.69,8.38,8.53,57200,0.0,0
2010-08-25,8.58,8.78,8.44,8.69,86300,0.0,0
2010-08-26,8.7,8.85,8.54,8.54,29000,0.0,0
2010-08-27,8.61,8.86,8.53,8.83,69400,0.0,0
2010-08-30,8.77,8.77,8.19,8.19,77300,0.0,0
2010-08-31,8.22,8.45,7.88,8.13,243600,0.0,0
2010-09-01,8.23,8.83,8.02,8.64,65700,0.0,0
2010-09-02,8.59,8.72,8.51,8.59,37300,0.0,0
2010-09-03,8.63,9.13,8.63,9.13,44400,0.0,0
2010-09-07,9.11,9.11,8.86,9.04,45900,0.0,0
2010-09-08,9.08,9.55,9.05,9.51,183500,0.0,0
2010-09-09,9.6,9.67,9.27,9.39,94500,0.0,0
2010-09-10,9.33,9.45,9.28,9.31,18700,0.0,0
2010-09-13,9.41,9.65,9.33,9.6,74300,0.0,0
2010-09-14,9.6,9.6,9.53,9.59,49300,0.0,0
2010-09-15,9.52,9.58,9.38,9.53,20300,0.0,0
2010-09-16,9.51,9.57,9.5,9.54,23100,0.0,0
2010-09-17,9.58,9.58,9.29,9.33,152700,0.0,0
2010-09-20,9.34,9.54,9.34,9.52,36700,0.0,0
2010-09-21,9.58,9.61,9.48,9.54,33100,0.0,0
2010-09-22,9.6,9.61,9.48,9.51,29000,0.0,0
2010-09-23,9.44,9.55,9.27,9.27,34600,0.0,0
2010-09-24,9.45,9.57,9.25,9.55,48300,0.0,0
2010-09-27,9.6,9.6,9.38,9.55,52900,0.0,0
2010-09-28,9.58,9.6,9.4,9.54,39200,0.0,0
2010-09-29,9.49,9.57,9.44,9.56,28600,0.0,0
2010-09-30,9.63,9.67,9.55,9.66,48700,0.113,0
2010-10-01,9.69,9.74,9.52,9.73,40800,0.0,0
2010-10-04,9.68,9.69,9.53,9.6,50800,0.0,0
2010-10-05,9.69,9.69,9.54,9.6,42600,0.0,0
2010-10-06,9.54,9.59,9.4,9.45,55300,0.0,0
2010-10-07,9.56,9.56,9.05,9.18,68000,0.0,0
2010-10-08,9.15,9.18,8.85,8.95,91000,0.0,0
2010-10-11,9.01,9.08,8.82,8.95,72500,0.0,0
2010-10-12,8.9,8.9,8.72,8.82,42100,0.0,0
2010-10-13,8.85,9.0,8.72,8.92,179600,0.0,0
2010-10-14,8.89,9.0,8.83,8.94,78900,0.0,0
