Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-10-26,5.05,5.24,5.05,5.05,6600,0.0,0.0
1999-10-27,5.05,5.05,5.05,5.05,0,0.0,0.0
1999-10-28,5.05,5.18,5.02,5.05,15400,0.0,0.0
1999-10-29,5.18,5.18,5.18,5.18,12650,0.0,0.0
1999-11-01,5.18,5.18,5.18,5.18,1100,0.0,0.0
1999-11-02,4.92,4.92,4.79,4.92,20350,0.0,0.0
1999-11-03,4.92,4.92,4.92,4.92,3850,0.0,0.0
1999-11-04,5.08,5.11,5.08,5.08,11000,0.0,0.0
1999-11-05,5.08,5.08,5.08,5.08,0,0.0,0.0
1999-11-08,5.08,5.08,5.08,5.08,0,0.0,0.0
1999-11-09,5.05,5.05,5.05,5.05,1100,0.0,0.0
1999-11-10,5.02,5.02,5.02,5.02,550,0.0,0.0
1999-11-11,5.24,5.24,5.21,5.24,11000,0.0,0.0
1999-11-12,5.15,5.15,5.15,5.15,1100,0.0,0.0
1999-11-15,5.11,5.11,5.11,5.11,2750,0.0,0.0
1999-11-16,5.08,5.18,5.08,5.08,2750,0.0,0.0
1999-11-17,5.08,5.08,5.08,5.08,0,0.0,0.0
1999-11-18,5.18,5.18,5.18,5.18,3300,0.0,0.0
1999-11-19,5.18,5.18,5.18,5.18,0,0.0,0.0
1999-11-22,5.18,5.18,5.18,5.18,0,0.0,0.0
1999-11-23,5.28,5.28,5.24,5.28,3300,0.0,0.0
1999-11-24,5.21,5.21,5.21,5.21,1100,0.0,0.0
1999-11-26,5.21,5.21,5.21,5.21,0,0.0,0.0
1999-11-29,5.21,5.21,5.21,5.21,0,0.0,0.0
1999-11-30,5.21,5.21,5.21,5.21,0,0.0,0.0
1999-12-01,5.21,5.21,5.21,5.21,0,0.0,0.0
1999-12-02,5.21,5.21,5.21,5.21,0,0.0,0.0
1999-12-03,5.21,5.21,5.21,5.21,0,0.0,0.0
1999-12-06,5.21,5.21,5.21,5.21,5500,0.0,0.0
