Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-04-06,10.0,10.0,9.64,9.68,2900,0,0
2021-04-07,9.96,9.96,9.96,9.96,500,0,0
2021-04-08,9.73,9.9,9.7,9.7,28200,0,0
2021-04-09,9.82,9.85,9.7,9.77,55900,0,0
2021-04-12,9.7,9.82,9.7,9.79,18300,0,0
2021-04-13,9.8,9.83,9.72,9.83,12300,0,0
2021-04-14,9.72,9.81,9.72,9.77,67100,0,0
2021-04-15,9.74,9.94,9.72,9.85,229700,0,0
2021-04-16,9.82,9.95,9.8,9.85,4500,0,0
2021-04-19,9.9,9.9,9.75,9.87,176300,0,0
2021-04-20,9.86,9.86,9.72,9.75,13000,0,0
2021-04-21,9.73,9.77,9.71,9.77,13200,0,0
2021-04-22,9.74,9.74,9.7,9.7,19900,0,0
2021-04-23,9.73,9.73,9.65,9.73,14400,0,0
2021-04-26,9.77,9.78,9.75,9.78,1300,0,0
2021-04-27,9.86,9.86,9.69,9.72,17500,0,0
2021-04-28,9.73,9.77,9.72,9.75,2600,0,0
2021-04-29,9.75,9.75,9.74,9.75,2600,0,0
2021-04-30,9.79,9.79,9.79,9.79,1000,0,0
2021-05-03,9.75,9.76,9.75,9.76,2600,0,0
2021-05-04,9.73,9.73,9.72,9.72,1100,0,0
