Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-20,10.26,10.39,10.26,10.38,2303000,0,0
2021-01-21,10.37,10.45,10.32,10.39,255200,0,0
2021-01-22,10.45,10.74,10.4,10.43,199200,0,0
2021-01-25,10.55,10.67,10.46,10.5,104900,0,0
2021-01-26,10.52,10.55,10.43,10.45,54600,0,0
2021-01-27,10.34,10.44,10.1,10.26,95700,0,0
2021-01-28,10.32,10.38,10.27,10.31,67600,0,0
2021-01-29,10.3,10.35,10.26,10.3,46400,0,0
2021-02-01,10.31,10.39,10.28,10.36,41100,0,0
2021-02-02,10.36,10.4,10.31,10.4,4000,0,0
2021-02-03,10.32,10.45,10.32,10.37,6500,0,0
2021-02-04,10.44,10.45,10.39,10.44,49600,0,0
2021-02-05,10.45,10.45,10.38,10.41,34800,0,0
2021-02-08,10.46,10.46,10.38,10.44,31200,0,0
2021-02-09,10.42,10.49,10.39,10.4,53900,0,0
2021-02-10,10.4,10.49,10.39,10.42,147700,0,0
2021-02-11,10.45,10.5,10.43,10.44,33200,0,0
2021-02-12,10.45,10.45,10.37,10.37,15600,0,0
2021-02-16,10.4,10.46,10.35,10.45,54800,0,0
2021-02-17,10.36,10.47,10.35,10.45,24100,0,0
2021-02-18,10.49,10.49,10.39,10.45,40300,0,0
2021-02-19,10.45,10.58,10.45,10.58,78600,0,0
2021-02-22,10.58,10.67,10.55,10.67,51200,0,0
2021-02-23,10.52,10.62,10.46,10.58,25400,0,0
2021-02-24,10.51,10.66,10.51,10.61,83800,0,0
2021-02-25,10.7,10.78,10.6,10.72,562600,0,0
2021-02-26,10.79,10.92,10.73,10.73,194600,0,0
2021-03-01,10.84,10.84,10.6,10.7,612500,0,0
2021-03-02,10.64,10.75,10.54,10.55,148700,0,0
2021-03-03,10.65,10.65,10.4,10.47,129400,0,0
2021-03-04,10.45,10.45,10.33,10.45,36900,0,0
2021-03-05,10.32,10.46,10.32,10.43,16600,0,0
2021-03-08,10.43,10.53,10.4,10.52,3100,0,0
2021-03-09,10.57,10.59,10.42,10.51,1600,0,0
2021-03-10,10.51,10.53,10.49,10.53,6100,0,0
2021-03-11,10.49,10.53,10.35,10.4,3800,0,0
2021-03-12,10.4,10.55,10.4,10.54,48500,0,0
2021-03-15,10.54,10.54,10.49,10.53,1700,0,0
2021-03-16,10.51,10.51,10.37,10.37,2000,0,0
2021-03-17,10.37,10.37,10.37,10.37,100,0,0
2021-03-18,10.34,10.34,10.3,10.3,900,0,0
2021-03-19,10.3,10.31,10.3,10.31,2200,0,0
2021-03-22,10.31,10.34,10.31,10.34,1400,0,0
2021-03-23,10.38,10.39,10.11,10.11,4500,0,0
2021-03-24,10.2,10.27,10.16,10.16,600,0,0
2021-03-25,10.15,10.15,10.05,10.12,7800,0,0
2021-03-26,10.12,10.12,10.12,10.12,0,0,0
2021-03-29,10.23,10.27,10.23,10.27,500,0,0
2021-03-30,10.29,10.29,10.14,10.28,400,0,0
2021-03-31,10.24,10.35,10.24,10.35,600,0,0
2021-04-01,10.15,10.15,10.15,10.15,300,0,0
2021-04-05,10.19,10.32,10.17,10.32,1300,0,0
2021-04-06,10.19,10.23,10.19,10.23,300,0,0
2021-04-07,10.33,10.4,10.33,10.4,1000,0,0
2021-04-08,10.28,10.45,10.26,10.45,1300,0,0
2021-04-09,10.35,10.49,10.3,10.3,700,0,0
2021-04-12,10.36,10.36,10.35,10.36,400,0,0
2021-04-13,10.38,10.38,10.27,10.34,6000,0,0
2021-04-14,10.34,10.38,10.28,10.28,8100,0,0
2021-04-15,10.25,10.34,10.1,10.1,900,0,0
2021-04-16,10.35,10.4,10.24,10.26,6200,0,0
2021-04-19,10.29,10.49,10.11,10.49,9000,0,0
2021-04-20,10.3,10.3,10.23,10.24,5300,0,0
2021-04-21,10.24,10.24,10.24,10.24,200,0,0
2021-04-22,10.24,10.24,10.24,10.24,0,0,0
2021-04-23,10.24,10.24,10.24,10.24,0,0,0
2021-04-26,10.14,10.14,10.14,10.14,300,0,0
2021-04-27,10.14,10.14,10.14,10.14,0,0,0
2021-04-28,10.13,10.2,10.12,10.12,1200,0,0
2021-04-29,10.12,10.12,10.12,10.12,0,0,0
2021-04-30,10.3,10.35,10.26,10.32,2400,0,0
2021-05-03,10.32,10.32,10.32,10.32,200,0,0
2021-05-04,10.27,10.32,10.27,10.29,1500,0,0
