Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-03-27,10.05,10.11,10.04,10.06,514500,0.0,0
2014-03-28,10.17,10.17,10.06,10.06,121500,0.0,0
2014-03-31,10.14,10.21,10.06,10.16,63500,0.0,0
2014-04-01,10.21,10.21,10.06,10.06,125000,0.0,0
2014-04-02,10.07,10.08,10.05,10.07,81300,0.0,0
2014-04-03,10.06,10.16,10.06,10.09,112500,0.0,0
2014-04-04,10.14,10.14,10.06,10.06,68300,0.0,0
2014-04-07,10.08,10.12,10.06,10.06,62500,0.0,0
2014-04-08,10.07,10.12,10.06,10.06,69200,0.0,0
2014-04-09,10.08,10.08,10.06,10.06,28700,0.0,0
2014-04-10,10.08,10.08,10.06,10.06,66100,0.0,0
2014-04-11,10.06,10.12,10.06,10.06,75500,0.0,0
2014-04-14,10.06,10.1,10.06,10.06,72200,0.0,0
2014-04-15,10.07,10.07,10.06,10.07,48800,0.0,0
2014-04-16,10.08,10.11,10.07,10.1,28100,0.0,0
2014-04-17,10.11,10.18,10.09,10.12,54200,0.0,0
2014-04-21,10.29,10.29,10.13,10.18,43300,0.0,0
2014-04-22,10.2,10.21,10.09,10.14,94700,0.0,0
2014-04-23,10.16,10.16,10.11,10.14,23400,0.0,0
2014-04-24,10.15,10.16,10.07,10.09,15400,0.0,0
2014-04-25,10.07,10.07,10.05,10.06,123300,0.0,0
2014-04-28,10.06,10.13,10.06,10.07,72500,0.0,0
2014-04-29,10.07,10.11,10.06,10.06,60700,0.0,0
2014-04-30,10.1,10.1,10.06,10.09,80100,0.0,0
2014-05-01,10.1,10.44,10.1,10.21,160700,0.0,0
2014-05-02,10.3,10.3,10.12,10.19,29600,0.0,0
2014-05-05,10.19,10.22,10.14,10.22,39400,0.0,0
2014-05-06,10.06,10.06,9.83,9.93,240000,0.0,0
2014-05-07,9.91,10.0,9.91,10.0,87300,0.0,0
2014-05-08,10.01,10.01,9.86,9.96,144100,0.0,0
2014-05-09,10.0,10.06,9.84,10.06,281700,0.0,0
2014-05-12,10.02,10.02,9.8,9.8,115100,0.0,0
2014-05-13,9.79,9.79,9.62,9.64,86500,0.0,0
2014-05-14,9.65,9.75,9.59,9.69,58800,0.0,0
2014-05-15,9.67,9.7,9.66,9.68,75700,0.0,0
2014-05-16,9.69,9.76,9.62,9.66,47400,0.0,0
2014-05-19,9.67,9.95,9.65,9.9,174500,0.0,0
2014-05-20,9.85,9.95,9.74,9.8,90900,0.0,0
2014-05-21,9.88,9.92,9.68,9.68,113500,0.0,0
2014-05-22,9.71,9.71,9.64,9.64,54300,0.0,0
2014-05-23,9.86,9.86,9.7,9.74,92700,0.0,0
2014-05-27,9.74,9.83,9.59,9.61,105400,0.0,0
2014-05-28,9.61,9.68,9.49,9.57,169100,0.0,0
2014-05-29,9.56,9.69,9.51,9.68,122900,0.0,0
2014-05-30,9.61,9.68,9.57,9.66,90100,0.0,0
2014-06-02,9.61,9.76,9.61,9.76,81800,0.1,0
2014-06-03,9.75,9.8,9.68,9.76,46100,0.0,0
2014-06-04,9.71,9.93,9.68,9.91,108100,0.0,0
2014-06-05,9.95,9.95,9.76,9.84,64900,0.0,0
2014-06-06,9.91,9.91,9.71,9.75,85700,0.0,0
2014-06-09,9.78,9.86,9.72,9.75,46400,0.0,0
2014-06-10,9.72,9.78,9.71,9.78,60200,0.0,0
2014-06-11,9.74,9.85,9.72,9.74,70200,0.0,0
2014-06-12,9.74,9.77,9.64,9.68,45700,0.0,0
2014-06-13,9.63,9.81,9.63,9.74,49500,0.0,0
2014-06-16,9.77,9.84,9.7,9.71,85200,0.0,0
2014-06-17,9.7,9.8,9.7,9.73,79900,0.0,0
2014-06-18,9.76,9.88,9.68,9.8,128200,0.0,0
2014-06-19,9.76,9.84,9.75,9.75,46300,0.0,0
2014-06-20,9.84,9.84,9.79,9.8,54400,0.0,0
2014-06-23,9.77,9.86,9.77,9.84,106900,0.0,0
2014-06-24,9.85,9.86,9.7,9.73,140200,0.0,0
2014-06-25,9.78,9.78,9.61,9.66,129100,0.0,0
2014-06-26,9.66,9.77,9.63,9.74,79000,0.0,0
2014-06-27,9.85,9.85,9.74,9.77,42200,0.0,0
2014-06-30,9.83,9.91,9.79,9.87,141400,0.0,0
2014-07-01,10.07,10.16,10.0,10.01,93200,0.1,0
