Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-09-16,71.27,77.0,64.03,64.79,14493200,0,0
2020-09-17,60.75,68.5,60.0,64.46,3069000,0,0
2020-09-18,63.42,66.4,62.5,64.78,967200,0,0
2020-09-21,63.0,68.25,62.59,67.0,1046700,0,0
2020-09-22,69.25,79.39,64.0,77.71,4117800,0,0
2020-09-23,77.7,83.5,71.66,75.5,2604000,0,0
2020-09-24,73.65,81.21,72.35,72.46,1249200,0,0
2020-09-25,74.0,77.17,72.98,75.73,873800,0,0
2020-09-28,77.48,87.11,76.05,86.35,2190100,0,0
2020-09-29,85.2,90.8,82.1,85.47,1978800,0,0
2020-09-30,85.83,88.86,81.7,84.65,1447300,0,0
2020-10-01,86.01,86.49,77.28,79.01,2861800,0,0
2020-10-02,75.0,78.69,74.0,75.75,902600,0,0
2020-10-05,78.7,79.99,76.1,78.01,393800,0,0
2020-10-06,78.64,78.99,74.11,74.62,503200,0,0
2020-10-07,74.89,76.03,72.35,73.0,724300,0,0
2020-10-08,75.0,75.0,69.2,73.37,928200,0,0
2020-10-09,73.74,76.85,72.25,74.0,1147800,0,0
2020-10-12,76.94,77.38,74.5,76.73,855400,0,0
2020-10-13,76.0,76.0,73.48,73.62,633100,0,0
2020-10-14,74.33,76.9,73.58,73.8,780700,0,0
2020-10-15,73.14,75.13,71.82,75.01,405100,0,0
2020-10-16,75.17,81.29,74.44,80.18,1002200,0,0
2020-10-19,80.0,86.99,77.31,78.14,1638300,0,0
2020-10-20,79.66,83.88,79.21,81.77,757100,0,0
2020-10-21,81.53,86.19,77.3,77.4,625400,0,0
2020-10-22,78.65,81.84,75.61,80.88,616900,0,0
2020-10-23,81.21,85.5,79.37,85.25,718600,0,0
2020-10-26,82.9,95.2,82.01,85.07,2717800,0,0
2020-10-27,85.9,88.36,80.18,81.56,1124000,0,0
2020-10-28,78.77,79.38,74.0,74.44,970300,0,0
2020-10-29,75.93,80.31,74.38,76.3,679500,0,0
2020-10-30,75.69,75.69,69.53,72.43,733100,0,0
2020-11-02,73.64,74.0,68.72,70.49,674100,0,0
2020-11-03,71.0,73.22,69.48,71.81,567600,0,0
2020-11-04,74.71,74.71,70.17,71.86,1070400,0,0
2020-11-05,68.5,68.5,64.04,64.97,4569500,0,0
2020-11-06,65.2,67.14,63.38,64.42,1928400,0,0
2020-11-09,64.5,65.8,60.01,60.15,1603000,0,0
2020-11-10,60.5,61.87,57.18,59.6,1942700,0,0
2020-11-11,60.97,62.56,60.2,61.05,970200,0,0
2020-11-12,61.01,63.4,59.15,59.99,1091100,0,0
2020-11-13,60.57,63.24,60.25,62.47,865100,0,0
2020-11-16,62.04,63.42,61.47,63.4,542900,0,0
2020-11-17,63.01,64.74,61.75,61.98,719200,0,0
2020-11-18,62.16,64.4,61.65,63.27,861400,0,0
2020-11-19,63.3,63.9,61.86,62.12,556000,0,0
2020-11-20,61.85,62.3,60.26,61.23,960400,0,0
2020-11-23,60.0,60.88,57.14,60.48,2567800,0,0
2020-11-24,61.5,63.87,59.64,59.73,2310000,0,0
2020-11-25,59.71,67.83,59.42,66.69,4750300,0,0
2020-11-27,69.0,70.99,65.51,69.37,3161400,0,0
2020-11-30,70.22,72.36,67.4,70.36,3512100,0,0
2020-12-01,70.5,71.35,67.14,69.26,1816900,0,0
2020-12-02,65.82,68.3,65.07,65.7,1131600,0,0
2020-12-03,67.0,69.83,66.5,68.22,1047900,0,0
2020-12-04,67.71,68.5,66.81,68.12,1259900,0,0
2020-12-07,68.89,73.61,67.88,69.77,2659800,0,0
2020-12-08,70.38,71.27,67.6,68.57,1630000,0,0
2020-12-09,69.59,70.3,65.69,67.54,1597200,0,0
2020-12-10,65.71,68.99,65.68,68.18,879600,0,0
2020-12-11,68.14,68.7,66.01,68.34,1120200,0,0
2020-12-14,69.12,69.76,66.85,68.07,977900,0,0
2020-12-15,68.33,68.66,64.39,65.44,2000300,0,0
2020-12-16,65.71,66.24,62.43,63.2,1637100,0,0
2020-12-17,63.66,67.76,62.52,67.23,1856500,0,0
2020-12-18,67.03,68.99,66.01,68.9,2004100,0,0
2020-12-21,67.5,69.03,66.26,68.08,889800,0,0
2020-12-22,68.63,68.94,65.61,67.52,1873800,0,0
2020-12-23,67.48,68.94,66.1,67.8,1587100,0,0
2020-12-24,67.85,72.28,66.63,68.82,2314800,0,0
2020-12-28,69.46,69.85,63.02,63.59,2029300,0,0
2020-12-29,64.27,65.82,62.58,64.67,1132600,0,0
2020-12-30,64.22,65.2,64.05,64.74,583300,0,0
2020-12-31,64.71,64.79,61.81,62.83,1148500,0,0
2021-01-04,62.35,62.7,59.73,60.37,1416900,0,0
2021-01-05,60.8,61.65,60.01,61.48,983000,0,0
2021-01-06,60.75,60.8,59.22,59.54,1367100,0,0
2021-01-07,60.0,62.15,59.86,62.07,1483000,0,0
2021-01-08,62.22,63.55,61.28,62.59,853300,0,0
2021-01-11,62.0,63.28,60.5,61.93,710600,0,0
2021-01-12,62.8,63.0,61.07,62.98,581800,0,0
2021-01-13,62.52,64.01,62.18,63.87,717200,0,0
2021-01-14,64.04,64.86,61.85,62.0,688000,0,0
2021-01-15,62.15,62.48,59.61,59.65,989600,0,0
2021-01-19,60.8,60.85,58.9,60.43,898100,0,0
2021-01-20,61.27,61.47,59.83,61.42,1215500,0,0
2021-01-21,61.5,63.85,60.52,63.54,818000,0,0
2021-01-22,63.64,65.22,63.0,64.74,1129800,0,0
2021-01-25,65.76,69.59,65.66,67.36,2107700,0,0
2021-01-26,68.17,70.44,67.45,69.81,1418200,0,0
2021-01-27,67.18,70.01,66.32,69.93,1825300,0,0
2021-01-28,69.1,69.9,64.63,64.63,925800,0,0
2021-01-29,64.72,65.24,61.54,62.47,876600,0,0
2021-02-01,63.09,63.68,60.9,62.61,678400,0,0
2021-02-02,63.6,65.18,62.89,63.89,493500,0,0
2021-02-03,63.9,64.69,62.85,63.3,354000,0,0
2021-02-04,63.46,63.97,62.69,63.46,456600,0,0
2021-02-05,64.0,67.23,63.01,67.22,843700,0,0
2021-02-08,67.87,69.2,65.89,66.0,754700,0,0
2021-02-09,67.12,67.37,65.15,65.99,560900,0,0
2021-02-10,67.27,67.63,64.71,65.96,1058000,0,0
2021-02-11,64.58,71.78,63.56,65.93,3381600,0,0
2021-02-12,65.61,70.82,65.61,65.8,1794400,0,0
2021-02-16,67.69,70.0,67.13,69.23,1214200,0,0
2021-02-17,67.69,67.69,64.61,66.37,2290100,0,0
2021-02-18,64.33,67.79,62.82,66.4,1659800,0,0
2021-02-19,66.54,68.57,66.11,66.84,3118800,0,0
2021-02-22,64.83,65.92,60.98,61.36,3198700,0,0
2021-02-23,59.3,60.51,56.12,59.78,2072000,0,0
