Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-09-28,8.27,8.27,8.27,8.27,579600,0.0,0
2010-09-29,8.27,8.27,8.27,8.27,68400,0.0,0
2010-09-30,8.28,8.32,8.27,8.31,87500,0.0,0
2010-10-01,8.32,8.35,8.3,8.33,50200,0.0,0
2010-10-04,8.33,8.34,8.27,8.27,73100,0.0,0
2010-10-05,8.29,8.35,8.27,8.33,90500,0.0,0
2010-10-06,8.34,8.34,8.28,8.3,37700,0.0,0
2010-10-07,8.29,8.31,8.29,8.3,16800,0.0,0
2010-10-08,8.31,8.31,8.27,8.27,31900,0.0,0
2010-10-11,8.3,8.33,8.27,8.28,44200,0.0,0
2010-10-12,8.29,8.4,8.28,8.38,29200,0.0,0
2010-10-13,8.37,8.37,8.27,8.28,48900,0.0,0
2010-10-14,8.29,8.37,8.27,8.29,46200,0.0,0
2010-10-15,8.33,8.34,8.28,8.31,41800,0.0,0
2010-10-18,8.32,8.35,8.29,8.32,33900,0.0,0
2010-10-19,8.32,8.35,8.28,8.34,44900,0.0,0
2010-10-20,8.34,8.34,8.27,8.27,34300,0.0,0
2010-10-21,8.46,8.46,8.27,8.28,39900,0.0,0
2010-10-22,8.3,8.34,8.27,8.27,44500,0.0,0
2010-10-25,8.29,8.33,8.27,8.29,85400,0.0,0
2010-10-26,8.3,8.33,8.29,8.32,44000,0.0,0
2010-10-27,8.3,8.32,8.27,8.27,94400,0.0,0
2010-10-28,8.27,8.28,8.27,8.27,78000,0.0,0
2010-10-29,8.27,8.29,8.27,8.27,63200,0.0,0
2010-11-01,8.27,8.27,8.27,8.27,620400,0.0,0
2010-11-02,8.27,8.27,8.27,8.27,227800,0.0,0
2010-11-03,8.27,8.29,8.27,8.29,103800,0.0,0
2010-11-04,8.28,8.34,8.27,8.27,115900,0.0,0
2010-11-05,8.29,8.32,8.27,8.29,73300,0.0,0
2010-11-08,8.3,8.32,8.22,8.32,124500,0.0,0
2010-11-09,8.3,8.31,8.27,8.31,99500,0.0,0
2010-11-10,8.32,8.32,8.27,8.28,79800,0.0,0
2010-11-11,8.27,8.32,8.27,8.29,69500,0.0,0
2010-11-12,8.29,8.29,8.08,8.12,28000,0.0,0
2010-11-15,8.14,8.22,7.7,7.84,86000,0.0,0
2010-11-16,7.54,7.84,7.33,7.78,317000,0.0,0
2010-11-17,7.81,7.9,7.75,7.86,133800,0.0,0
2010-11-18,8.06,8.06,7.77,7.81,163100,0.0,0
2010-11-19,7.89,7.95,7.84,7.95,94900,0.0,0
2010-11-22,8.02,8.02,7.75,7.85,162900,0.0,0
2010-11-23,7.86,7.88,7.65,7.79,154600,0.0,0
2010-11-24,7.85,7.93,7.73,7.9,88800,0.0,0
2010-11-26,7.9,7.93,7.86,7.89,22000,0.0,0
2010-11-29,7.89,7.89,7.73,7.76,136600,0.0,0
2010-11-30,7.77,7.96,7.71,7.96,29200,0.0,0
2010-12-01,7.99,7.99,7.81,7.89,135200,0.134,0
2010-12-02,7.91,8.1,7.72,8.05,243400,0.0,0
2010-12-03,8.01,8.02,7.9,7.95,97400,0.0,0
2010-12-06,7.97,7.97,7.81,7.82,134900,0.0,0
2010-12-07,7.83,7.89,7.74,7.83,180500,0.0,0
2010-12-08,7.77,7.87,7.66,7.81,234000,0.0,0
2010-12-09,7.77,7.87,7.66,7.75,195300,0.0,0
2010-12-10,7.79,7.79,7.6,7.72,238400,0.0,0
2010-12-13,7.71,7.72,7.6,7.66,202100,0.0,0
2010-12-14,7.65,7.72,7.61,7.62,216100,0.0,0
2010-12-15,7.65,7.67,7.51,7.57,277400,0.0,0
2010-12-16,7.61,7.64,7.5,7.58,271400,0.0,0
