Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-17,12.48,13.25,12.26,12.98,4293600,0.0,0
2020-06-18,12.37,12.68,11.45,11.93,4870200,0.0,0
2020-06-19,11.8,12.71,11.67,12.44,2010200,0.0,0
2020-06-22,11.96,12.23,11.67,11.8,2077300,0.0,0
2020-06-23,11.57,12.16,11.49,11.86,2049100,0.0,0
2020-06-24,11.71,11.99,11.71,11.8,1685500,0.0,0
2020-06-25,11.69,11.89,11.67,11.83,1377100,0.0,0
2020-06-26,11.8,11.92,11.65,11.84,1147000,0.0,0
2020-06-29,11.7,11.83,11.57,11.7,1085400,0.0,0
2020-06-30,11.62,11.84,11.54,11.7,1178700,0.0,0
2020-07-01,11.71,11.94,11.61,11.94,1125300,0.0,0
2020-07-02,11.8,11.98,11.74,11.92,859300,0.0,0
2020-07-06,11.8,12.11,11.79,11.86,832400,0.0,0
2020-07-07,11.78,11.94,11.78,11.88,636500,0.0,0
2020-07-08,11.81,11.84,11.47,11.64,814300,0.0,0
2020-07-09,11.55,11.67,10.57,11.12,1513600,0.0,0
2020-07-10,10.94,11.49,10.89,11.3,836500,0.0,0
2020-07-13,11.14,11.8,10.93,11.64,1041300,0.0,0
2020-07-14,11.47,12.03,11.47,11.76,1050300,0.0,0
2020-07-15,11.76,12.48,11.76,12.17,1202100,0.0,0
2020-07-16,12.05,12.47,11.8,12.29,1020300,0.0,0
2020-07-17,12.48,12.71,12.33,12.61,852600,0.0,0
2020-07-20,12.41,12.89,12.41,12.75,749900,0.0,0
2020-07-21,12.66,13.41,12.66,13.01,981300,0.0,0
2020-07-22,12.76,13.82,12.76,13.5,1136800,0.0,0
2020-07-23,13.8,14.07,13.21,13.21,1030700,0.0,0
2020-07-24,13.03,13.78,13.02,13.22,648700,0.0,0
2020-07-27,13.1,13.8,13.08,13.49,554300,0.0,0
2020-07-28,13.29,13.81,13.27,13.34,454400,0.0,0
2020-07-29,13.32,13.65,13.28,13.28,544900,0.0,0
2020-07-30,13.17,13.6,12.74,13.14,600600,0.0,0
