Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1981-06-09,0.0,16.76,16.52,16.52,112900,0.0,0
1981-06-10,0.0,16.52,16.03,16.03,53600,0.0,0
1981-06-11,0.0,16.76,16.52,16.52,66500,0.0,0
1981-06-12,0.0,16.76,16.52,16.52,2800,0.0,0
1981-06-15,0.0,16.76,16.52,16.52,19900,0.0,0
1981-06-16,0.0,15.3,14.58,14.58,12700,0.0,0
1981-06-17,0.0,15.55,14.82,14.82,13400,0.0,0
1981-06-18,0.0,15.55,14.82,14.82,8000,0.0,0
1981-06-19,0.0,15.06,14.58,14.58,6300,0.0,0
1981-06-22,0.0,15.06,14.58,14.58,3600,0.0,0
1981-06-23,0.0,14.82,14.33,14.33,8000,0.0,0
1981-06-24,0.0,14.82,14.33,14.33,4600,0.0,0
1981-06-25,0.0,15.06,14.58,14.58,7800,0.0,0
1981-06-26,0.0,15.55,15.06,15.06,14100,0.0,0
1981-06-29,0.0,15.79,15.06,15.06,3000,0.0,0
1981-06-30,0.0,15.79,15.3,15.3,4300,0.0,0
1981-07-01,0.0,15.06,14.58,14.58,7100,0.0,0
1981-07-02,0.0,15.06,14.33,14.33,7100,0.0,0
1981-07-06,0.0,14.82,14.33,14.33,3700,0.0,0
1981-07-07,0.0,14.82,14.33,14.33,7200,0.0,0
1981-07-08,0.0,14.82,14.33,14.33,3500,0.0,0
1981-07-09,0.0,14.82,14.33,14.33,4700,0.0,0
1981-07-10,0.0,15.3,14.58,14.58,10400,0.0,0
1981-07-13,0.0,15.55,14.82,14.82,1900,0.0,0
1981-07-14,0.0,16.76,16.28,16.28,17200,0.0,0
1981-07-15,0.0,16.52,16.03,16.03,8800,0.0,0
1981-07-16,0.0,16.76,16.28,16.28,8500,0.0,0
1981-07-17,0.0,16.76,16.28,16.28,8300,0.0,0
1981-07-20,0.0,16.52,16.03,16.03,11500,0.0,0
1981-07-21,0.0,16.52,16.03,16.03,15000,0.0,0
1981-07-22,0.0,16.52,16.03,16.03,11600,0.0,0
1981-07-23,0.0,16.76,16.52,16.52,13500,0.0,0
1981-07-24,0.0,17.01,16.52,16.52,19300,0.0,0
1981-07-27,0.0,17.01,16.52,16.52,4600,0.0,0
1981-07-28,0.0,16.76,16.52,16.52,11000,0.0,0
1981-07-29,0.0,16.76,16.52,16.52,10400,0.0,0
1981-07-30,0.0,16.76,16.52,16.52,6800,0.0,0
1981-07-31,0.0,16.76,16.52,16.52,8400,0.0,0
1981-08-03,0.0,16.76,16.28,16.28,10400,0.0,0
1981-08-04,0.0,16.52,16.03,16.03,2400,0.0,0
1981-08-05,0.0,16.52,16.03,16.03,5500,0.0,0
1981-08-06,0.0,16.28,15.55,15.55,8600,0.0,0
1981-08-07,0.0,16.28,15.55,15.55,2500,0.0,0
1981-08-10,15.55,15.55,15.55,15.55,0,0.0,0
1981-08-11,0.0,16.28,15.79,15.79,5500,0.0,0
1981-08-12,0.0,16.52,16.03,16.03,6500,0.0,0
1981-08-13,0.0,16.52,16.03,16.03,2600,0.0,0
1981-08-14,0.0,16.52,16.03,16.03,3900,0.0,0
1981-08-17,0.0,16.52,16.03,16.03,16400,0.0,0
1981-08-18,0.0,16.28,15.79,15.79,8800,0.0,0
1981-08-19,0.0,16.28,15.79,15.79,6500,0.0,0
1981-08-20,0.0,16.28,16.03,16.03,7900,0.0,0
1981-08-21,0.0,16.28,15.79,15.79,4900,0.0,0
1981-08-24,0.0,15.55,15.06,15.06,13200,0.0,0
1981-08-25,0.0,14.09,13.6,13.6,9700,0.0,0
1981-08-26,0.0,14.09,13.6,13.6,4200,0.0,0
1981-08-27,0.0,14.09,13.6,13.6,4300,0.0,0
1981-08-28,0.0,14.09,13.6,13.6,900,0.0,0
1981-08-31,0.0,14.09,13.6,13.6,5400,0.0,0
1981-09-01,0.0,14.09,13.6,13.6,3200,0.0,0
1981-09-02,0.0,14.09,13.6,13.6,3500,0.0,0
1981-09-03,0.0,14.09,13.6,13.6,2400,0.0,0
1981-09-04,0.0,13.85,13.6,13.6,7500,0.0,0
1981-09-08,0.0,13.6,13.12,13.12,3900,0.0,0
1981-09-09,0.0,13.85,13.12,13.12,2600,0.0,0
1981-09-10,0.0,14.09,13.6,13.6,4300,0.0,0
1981-09-11,0.0,14.58,14.33,14.33,9400,0.0,0
1981-09-14,0.0,14.58,14.09,14.09,3300,0.0,0
1981-09-15,0.0,14.82,14.33,14.33,2900,0.0,0
1981-09-16,0.0,14.82,14.33,14.33,4400,0.0,0
1981-09-17,0.0,14.58,14.33,14.33,11000,0.0,0
1981-09-18,0.0,14.33,13.85,13.85,7500,0.0,0
1981-09-21,0.0,14.09,13.85,13.85,3300,0.0,0
1981-09-22,0.0,14.09,13.6,13.6,12800,0.0,0
1981-09-23,0.0,14.09,13.6,13.6,14900,0.0,0
1981-09-24,0.0,14.09,13.6,13.6,7900,0.0,0
1981-09-25,0.0,13.85,13.36,13.36,4500,0.0,0
1981-09-28,0.0,13.6,12.88,12.88,8100,0.0,0
1981-09-29,0.0,13.6,13.12,13.12,4300,0.0,0
1981-09-30,0.0,13.36,12.88,12.88,9500,0.0,0
1981-10-01,0.0,13.36,12.88,12.88,6300,0.0,0
1981-10-02,0.0,13.6,13.36,13.36,5300,0.0,0
1981-10-05,0.0,13.6,13.36,13.36,5200,0.0,0
1981-10-06,0.0,13.6,13.36,13.36,4500,0.0,0
1981-10-07,0.0,13.6,13.12,13.12,3100,0.0,0
1981-10-08,0.0,13.6,13.36,13.36,2700,0.0,0
1981-10-09,0.0,13.6,13.36,13.36,6300,0.0,0
1981-10-12,0.0,13.6,13.36,13.36,1600,0.0,0
1981-10-13,0.0,13.36,12.88,12.88,18900,0.0,0
1981-10-14,0.0,13.12,12.63,12.63,4600,0.0,0
1981-10-15,0.0,12.88,12.39,12.39,3400,0.0,0
1981-10-16,0.0,12.88,12.39,12.39,2900,0.0,0
1981-10-19,0.0,12.88,12.39,12.39,3900,0.0,0
1981-10-20,0.0,13.12,12.63,12.63,43100,0.0,0
1981-10-21,0.0,13.36,12.88,12.88,6900,0.0,0
1981-10-22,0.0,13.36,12.88,12.88,3700,0.0,0
1981-10-23,0.0,13.36,12.63,12.63,3400,0.0,0
1981-10-26,0.0,13.36,12.88,12.88,5100,0.0,0
1981-10-27,0.0,13.36,13.12,13.12,6400,0.0,0
1981-10-28,0.0,13.36,13.12,13.12,3200,0.0,0
1981-10-29,0.0,13.6,13.12,13.12,20300,0.0,0
1981-10-30,0.0,13.6,13.12,13.12,7300,0.0,0
1981-11-02,0.0,13.6,13.12,13.12,8300,0.0,0
1981-11-03,0.0,13.6,13.36,13.36,6400,0.0,0
1981-11-04,0.0,14.09,13.6,13.6,12800,0.0,0
