Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-04-23,6.65,6.7,6.62,6.62,25700,0.0,0
2007-04-24,6.63,6.63,6.56,6.59,43700,0.0,0
2007-04-25,6.62,6.71,6.59,6.66,43700,0.0,0
2007-04-26,6.66,6.67,6.55,6.56,37600,0.0,0
2007-04-27,6.57,6.62,6.55,6.62,27600,0.0,0
2007-04-30,6.61,6.61,6.55,6.55,42700,0.0,0
2007-05-01,6.56,6.63,6.55,6.62,29100,0.0,0
2007-05-02,6.64,6.68,6.58,6.58,45100,0.0,0
2007-05-03,6.58,6.62,6.55,6.61,25900,0.0,0
2007-05-04,6.6,6.61,6.58,6.59,16700,0.0,0
2007-05-07,6.59,6.69,6.59,6.66,35800,0.0,0
2007-05-08,6.64,6.7,6.63,6.68,57900,0.0,0
2007-05-09,6.7,6.7,6.63,6.63,29500,0.0,0
2007-05-10,6.65,6.69,6.6,6.67,34200,0.0,0
2007-05-11,6.63,6.72,6.6,6.65,52400,0.0,0
2007-05-14,6.65,6.71,6.64,6.71,28800,0.0,0
2007-05-15,6.71,6.71,6.63,6.66,36800,0.0,0
2007-05-16,6.67,6.69,6.6,6.63,51900,0.0,0
2007-05-17,6.61,6.64,6.55,6.59,70100,0.0,0
2007-05-18,6.56,6.65,6.56,6.64,30000,0.0,0
2007-05-21,6.59,6.72,6.57,6.61,82200,0.0,0
2007-05-22,6.62,6.71,6.62,6.71,38300,0.0,0
2007-05-23,6.71,6.71,6.64,6.68,45900,0.0,0
2007-05-24,6.7,6.72,6.65,6.72,46400,0.0,0
2007-05-25,6.71,6.72,6.64,6.67,34000,0.0,0
2007-05-29,6.71,6.73,6.65,6.7,34400,0.0,0
2007-05-30,6.65,6.78,6.65,6.71,62500,0.0,0
2007-05-31,6.73,6.73,6.64,6.64,61600,0.0,0
2007-06-01,6.65,6.76,6.65,6.76,42500,0.0,0
2007-06-04,6.76,6.86,6.75,6.78,46600,0.0,0
2007-06-05,6.73,6.78,6.72,6.74,46200,0.0,0
2007-06-06,6.77,6.77,6.67,6.7,40600,0.0,0
2007-06-07,6.7,6.7,6.6,6.64,52800,0.0,0
2007-06-08,6.71,6.72,6.65,6.72,37700,0.0,0
2007-06-11,6.64,6.76,6.64,6.73,34600,0.0,0
2007-06-12,6.7,6.71,6.65,6.7,29400,0.0,0
2007-06-13,6.77,6.77,6.68,6.7,39600,0.4,0
2007-06-14,6.66,6.66,6.6,6.66,41500,0.0,0
2007-06-15,6.67,6.68,6.63,6.65,25400,0.0,0
2007-06-18,6.62,6.74,6.62,6.66,29400,0.0,0
2007-06-19,6.66,6.68,6.6,6.63,38000,0.0,0
2007-06-20,6.6,6.71,6.59,6.6,57700,0.0,0
2007-06-21,6.6,6.75,6.6,6.61,40100,0.0,0
2007-06-22,6.62,6.63,6.56,6.56,33700,0.0,0
2007-06-25,6.48,6.6,6.48,6.49,65100,0.0,0
2007-06-26,6.5,6.53,6.48,6.48,47300,0.0,0
2007-06-27,6.44,6.51,6.44,6.48,63700,0.0,0
2007-06-28,6.45,6.49,6.45,6.46,58900,0.0,0
2007-06-29,6.43,6.51,6.25,6.34,61800,0.0,0
2007-07-02,6.29,6.47,6.29,6.41,52500,0.0,0
2007-07-03,6.37,6.58,6.37,6.5,29900,0.0,0
2007-07-05,6.41,6.58,6.41,6.56,38800,0.0,0
2007-07-06,6.58,6.58,6.48,6.53,30800,0.0,0
2007-07-09,6.48,6.68,6.48,6.6,34100,0.0,0
2007-07-10,6.53,6.67,6.5,6.67,50600,0.0,0
2007-07-11,6.68,6.68,6.58,6.64,16600,0.0,0
2007-07-12,6.58,6.67,6.53,6.53,41100,0.0,0
2007-07-13,6.61,6.64,6.52,6.55,20600,0.0,0
2007-07-16,6.53,6.54,6.41,6.5,57500,0.0,0
2007-07-17,6.48,6.65,6.43,6.64,38900,0.0,0
2007-07-18,6.61,6.61,6.47,6.52,40900,0.0,0
2007-07-19,6.52,6.6,6.46,6.46,29600,0.0,0
2007-07-20,6.41,6.46,6.34,6.44,38700,0.0,0
2007-07-23,6.48,6.54,6.32,6.34,37400,0.0,0
2007-07-24,6.32,6.36,6.0,6.06,100900,0.0,0
2007-07-25,6.13,6.21,6.06,6.15,100600,0.0,0
2007-07-26,6.13,6.13,5.78,6.01,138600,0.0,0
2007-07-27,6.07,6.13,6.01,6.04,63000,0.0,0
2007-07-30,6.07,6.19,5.96,6.1,71500,0.0,0
2007-07-31,6.13,6.22,6.13,6.2,80600,0.0,0
2007-08-01,6.17,6.4,6.03,6.15,120000,0.0,0
2007-08-02,6.18,6.3,5.89,6.02,79800,0.0,0
2007-08-03,6.04,6.1,5.9,5.9,70400,0.0,0
2007-08-06,5.89,5.9,5.61,5.79,124300,0.0,0
2007-08-07,5.8,5.89,5.74,5.85,58100,0.0,0
2007-08-08,5.85,6.06,5.85,5.92,66600,0.0,0
2007-08-09,5.84,5.95,5.82,5.88,54300,0.0,0
2007-08-10,5.81,5.86,5.57,5.8,92700,0.0,0
2007-08-13,5.86,5.88,5.77,5.84,71200,0.0,0
2007-08-14,5.87,5.87,5.61,5.61,109200,0.0,0
2007-08-15,5.57,5.82,5.26,5.32,240600,0.0,0
2007-08-16,5.27,5.55,5.14,5.55,150900,0.0,0
2007-08-17,5.5,5.82,5.5,5.82,102200,0.0,0
2007-08-20,5.79,5.92,5.74,5.91,81200,0.0,0
2007-08-21,5.89,6.0,5.86,5.94,111000,0.0,0
2007-08-22,6.08,6.08,5.8,6.0,128100,0.0,0
2007-08-23,5.97,6.05,5.95,6.03,68400,0.0,0
2007-08-24,6.02,6.1,5.96,6.06,66800,0.0,0
2007-08-27,6.05,6.07,5.92,5.97,59500,0.0,0
2007-08-28,5.95,6.0,5.8,5.95,87700,0.0,0
2007-08-29,5.96,5.99,5.88,5.9,67600,0.0,0
2007-08-30,5.84,6.0,5.84,5.96,36800,0.0,0
2007-08-31,6.03,6.09,6.0,6.05,50500,0.0,0
2007-09-04,6.05,6.11,6.01,6.11,188700,0.0,0
2007-09-05,6.05,6.09,6.0,6.06,64100,0.0,0
2007-09-06,6.11,6.12,6.01,6.06,71400,0.0,0
2007-09-07,6.01,6.06,6.0,6.05,59100,0.0,0
2007-09-10,6.01,6.08,5.98,6.02,33000,0.0,0
2007-09-11,6.07,6.11,6.01,6.02,78100,0.0,0
2007-09-12,6.07,6.07,5.96,6.03,88900,0.4,0
2007-09-13,6.0,6.08,6.0,6.01,49300,0.0,0
2007-09-14,5.94,6.06,5.94,6.04,42800,0.0,0
2007-09-17,6.02,6.03,5.96,6.01,58900,0.0,0
2007-09-18,6.06,6.06,5.93,6.03,103400,0.0,0
2007-09-19,6.02,6.11,6.02,6.09,95100,0.0,0
2007-09-20,6.04,6.08,5.91,5.95,87700,0.0,0
2007-09-21,5.95,5.99,5.92,5.98,78700,0.0,0
2007-09-24,6.02,6.02,5.86,5.89,76900,0.0,0
2007-09-25,5.84,6.09,5.82,6.09,210400,0.0,0
2007-09-26,6.07,6.08,6.02,6.08,138000,0.0,0
2007-09-27,6.07,6.08,5.97,6.0,49800,0.0,0
2007-09-28,6.0,6.02,5.97,6.01,38800,0.0,0
2007-10-01,5.97,6.01,5.97,5.99,82200,0.0,0
2007-10-02,5.99,6.1,5.97,6.09,73700,0.0,0
2007-10-03,6.05,6.08,6.03,6.07,62100,0.0,0
2007-10-04,6.01,6.13,6.01,6.12,55400,0.0,0
2007-10-05,6.11,6.19,6.07,6.19,69900,0.0,0
2007-10-08,6.19,6.19,6.11,6.15,54900,0.0,0
2007-10-09,6.16,6.2,6.14,6.15,55700,0.0,0
2007-10-10,6.12,6.22,6.12,6.15,48700,0.0,0
2007-10-11,6.15,6.19,6.14,6.16,54100,0.0,0
2007-10-12,6.13,6.26,6.13,6.17,54600,0.0,0
2007-10-15,6.17,6.17,6.02,6.02,61600,0.0,0
2007-10-16,5.98,6.08,5.98,6.03,63200,0.0,0
2007-10-17,6.04,6.08,6.03,6.05,41800,0.0,0
2007-10-18,6.05,6.12,5.98,6.07,66500,0.0,0
2007-10-19,6.01,6.01,5.93,5.93,60200,0.0,0
2007-10-22,5.88,5.99,5.88,5.91,48300,0.0,0
2007-10-23,5.93,6.05,5.92,5.97,87400,0.0,0
2007-10-24,5.95,5.95,5.84,5.93,70400,0.0,0
2007-10-25,5.89,5.96,5.87,5.87,46800,0.0,0
2007-10-26,5.89,5.91,5.84,5.9,33500,0.0,0
2007-10-29,5.91,5.94,5.89,5.91,70300,0.0,0
2007-10-30,5.89,5.92,5.86,5.88,59300,0.0,0
2007-10-31,5.87,5.97,5.87,5.93,87900,0.0,0
2007-11-01,5.89,5.92,5.83,5.88,77800,0.0,0
2007-11-02,5.88,5.91,5.79,5.84,78800,0.0,0
2007-11-05,5.82,5.86,5.79,5.83,69600,0.0,0
2007-11-06,5.83,5.87,5.82,5.85,91600,0.0,0
2007-11-07,5.85,5.85,5.73,5.73,58400,0.0,0
2007-11-08,5.74,5.79,5.68,5.76,85900,0.0,0
2007-11-09,5.7,5.84,5.69,5.77,47200,0.0,0
2007-11-12,5.77,5.8,5.72,5.74,69800,0.0,0
2007-11-13,5.76,5.8,5.71,5.79,103400,0.0,0
2007-11-14,5.79,5.82,5.76,5.8,81300,0.0,0
2007-11-15,5.74,5.8,5.73,5.74,69600,0.0,0
2007-11-16,5.74,5.78,5.7,5.78,91200,0.0,0
2007-11-19,5.79,5.79,5.66,5.69,90500,0.0,0
2007-11-20,5.57,5.73,5.57,5.72,110100,0.0,0
2007-11-21,5.65,5.67,5.62,5.65,77200,0.0,0
2007-11-23,5.65,5.75,5.65,5.67,35600,0.0,0
2007-11-26,5.67,5.8,5.67,5.74,88200,0.0,0
2007-11-27,5.74,5.79,5.71,5.77,91600,0.0,0
2007-11-28,5.77,5.84,5.74,5.84,264300,0.0,0
2007-11-29,5.82,5.85,5.75,5.84,75000,0.0,0
2007-11-30,5.94,5.94,5.79,5.82,64300,0.0,0
2007-12-03,5.82,5.87,5.79,5.87,55100,0.0,0
2007-12-04,5.84,5.86,5.81,5.84,77000,0.0,0
2007-12-05,5.84,5.95,5.84,5.87,92100,0.0,0
2007-12-06,5.89,6.14,5.83,5.93,121000,0.0,0
2007-12-07,5.93,6.0,5.93,5.95,112800,0.0,0
2007-12-10,5.94,5.99,5.86,5.91,106300,0.4,0
2007-12-11,5.89,5.91,5.81,5.85,186700,0.0,0
2007-12-12,5.84,5.87,5.78,5.78,146500,0.0,0
2007-12-13,5.78,5.83,5.69,5.73,137200,0.0,0
2007-12-14,5.73,5.76,5.68,5.72,116900,0.0,0
2007-12-17,5.76,5.76,5.6,5.61,134000,0.0,0
2007-12-18,5.64,5.73,5.61,5.71,199100,0.0,0
2007-12-19,5.79,5.84,5.68,5.81,148800,0.0,0
2007-12-20,5.78,5.8,5.73,5.73,117200,0.0,0
2007-12-21,5.66,5.74,5.64,5.74,165000,0.0,0
2007-12-24,5.73,5.78,5.68,5.71,93700,0.0,0
2007-12-26,5.73,5.75,5.66,5.72,156600,0.0,0
2007-12-27,5.7,5.75,5.67,5.69,151500,0.0,0
2007-12-28,5.71,5.75,5.68,5.72,196700,0.0,0
2007-12-31,5.71,5.76,5.64,5.74,214900,0.0,0
2008-01-02,5.78,5.79,5.75,5.79,47500,0.0,0
2008-01-03,5.77,5.92,5.75,5.85,44400,0.0,0
2008-01-04,5.81,5.84,5.74,5.74,86000,0.0,0
2008-01-07,5.75,5.78,5.68,5.7,104100,0.0,0
2008-01-08,5.74,5.77,5.7,5.7,43000,0.0,0
2008-01-09,5.72,5.77,5.67,5.7,67900,0.0,0
2008-01-10,5.71,5.75,5.68,5.7,43000,0.0,0
2008-01-11,5.7,5.71,5.64,5.66,157800,0.0,0
2008-01-14,5.7,5.75,5.69,5.73,91300,0.0,0
2008-01-15,5.71,5.73,5.68,5.71,71600,0.0,0
2008-01-16,5.7,5.76,5.67,5.72,75700,0.0,0
2008-01-17,5.76,5.76,5.66,5.67,76100,0.0,0
2008-01-18,5.72,5.72,5.65,5.66,58100,0.0,0
2008-01-22,5.44,5.58,5.31,5.55,107800,0.0,0
2008-01-23,5.49,5.61,5.39,5.6,55500,0.0,0
2008-01-24,5.64,5.75,5.61,5.66,91700,0.0,0
2008-01-25,5.75,5.77,5.69,5.72,77200,0.0,0
2008-01-28,5.66,5.73,5.61,5.67,82000,0.0,0
2008-01-29,5.74,5.76,5.65,5.7,56600,0.0,0
2008-01-30,5.71,5.75,5.66,5.71,55800,0.0,0
2008-01-31,5.71,5.76,5.62,5.75,67200,0.0,0
2008-02-01,5.76,5.78,5.73,5.77,64300,0.0,0
2008-02-04,5.8,5.8,5.76,5.77,47300,0.0,0
2008-02-05,5.75,5.78,5.7,5.77,77900,0.0,0
2008-02-06,5.82,5.85,5.74,5.74,51400,0.0,0
2008-02-07,5.74,5.78,5.71,5.75,73700,0.0,0
2008-02-08,5.75,5.82,5.75,5.79,60400,0.0,0
2008-02-11,5.81,5.86,5.74,5.76,72500,0.0,0
2008-02-12,5.8,5.84,5.77,5.81,90200,0.0,0
2008-02-13,5.86,5.89,5.8,5.81,47600,0.0,0
2008-02-14,5.84,5.84,5.68,5.71,56200,0.0,0
2008-02-15,5.72,5.75,5.66,5.7,87700,0.0,0
2008-02-19,5.76,5.78,5.73,5.78,59100,0.0,0
2008-02-20,5.82,5.82,5.74,5.76,57300,0.0,0
2008-02-21,5.79,5.83,5.76,5.76,62900,0.0,0
2008-02-22,5.81,5.81,5.74,5.75,75900,0.0,0
2008-02-25,5.79,5.8,5.74,5.8,43200,0.0,0
2008-02-26,5.82,5.88,5.78,5.86,57400,0.0,0
2008-02-27,5.89,5.89,5.84,5.87,50500,0.0,0
2008-02-28,5.9,5.9,5.83,5.87,89700,0.0,0
2008-02-29,5.87,5.89,5.82,5.82,99300,0.0,0
2008-03-03,5.84,5.85,5.77,5.77,31400,0.0,0
2008-03-04,5.76,5.81,5.73,5.76,58900,0.0,0
2008-03-05,5.75,5.84,5.75,5.84,63200,0.0,0
2008-03-06,5.82,5.82,5.73,5.75,46900,0.0,0
2008-03-07,5.73,5.79,5.68,5.69,53400,0.0,0
2008-03-10,5.73,5.74,5.67,5.67,69100,0.0,0
2008-03-11,5.75,5.77,5.7,5.74,66000,0.0,0
2008-03-12,5.78,5.82,5.76,5.81,45400,0.0,0
2008-03-13,5.79,5.8,5.71,5.78,45800,0.4,0
2008-03-14,5.82,5.82,5.68,5.7,104900,0.0,0
2008-03-17,5.62,5.62,5.46,5.59,72000,0.0,0
2008-03-18,5.61,5.71,5.61,5.71,54400,0.0,0
2008-03-19,5.75,5.79,5.67,5.67,44300,0.0,0
2008-03-20,5.68,5.77,5.67,5.76,34000,0.0,0
2008-03-24,5.81,5.84,5.78,5.82,49700,0.0,0
2008-03-25,5.84,5.84,5.78,5.81,48700,0.0,0
2008-03-26,5.79,5.84,5.75,5.84,97300,0.0,0
2008-03-27,5.87,5.94,5.87,5.92,133200,0.0,0
2008-03-28,5.95,5.95,5.89,5.92,49800,0.0,0
2008-03-31,5.89,5.91,5.86,5.89,38900,0.0,0
2008-04-01,5.91,5.92,5.88,5.91,35600,0.0,0
2008-04-02,5.94,5.94,5.88,5.89,15300,0.0,0
2008-04-03,5.88,5.89,5.88,5.89,27800,0.0,0
2008-04-04,5.92,5.92,5.84,5.85,23100,0.0,0
2008-04-07,5.86,5.9,5.85,5.85,28900,0.0,0
2008-04-08,5.85,5.88,5.84,5.84,31900,0.0,0
2008-04-09,5.87,5.94,5.87,5.89,92900,0.0,0
2008-04-10,5.89,5.89,5.84,5.87,39300,0.0,0
2008-04-11,5.87,5.91,5.85,5.88,86000,0.0,0
