Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-09-23,46.7,51.78,45.5,50.5,22724400,0,0
2020-09-24,49.12,50.0,46.15,46.7,5098300,0,0
2020-09-25,47.5,52.99,47.31,52.04,4213000,0,0
2020-09-28,53.48,60.89,52.5,56.79,7039600,0,0
2020-09-29,59.37,64.22,53.09,56.0,10504600,0,0
2020-09-30,57.07,58.39,53.2,55.6,2829900,0,0
2020-10-01,56.4,56.79,49.81,50.05,5361700,0,0
2020-10-02,48.0,50.98,47.77,48.75,2693500,0,0
2020-10-05,50.0,53.55,48.54,52.97,2511000,0,0
2020-10-06,53.78,57.17,51.39,57.16,2512600,0,0
2020-10-07,57.44,58.65,54.56,56.46,1697900,0,0
2020-10-08,57.38,57.48,53.65,54.96,1299600,0,0
2020-10-09,55.87,55.89,53.25,53.64,975300,0,0
2020-10-12,54.12,54.95,52.1,53.5,978700,0,0
2020-10-13,53.45,53.76,51.95,52.13,1131900,0,0
2020-10-14,51.62,52.28,49.2,51.26,1737100,0,0
2020-10-15,49.89,51.81,49.33,51.56,1212200,0,0
2020-10-16,51.56,53.05,50.5,53.02,1051900,0,0
2020-10-19,52.09,52.2,49.95,50.14,1854200,0,0
2020-10-20,50.7,50.7,47.75,49.05,1798900,0,0
2020-10-21,48.89,51.97,48.61,51.09,1205700,0,0
2020-10-22,51.14,54.01,50.9,54.0,1392300,0,0
2020-10-23,54.0,54.15,51.25,52.5,908400,0,0
2020-10-26,51.94,53.29,49.05,49.6,1420800,0,0
2020-10-27,50.0,50.56,48.77,49.16,888200,0,0
2020-10-28,48.0,49.14,47.35,48.26,1225100,0,0
2020-10-29,48.7,50.89,48.7,49.78,1119300,0,0
2020-10-30,48.86,49.78,46.81,48.39,1902100,0,0
2020-11-02,48.55,48.94,46.37,46.83,1698500,0,0
2020-11-03,47.19,48.19,46.9,47.5,701300,0,0
2020-11-04,48.93,50.96,48.45,50.5,1083700,0,0
2020-11-05,51.78,51.78,49.23,50.67,982500,0,0
2020-11-06,50.0,50.79,49.77,50.24,882000,0,0
2020-11-09,51.67,55.0,48.75,52.31,1826500,0,0
2020-11-10,52.41,53.4,49.11,50.35,1085800,0,0
2020-11-11,50.2,52.85,50.2,51.1,1702900,0,0
2020-11-12,48.25,50.04,47.54,47.77,3556700,0,0
2020-11-13,48.38,49.65,47.24,47.35,1349100,0,0
2020-11-16,48.58,48.73,46.55,46.72,1725400,0,0
2020-11-17,37.96,40.5,36.02,36.21,23138800,0,0
2020-11-18,34.65,35.73,33.51,33.76,14594000,0,0
2020-11-19,35.99,38.36,34.3,38.0,15791400,0,0
2020-11-20,37.99,41.17,37.25,38.8,8555400,0,0
2020-11-23,37.99,39.17,36.52,39.07,5491900,0,0
2020-11-24,38.99,39.97,37.8,38.04,3037900,0,0
2020-11-25,37.89,38.77,37.11,38.57,2038100,0,0
2020-11-27,38.52,39.38,37.8,38.2,1366100,0,0
2020-11-30,38.0,38.09,36.21,37.7,2339700,0,0
2020-12-01,37.45,37.8,36.43,36.81,2243500,0,0
2020-12-02,36.18,37.19,35.61,36.8,1609700,0,0
