Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-07-25,16.02,16.26,15.35,16.03,126200,0.0,0
2000-07-26,15.8,16.09,15.75,16.03,28900,0.0,0
2000-07-27,16.03,16.15,15.92,16.03,61200,0.0,0
2000-07-28,16.09,16.09,15.69,15.92,146100,0.0,0
2000-07-31,16.03,16.21,15.46,16.21,178400,0.0,0
2000-08-01,16.09,16.89,15.8,16.03,87400,0.0,0
2000-08-02,16.26,16.49,16.21,16.21,34800,0.0,0
2000-08-03,16.15,16.19,15.8,15.92,60800,0.0,0
2000-08-04,15.92,16.03,15.8,15.8,48600,0.0,0
2000-08-07,15.8,15.98,15.63,15.8,52500,0.0,0
2000-08-08,15.69,16.09,15.69,15.8,107500,0.0,0
2000-08-09,15.86,15.98,15.35,15.52,147500,0.0,0
2000-08-10,15.4,15.69,15.0,15.0,184700,0.0,0
2000-08-11,15.17,15.17,14.43,14.66,312500,0.0,0
2000-08-14,14.6,14.66,14.26,14.26,117300,0.0,0
2000-08-15,14.26,14.26,13.91,14.09,242800,0.0,0
2000-08-16,13.97,13.97,12.48,13.17,288500,0.0,0
2000-08-17,13.28,14.54,13.28,14.2,488900,0.0,0
2000-08-18,14.14,14.14,13.8,13.97,183400,0.0,0
2000-08-21,13.97,13.97,13.74,13.74,11600,0.0,0
2000-08-22,13.74,14.49,13.69,14.37,129700,0.0,0
2000-08-23,14.26,14.89,13.97,14.66,319200,0.0,0
2000-08-24,14.6,15.0,14.49,15.0,214800,0.0,0
2000-08-25,15.0,15.17,14.89,15.12,99700,0.0,0
2000-08-28,15.0,15.12,14.95,15.12,46600,0.0,0
2000-08-29,15.0,15.23,14.89,15.12,338200,0.0,0
2000-08-30,15.12,15.35,15.0,15.35,100800,0.0,0
2000-08-31,15.35,16.49,15.17,16.15,433900,0.0,0
2000-09-01,16.26,16.61,16.21,16.21,217800,0.0,0
2000-09-05,16.38,16.38,15.98,15.98,43800,0.0,0
2000-09-06,16.03,16.15,15.7,15.86,50900,0.0,0
2000-09-07,16.03,16.26,15.29,15.35,293100,0.0,0
2000-09-08,15.29,15.4,15.29,15.4,4100,0.0,0
2000-09-11,15.35,15.4,15.23,15.23,22300,0.0,0
2000-09-12,15.12,15.35,15.12,15.23,51800,0.0,0
2000-09-13,15.17,15.23,14.77,15.12,37700,0.0,0
2000-09-14,15.23,15.23,14.95,14.95,32600,0.0,0
2000-09-15,15.12,15.17,15.12,15.12,84200,0.0,0
2000-09-18,15.0,15.12,14.89,14.89,62700,0.0,0
2000-09-19,14.89,14.89,14.2,14.6,191200,0.0,0
2000-09-20,14.49,14.49,13.86,13.97,214200,0.0,0
2000-09-21,13.97,14.14,13.97,14.09,365800,0.0,0
2000-09-22,13.91,14.2,13.63,13.8,373000,0.0,0
2000-09-25,14.03,14.09,13.86,14.09,87500,0.0,0
2000-09-26,13.8,14.32,13.8,14.03,111300,0.0,0
2000-09-27,13.97,13.99,13.74,13.74,112500,0.0,0
2000-09-28,13.74,13.97,13.63,13.91,69900,0.0,0
2000-09-29,14.03,14.03,13.74,13.74,38300,0.0,0
2000-10-02,14.09,14.09,13.57,13.63,21800,0.0,0
2000-10-03,13.97,13.97,13.4,13.46,213600,0.0,0
2000-10-04,13.57,13.63,13.4,13.51,67500,0.0,0
2000-10-05,13.46,13.51,13.28,13.46,188800,0.0,0
2000-10-06,13.46,13.46,12.83,12.94,76400,0.0,0
2000-10-09,12.83,12.83,12.54,12.71,10100,0.0,0
2000-10-10,12.77,12.83,12.43,12.83,171100,0.0,0
2000-10-11,12.83,13.11,12.48,13.06,548800,0.0,0
2000-10-12,13.06,13.11,12.37,12.37,1614500,0.0,0
2000-10-13,12.48,12.65,12.25,12.48,181500,0.0,0
2000-10-16,12.48,12.48,12.08,12.14,21700,0.0,0
2000-10-17,12.2,12.2,11.57,11.57,158500,0.0,0
2000-10-18,11.44,11.91,10.99,11.74,607800,0.0,0
2000-10-19,11.91,12.83,11.91,12.83,226000,0.0,0
2000-10-20,12.71,12.71,11.97,12.25,456200,0.0,0
2000-10-23,12.25,12.25,11.28,11.45,177300,0.0,0
2000-10-24,11.68,11.68,11.34,11.34,81200,0.0,0
2000-10-25,11.22,11.22,10.71,10.88,312800,0.0,0
2000-10-26,10.88,11.62,10.88,11.62,304900,0.0,0
2000-10-27,11.68,12.94,11.62,12.77,735200,0.0,0
2000-10-30,12.6,13.0,12.48,13.0,288000,0.0,0
2000-10-31,13.06,13.51,13.06,13.34,203900,0.0,0
2000-11-01,13.17,13.28,13.0,13.28,85900,0.0,0
2000-11-02,13.17,13.86,13.11,13.74,469700,0.0,0
2000-11-03,13.57,13.57,12.83,12.83,560200,0.0,0
2000-11-06,12.88,12.88,12.77,12.83,12000,0.0,0
2000-11-07,12.65,12.83,12.37,12.83,317400,0.0,0
2000-11-08,12.71,12.83,12.31,12.48,130600,0.0,0
2000-11-09,12.48,12.71,12.48,12.65,203700,0.0,0
