Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-08-02,3.14,3.2,3.13,3.16,21600,0.0,0
2002-08-05,3.14,3.19,3.14,3.17,13900,0.0,0
2002-08-06,3.16,3.19,3.12,3.13,156200,0.0,0
2002-08-07,3.15,3.19,3.09,3.19,96600,0.0,0
2002-08-08,3.16,3.24,3.14,3.24,10200,0.0,0
2002-08-09,3.24,3.3,3.19,3.3,46800,0.0,0
2002-08-12,3.26,3.31,3.23,3.31,15500,0.0,0
2002-08-13,3.28,3.3,3.13,3.13,27200,0.0,0
2002-08-14,3.14,3.21,3.13,3.2,46400,0.0,0
2002-08-15,3.18,3.22,3.08,3.18,81400,0.0,0
2002-08-16,3.17,3.3,3.13,3.17,156300,0.0,0
2002-08-19,3.14,3.26,3.14,3.26,14000,0.0,0
2002-08-20,3.26,3.26,3.13,3.14,21600,0.0,0
2002-08-21,3.13,3.17,3.13,3.16,67000,0.0,0
2002-08-22,3.14,3.17,3.14,3.17,26200,0.0,0
2002-08-23,3.1,3.19,3.1,3.18,115700,0.0,0
2002-08-26,3.13,3.19,3.13,3.16,27900,0.0,0
2002-08-27,3.13,3.14,3.07,3.1,38000,0.0,0
2002-08-28,3.09,3.13,2.98,3.03,75400,0.0,0
2002-08-29,3.05,3.1,3.01,3.08,55000,0.0,0
2002-08-30,3.01,3.19,3.01,3.14,74600,0.0,0
2002-09-03,3.18,3.18,3.03,3.09,21700,0.0,0
2002-09-04,3.08,3.13,3.08,3.13,39100,0.0,0
2002-09-05,3.1,3.11,3.09,3.09,13800,0.0,0
2002-09-06,3.1,3.17,3.1,3.17,15600,0.0,0
2002-09-09,3.14,3.14,3.08,3.09,17300,0.0,0
2002-09-10,3.09,3.13,3.08,3.13,19300,0.0,0
2002-09-11,3.1,3.11,3.08,3.1,11500,0.0,0
2002-09-12,3.09,3.13,3.09,3.12,16600,0.0,0
2002-09-13,3.12,3.12,3.08,3.11,47100,0.0,0
2002-09-16,3.11,3.11,3.09,3.09,4800,0.0,0
2002-09-17,3.09,3.1,3.07,3.07,8400,0.0,0
2002-09-18,3.06,3.1,3.04,3.08,71100,0.0,0
2002-09-19,3.08,3.08,3.05,3.05,22300,0.0,0
2002-09-20,3.1,3.14,3.08,3.09,48000,0.0,0
2002-09-23,3.07,3.09,3.04,3.07,14100,0.0,0
2002-09-24,3.08,3.1,3.04,3.07,46300,0.0,0
2002-09-25,3.04,3.09,3.03,3.07,50100,0.0,0
2002-09-26,3.1,3.15,3.08,3.14,28700,0.21,0
2002-09-27,3.14,3.19,3.06,3.09,21400,0.0,0
2002-09-30,3.07,3.13,3.06,3.12,13400,0.0,0
2002-10-01,3.09,3.11,3.06,3.1,33500,0.0,0
2002-10-02,3.1,3.1,3.02,3.02,27700,0.0,0
2002-10-03,3.02,3.02,2.86,2.91,34800,0.0,0
2002-10-04,2.91,2.95,2.73,2.79,47600,0.0,0
2002-10-07,2.82,2.83,2.69,2.75,63400,0.0,0
2002-10-08,2.75,2.79,2.67,2.75,28300,0.0,0
2002-10-09,2.72,2.76,2.71,2.75,22200,0.0,0
2002-10-10,2.72,2.85,2.68,2.85,54200,0.0,0
2002-10-11,2.83,2.92,2.76,2.79,90200,0.0,0
2002-10-14,2.78,2.92,2.77,2.91,34200,0.0,0
2002-10-15,2.91,3.1,2.91,3.1,30900,0.0,0
2002-10-16,3.04,3.16,3.02,3.12,27400,0.0,0
2002-10-17,3.16,3.17,3.11,3.12,17000,0.0,0
2002-10-18,3.11,3.12,2.96,2.96,12800,0.0,0
2002-10-21,2.96,2.97,2.9,2.9,18100,0.0,0
2002-10-22,2.9,2.91,2.8,2.87,34200,0.0,0
2002-10-23,2.87,2.96,2.86,2.96,23700,0.0,0
2002-10-24,2.95,3.14,2.95,3.05,60000,0.0,0
2002-10-25,3.03,3.14,3.01,3.14,16800,0.0,0
2002-10-28,3.14,3.14,2.96,2.96,39900,0.0,0
2002-10-29,2.96,3.03,2.92,2.97,16200,0.0,0
2002-10-30,2.98,2.99,2.93,2.97,8300,0.0,0
2002-10-31,2.97,3.06,2.93,3.06,37400,0.0,0
2002-11-01,3.05,3.06,3.02,3.05,14800,0.0,0
2002-11-04,3.06,3.08,2.92,2.95,51200,0.0,0
2002-11-05,2.93,3.05,2.91,2.95,44200,0.0,0
2002-11-06,2.97,3.0,2.95,2.98,14900,0.0,0
2002-11-07,2.95,3.05,2.95,2.95,19300,0.0,0
2002-11-08,2.96,3.03,2.94,2.98,12100,0.0,0
2002-11-11,2.94,2.96,2.92,2.92,5500,0.0,0
2002-11-12,2.97,2.97,2.91,2.94,8400,0.0,0
2002-11-13,2.91,2.93,2.83,2.85,33800,0.0,0
2002-11-14,2.85,2.9,2.84,2.88,24800,0.0,0
2002-11-15,2.84,2.88,2.83,2.85,15300,0.0,0
2002-11-18,2.88,2.88,2.81,2.82,26400,0.0,0
2002-11-19,2.81,2.84,2.81,2.82,5200,0.0,0
2002-11-20,2.81,2.86,2.78,2.84,16200,0.0,0
2002-11-21,2.82,2.93,2.82,2.86,30100,0.0,0
2002-11-22,2.84,2.93,2.84,2.89,30800,0.0,0
2002-11-25,2.93,2.98,2.85,2.95,32200,0.0,0
2002-11-26,2.95,2.97,2.92,2.94,28800,0.0,0
2002-11-27,2.94,2.98,2.93,2.98,26100,0.0,0
2002-11-29,2.98,3.03,2.97,3.02,20000,0.0,0
2002-12-02,3.08,3.09,3.01,3.09,6700,0.0,0
2002-12-03,3.08,3.11,3.02,3.07,9400,0.0,0
