Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-05-02,4.62,4.64,4.61,4.62,129100,0.0,0
2006-05-03,4.62,4.65,4.62,4.62,91700,0.0,0
2006-05-04,4.63,4.64,4.63,4.64,63300,0.0,0
2006-05-05,4.63,4.65,4.61,4.64,79200,0.0,0
2006-05-08,4.64,4.65,4.62,4.64,77200,0.0,0
2006-05-09,4.64,4.64,4.6,4.61,170700,0.0,0
2006-05-10,4.63,4.64,4.62,4.64,77700,0.0,0
2006-05-11,4.64,4.65,4.63,4.65,128400,0.0,0
2006-05-12,4.64,4.66,4.63,4.66,84200,0.0,0
2006-05-15,4.65,4.65,4.62,4.64,97600,0.0,0
2006-05-16,4.64,4.64,4.61,4.63,90700,0.0,0
2006-05-17,4.65,4.65,4.61,4.62,113900,0.0,0
2006-05-18,4.63,4.64,4.61,4.61,110600,0.0,0
2006-05-19,4.6,4.61,4.58,4.59,332100,0.0,0
2006-05-22,4.59,4.59,4.58,4.58,162300,0.0,0
2006-05-23,4.59,4.62,4.58,4.6,87000,0.0,0
2006-05-24,4.58,4.6,4.58,4.59,69600,0.0,0
2006-05-25,4.58,4.61,4.58,4.58,82400,0.0,0
2006-05-26,4.59,4.6,4.58,4.6,56300,0.0,0
2006-05-30,4.59,4.62,4.58,4.6,225200,0.0,0
2006-05-31,4.59,4.64,4.58,4.58,129100,0.0,0
2006-06-01,4.59,4.65,4.58,4.64,221200,0.0,0
2006-06-02,4.64,4.65,4.62,4.64,67100,0.0,0
2006-06-05,4.67,4.67,4.58,4.59,56000,0.0,0
2006-06-06,4.59,4.6,4.58,4.59,62500,0.0,0
2006-06-07,4.59,4.6,4.58,4.58,56200,0.0,0
2006-06-08,4.58,4.59,4.37,4.4,213700,0.0,0
2006-06-09,4.37,4.37,4.32,4.33,51900,0.0,0
2006-06-12,4.33,4.33,4.23,4.24,67300,0.0,0
2006-06-13,4.25,4.26,4.11,4.16,94400,0.0,0
2006-06-14,4.14,4.34,4.13,4.33,90600,0.0,0
2006-06-15,4.37,4.53,4.35,4.52,79300,0.0,0
2006-06-16,4.52,4.53,4.49,4.53,27100,0.0,0
2006-06-19,4.53,4.53,4.41,4.42,31300,0.0,0
2006-06-20,4.4,4.46,4.39,4.43,69000,0.0,0
2006-06-21,4.42,4.49,4.37,4.4,79600,0.0,0
2006-06-22,4.4,4.4,4.36,4.36,51500,0.0,0
2006-06-23,4.36,4.43,4.33,4.37,64700,0.0,0
2006-06-26,4.38,4.38,4.27,4.3,83400,0.0,0
2006-06-27,4.3,4.35,4.26,4.32,100700,0.0,0
2006-06-28,4.32,4.44,4.32,4.41,43100,0.0,0
2006-06-29,4.37,4.47,4.37,4.45,68700,0.0,0
2006-06-30,4.44,4.46,4.38,4.41,40200,0.0,0
2006-07-03,4.42,4.42,4.38,4.38,19300,0.0,0
2006-07-05,4.38,4.42,4.32,4.42,44400,0.0,0
2006-07-06,4.46,4.46,4.38,4.45,39100,0.0,0
2006-07-07,4.42,4.46,4.37,4.44,37000,0.0,0
2006-07-10,4.41,4.45,4.39,4.41,40500,0.0,0
2006-07-11,4.41,4.46,4.37,4.46,29000,0.0,0
2006-07-12,4.45,4.47,4.34,4.37,76300,0.3,0
2006-07-13,4.34,4.35,4.26,4.3,83000,0.0,0
2006-07-14,4.24,4.29,4.19,4.27,105400,0.0,0
2006-07-17,4.27,4.29,4.24,4.25,76700,0.0,0
2006-07-18,4.25,4.27,4.2,4.26,60600,0.0,0
2006-07-19,4.26,4.3,4.25,4.3,80900,0.0,0
2006-07-20,4.33,4.35,4.23,4.26,61600,0.0,0
2006-07-21,4.26,4.26,4.18,4.24,63600,0.0,0
2006-07-24,4.25,4.28,4.21,4.26,75600,0.0,0
2006-07-25,4.27,4.27,4.2,4.23,68200,0.0,0
2006-07-26,4.2,4.24,4.2,4.22,111200,0.0,0
2006-07-27,4.22,4.28,4.2,4.28,91900,0.0,0
2006-07-28,4.27,4.3,4.21,4.29,66100,0.0,0
2006-07-31,4.26,4.27,4.23,4.25,64200,0.0,0
