Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-06-02,17.0,17.0,15.63,15.73,458500,0.0,0.0
2015-06-03,15.78,15.9,15.39,15.58,533300,0.0,0.0
2015-06-04,15.53,15.55,14.77,15.3,396867,0.006,0.0
2015-06-05,15.33,15.79,15.31,15.65,175600,0.0,0.0
2015-06-08,15.48,15.65,15.26,15.35,169333,0.0,0.0
2015-06-09,15.33,15.51,15.21,15.23,152800,0.0,0.0
2015-06-10,15.38,15.47,15.09,15.11,167900,0.0,0.0
2015-06-11,15.14,15.19,15.11,15.16,145867,0.0,0.0
2015-06-12,15.04,15.19,15.04,15.16,110100,0.0,0.0
2015-06-15,15.11,15.16,14.89,14.92,148867,0.0,0.0
2015-06-16,14.89,15.11,14.77,14.92,146067,0.0,0.0
2015-06-17,14.87,15.36,14.86,15.28,183600,0.0,0.0
2015-06-18,15.28,15.7,15.28,15.68,226133,0.0,0.0
2015-06-19,15.65,15.69,15.53,15.62,75567,0.0,0.0
2015-06-22,15.73,15.87,15.06,15.39,154567,0.0,0.0
2015-06-23,15.5,15.6,15.35,15.36,182467,0.0,0.0
2015-06-24,15.79,15.79,15.36,15.53,242733,0.0,0.0
2015-06-25,15.62,15.63,15.52,15.6,136933,0.0,0.0
2015-06-26,15.55,15.79,15.55,15.58,84400,0.0,0.0
2015-06-29,15.11,15.53,15.09,15.14,83700,0.0,0.0
2015-06-30,15.13,15.18,14.86,14.92,73167,0.0,0.0
2015-07-01,15.01,15.08,14.86,14.89,44533,0.0,0.0
2015-07-02,14.99,15.03,14.76,14.79,55567,0.0,0.0
2015-07-06,14.35,14.74,14.35,14.45,62367,0.177,0.0
2015-07-07,14.58,14.65,14.35,14.58,56767,0.0,0.0
2015-07-08,14.62,14.84,14.46,14.52,203967,0.0,0.0
2015-07-09,14.45,14.65,13.61,14.04,218300,0.0,0.0
2015-07-10,13.85,14.84,13.77,14.74,262467,0.0,0.0
2015-07-13,14.52,14.77,14.24,14.48,131233,0.0,0.0
2015-07-14,14.45,14.6,14.36,14.55,104267,0.0,0.0
2015-07-15,14.55,14.75,14.46,14.6,187267,0.0,0.0
2015-07-16,14.53,14.79,14.35,14.35,140333,0.0,0.0
2015-07-17,14.35,14.52,14.11,14.23,83600,0.0,0.0
2015-07-20,14.41,14.43,13.75,14.02,137333,0.0,0.0
2015-07-21,13.87,14.07,13.73,13.85,126000,0.0,0.0
2015-07-22,13.94,13.94,13.68,13.78,149900,0.0,0.0
2015-07-23,13.78,13.95,13.7,13.77,95067,0.0,0.0
2015-07-24,13.92,13.94,13.68,13.75,81567,0.0,0.0
2015-07-27,13.68,14.01,13.68,13.92,121867,0.0,0.0
2015-07-28,14.02,14.02,13.94,13.99,88200,0.0,0.0
2015-07-29,13.94,14.46,13.94,14.45,73867,0.0,0.0
2015-07-30,14.31,14.43,14.02,14.11,84067,0.0,0.0
2015-07-31,14.11,14.28,13.85,13.87,67500,0.0,0.0
2015-08-03,13.97,14.02,13.73,13.94,62567,0.0,0.0
2015-08-04,13.99,14.28,13.9,14.09,105467,0.0,0.0
2015-08-05,13.95,14.19,13.85,13.95,140300,0.177,0.0
2015-08-06,13.93,14.11,13.87,13.92,121833,0.0,0.0
2015-08-07,13.8,14.05,13.8,13.95,87433,0.0,0.0
2015-08-10,14.04,14.04,13.73,13.73,123533,0.0,0.0
2015-08-11,13.71,13.76,12.5,13.37,254767,0.0,0.0
2015-08-12,13.64,13.98,13.27,13.85,193133,0.0,0.0
2015-08-13,14.0,14.12,13.7,14.07,113133,0.0,0.0
2015-08-14,14.24,14.52,13.92,14.35,187900,0.0,0.0
2015-08-17,14.55,14.67,14.21,14.6,185633,0.0,0.0
2015-08-18,14.57,14.91,14.57,14.86,191367,0.0,0.0
2015-08-19,14.88,15.17,14.55,14.94,333967,0.0,0.0
2015-08-20,14.59,15.41,14.59,14.86,318133,0.0,0.0
2015-08-21,15.01,15.24,14.31,14.47,196067,0.0,0.0
2015-08-24,14.14,14.31,13.4,13.83,239667,0.0,0.0
2015-08-25,14.16,14.21,13.7,13.87,166433,0.0,0.0
2015-08-26,14.17,14.21,13.87,14.16,127633,0.0,0.0
2015-08-27,13.95,14.72,13.9,14.52,142533,0.0,0.0
2015-08-28,14.65,15.13,14.55,15.01,220900,0.0,0.0
