Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2005-08-26,3.65,3.65,3.65,3.65,190800,0.0,0.0
2005-08-29,3.65,3.65,3.65,3.65,58100,0.0,0.0
2005-08-30,3.65,3.65,3.65,3.65,30800,0.0,0.0
2005-08-31,3.66,3.66,3.65,3.66,17800,0.0,0.0
2005-09-01,3.67,3.67,3.65,3.65,6700,0.0,0.0
2005-09-02,3.65,3.65,3.65,3.65,5300,0.0,0.0
2005-09-06,3.65,3.66,3.65,3.65,13400,0.0,0.0
2005-09-07,3.65,3.65,3.65,3.65,19000,0.0,0.0
2005-09-08,3.66,3.66,3.65,3.65,19400,0.0,0.0
2005-09-09,3.65,3.66,3.65,3.65,11500,0.0,0.0
2005-09-12,3.66,3.66,3.65,3.65,13000,0.0,0.0
2005-09-13,3.65,3.65,3.65,3.65,13800,0.0,0.0
2005-09-14,3.65,3.65,3.65,3.65,21000,0.0,0.0
2005-09-15,3.65,3.65,3.65,3.65,21200,0.0,0.0
2005-09-16,3.65,3.65,3.65,3.65,14900,0.0,0.0
2005-09-19,3.65,3.65,3.65,3.65,25300,0.0,0.0
2005-09-20,3.65,3.65,3.65,3.65,31400,0.0,0.0
2005-09-21,3.65,3.65,3.65,3.65,142100,0.0,0.0
2005-09-22,3.65,3.65,3.65,3.65,66400,0.0,0.0
2005-09-23,3.65,3.65,3.65,3.65,4900,0.0,0.0
2005-09-26,3.65,3.65,3.65,3.65,87200,0.0,0.0
2005-09-27,3.65,3.65,3.65,3.65,145400,0.0,0.0
2005-09-28,3.65,3.65,3.65,3.65,93500,0.0,0.0
2005-09-29,3.65,3.65,3.65,3.65,418200,0.0,0.0
2005-09-30,3.65,3.65,3.64,3.64,113100,0.0,0.0
2005-10-03,3.61,3.61,3.53,3.53,49800,0.0,0.0
2005-10-04,3.53,3.54,3.49,3.54,32000,0.0,0.0
2005-10-05,3.51,3.54,3.51,3.54,26100,0.0,0.0
2005-10-06,3.55,3.55,3.49,3.51,23600,0.0,0.0
2005-10-07,3.5,3.51,3.44,3.46,31900,0.0,0.0
2005-10-10,3.47,3.51,3.42,3.45,24600,0.0,0.0
2005-10-11,3.43,3.46,3.39,3.43,29600,0.0,0.0
2005-10-12,3.47,3.47,3.37,3.42,56800,0.0,0.0
2005-10-13,3.43,3.46,3.4,3.44,20800,0.0,0.0
2005-10-14,3.39,3.4,3.33,3.35,23100,0.0,0.0
2005-10-17,3.36,3.39,3.31,3.33,21700,0.0,0.0
2005-10-18,3.34,3.34,3.21,3.29,81100,0.0,0.0
2005-10-19,3.26,3.35,3.2,3.28,46200,0.0,0.0
2005-10-20,3.26,3.28,3.17,3.24,67000,0.0,0.0
2005-10-21,3.22,3.26,3.19,3.19,49800,0.0,0.0
2005-10-24,3.16,3.22,3.12,3.21,109600,0.0,0.0
2005-10-25,3.24,3.3,3.24,3.29,43200,0.0,0.0
2005-10-26,3.22,3.32,3.2,3.26,77500,0.0,0.0
2005-10-27,3.27,3.27,3.23,3.26,56000,0.0,0.0
2005-10-28,3.26,3.35,3.24,3.31,54700,0.0,0.0
2005-10-31,3.35,3.35,3.24,3.27,83700,0.0,0.0
2005-11-01,3.26,3.33,3.26,3.26,50300,0.0,0.0
