Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-09-17,22.0,22.0,17.56,19.18,313410,0,0
2018-09-18,19.2,19.5,18.26,18.26,148458,0,0
2018-09-19,18.06,18.06,16.76,16.76,192249,0,0
2018-09-20,17.5,17.5,16.0,16.25,727526,0,0
2018-09-21,16.4,16.5,15.77,16.25,558321,0,0
2018-09-24,16.1,16.3,15.75,15.9,100777,0,0
2018-09-25,15.93,15.93,15.0,15.3,267653,0,0
2018-09-26,15.98,16.25,15.32,15.58,645093,0,0
2018-09-27,15.99,16.9,15.71,16.75,1663688,0,0
2018-09-28,16.99,18.63,16.58,18.5,1914688,0,0
2018-10-01,17.6,18.65,16.86,18.39,24931302,0,0
2018-10-02,17.58,18.09,16.86,17.0,5927263,0,0
2018-10-03,16.83,17.22,16.46,16.71,5540450,0,0
2018-10-04,16.1,16.71,16.09,16.24,7557431,0,0
2018-10-05,16.15,17.1,15.73,16.37,7559125,0,0
2018-10-08,16.3,17.48,15.9,17.24,4530469,0,0
2018-10-09,17.28,17.56,15.91,16.21,4515702,0,0
2018-10-10,16.01,16.15,15.02,15.7,3851607,0,0
2018-10-11,15.65,16.15,15.23,15.24,2450799,0,0
2018-10-12,15.51,15.53,15.1,15.22,1444029,0,0
2018-10-15,15.24,15.94,15.12,15.31,2202902,0,0
2018-10-16,15.39,15.72,15.23,15.62,1565172,0,0
2018-10-17,15.46,15.49,14.85,14.96,1572476,0,0
2018-10-18,14.81,14.96,14.44,14.51,2289058,0,0
2018-10-19,14.41,14.83,13.33,14.09,3265402,0,0
2018-10-22,13.93,14.54,13.71,13.96,1467407,0,0
2018-10-23,13.68,15.0,13.33,14.68,1545109,0,0
2018-10-24,14.51,14.6,13.33,13.77,1548874,0,0
2018-10-25,13.73,14.45,13.72,14.18,1058415,0,0
2018-10-26,13.81,14.85,13.7,14.58,1374434,0,0
2018-10-29,15.24,15.88,14.36,14.8,1076031,0,0
2018-10-30,14.56,15.0,14.4,14.54,1292348,0,0
2018-10-31,14.68,15.28,14.36,15.17,1329562,0,0
2018-11-01,15.35,16.16,15.28,15.44,1348074,0,0
2018-11-02,14.75,15.04,14.25,14.94,1291419,0,0
2018-11-05,14.93,15.38,14.65,14.81,1408987,0,0
2018-11-06,15.08,15.68,14.75,14.77,706613,0,0
2018-11-07,14.75,14.76,13.6,14.0,2079319,0,0
2018-11-08,13.8,14.19,13.6,13.87,2348351,0,0
2018-11-09,13.61,13.69,12.72,13.01,1433301,0,0
2018-11-12,13.07,13.87,12.9,13.56,1557601,0,0
2018-11-13,13.58,14.05,13.33,13.85,1282400,0,0
2018-11-14,13.9,14.25,13.33,13.5,995531,0,0
2018-11-15,13.33,13.55,12.27,12.96,1138769,0,0
2018-11-16,12.73,13.09,12.0,12.05,1907071,0,0
2018-11-19,12.0,12.33,11.81,11.93,614704,0,0
2018-11-20,11.68,12.08,11.45,11.76,952161,0,0
2018-11-21,11.74,12.57,11.67,12.2,730431,0,0
2018-11-23,12.05,12.2,12.0,12.12,131879,0,0
2018-11-26,12.16,12.44,12.0,12.33,928075,0,0
2018-11-27,12.17,12.25,11.5,11.53,1253748,0,0
2018-11-28,11.53,11.84,11.3,11.76,1004166,0,0
2018-11-29,11.97,12.25,11.37,11.55,1695951,0,0
2018-11-30,11.47,11.64,11.23,11.5,964197,0,0
2018-12-03,11.85,12.13,11.32,11.58,671234,0,0
2018-12-04,11.46,11.82,11.14,11.43,1047598,0,0
2018-12-06,11.19,11.86,11.01,11.56,1684460,0,0
2018-12-07,11.33,11.84,11.23,11.63,2320910,0,0
2018-12-10,11.5,11.71,11.07,11.63,1346767,0,0
2018-12-11,11.69,12.46,11.67,11.85,1398368,0,0
2018-12-12,11.95,12.1,11.55,12.04,1534528,0,0
2018-12-13,12.18,12.34,11.75,12.02,976875,0,0
2018-12-14,11.82,12.16,11.6,12.06,934989,0,0
2018-12-17,11.93,12.16,11.56,12.12,767096,0,0
2018-12-18,12.03,12.76,12.03,12.52,1208773,0,0
2018-12-19,12.44,12.94,12.16,12.35,1141375,0,0
2018-12-20,12.25,12.56,12.02,12.16,969961,0,0
2018-12-21,12.17,12.46,11.96,12.04,2626577,0,0
2018-12-24,11.87,12.51,11.8,12.36,517594,0,0
2018-12-26,12.43,12.51,12.03,12.46,714053,0,0
2018-12-27,12.2,12.4,11.78,12.07,378243,0,0
2018-12-28,12.04,12.46,11.97,12.3,392288,0,0
2018-12-31,12.3,12.48,11.97,12.34,750743,0,0
2019-01-02,12.13,12.88,12.03,12.65,542241,0,0
2019-01-03,12.51,12.51,11.67,11.72,508738,0,0
2019-01-04,11.85,12.02,11.55,11.55,1050394,0,0
2019-01-07,11.59,11.72,11.36,11.7,1115364,0,0
2019-01-08,11.84,13.23,11.75,13.03,570465,0,0
2019-01-09,13.14,13.7,13.08,13.22,1917843,0,0
2019-01-10,13.14,13.17,12.94,13.12,1081601,0,0
2019-01-11,13.12,13.45,12.9,13.25,859148,0,0
2019-01-14,13.17,13.47,12.92,13.45,533056,0,0
2019-01-15,13.37,13.62,12.99,13.49,773794,0,0
2019-01-16,13.48,14.48,13.48,14.3,652569,0,0
2019-01-17,14.3,15.55,14.23,15.25,946794,0,0
2019-01-18,15.4,16.26,15.4,15.81,1235559,0,0
2019-01-22,15.78,15.78,15.09,15.2,2148544,0,0
2019-01-23,15.51,15.65,14.81,15.26,1233339,0,0
2019-01-24,15.06,15.5,14.92,15.02,1317469,0,0
2019-01-25,15.01,15.63,14.95,15.19,1250649,0,0
2019-01-28,15.04,15.77,14.85,15.37,1503755,0,0
2019-01-29,15.25,15.6,15.0,15.43,947004,0,0
2019-01-30,15.54,15.91,15.08,15.86,991662,0,0
2019-01-31,15.7,16.19,15.41,15.97,929486,0,0
2019-02-01,16.03,16.47,15.78,16.16,668251,0,0
2019-02-04,16.0,16.32,15.8,16.23,853994,0,0
2019-02-05,16.23,16.25,15.85,16.14,364709,0,0
2019-02-06,16.15,16.39,15.85,16.3,513211,0,0
2019-02-07,16.11,16.11,15.11,15.29,1401688,0,0
2019-02-08,15.2,15.26,14.79,14.89,582228,0,0
2019-02-11,14.9,15.07,14.66,14.67,651023,0,0
2019-02-12,14.71,15.02,14.58,15.0,532845,0,0
2019-02-13,14.91,15.29,14.91,15.01,393442,0,0
2019-02-14,15.01,15.51,14.75,15.48,588192,0,0
2019-02-15,15.61,16.42,15.61,16.15,772128,0,0
2019-02-19,16.08,16.4,15.6,16.3,719774,0,0
2019-02-20,16.5,17.89,16.47,16.96,2040513,0,0
2019-02-21,16.93,17.24,15.66,15.84,1203304,0,0
2019-02-22,15.97,16.51,15.85,16.24,1409097,0,0
2019-02-25,16.36,16.5,15.94,16.35,735382,0,0
2019-02-26,16.3,17.15,16.25,16.91,726613,0,0
2019-02-27,16.81,17.12,16.45,16.78,978639,0,0
2019-02-28,16.74,16.78,16.4,16.74,425789,0,0
2019-03-01,16.75,17.23,16.67,16.78,450455,0,0
2019-03-04,16.83,16.9,16.12,16.17,498202,0,0
2019-03-05,16.03,16.23,15.95,16.03,343440,0,0
2019-03-06,15.98,15.98,15.31,15.33,512404,0,0
2019-03-07,15.3,15.58,15.01,15.52,1079339,0,0
