Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-04-28,7.06,7.06,5.42,5.43,258300,0.0,0
2016-04-29,5.55,5.6,5.47,5.56,24600,0.0,0
2016-05-02,5.6,5.6,5.43,5.53,33300,0.0,0
2016-05-03,5.56,5.72,5.43,5.55,53700,0.0,0
2016-05-04,5.7,5.71,5.41,5.64,72300,0.0,0
2016-05-05,5.72,6.17,5.67,6.08,107600,0.0,0
2016-05-06,6.17,6.36,5.99,6.11,72700,0.0,0
2016-05-09,6.24,6.3,6.1,6.25,89000,0.0,0
2016-05-10,6.3,6.3,6.08,6.17,33600,0.0,0
2016-05-11,6.29,6.29,5.95,6.12,89200,0.0,0
2016-05-12,6.08,6.18,6.08,6.18,44700,0.0,0
2016-05-13,6.18,6.2,6.01,6.18,87300,0.02,0
2016-05-16,6.32,6.4,6.04,6.4,17600,0.0,0
2016-05-17,6.1,6.33,6.06,6.33,21000,0.0,0
2016-05-18,6.29,6.53,6.1,6.53,7000,0.0,0
2016-05-19,6.53,6.53,6.19,6.25,7600,0.0,0
2016-05-20,6.3,6.53,6.27,6.53,6100,0.0,0
2016-05-23,6.45,6.75,6.41,6.48,50800,0.0,0
2016-05-24,6.6,6.67,6.31,6.5,12500,0.0,0
2016-05-25,6.49,6.49,6.25,6.35,20400,0.0,0
2016-05-26,6.16,6.49,6.16,6.49,19600,0.0,0
2016-05-27,6.49,6.49,6.09,6.32,20300,0.0,0
2016-05-31,6.33,6.4,6.07,6.4,4200,0.0,0
2016-06-01,6.11,6.27,6.11,6.17,6500,0.0,0
2016-06-02,6.24,6.24,6.16,6.23,2900,0.0,0
2016-06-03,6.41,6.45,6.2,6.45,6800,0.0,0
2016-06-06,6.13,6.27,6.13,6.23,19700,0.0,0
2016-06-07,6.19,6.27,6.18,6.22,4700,0.0,0
2016-06-08,6.28,6.49,6.21,6.49,24600,0.0,0
2016-06-09,6.49,6.49,6.23,6.23,5700,0.0,0
2016-06-10,6.32,6.35,6.24,6.35,13000,0.0,0
2016-06-13,6.42,6.74,6.41,6.64,55400,0.0,0
2016-06-14,6.64,6.64,6.49,6.55,28700,0.02,0
2016-06-15,6.45,6.65,6.45,6.55,38300,0.0,0
2016-06-16,6.44,6.58,6.26,6.36,46600,0.0,0
2016-06-17,6.58,6.58,6.26,6.31,85000,0.0,0
2016-06-20,6.44,6.74,6.42,6.6,30600,0.0,0
2016-06-21,6.55,6.65,6.55,6.65,25400,0.0,0
2016-06-22,6.55,6.88,6.55,6.88,38900,0.0,0
2016-06-23,6.9,6.99,6.79,6.95,48100,0.0,0
2016-06-24,6.66,7.11,6.66,7.04,731000,0.0,0
2016-06-27,7.09,7.1,6.87,6.98,56700,0.0,0
2016-06-28,7.16,7.39,6.99,7.13,68600,0.0,0
2016-06-29,7.22,7.4,7.16,7.35,39100,0.0,0
2016-06-30,7.42,7.83,7.34,7.68,129200,0.0,0
2016-07-01,7.68,7.75,7.4,7.74,37600,0.0,0
2016-07-05,7.85,7.87,7.74,7.84,76300,0.0,0
2016-07-06,7.94,7.94,7.74,7.83,34300,0.0,0
2016-07-07,7.84,7.84,7.74,7.75,8700,0.0,0
2016-07-08,7.83,7.84,7.6,7.78,61000,0.0,0
2016-07-11,7.86,7.86,7.65,7.74,41400,0.0,0
2016-07-12,7.65,7.8,7.62,7.78,58600,0.0,0
2016-07-13,7.84,7.97,7.7,7.88,40000,0.022,0
2016-07-14,7.9,7.97,7.9,7.95,17600,0.0,0
2016-07-15,8.04,8.04,7.82,7.88,36100,0.0,0
2016-07-18,7.86,7.96,7.84,7.93,18700,0.0,0
2016-07-19,7.9,7.91,7.79,7.85,14700,0.0,0
2016-07-20,7.78,7.87,7.72,7.78,18300,0.0,0
2016-07-21,7.72,7.79,7.63,7.71,25300,0.0,0
2016-07-22,7.68,7.68,7.53,7.56,20900,0.0,0
2016-07-25,7.57,7.63,7.55,7.62,9500,0.0,0
2016-07-26,7.63,7.66,7.34,7.37,27600,0.0,0
2016-07-27,7.41,7.46,7.33,7.45,21700,0.0,0
2016-07-28,7.47,7.47,7.36,7.38,12500,0.0,0
2016-07-29,7.45,7.48,7.33,7.41,18200,0.0,0
2016-08-01,7.46,7.46,7.33,7.41,9300,0.0,0
2016-08-02,7.42,7.42,7.29,7.31,12900,0.0,0
