Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-03-19,10.0,10.0,9.9,9.9,1163100,0,0
2021-03-22,9.91,9.93,9.88,9.9,73600,0,0
2021-03-23,9.86,9.9,9.85,9.87,250300,0,0
2021-03-24,9.85,9.86,9.72,9.79,1029100,0,0
2021-03-25,9.78,9.89,9.78,9.84,11800,0,0
2021-03-26,9.85,9.94,9.85,9.92,7200,0,0
2021-03-29,9.94,10.0,9.94,9.96,15300,0,0
2021-03-30,9.92,9.95,9.92,9.95,1100,0,0
2021-03-31,9.95,9.99,9.91,9.99,13300,0,0
2021-04-01,9.93,9.98,9.91,9.98,16000,0,0
2021-04-05,10.0,10.01,9.8,9.99,24100,0,0
2021-04-06,9.99,9.99,9.96,9.98,5900,0,0
2021-04-07,9.95,9.98,9.95,9.95,14600,0,0
2021-04-08,9.97,10.0,9.97,9.99,510300,0,0
2021-04-09,10.05,10.06,9.97,10.06,47900,0,0
2021-04-12,10.08,10.09,10.02,10.02,116900,0,0
2021-04-13,10.02,10.02,10.02,10.02,0,0,0
2021-04-14,10.0,10.02,10.0,10.0,445100,0,0
2021-04-15,9.98,10.0,9.98,10.0,3300,0,0
2021-04-16,10.0,10.06,9.96,10.06,652600,0,0
2021-04-19,9.99,10.05,9.99,10.05,13300,0,0
2021-04-20,10.05,10.05,10.05,10.05,0,0,0
2021-04-21,10.05,10.05,10.05,10.05,0,0,0
2021-04-22,10.05,10.05,10.05,10.05,0,0,0
2021-04-23,9.96,9.96,9.96,9.96,184600,0,0
2021-04-26,9.96,9.96,9.96,9.96,0,0,0
2021-04-27,9.99,10.0,9.96,9.96,529700,0,0
2021-04-28,9.96,9.96,9.96,9.96,0,0,0
2021-04-29,9.95,10.02,9.95,10.0,338100,0,0
2021-04-30,10.0,10.0,10.0,10.0,300,0,0
2021-05-03,9.95,9.95,9.95,9.95,1000,0,0
2021-05-04,9.98,10.01,9.95,9.95,32100,0,0
2021-05-05,9.95,9.95,9.95,9.95,250000,0,0
2021-05-06,9.95,9.95,9.95,9.95,0,0,0
2021-05-07,9.95,9.95,9.95,9.95,0,0,0
2021-05-10,10.02,10.02,10.0,10.0,1800,0,0
2021-05-11,9.96,9.97,9.96,9.97,1100,0,0
2021-05-12,10.06,10.06,9.94,9.97,100900,0,0
2021-05-13,9.97,9.97,9.96,9.96,2200,0,0
2021-05-14,9.99,10.0,9.99,10.0,4700,0,0
2021-05-17,9.95,9.98,9.95,9.96,617700,0,0
2021-05-18,9.96,9.96,9.96,9.96,0,0,0
2021-05-19,9.95,9.98,9.95,9.95,44100,0,0
2021-05-20,9.93,9.97,9.93,9.97,3800,0,0
2021-05-21,9.97,9.97,9.97,9.97,200,0,0
