Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-10-25,4.8695,4.8695,4.1739,4.472,658200,0.0,0
2019-10-28,4.3627,4.3826,4.0944,4.2732,116600,0.0,0
2019-10-29,4.3627,4.3627,3.8857,4.2037,136100,0.0,0
2019-10-30,4.1937,4.4621,4.1937,4.3826,44200,0.0,0
2019-10-31,4.4621,4.6707,4.3826,4.6707,48200,0.0,0
2019-11-01,4.6509,4.9192,4.5823,4.8298,79100,0.0,0
2019-11-04,4.9391,5.2064,4.7204,4.8427,36100,0.0,0
2019-11-05,4.7801,4.9192,4.631,4.8099,53600,0.0,0
2019-11-06,4.8794,4.8794,4.6707,4.7105,12600,0.0,0
2019-11-07,4.7105,4.7234,4.3855,4.6707,9100,0.0,0
2019-11-08,4.4621,4.472,4.0407,4.4621,13300,0.0,0
2019-11-11,4.1838,4.6211,4.144,4.6012,37200,0.0,0
2019-11-12,4.5207,4.6807,4.4819,4.5416,16200,0.0,0
2019-11-13,4.3031,5.0007,4.2732,4.8298,46900,0.0,0
2019-11-14,4.5714,4.9689,4.5714,4.9689,37900,0.0,0
2019-11-15,4.9977,5.2074,4.8298,5.1577,49400,0.0,0
2019-11-18,5.1179,5.1179,4.7711,4.9192,13900,0.0,0
2019-11-19,4.8695,4.9093,4.631,4.7602,45800,0.0,0
2019-11-20,4.7701,4.7701,4.5465,4.5714,14800,0.0,0
2019-11-21,4.5614,4.7204,4.5018,4.7204,12000,0.0,0
2019-11-22,4.7204,4.785,4.6211,4.7105,21300,0.0,0
2019-11-25,4.7701,4.8894,4.7204,4.8665,9300,0.0,0
2019-11-26,4.8198,4.8198,4.7204,4.79,18600,0.0,0
2019-11-27,4.7691,5.0683,4.7105,4.949,43000,0.0,0
2019-11-29,4.7801,4.8794,4.7801,4.8695,2400,0.0,0
2019-12-02,4.783,4.794,4.7701,4.794,3900,0.0,0
2019-12-03,4.8695,4.8695,4.7145,4.7145,8300,0.0,0
2019-12-04,4.8357,5.0186,4.6707,5.0186,58500,0.0,0
2019-12-05,4.9579,4.9689,4.7801,4.7801,8200,0.0,0
2019-12-06,4.8536,4.8536,4.7105,4.7701,9300,0.0,0
2019-12-09,4.6707,4.8496,4.6707,4.6906,7400,0.0,0
2019-12-10,4.7006,4.8695,4.6807,4.6807,5700,0.0,0
2019-12-11,4.7165,4.7502,4.631,4.7304,8900,0.0,0
2019-12-12,4.7622,4.7622,4.6608,4.6946,34200,0.0,0
2019-12-13,4.6707,4.6906,4.5416,4.6876,12500,0.0,0
2019-12-16,4.6807,4.6807,4.3726,4.3726,15100,0.0,0
2019-12-17,4.5545,4.5545,4.3726,4.474,4300,0.0,0
2019-12-18,4.5316,4.5316,4.2931,4.2931,2900,0.0,0
2019-12-19,4.4352,4.5714,4.2732,4.2732,4100,0.0,0
2019-12-20,4.2832,4.472,4.2434,4.472,3500,0.0,0
2019-12-23,4.4521,4.6409,3.995,4.472,37000,0.0,0
2019-12-24,4.3428,4.468,4.3428,4.468,600,0.0,0
2019-12-26,4.638,4.638,4.144,4.5376,46700,0.0,0
2019-12-27,4.5316,4.5316,4.154,4.154,25900,0.0,0
2019-12-30,4.303,4.5217,4.0944,4.3428,15200,0.0,0
2019-12-31,4.2037,4.6906,4.1798,4.5266,44400,0.0,0
2020-01-02,4.7175,4.7175,4.472,4.5714,32700,0.0,0
2020-01-03,4.7006,4.7204,4.3726,4.4422,64100,0.0,0
2020-01-06,4.4571,4.5217,4.4024,4.472,46400,0.0,0
2020-01-07,4.5207,4.5207,4.3726,4.3826,66100,0.0,0
2020-01-08,4.3816,4.472,4.3279,4.472,48600,0.0,0
2020-01-09,4.4422,4.4422,4.3667,4.3925,54100,0.0,0
2020-01-10,4.2335,4.472,4.2136,4.472,30900,0.0,0
2020-01-13,4.2732,4.4819,4.2732,4.3726,40600,0.0,0
2020-01-14,4.303,4.3726,4.2832,4.3726,44900,0.0,0
2020-01-15,4.2732,4.3229,3.985,3.985,77800,0.0,0
2020-01-16,3.995,4.4193,3.995,4.2136,55400,0.0,0
2020-01-17,4.2136,4.4223,4.0546,4.3726,35200,0.0,0
2020-01-21,4.3915,4.4919,4.2534,4.4422,31900,0.0,0
2020-01-22,4.3279,4.7403,4.3279,4.5803,36600,0.0,0
2020-01-23,4.5912,5.3266,4.472,4.472,148000,0.0,0
2020-01-24,4.7204,4.7204,4.4422,4.7006,44200,0.0,0
2020-01-27,4.7006,4.9987,4.4521,4.6012,41700,0.0,0
2020-01-28,5.436,6.062,4.4819,4.8298,2294100,0.0,0
2020-01-29,4.7701,4.7731,4.2732,4.3329,234200,0.0,0
2020-01-30,4.303,4.4621,4.0745,4.3329,146100,0.0,0
2020-01-31,4.2335,4.303,4.0944,4.2235,86000,0.0,0
2020-02-03,4.2931,4.3925,4.0775,4.1639,85100,0.0,0
2020-02-04,4.2534,4.2663,4.1341,4.1341,65100,0.0,0
