Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1983-11-29,0.18,0.19,0.18,0.18,560200.0,0.0,0.0
1983-11-30,0.19,0.19,0.19,0.19,113500.0,0.0,0.0
1983-12-01,0.19,0.19,0.19,0.19,221500.0,0.0,0.0
1983-12-02,0.19,0.19,0.18,0.18,324000.0,0.0,0.0
1983-12-05,0.18,0.19,0.18,0.18,218800.0,0.0,0.0
1983-12-06,0.18,0.19,0.18,0.18,270600.0,0.0,0.0
1983-12-07,0.18,0.19,0.17,0.17,45400.0,0.0,0.0
1983-12-08,0.18,0.19,0.18,0.18,72900.0,0.0,0.0
1983-12-09,0.18,0.19,0.18,0.18,51900.0,0.0,0.0
1983-12-12,0.18,0.19,0.18,0.18,34600.0,0.0,0.0
1983-12-13,0.18,0.19,0.18,0.18,147700.0,0.0,0.0
1983-12-14,0.18,0.19,0.18,0.18,50500.0,0.0,0.0
1983-12-15,0.18,0.19,0.18,0.18,10900.0,0.0,0.0
1983-12-16,0.18,0.18,0.18,0.18,0.0,0.0,0.0
1983-12-19,0.18,0.19,0.18,0.18,4200.0,0.0,0.0
1983-12-20,0.18,0.2,0.18,0.18,112200.0,0.0,0.0
1983-12-21,0.19,0.2,0.19,0.19,47400.0,0.0,0.0
1983-12-22,0.19,0.2,0.19,0.19,57600.0,0.0,0.0
1983-12-23,0.19,0.2,0.19,0.19,21100.0,0.0,0.0
1983-12-27,0.19,0.19,0.17,0.17,102100.0,0.0,0.0
1983-12-28,0.18,0.19,0.18,0.18,36600.0,0.0,0.0
1983-12-29,0.18,0.19,0.18,0.18,36600.0,0.0,0.0
1983-12-30,0.19,0.22,0.19,0.19,221500.0,0.0,0.0
1984-01-03,0.21,0.23,0.21,0.21,159900.0,0.0,0.0
1984-01-04,0.21,0.22,0.2,0.2,47400.0,0.0,0.0
1984-01-05,0.2,0.22,0.2,0.2,287500.0,0.0,0.0
1984-01-06,0.21,0.22,0.21,0.21,211500.0,0.0,0.0
1984-01-09,0.22,0.23,0.22,0.22,164200.0,0.0,0.0
1984-01-10,0.22,0.23,0.22,0.22,77800.0,0.0,0.0
1984-01-11,0.22,0.23,0.21,0.21,86400.0,0.0,0.0
1984-01-12,0.21,0.23,0.21,0.21,185100.0,0.0,0.0
1984-01-13,0.21,0.23,0.21,0.21,24400.0,0.0,0.0
1984-01-16,0.21,0.21,0.21,0.21,0.0,0.0,0.0
1984-01-17,0.22,0.23,0.22,0.22,62100.0,0.0,0.0
1984-01-18,0.22,0.24,0.22,0.22,51900.0,0.0,0.0
1984-01-19,0.23,0.25,0.23,0.23,54900.0,0.0,0.0
1984-01-20,0.23,0.26,0.23,0.23,51900.0,0.0,0.0
1984-01-23,0.23,0.25,0.23,0.23,36600.0,0.0,0.0
1984-01-24,0.26,0.27,0.26,0.26,118800.0,0.0,0.0
1984-01-25,0.26,0.27,0.24,0.24,106600.0,0.0,0.0
1984-01-26,0.25,0.28,0.25,0.25,6300.0,0.0,0.0
1984-01-27,0.25,0.28,0.25,0.25,6300.0,0.0,0.0
1984-01-30,0.25,0.27,0.23,0.23,47400.0,0.0,0.0
1984-01-31,0.23,0.26,0.23,0.23,54900.0,0.0,0.0
1984-02-01,0.23,0.25,0.23,0.23,68100.0,0.0,0.0
