Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-06-20,3.98,3.98,3.98,3.98,0,0.0,0.0
2007-06-21,3.94,3.94,3.81,3.81,2600,0.0,0.0
2007-06-22,3.81,3.81,3.81,3.81,0,0.0,0.0
2007-06-25,3.81,3.81,3.81,3.81,0,0.0,0.0
2007-06-26,3.88,3.88,3.81,3.81,2400,0.0,0.0
2007-06-27,3.81,3.81,3.81,3.81,0,0.0,0.0
2007-06-28,3.81,3.81,3.81,3.81,0,0.0,0.0
2007-06-29,3.81,3.81,3.81,3.81,0,0.0,0.0
2007-07-02,3.81,3.81,3.81,3.81,0,0.0,0.0
2007-07-03,3.81,3.81,3.81,3.81,0,0.0,0.0
2007-07-05,3.81,3.81,3.81,3.81,0,0.0,0.0
2007-07-06,3.81,3.81,3.81,3.81,0,0.0,0.0
2007-07-09,3.93,3.93,3.93,3.93,600,0.0,0.0
2007-07-10,3.93,3.93,3.92,3.92,2000,0.0,0.0
2007-07-11,3.92,3.92,3.92,3.92,0,0.0,0.0
2007-07-12,3.9,3.92,3.9,3.92,4800,0.0,0.0
2007-07-13,3.92,3.92,3.92,3.92,0,0.0,0.0
2007-07-16,3.92,3.92,3.92,3.92,16200,0.0,0.0
2007-07-17,3.92,3.92,3.92,3.92,2000,0.0,0.0
2007-07-18,3.92,3.92,3.92,3.92,0,0.0,0.0
2007-07-19,3.92,3.92,3.92,3.92,0,0.0,0.0
2007-07-20,3.92,3.92,3.92,3.92,0,0.0,0.0
2007-07-23,3.94,3.94,3.94,3.94,0,0.03,0.0
2007-07-24,3.85,3.85,3.81,3.81,3400,0.0,0.0
2007-07-25,3.91,3.91,3.91,3.91,4000,0.0,0.0
2007-07-26,3.83,3.91,3.83,3.87,5200,0.0,0.0
2007-07-27,3.87,3.87,3.87,3.87,0,0.0,0.0
2007-07-30,3.87,3.87,3.83,3.83,4000,0.0,0.0
2007-07-31,3.83,3.83,3.83,3.83,0,0.0,0.0
2007-08-01,3.83,3.91,3.83,3.91,14800,0.0,0.0
2007-08-02,3.89,3.91,3.89,3.91,2000,0.0,0.0
2007-08-03,3.91,3.91,3.91,3.91,0,0.0,0.0
2007-08-06,3.83,3.83,3.66,3.66,2000,0.0,0.0
2007-08-07,3.79,3.79,3.79,3.79,2000,0.0,0.0
2007-08-08,3.79,3.79,3.79,3.79,0,0.0,0.0
2007-08-09,3.64,3.64,3.64,3.64,400,0.0,0.0
2007-08-10,3.72,3.79,3.72,3.79,3600,0.0,0.0
2007-08-13,3.81,3.81,3.81,3.81,400,0.0,0.0
2007-08-14,3.75,3.75,3.75,3.75,400,0.0,0.0
2007-08-15,3.75,3.75,3.75,3.75,400,0.0,0.0
2007-08-16,3.75,3.75,3.75,3.75,400,0.0,0.0
2007-08-17,3.74,3.74,3.74,3.74,1600,0.0,0.0
2007-08-20,3.72,3.72,3.72,3.72,400,0.0,0.0
2007-08-21,3.74,3.74,3.74,3.74,600,0.0,0.0
2007-08-22,3.72,3.91,3.72,3.91,2600,0.0,0.0
2007-08-23,3.81,3.81,3.81,3.81,1200,0.0,0.0
2007-08-24,3.81,3.81,3.72,3.74,11200,0.0,0.0
2007-08-27,3.87,3.87,3.87,3.87,1200,0.0,0.0
2007-08-28,3.87,3.87,3.79,3.79,800,0.0,0.0
2007-08-29,3.8,3.8,3.8,3.8,800,0.0,0.0
2007-08-30,3.8,3.8,3.8,3.8,1600,0.0,0.0
2007-08-31,3.8,3.8,3.8,3.8,1600,0.0,0.0
2007-09-04,3.8,3.8,3.8,3.8,3200,0.0,0.0
2007-09-05,3.79,3.79,3.79,3.79,800,0.0,0.0
2007-09-06,3.8,3.8,3.8,3.8,1600,0.0,0.0
2007-09-07,3.79,3.79,3.79,3.79,800,0.0,0.0
2007-09-10,3.87,3.87,3.79,3.79,1000,0.0,0.0
2007-09-11,3.79,3.79,3.79,3.79,800,0.0,0.0
2007-09-12,3.8,3.8,3.8,3.8,800,0.0,0.0
2007-09-13,3.8,3.8,3.8,3.8,1600,0.0,0.0
2007-09-14,3.8,3.8,3.8,3.8,1600,0.0,0.0
2007-09-17,3.79,3.79,3.79,3.79,800,0.0,0.0
2007-09-18,3.79,3.79,3.79,3.79,800,0.0,0.0
