Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-01,9.65,9.98,9.65,9.86,28900,0.0,0
2019-03-04,9.85,9.94,9.25,9.88,110300,0.0,0
2019-03-05,9.76,9.84,9.18,9.66,111700,0.0,0
2019-03-06,9.49,9.73,9.43,9.43,72200,0.0,0
2019-03-07,9.43,9.54,9.25,9.38,92700,0.0,0
2019-03-08,9.46,9.96,9.36,9.51,70000,0.0,0
2019-03-11,9.45,9.72,9.38,9.66,56300,0.0,0
2019-03-12,9.69,9.88,9.36,9.54,85300,0.0,0
2019-03-13,9.54,9.65,9.37,9.51,142300,0.0,0
2019-03-14,9.41,9.57,9.4,9.53,73600,0.0,0
2019-03-15,9.48,9.62,9.42,9.43,108600,0.0,0
2019-03-18,9.51,9.54,9.38,9.42,160700,0.0,0
2019-03-19,9.44,9.58,9.43,9.47,123300,0.0,0
2019-03-20,9.49,9.64,9.38,9.49,178400,0.0,0
2019-03-21,9.5,9.62,9.4,9.58,123500,0.106,0
2019-03-22,9.57,9.57,9.44,9.51,54500,0.0,0
2019-03-25,9.62,9.62,9.34,9.45,105400,0.0,0
2019-03-26,9.45,9.59,9.44,9.56,94300,0.0,0
2019-03-27,9.5,9.66,9.5,9.62,56800,0.0,0
2019-03-28,9.59,9.65,9.54,9.62,37400,0.0,0
2019-03-29,9.58,9.69,9.51,9.56,51400,0.0,0
2019-04-01,9.59,9.7,9.55,9.61,60700,0.0,0
2019-04-02,9.56,9.61,9.52,9.59,73000,0.0,0
2019-04-03,9.62,9.76,9.61,9.64,47500,0.0,0
2019-04-04,9.64,9.71,9.57,9.61,68900,0.0,0
2019-04-05,9.6,9.78,9.59,9.77,50800,0.0,0
2019-04-08,9.67,9.8,9.59,9.72,72500,0.0,0
2019-04-09,9.67,9.72,9.48,9.55,108600,0.0,0
2019-04-10,9.53,9.62,9.49,9.6,58200,0.0,0
2019-04-11,9.56,9.66,9.56,9.59,79800,0.0,0
2019-04-12,9.59,9.59,9.51,9.53,73100,0.0,0
2019-04-15,9.53,9.67,9.33,9.59,93600,0.0,0
2019-04-16,9.54,9.62,9.51,9.56,81400,0.0,0
2019-04-17,9.53,9.6,9.4,9.4,94400,0.0,0
2019-04-18,9.4,9.49,9.29,9.36,106100,0.0,0
2019-04-22,9.37,9.46,9.3,9.34,77500,0.106,0
2019-04-23,9.38,9.43,9.32,9.35,59900,0.0,0
2019-04-24,9.36,9.43,9.29,9.35,95300,0.0,0
2019-04-25,9.33,9.41,9.24,9.26,74300,0.0,0
2019-04-26,9.24,9.33,9.19,9.28,93500,0.0,0
2019-04-29,9.26,9.38,9.2,9.28,62900,0.0,0
2019-04-30,9.27,9.32,9.1,9.18,189000,0.0,0
2019-05-01,9.18,9.26,9.11,9.21,80300,0.0,0
2019-05-02,9.16,9.22,9.06,9.12,94700,0.0,0
2019-05-03,9.14,9.29,9.11,9.23,53000,0.0,0
2019-05-06,9.12,9.25,9.12,9.16,56500,0.0,0
2019-05-07,9.14,9.21,9.01,9.04,65200,0.0,0
2019-05-08,9.12,9.14,9.09,9.12,59700,0.0,0
2019-05-09,9.09,9.09,8.89,8.97,106500,0.0,0
2019-05-10,8.96,9.17,8.96,9.12,71600,0.0,0
2019-05-13,8.97,8.99,8.85,8.88,44600,0.0,0
2019-05-14,8.95,9.01,8.9,8.93,61200,0.0,0
2019-05-15,8.88,9.06,8.88,9.03,40600,0.0,0
2019-05-16,9.0,9.1,9.0,9.04,71100,0.0,0
2019-05-17,9.04,9.04,8.93,8.96,57600,0.0,0
2019-05-20,8.92,8.96,8.88,8.9,55900,0.0,0
2019-05-21,8.94,9.0,8.89,8.97,90000,0.0,0
2019-05-22,8.97,9.03,8.93,8.93,57300,0.106,0
2019-05-23,8.89,8.99,8.77,8.87,65400,0.0,0
2019-05-24,8.87,8.87,8.77,8.81,49500,0.0,0
2019-05-28,8.8,8.85,8.71,8.74,46000,0.0,0
2019-05-29,8.72,8.77,8.43,8.53,175600,0.0,0
2019-05-30,8.47,8.54,8.44,8.46,120700,0.0,0
2019-05-31,8.45,8.46,8.04,8.28,168300,0.0,0
2019-06-03,8.25,8.36,8.17,8.22,95000,0.0,0
2019-06-04,8.28,8.39,8.24,8.34,70200,0.0,0
2019-06-05,8.37,8.52,8.25,8.28,115200,0.0,0
2019-06-06,8.28,8.68,8.27,8.47,102300,0.0,0
2019-06-07,8.51,8.59,8.44,8.58,79800,0.0,0
2019-06-10,8.51,8.57,8.47,8.47,80000,0.0,0
2019-06-11,8.47,8.67,8.46,8.5,83600,0.0,0
2019-06-12,8.58,8.58,8.32,8.33,130800,0.0,0
2019-06-13,8.39,8.46,8.31,8.38,127800,0.0,0
2019-06-14,8.42,8.43,8.32,8.34,78600,0.0,0
2019-06-17,8.37,8.39,8.27,8.3,87000,0.0,0
2019-06-18,8.36,8.49,8.32,8.37,69600,0.0,0
2019-06-19,8.41,8.41,8.3,8.4,97700,0.0,0
2019-06-20,8.42,8.58,8.37,8.39,142200,0.106,0
2019-06-21,8.37,8.65,8.37,8.54,93200,0.0,0
2019-06-24,8.55,8.56,8.42,8.44,68000,0.0,0
2019-06-25,8.44,8.5,8.33,8.35,83000,0.0,0
2019-06-26,8.44,8.5,8.3,8.39,99900,0.0,0
2019-06-27,8.34,8.43,8.29,8.3,72200,0.0,0
2019-06-28,8.36,8.57,8.3,8.55,105400,0.0,0
2019-07-01,8.61,8.82,8.58,8.77,104000,0.0,0
2019-07-02,8.71,8.88,8.68,8.74,118700,0.0,0
2019-07-03,8.74,8.96,8.68,8.9,78800,0.0,0
2019-07-05,8.76,8.9,8.61,8.65,54500,0.0,0
2019-07-08,8.65,8.71,8.65,8.65,83500,0.0,0
2019-07-09,8.61,8.74,8.61,8.65,38000,0.0,0
2019-07-10,8.72,8.76,8.65,8.68,42900,0.0,0
2019-07-11,8.7,8.74,8.63,8.66,41300,0.0,0
2019-07-12,8.66,8.71,8.65,8.66,43500,0.0,0
2019-07-15,8.71,8.9,8.67,8.86,41900,0.0,0
2019-07-16,8.79,8.9,8.56,8.58,98800,0.0,0
2019-07-17,8.58,8.58,8.42,8.47,95500,0.0,0
2019-07-18,8.48,8.52,8.38,8.49,128100,0.0,0
2019-07-19,8.49,8.53,8.41,8.45,65500,0.0,0
2019-07-22,8.45,8.51,8.4,8.43,72000,0.0,0
2019-07-23,8.44,8.48,8.32,8.38,92900,0.106,0
2019-07-24,8.38,8.45,8.34,8.39,82300,0.0,0
2019-07-25,8.38,8.47,8.34,8.38,46800,0.0,0
2019-07-26,8.39,8.41,8.25,8.32,64300,0.0,0
2019-07-29,8.35,8.57,8.27,8.34,55400,0.0,0
2019-07-30,8.31,8.33,8.23,8.25,75600,0.0,0
2019-07-31,8.33,8.52,8.26,8.31,89000,0.0,0
2019-08-01,8.36,8.37,8.26,8.31,36800,0.0,0
2019-08-02,8.27,8.34,8.24,8.27,25700,0.0,0
2019-08-05,8.21,8.29,8.11,8.22,78200,0.0,0
2019-08-06,8.22,8.64,8.22,8.31,103100,0.0,0
2019-08-07,8.25,8.4,8.21,8.21,45300,0.0,0
2019-08-08,8.24,8.38,8.24,8.31,30700,0.0,0
2019-08-09,8.29,8.53,8.28,8.3,54000,0.0,0
2019-08-12,8.31,8.37,8.21,8.35,73600,0.0,0
2019-08-13,8.25,8.28,8.06,8.11,76100,0.0,0
2019-08-14,8.02,8.11,7.73,7.83,134900,0.0,0
2019-08-15,7.8,7.9,7.76,7.88,65400,0.0,0
2019-08-16,7.88,7.98,7.68,7.87,239200,0.0,0
2019-08-19,7.83,7.95,7.81,7.92,94000,0.0,0
2019-08-20,7.9,8.0,7.85,7.97,65800,0.0,0
2019-08-21,8.01,8.1,7.91,8.08,64700,0.0,0
2019-08-22,8.14,8.15,7.95,8.15,63100,0.106,0
2019-08-23,8.16,8.17,7.93,8.03,66600,0.0,0
2019-08-26,8.04,8.12,7.89,7.91,46500,0.0,0
2019-08-27,7.93,7.95,7.71,7.76,64500,0.0,0
2019-08-28,7.82,7.91,7.75,7.81,40000,0.0,0
2019-08-29,7.83,7.83,7.74,7.76,66300,0.0,0
2019-08-30,7.82,7.83,7.76,7.83,45100,0.0,0
2019-09-03,7.85,7.85,7.65,7.72,92100,0.0,0
2019-09-04,7.73,7.81,7.68,7.72,52200,0.0,0
2019-09-05,7.82,7.82,7.72,7.79,39200,0.0,0
2019-09-06,7.76,7.82,7.7,7.76,42700,0.0,0
2019-09-09,7.79,7.82,7.72,7.8,54600,0.0,0
2019-09-10,7.82,7.83,7.74,7.8,66300,0.0,0
2019-09-11,7.79,7.98,7.79,7.92,60100,0.0,0
2019-09-12,7.93,8.08,7.87,8.07,82200,0.0,0
2019-09-13,8.13,8.22,7.99,8.09,76200,0.0,0
2019-09-16,8.06,8.19,8.06,8.14,77700,0.0,0
2019-09-17,8.17,8.17,7.93,8.1,60900,0.0,0
2019-09-18,8.0,8.08,7.96,8.03,78300,0.0,0
2019-09-19,8.03,8.28,8.0,8.28,62000,0.0,0
2019-09-20,8.35,8.35,8.05,8.22,21400,0.106,0
2019-09-23,8.29,8.32,8.08,8.17,39300,0.0,0
2019-09-24,8.15,8.22,7.98,8.06,54200,0.0,0
2019-09-25,8.07,8.1,8.01,8.08,31600,0.0,0
2019-09-26,8.11,8.16,7.97,8.08,77100,0.0,0
2019-09-27,8.09,8.13,7.99,8.05,34700,0.0,0
2019-09-30,8.1,8.14,7.89,8.03,122000,0.0,0
2019-10-01,7.99,8.06,7.87,7.87,79900,0.0,0
2019-10-02,7.86,7.92,7.79,7.84,59700,0.0,0
2019-10-03,7.8,7.86,7.77,7.85,180100,0.0,0
2019-10-04,7.84,7.9,7.77,7.86,160600,0.0,0
2019-10-07,7.83,7.87,7.83,7.86,124500,0.0,0
2019-10-08,7.83,7.85,7.79,7.81,56300,0.0,0
2019-10-09,7.82,7.86,7.82,7.85,46700,0.0,0
2019-10-10,7.83,7.87,7.82,7.85,60900,0.0,0
2019-10-11,7.83,7.94,7.81,7.89,99700,0.0,0
2019-10-14,7.89,7.93,7.86,7.9,28200,0.0,0
2019-10-15,7.86,8.08,7.82,7.97,115600,0.0,0
2019-10-16,7.87,7.87,7.32,7.77,442600,0.0,0
2019-10-17,7.77,7.77,7.68,7.71,71300,0.0,0
2019-10-18,7.75,7.75,7.64,7.68,72000,0.0,0
2019-10-21,7.58,7.64,7.53,7.57,132100,0.0,0
2019-10-22,7.54,7.71,7.52,7.57,77700,0.0,0
2019-10-23,7.56,7.71,7.56,7.7,90700,0.106,0
2019-10-24,7.65,7.72,7.6,7.6,114100,0.0,0
2019-10-25,7.56,7.62,7.53,7.58,152300,0.0,0
2019-10-28,7.52,7.63,7.52,7.54,89400,0.0,0
2019-10-29,7.52,7.56,7.44,7.47,156600,0.0,0
2019-10-30,7.48,7.59,7.45,7.49,98500,0.0,0
2019-10-31,7.55,7.56,7.44,7.48,47000,0.0,0
2019-11-01,7.44,7.64,7.41,7.59,74600,0.0,0
2019-11-04,7.67,7.71,7.56,7.59,110400,0.0,0
2019-11-05,7.53,7.66,7.52,7.53,102100,0.0,0
2019-11-06,7.53,7.57,7.46,7.48,54200,0.0,0
2019-11-07,7.45,7.5,7.42,7.44,62800,0.0,0
2019-11-08,7.44,7.51,7.16,7.21,188000,0.0,0
2019-11-11,7.22,7.32,7.18,7.32,112900,0.0,0
2019-11-12,7.25,7.34,7.17,7.29,112600,0.0,0
2019-11-13,7.29,7.29,7.04,7.11,127000,0.0,0
2019-11-14,7.06,7.13,7.05,7.11,88500,0.0,0
2019-11-15,7.06,7.13,6.91,6.98,170800,0.0,0
2019-11-18,6.95,7.11,6.94,6.99,121200,0.0,0
2019-11-19,6.95,7.01,6.87,6.87,199600,0.0,0
2019-11-20,6.9,6.93,6.86,6.9,100000,0.106,0
2019-11-21,6.94,6.98,6.89,6.94,99000,0.0,0
