Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,18.57,15.58,15.96,258000,0.0,0.0
1980-03-18,0.0,17.57,15.12,17.57,292200,0.0,0.0
1980-03-19,0.0,19.87,18.41,19.87,239200,0.0,0.0
1980-03-20,0.0,20.87,18.57,19.11,192000,0.0,0.0
1980-03-21,0.0,20.41,18.57,20.41,57700,0.0,0.0
1980-03-24,0.0,20.64,17.42,17.88,85000,0.0,0.0
1980-03-25,0.0,18.26,17.34,17.72,70200,0.0,0.0
1980-03-26,0.0,17.26,15.81,15.88,114900,0.0,0.0
1980-03-27,0.0,14.04,12.35,13.5,348700,0.0,0.0
1980-03-28,0.0,16.04,14.35,15.96,256800,0.0,0.0
1980-03-31,0.0,16.8,15.58,15.96,181600,0.0,0.0
1980-04-01,0.0,16.65,15.35,15.81,120100,0.0,0.0
1980-04-02,0.0,15.65,14.89,14.89,38200,0.0,0.0
1980-04-03,0.0,14.89,14.35,14.66,57000,0.0,0.0
1980-04-07,0.0,16.57,13.81,16.57,67800,0.0,0.0
1980-04-08,0.0,17.8,16.34,17.03,147100,0.0,0.0
1980-04-09,0.0,17.8,16.73,17.03,98800,0.0,0.0
1980-04-10,0.0,17.49,17.03,17.42,60900,0.0,0.0
1980-04-11,0.0,17.65,17.19,17.49,40800,0.0,0.0
1980-04-14,0.0,17.8,16.57,16.57,58800,0.0,0.0
1980-04-15,0.0,17.03,15.96,16.88,48400,0.0,0.0
1980-04-16,0.0,17.34,16.27,16.42,37500,0.0,0.0
1980-04-17,0.0,16.57,15.35,16.19,45400,0.0,0.0
1980-04-18,0.0,16.27,15.81,15.88,22200,0.0,0.0
1980-04-21,0.0,15.88,15.12,15.35,52500,0.0,0.0
1980-04-22,0.0,16.19,15.12,15.73,71800,0.0,0.0
1980-04-23,0.0,16.27,15.73,16.11,40000,0.0,0.0
1980-04-24,0.0,17.65,16.34,17.34,75900,0.0,0.0
1980-04-25,0.0,17.8,17.42,17.49,68200,0.0,0.0
1980-04-28,0.0,17.49,16.96,17.19,81000,0.0,0.0
1980-04-29,0.0,17.11,16.8,16.88,27600,0.0,0.0
1980-04-30,0.0,17.11,15.88,16.42,68100,0.0,0.0
1980-05-01,0.0,16.34,15.81,16.19,53100,0.0,0.0
1980-05-02,0.0,16.88,16.19,16.88,30900,0.0,0.0
1980-05-05,0.0,16.96,16.57,16.57,25800,0.0,0.0
1980-05-06,0.0,16.5,16.04,16.04,47200,0.0,0.0
1980-05-07,0.0,16.34,15.96,16.11,30000,0.0,0.0
1980-05-08,0.0,16.27,15.88,16.04,14100,0.0,0.0
1980-05-09,0.0,15.73,15.58,15.58,13800,0.0,0.0
1980-05-12,0.0,15.5,15.04,15.19,27700,0.0,0.0
1980-05-13,0.0,15.19,14.12,14.73,74400,0.0,0.0
1980-05-14,0.0,15.5,14.66,15.27,63100,0.0,0.0
1980-05-15,0.0,15.12,14.81,14.81,28300,0.0,0.0
1980-05-16,0.0,14.66,14.04,14.04,48600,0.0,0.0
1980-05-19,0.0,14.58,13.89,14.5,42400,0.0,0.0
1980-05-20,0.0,14.5,14.27,14.27,13500,0.0,0.0
1980-05-21,0.0,14.42,13.89,14.19,10500,0.0,0.0
1980-05-22,0.0,14.27,13.81,14.19,18100,0.0,0.0
1980-05-23,0.0,14.66,14.27,14.35,40600,0.0,0.0
1980-05-27,0.0,16.5,14.19,16.5,133000,0.0,0.0
1980-05-28,0.0,16.73,15.65,16.11,116500,0.0,0.0
1980-05-29,0.0,16.27,15.58,15.88,68200,0.0,0.0
1980-05-30,0.0,16.8,16.11,16.73,91900,0.0,0.0
1980-06-02,0.0,17.95,17.34,17.65,169000,0.0,0.0
1980-06-03,0.0,17.95,17.49,17.72,77100,0.0,0.0
1980-06-04,0.0,19.64,18.11,19.57,153600,0.0,0.0
1980-06-05,0.0,20.26,19.57,19.57,104100,0.0,0.0
1980-06-06,0.0,20.26,19.72,19.8,75700,0.0,0.0
