Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-03-18,9.98,9.98,9.98,9.98,200,0,0
2021-03-19,9.69,9.8,9.61,9.8,28400,0,0
2021-03-22,9.8,9.8,9.8,9.8,0,0,0
2021-03-23,9.76,9.76,9.76,9.76,200,0,0
2021-03-24,9.76,9.76,9.76,9.76,0,0,0
2021-03-25,9.55,9.9,9.55,9.62,29400,0,0
2021-03-26,9.61,9.8,9.61,9.76,3300,0,0
2021-03-29,9.77,9.77,9.74,9.75,30100,0,0
2021-03-30,9.75,9.75,9.75,9.75,3700,0,0
2021-03-31,9.83,9.83,9.75,9.75,13800,0,0
2021-04-01,9.76,9.8,9.74,9.75,51500,0,0
2021-04-05,9.73,9.73,9.73,9.73,600,0,0
2021-04-06,9.75,9.75,9.75,9.75,16700,0,0
2021-04-07,9.89,9.95,9.8,9.8,5500,0,0
2021-04-08,9.8,9.8,9.8,9.8,0,0,0
2021-04-09,9.96,9.99,9.95,9.99,17100,0,0
2021-04-12,9.88,9.88,9.85,9.85,14400,0,0
2021-04-13,9.92,9.92,9.85,9.85,7900,0,0
2021-04-14,9.82,9.99,9.82,9.85,41000,0,0
2021-04-15,9.81,9.85,9.76,9.85,4300,0,0
2021-04-16,9.85,9.85,9.85,9.85,0,0,0
2021-04-19,9.8,9.91,9.8,9.84,97800,0,0
2021-04-20,9.84,9.84,9.84,9.84,0,0,0
2021-04-21,9.75,9.84,9.7,9.84,34900,0,0
2021-04-22,9.84,9.84,9.84,9.84,0,0,0
2021-04-23,9.8,9.82,9.76,9.82,2400,0,0
2021-04-26,9.8,9.98,9.7,9.88,52800,0,0
2021-04-27,9.82,9.82,9.71,9.71,6500,0,0
2021-04-28,9.74,9.8,9.74,9.8,21100,0,0
2021-04-29,9.75,9.79,9.73,9.78,409700,0,0
2021-04-30,9.76,9.77,9.76,9.77,3800,0,0
2021-05-03,9.78,9.82,9.77,9.82,4500,0,0
2021-05-04,9.75,9.79,9.75,9.75,2900,0,0
2021-05-05,9.76,9.82,9.75,9.82,260300,0,0
2021-05-06,9.82,9.83,9.76,9.83,9400,0,0
2021-05-07,9.77,9.83,9.74,9.74,21500,0,0
2021-05-10,9.74,9.78,9.73,9.78,60600,0,0
2021-05-11,9.74,9.77,9.72,9.76,6400,0,0
2021-05-12,9.75,9.76,9.72,9.75,20200,0,0
2021-05-13,9.72,9.77,9.66,9.72,143300,0,0
2021-05-14,9.74,9.77,9.74,9.77,4200,0,0
2021-05-17,9.73,9.78,9.73,9.76,900,0,0
2021-05-18,9.73,9.8,9.73,9.8,2500,0,0
2021-05-19,9.75,9.75,9.73,9.73,500,0,0
2021-05-20,9.73,9.75,9.73,9.73,4700,0,0
2021-05-21,9.75,9.75,9.75,9.75,100,0,0
