Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-08-07,11.98,12.19,11.84,12.11,6087500,0.0,0
2014-08-08,12.29,13.54,12.09,13.23,731600,0.0,0
2014-08-11,13.54,13.87,13.18,13.55,1305600,0.0,0
2014-08-12,13.47,13.61,12.88,13.2,97700,0.0,0
2014-08-13,13.06,13.2,12.8,12.93,96500,0.0,0
2014-08-14,12.85,13.34,12.52,13.2,78900,0.0,0
2014-08-15,13.2,13.53,12.96,13.49,130800,0.0,0
2014-08-18,13.52,13.55,13.16,13.4,67100,0.0,0
2014-08-19,13.42,13.48,13.06,13.15,57400,0.0,0
2014-08-20,13.2,13.26,12.96,13.19,41200,0.0,0
2014-08-21,13.23,13.28,13.14,13.25,37000,0.0,0
2014-08-22,13.25,13.61,13.15,13.53,34200,0.0,0
2014-08-25,13.42,13.9,13.42,13.72,47300,0.0,0
2014-08-26,13.74,13.87,13.6,13.71,43000,0.0,0
2014-08-27,13.71,14.15,13.67,13.92,47700,0.0,0
2014-08-28,13.91,13.97,13.71,13.74,28700,0.0,0
2014-08-29,13.77,14.15,13.7,14.09,156900,0.0,0
2014-09-02,14.05,14.42,13.86,13.86,124800,0.0,0
2014-09-03,13.79,14.09,13.66,13.72,55300,0.0,0
2014-09-04,13.68,13.68,13.29,13.31,66600,0.0,0
2014-09-05,13.29,13.68,13.22,13.64,95000,0.0,0
2014-09-08,13.61,13.85,13.36,13.36,42800,0.0,0
2014-09-09,13.42,13.54,13.36,13.46,11800,0.0,0
2014-09-10,13.46,13.54,13.34,13.52,10000,0.0,0
2014-09-11,13.4,13.5,13.39,13.44,10900,0.0,0
2014-09-12,13.34,13.39,13.07,13.13,57000,0.0,0
2014-09-15,13.08,13.17,12.98,12.98,45100,0.0,0
2014-09-16,12.98,13.1,12.9,13.01,35500,0.0,0
2014-09-17,12.93,13.0,12.9,12.9,30800,0.0,0
2014-09-18,13.01,13.06,12.89,13.04,136500,0.0,0
2014-09-19,13.06,13.06,12.91,12.98,74400,0.0,0
2014-09-22,12.93,12.93,12.74,12.74,38000,0.0,0
2014-09-23,12.68,12.89,12.44,12.44,105900,0.0,0
2014-09-24,12.27,12.82,12.27,12.81,93100,0.0,0
2014-09-25,12.73,12.73,12.5,12.7,14200,0.0,0
2014-09-26,12.57,12.8,12.57,12.76,17300,0.0,0
2014-09-29,12.76,12.79,12.6,12.7,14500,0.0,0
2014-09-30,12.63,12.74,12.42,12.47,48600,0.0,0
2014-10-01,12.51,12.72,12.36,12.67,11900,0.0,0
2014-10-02,12.62,12.77,12.35,12.57,22600,0.0,0
2014-10-03,12.49,13.3,12.49,12.74,27500,0.0,0
2014-10-06,12.67,12.79,12.67,12.68,13500,0.0,0
2014-10-07,12.61,12.61,12.52,12.52,12100,0.0,0
2014-10-08,12.42,12.49,12.08,12.25,73300,0.0,0
2014-10-09,12.25,12.29,11.51,11.62,17900,0.0,0
2014-10-10,11.43,11.43,10.95,11.17,78600,0.0,0
2014-10-13,11.22,11.7,10.42,10.45,210600,0.0,0
2014-10-14,10.41,11.05,10.32,10.53,259000,0.0,0
2014-10-15,10.43,10.64,10.21,10.57,157600,0.0,0
2014-10-16,10.37,11.1,10.28,10.92,38400,0.0,0
2014-10-17,11.0,11.37,10.03,10.39,200200,0.0,0
2014-10-20,10.49,11.61,10.46,11.23,116000,0.0,0
2014-10-21,11.7,11.7,11.18,11.25,142600,0.0,0
2014-10-22,11.43,11.47,11.28,11.28,57400,0.0,0
2014-10-23,11.28,11.64,11.18,11.59,45500,0.0,0
2014-10-24,11.44,11.8,11.43,11.78,43200,0.0,0
2014-10-27,11.69,11.79,11.45,11.65,31600,0.0,0
2014-10-28,11.76,11.88,11.58,11.58,22300,0.0,0
2014-10-29,11.8,11.8,11.61,11.62,26700,0.0,0
2014-10-30,11.7,11.7,11.31,11.6,12100,0.0,0
2014-10-31,11.48,11.85,11.48,11.54,28100,0.183,0
2014-11-03,11.89,12.4,11.7,11.96,100200,0.0,0
2014-11-04,12.0,12.03,11.8,11.81,64400,0.0,0
2014-11-05,11.94,11.94,11.79,11.91,40500,0.0,0
2014-11-06,11.67,12.34,11.64,12.34,25900,0.0,0
2014-11-07,12.35,13.42,12.09,12.94,45200,0.0,0
2014-11-10,12.91,12.99,12.69,12.82,39300,0.0,0
2014-11-11,12.96,13.58,12.79,12.93,41400,0.0,0
2014-11-12,12.85,13.3,12.83,12.88,53200,0.0,0
2014-11-13,12.89,12.89,12.19,12.29,43100,0.0,0
2014-11-14,12.35,12.39,12.11,12.12,4900,0.0,0
2014-11-17,12.13,12.29,12.05,12.08,12600,0.0,0
2014-11-18,12.25,12.25,11.97,11.97,27100,0.0,0
2014-11-19,11.8,12.59,11.8,12.23,56100,0.0,0
2014-11-20,12.29,12.79,12.11,12.53,47700,0.0,0
2014-11-21,12.35,12.72,11.55,11.58,29200,0.0,0
2014-11-24,11.6,11.76,10.34,10.78,152000,0.0,0
2014-11-25,10.84,11.42,10.84,11.29,70900,0.0,0
2014-11-26,11.0,11.16,10.93,11.11,20100,0.0,0
2014-11-28,10.84,10.84,9.98,10.1,19400,0.0,0
2014-12-01,10.43,10.43,9.03,9.25,206800,0.0,0
