Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2003-10-07,14.17,14.17,12.4,12.99,5000,0.0,0.0
2003-10-08,12.99,12.99,12.99,12.99,0,0.0,0.0
2003-10-09,12.99,12.99,12.99,12.99,0,0.0,0.0
2003-10-10,12.99,12.99,12.99,12.99,0,0.0,0.0
2003-10-13,12.99,12.99,12.99,12.99,0,0.0,0.0
2003-10-14,12.99,12.99,12.99,12.99,0,0.0,0.0
2003-10-15,12.99,12.99,12.99,12.99,0,0.0,0.0
2003-10-16,12.99,12.99,12.99,12.99,0,0.0,0.0
2003-10-17,12.99,12.99,12.99,12.99,0,0.0,0.0
2003-10-20,12.99,12.99,12.99,12.99,0,0.0,0.0
2003-10-21,12.99,12.99,12.99,12.99,0,0.0,0.0
2003-10-22,12.99,12.99,12.99,12.99,0,0.0,0.0
2003-10-23,12.52,12.99,12.52,12.99,1100,0.0,0.0
2003-10-24,12.99,12.99,12.99,12.99,0,0.0,0.0
2003-10-27,14.17,14.17,13.34,13.34,3300,0.0,0.0
2003-10-28,13.34,13.34,13.34,13.34,0,0.0,0.0
2003-10-29,13.34,13.34,13.34,13.34,0,0.0,0.0
2003-10-30,13.34,13.34,13.34,13.34,0,0.0,0.0
2003-10-31,13.34,13.34,13.34,13.34,0,0.0,0.0
2003-11-03,13.34,13.34,13.34,13.34,0,0.0,0.0
2003-11-04,13.34,13.34,13.34,13.34,0,0.0,0.0
2003-11-05,12.52,12.52,12.52,12.52,600,0.0,0.0
2003-11-06,12.52,12.52,12.52,12.52,0,0.0,0.0
2003-11-07,14.17,14.17,13.7,13.7,2900,0.0,0.0
2003-11-10,13.58,13.58,13.58,13.58,400,0.0,0.0
2003-11-11,13.58,13.58,13.58,13.58,0,0.0,0.0
2003-11-12,14.17,14.17,12.52,12.52,2000,0.0,0.0
2003-11-13,12.52,12.52,12.52,12.52,0,0.0,0.0
2003-11-14,12.52,12.52,12.52,12.52,0,0.0,0.0
2003-11-17,12.52,12.52,12.52,12.52,2000,0.0,0.0
2003-11-18,12.52,12.52,12.52,12.52,0,0.0,0.0
2003-11-19,12.52,12.52,12.52,12.52,0,0.0,0.0
2003-11-20,12.52,12.52,12.52,12.52,0,0.0,0.0
2003-11-21,12.52,12.52,12.52,12.52,0,0.0,0.0
2003-11-24,12.52,12.52,12.52,12.52,0,0.0,0.0
2003-11-25,12.52,12.52,12.52,12.52,0,0.0,0.0
2003-11-26,12.52,12.52,12.52,12.52,0,0.0,0.0
2003-11-28,12.52,12.52,12.52,12.52,0,0.0,0.0
2003-12-01,12.52,12.52,12.52,12.52,0,0.0,0.0
2003-12-02,12.52,12.52,12.52,12.52,0,0.0,0.0
2003-12-03,12.52,12.52,12.52,12.52,0,0.0,0.0
2003-12-04,12.52,12.52,12.52,12.52,0,0.0,0.0
2003-12-05,12.52,12.52,12.52,12.52,0,0.0,0.0
2003-12-08,12.52,12.52,12.52,12.52,0,0.0,0.0
2003-12-09,12.52,12.52,12.52,12.52,0,0.0,0.0
2003-12-10,12.52,12.52,12.52,12.52,0,0.0,0.0
2003-12-11,12.52,12.52,12.52,12.52,0,0.0,0.0
2003-12-12,12.52,12.52,12.52,12.52,0,0.0,0.0
2003-12-15,12.52,12.52,12.52,12.52,0,0.0,0.0
2003-12-16,12.52,12.52,12.52,12.52,0,0.0,0.0
2003-12-17,12.52,12.52,12.52,12.52,0,0.0,0.0
2003-12-18,12.52,12.52,12.52,12.52,0,0.0,0.0
2003-12-19,12.52,12.52,12.52,12.52,0,0.0,0.0
2003-12-22,12.52,12.52,12.52,12.52,0,0.0,0.0
2003-12-23,12.52,12.52,12.52,12.52,0,0.0,0.0
2003-12-24,12.52,12.52,12.52,12.52,0,0.0,0.0
2003-12-26,12.52,12.52,12.52,12.52,0,0.0,0.0
2003-12-29,12.52,12.52,12.52,12.52,0,0.0,0.0
2003-12-30,12.52,12.52,12.52,12.52,0,0.0,0.0
2003-12-31,12.52,12.52,12.52,12.52,0,0.0,0.0
2004-01-02,12.52,12.52,12.52,12.52,0,0.0,0.0
2004-01-05,12.52,12.52,12.52,12.52,0,0.0,0.0
2004-01-06,12.52,12.52,12.52,12.52,0,0.0,0.0
2004-01-07,12.52,12.52,12.52,12.52,0,0.0,0.0
2004-01-08,12.52,12.52,12.52,12.52,0,0.0,0.0
2004-01-09,12.52,12.52,12.52,12.52,0,0.0,0.0
2004-01-12,12.52,12.52,12.52,12.52,0,0.0,0.0
2004-01-13,10.04,10.04,10.04,10.04,200,0.0,0.0
2004-01-14,10.63,10.63,10.63,10.63,900,0.0,0.0
2004-01-15,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-01-16,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-01-20,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-01-21,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-01-22,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-01-23,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-01-26,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-01-27,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-01-28,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-01-29,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-01-30,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-02-02,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-02-03,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-02-04,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-02-05,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-02-06,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-02-09,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-02-10,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-02-11,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-02-12,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-02-13,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-02-17,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-02-18,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-02-19,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-02-20,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-02-23,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-02-24,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-02-25,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-02-26,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-02-27,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-03-01,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-03-02,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-03-03,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-03-04,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-03-05,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-03-08,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-03-09,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-03-10,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-03-11,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-03-12,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-03-15,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-03-16,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-03-17,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-03-18,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-03-19,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-03-22,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-03-23,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-03-24,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-03-25,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-03-26,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-03-29,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-03-30,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-03-31,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-04-01,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-04-02,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-04-05,10.63,10.63,10.63,10.63,0,0.0,0.0
2004-04-06,10.63,10.63,10.63,10.63,0,0.0,0.0
