Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-08-04,11.41,11.81,11.31,11.4,255100,0,0
2020-08-05,11.75,12.5,11.5,12.15,119000,0,0
2020-08-06,12.12,12.5,11.9,12.39,73900,0,0
2020-08-07,12.35,12.35,11.82,11.9,32000,0,0
2020-08-10,11.83,12.0,11.68,11.68,15400,0,0
2020-08-11,11.69,11.97,11.26,11.46,22800,0,0
2020-08-12,11.7,11.7,11.27,11.49,17400,0,0
2020-08-13,11.25,11.35,11.25,11.26,32000,0,0
2020-08-14,11.26,11.41,11.26,11.4,18000,0,0
2020-08-17,11.5,11.5,11.26,11.45,14900,0,0
2020-08-18,11.49,11.6,11.27,11.5,63200,0,0
2020-08-19,11.79,11.79,10.83,10.84,14100,0,0
2020-08-20,11.21,11.55,11.2,11.24,15300,0,0
2020-08-21,11.25,11.25,11.14,11.25,2100,0,0
2020-08-24,11.22,11.23,11.14,11.2,5600,0,0
2020-08-25,10.96,11.6,10.83,11.0,338700,0,0
2020-08-26,11.0,11.17,11.0,11.05,18900,0,0
2020-08-27,11.25,11.25,11.0,11.0,22100,0,0
2020-08-28,11.0,11.16,11.0,11.16,7600,0,0
2020-08-31,11.45,11.45,11.0,11.2,30100,0,0
2020-09-01,11.01,11.51,11.0,11.1,41300,0,0
2020-09-02,11.0,11.15,11.0,11.05,12600,0,0
2020-09-03,11.05,11.32,11.0,11.1,10100,0,0
2020-09-04,11.15,11.5,11.1,11.15,31100,0,0
2020-09-08,11.11,11.2,11.11,11.2,6500,0,0
2020-09-09,11.2,11.25,11.15,11.25,10600,0,0
2020-09-10,11.15,11.35,11.08,11.08,32100,0,0
2020-09-11,11.1,11.45,11.1,11.1,4800,0,0
2020-09-14,11.41,11.41,11.02,11.08,12500,0,0
2020-09-15,11.15,11.26,11.12,11.15,15100,0,0
2020-09-16,11.24,11.78,11.0,11.0,10400,0,0
2020-09-17,11.03,11.16,11.03,11.1,25000,0,0
2020-09-18,11.11,11.22,11.0,11.1,10300,0,0
2020-09-21,11.1,11.19,11.1,11.1,10200,0,0
2020-09-22,11.2,11.23,11.01,11.1,9800,0,0
2020-09-23,11.1,11.1,10.85,10.92,5800,0,0
2020-09-24,10.83,11.12,10.83,10.86,14600,0,0
2020-09-25,11.2,11.23,10.95,11.05,1800,0,0
2020-09-28,10.99,11.0,10.95,10.95,7900,0,0
2020-09-29,11.0,11.0,10.83,10.92,9700,0,0
2020-09-30,10.85,11.15,10.83,11.0,37400,0,0
2020-10-01,10.95,11.15,10.88,11.01,16900,0,0
2020-10-02,11.08,11.09,10.76,11.08,57500,0,0
2020-10-05,10.81,11.14,10.81,11.14,9700,0,0
2020-10-06,11.09,11.09,10.82,11.05,19200,0,0
2020-10-07,11.04,11.1,10.99,11.04,28000,0,0
2020-10-08,11.0,11.05,10.91,11.01,54600,0,0
2020-10-09,11.0,11.07,10.96,10.96,29400,0,0
2020-10-12,11.0,11.15,11.0,11.0,21400,0,0
2020-10-13,11.13,11.3,10.95,10.95,7700,0,0
2020-10-14,11.0,11.1,11.0,11.0,7100,0,0
2020-10-15,11.05,11.05,11.05,11.05,3200,0,0
2020-10-16,11.0,11.15,11.0,11.01,34000,0,0
2020-10-19,11.01,11.22,11.01,11.22,400,0,0
2020-10-20,11.09,11.1,11.06,11.07,8500,0,0
2020-10-21,11.1,11.3,10.96,10.96,10800,0,0
2020-10-22,10.98,11.3,10.98,11.0,32300,0,0
2020-10-23,10.95,10.95,10.78,10.95,16800,0,0
2020-10-26,10.8,10.95,10.8,10.95,2600,0,0
2020-10-27,11.01,11.2,10.85,11.05,50800,0,0
2020-10-28,11.11,11.29,10.85,11.0,3200,0,0
2020-10-29,11.07,11.07,10.9,10.9,2900,0,0
2020-10-30,10.91,10.99,10.89,10.99,35200,0,0
2020-11-02,11.0,11.3,11.0,11.15,7400,0,0
2020-11-03,10.9,10.95,10.85,10.85,14700,0,0
2020-11-04,10.89,11.23,10.49,10.61,19800,0,0
2020-11-05,11.0,11.0,10.91,11.0,1200,0,0
2020-11-06,11.0,11.0,10.9,10.9,1200,0,0
2020-11-09,11.0,11.22,10.95,11.02,11200,0,0
2020-11-10,11.19,11.19,10.97,11.01,3400,0,0
2020-11-11,11.0,11.0,10.95,11.0,7000,0,0
2020-11-12,11.0,11.03,10.91,10.94,12200,0,0
2020-11-13,11.02,11.1,10.95,11.0,20100,0,0
2020-11-16,11.07,11.07,10.98,10.98,3600,0,0
2020-11-17,11.0,11.27,11.0,11.12,57300,0,0
2020-11-18,11.37,11.37,11.23,11.24,1700,0,0
2020-11-19,11.39,11.93,11.21,11.6,41900,0,0
2020-11-20,11.5,12.29,11.5,11.63,13300,0,0
2020-11-23,11.75,11.76,11.73,11.75,6200,0,0
2020-11-24,11.95,11.95,11.4,11.45,33000,0,0
2020-11-25,11.63,11.7,11.55,11.59,5700,0,0
2020-11-27,11.72,11.72,11.5,11.5,4800,0,0
2020-11-30,11.6,11.71,11.3,11.65,6800,0,0
2020-12-01,11.45,11.65,11.45,11.65,15900,0,0
2020-12-02,11.74,11.74,11.5,11.67,11300,0,0
2020-12-03,11.5,11.7,11.5,11.7,3500,0,0
2020-12-04,11.11,11.8,11.11,11.7,2500,0,0
2020-12-07,11.75,11.75,11.57,11.75,18100,0,0
2020-12-08,11.87,11.87,11.77,11.8,5100,0,0
2020-12-09,11.7,12.2,11.12,11.76,75800,0,0
2020-12-10,11.95,12.5,11.95,12.39,13900,0,0
2020-12-11,12.33,12.4,12.11,12.2,26200,0,0
2020-12-14,12.2,12.2,11.97,12.0,36200,0,0
2020-12-15,12.0,12.0,11.81,11.95,26600,0,0
2020-12-16,11.8,11.9,11.64,11.85,10300,0,0
2020-12-17,11.8,11.8,11.7,11.8,3100,0,0
2020-12-18,11.66,11.96,11.66,11.96,24500,0,0
2020-12-21,11.89,11.9,11.75,11.75,2900,0,0
2020-12-22,11.9,11.9,11.75,11.75,15200,0,0
2020-12-23,11.8,11.82,11.5,11.52,16700,0,0
2020-12-24,12.0,12.0,11.8,11.8,18400,0,0
2020-12-28,11.8,11.89,11.67,11.78,39700,0,0
2020-12-29,11.79,12.75,11.79,12.34,10500,0,0
2020-12-30,12.34,13.0,12.34,13.0,57300,0,0
2020-12-31,12.96,13.0,12.66,12.81,25500,0,0
2021-01-04,13.29,13.3,12.73,13.0,57600,0,0
2021-01-05,13.02,13.03,12.56,12.56,9300,0,0
2021-01-06,12.88,12.88,12.65,12.75,2400,0,0
2021-01-07,12.82,12.87,12.75,12.75,5200,0,0
