Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.75,0.73,0.73,42000,0.0,0.0
1980-03-18,0.0,0.74,0.71,0.71,307200,0.0,0.0
1980-03-19,0.0,0.72,0.71,0.72,13200,0.0,0.0
1980-03-20,0.0,0.72,0.71,0.71,128400,0.0,0.0
1980-03-21,0.0,0.72,0.71,0.71,388800,0.0,0.0
1980-03-24,0.0,0.71,0.7,0.7,34800,0.0,0.0
1980-03-25,0.0,0.69,0.68,0.68,42000,0.0,0.0
1980-03-26,0.0,0.69,0.68,0.69,126000,0.0,0.0
1980-03-27,0.0,0.68,0.67,0.67,46800,0.0,0.0
1980-03-28,0.0,0.68,0.68,0.68,50400,0.0,0.0
1980-03-31,0.0,0.69,0.68,0.68,7200,0.0,0.0
1980-04-01,0.0,0.69,0.69,0.69,8400,0.0,0.0
1980-04-02,0.0,0.71,0.69,0.71,51600,0.0,0.0
1980-04-03,0.0,0.72,0.71,0.72,18000,0.0,0.0
1980-04-07,0.0,0.72,0.72,0.72,6000,0.0,0.0
1980-04-08,0.0,0.72,0.72,0.72,54000,0.0,0.0
1980-04-09,0.0,0.72,0.72,0.72,20400,0.0,0.0
1980-04-10,0.0,0.73,0.72,0.72,31200,0.0,0.0
1980-04-11,0.0,0.73,0.72,0.72,26400,0.0,0.0
1980-04-14,0.0,0.73,0.72,0.72,19200,0.0,0.0
1980-04-15,0.0,0.73,0.72,0.72,10800,0.0,0.0
1980-04-16,0.0,0.73,0.72,0.72,14400,0.0,0.0
1980-04-17,0.0,0.72,0.71,0.71,16800,0.0,0.0
1980-04-18,0.0,0.71,0.7,0.71,25200,0.0,0.0
1980-04-21,0.0,0.71,0.69,0.69,68400,0.0,0.0
1980-04-22,0.0,0.7,0.69,0.7,282000,0.0,0.0
1980-04-23,0.0,0.71,0.7,0.7,52800,0.0,0.0
1980-04-24,0.0,0.7,0.69,0.7,66000,0.0,0.0
1980-04-25,0.0,0.71,0.7,0.7,6000,0.0,0.0
1980-04-28,0.0,0.71,0.71,0.71,4800,0.0,0.0
1980-04-29,0.0,0.71,0.7,0.71,36000,0.0,0.0
1980-04-30,0.0,0.71,0.69,0.69,14400,0.0,0.0
1980-05-01,0.0,0.7,0.7,0.7,7200,0.0,0.0
1980-05-02,0.0,0.7,0.69,0.69,16800,0.0,0.0
1980-05-05,0.0,0.69,0.69,0.69,2400,0.0,0.0
1980-05-06,0.0,0.69,0.69,0.69,2400,0.0,0.0
1980-05-07,0.0,0.69,0.69,0.69,20400,0.0,0.0
1980-05-08,0.0,0.69,0.69,0.69,46800,0.0,0.0
1980-05-09,0.0,0.69,0.69,0.69,18000,0.0,0.0
1980-05-12,0.0,0.69,0.69,0.69,10800,0.0,0.0
1980-05-13,0.0,0.69,0.69,0.69,7200,0.0,0.0
1980-05-14,0.0,0.69,0.69,0.69,6000,0.0,0.0
1980-05-15,0.0,0.72,0.7,0.72,68400,0.0,0.0
1980-05-16,0.0,0.72,0.72,0.72,205200,0.0,0.0
1980-05-19,0.0,0.72,0.7,0.7,28800,0.0,0.0
1980-05-20,0.0,0.7,0.7,0.7,4800,0.0,0.0
1980-05-21,0.0,0.7,0.7,0.7,3600,0.0,0.0
1980-05-22,0.0,0.7,0.7,0.7,10800,0.0,0.0
1980-05-23,0.0,0.71,0.7,0.7,9600,0.0,0.0
1980-05-27,0.0,0.71,0.71,0.71,40800,0.0,0.0
1980-05-28,0.0,0.72,0.71,0.72,110400,0.0,0.0
1980-05-29,0.0,0.73,0.72,0.72,16800,0.0,0.0
1980-05-30,0.0,0.73,0.72,0.73,55200,0.0,0.0
1980-06-02,0.0,0.73,0.73,0.73,13200,0.0,0.0
1980-06-03,0.0,0.73,0.73,0.73,7200,0.0,0.0
1980-06-04,0.0,0.73,0.72,0.72,26400,0.0,0.0
1980-06-05,0.0,0.73,0.73,0.73,12000,0.0,0.0
1980-06-06,0.0,0.74,0.73,0.74,22800,0.0,0.0
1980-06-09,0.0,0.73,0.73,0.73,39600,0.0,0.0
1980-06-10,0.0,0.73,0.73,0.73,22800,0.0,0.0
1980-06-11,0.0,0.74,0.73,0.73,18000,0.0,0.0
1980-06-12,0.0,0.74,0.73,0.73,9600,0.0,0.0
1980-06-13,0.0,0.73,0.73,0.73,4800,0.0,0.0
1980-06-16,0.0,0.74,0.73,0.74,16800,0.0,0.0
1980-06-17,0.0,0.74,0.74,0.74,4800,0.0,0.0
1980-06-18,0.0,0.74,0.74,0.74,8400,0.0,0.0
1980-06-19,0.0,0.75,0.74,0.74,22800,0.0,0.0
1980-06-20,0.0,0.74,0.74,0.74,13200,0.0,0.0
1980-06-23,0.0,0.74,0.74,0.74,19200,0.0,0.0
1980-06-24,0.0,0.74,0.74,0.74,13200,0.0,0.0
1980-06-25,0.0,0.77,0.74,0.77,72000,0.0,0.0
1980-06-26,0.0,0.75,0.74,0.74,7200,0.0,0.0
1980-06-27,0.0,0.74,0.74,0.74,18000,0.0,0.0
1980-06-30,0.0,0.75,0.74,0.74,27600,0.0,0.0
1980-07-01,0.0,0.74,0.74,0.74,3600,0.0,0.0
1980-07-02,0.0,0.74,0.74,0.74,34800,0.0,0.0
1980-07-03,0.0,0.74,0.74,0.74,51600,0.0,0.0
1980-07-07,0.0,0.74,0.74,0.74,27600,0.0,0.0
1980-07-08,0.0,0.74,0.74,0.74,7200,0.0,0.0
1980-07-09,0.0,0.74,0.73,0.73,13200,0.0,0.0
1980-07-10,0.0,0.74,0.73,0.74,40800,0.0,0.0
1980-07-11,0.0,0.75,0.75,0.75,8400,0.0,0.0
1980-07-14,0.0,0.76,0.75,0.76,22800,0.0,0.0
1980-07-15,0.0,0.81,0.76,0.81,102000,0.0,0.0
1980-07-16,0.0,0.81,0.79,0.79,471600,0.0,0.0
1980-07-17,0.0,0.79,0.78,0.78,82800,0.0,0.0
1980-07-18,0.0,0.77,0.77,0.77,15600,0.0,0.0
1980-07-21,0.0,0.77,0.76,0.76,26400,0.0,0.0
1980-07-22,0.0,0.77,0.76,0.77,64800,0.0,0.0
1980-07-23,0.0,0.77,0.76,0.77,9600,0.0,0.0
1980-07-24,0.0,0.77,0.76,0.76,16800,0.0,0.0
1980-07-25,0.0,0.77,0.76,0.76,82800,0.0,0.0
1980-07-28,0.0,0.76,0.75,0.75,33600,0.0,0.0
1980-07-29,0.0,0.76,0.75,0.76,8400,0.0,0.0
1980-07-30,0.0,0.76,0.75,0.75,135600,0.0,0.0
1980-07-31,0.0,0.75,0.74,0.74,25200,0.0,0.0
1980-08-01,0.0,0.74,0.72,0.72,128400,0.0,0.0
1980-08-04,0.0,0.73,0.73,0.73,44400,0.0,0.0
1980-08-05,0.0,0.76,0.73,0.76,170400,0.0,0.0
1980-08-06,0.0,0.77,0.76,0.76,21600,0.0,0.0
1980-08-07,0.0,0.76,0.76,0.76,16800,0.0,0.0
1980-08-08,0.0,0.77,0.76,0.76,40800,0.0,0.0
1980-08-11,0.0,0.77,0.77,0.77,12000,0.0,0.0
1980-08-12,0.0,0.78,0.77,0.77,21600,0.0,0.0
1980-08-13,0.0,0.77,0.76,0.77,36000,0.0,0.0
1980-08-14,0.0,0.78,0.77,0.77,140400,0.0,0.0
1980-08-15,0.0,0.78,0.78,0.78,37200,0.0,0.0
1980-08-18,0.0,0.78,0.78,0.78,7200,0.0,0.0
1980-08-19,0.0,0.78,0.77,0.78,66000,0.0,0.0
1980-08-20,0.0,0.78,0.77,0.78,63600,0.0,0.0
1980-08-21,0.0,0.78,0.78,0.78,8400,0.0,0.0
1980-08-22,0.0,0.79,0.78,0.78,14400,0.0,0.0
1980-08-25,0.0,0.79,0.78,0.78,13200,0.0,0.0
1980-08-26,0.0,0.79,0.78,0.78,27600,0.0,0.0
1980-08-27,0.0,0.78,0.78,0.78,6000,0.0,0.0
1980-08-28,0.0,0.78,0.77,0.77,48000,0.0,0.0
1980-08-29,0.0,0.77,0.76,0.77,106800,0.0,0.0
1980-09-02,0.0,0.77,0.77,0.77,18000,0.0,0.0
1980-09-03,0.0,0.8,0.77,0.79,60000,0.0,0.0
1980-09-04,0.0,0.8,0.78,0.78,120000,0.0,0.0
1980-09-05,0.0,0.79,0.78,0.78,25200,0.0,0.0
1980-09-08,0.0,0.79,0.78,0.78,73200,0.0,0.0
1980-09-09,0.0,0.8,0.79,0.8,43200,0.0,0.0
1980-09-10,0.0,0.81,0.81,0.81,13200,0.0,0.0
1980-09-11,0.0,0.81,0.81,0.81,34800,0.0,0.0
1980-09-12,0.0,0.81,0.8,0.8,38400,0.0,0.0
1980-09-15,0.0,0.81,0.8,0.8,85200,0.0,0.0
1980-09-16,0.0,0.81,0.8,0.8,69600,0.0,0.0
1980-09-17,0.0,0.8,0.79,0.79,12000,0.0,0.0
1980-09-18,0.0,0.8,0.8,0.8,33600,0.0,0.0
1980-09-19,0.0,0.81,0.8,0.81,13200,0.0,0.0
1980-09-22,0.0,0.82,0.81,0.81,15600,0.0,0.0
1980-09-23,0.0,0.81,0.79,0.79,21600,0.0,0.0
1980-09-24,0.0,0.8,0.79,0.79,8400,0.0,0.0
1980-09-25,0.0,0.8,0.78,0.78,6000,0.0,0.0
1980-09-26,0.0,0.79,0.78,0.78,16800,0.0,0.0
1980-09-29,0.0,0.78,0.77,0.77,8400,0.0,0.0
1980-09-30,0.0,0.77,0.75,0.76,32400,0.0,0.0
1980-10-01,0.0,0.76,0.75,0.75,8400,0.0,0.0
1980-10-02,0.0,0.75,0.75,0.75,75600,0.0,0.0
1980-10-03,0.0,0.76,0.76,0.76,7200,0.0,0.0
1980-10-06,0.0,0.77,0.75,0.77,13200,0.0,0.0
1980-10-07,0.0,0.77,0.77,0.77,34800,0.0,0.0
1980-10-08,0.0,0.77,0.77,0.77,40800,0.0,0.0
1980-10-09,0.0,0.77,0.77,0.77,66000,0.0,0.0
1980-10-10,0.0,0.78,0.78,0.78,7200,0.0,0.0
1980-10-13,0.0,0.78,0.78,0.78,13200,0.0,0.0
1980-10-14,0.0,0.79,0.78,0.79,12000,0.0,0.0
1980-10-15,0.0,0.79,0.79,0.79,88800,0.0,0.0
1980-10-16,0.0,0.8,0.79,0.8,52800,0.0,0.0
1980-10-17,0.0,0.8,0.78,0.78,148800,0.0,0.0
1980-10-20,0.0,0.8,0.78,0.78,67200,0.0,0.0
1980-10-21,0.0,0.8,0.78,0.78,30000,0.0,0.0
1980-10-22,0.0,0.8,0.78,0.79,146400,0.0,0.0
1980-10-23,0.0,0.79,0.79,0.79,15600,0.0,0.0
1980-10-24,0.0,0.8,0.78,0.78,133200,0.0,0.0
