Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2005-06-09,2.89,2.93,2.84,2.88,2883700,0.0,0
2005-06-10,2.89,2.89,2.78,2.79,482000,0.0,0
2005-06-13,2.82,2.82,2.76,2.78,67700,0.0,0
2005-06-14,2.78,2.78,2.77,2.78,33000,0.0,0
2005-06-15,2.8,2.84,2.77,2.83,99400,0.0,0
2005-06-16,2.85,2.85,2.82,2.83,15300,0.0,0
2005-06-17,2.83,2.89,2.83,2.87,40400,0.0,0
2005-06-20,2.91,2.91,2.86,2.87,43600,0.0,0
2005-06-21,2.87,2.91,2.84,2.86,33900,0.0,0
2005-06-22,2.87,2.89,2.86,2.87,15200,0.0,0
2005-06-23,2.87,2.87,2.85,2.85,4400,0.0,0
2005-06-24,2.85,2.89,2.85,2.86,25900,0.0,0
2005-06-27,2.85,2.88,2.83,2.88,3100,0.0,0
2005-06-28,2.88,2.88,2.86,2.87,22400,0.0,0
2005-06-29,2.87,2.91,2.87,2.88,47800,0.0,0
2005-06-30,2.88,2.88,2.76,2.86,149100,0.0,0
2005-07-01,2.85,2.86,2.85,2.85,49100,0.0,0
2005-07-05,2.89,2.89,2.86,2.86,7800,0.0,0
2005-07-06,2.86,2.86,2.86,2.86,2300,0.0,0
2005-07-07,2.85,2.87,2.84,2.86,6100,0.0,0
2005-07-08,2.86,2.87,2.86,2.87,8300,0.0,0
2005-07-11,2.87,2.87,2.82,2.82,4600,0.0,0
2005-07-12,2.86,2.86,2.85,2.85,16900,0.0,0
2005-07-13,2.85,2.86,2.83,2.84,11000,0.0,0
2005-07-14,2.84,2.86,2.83,2.84,52600,0.0,0
2005-07-15,2.84,2.86,2.84,2.84,21400,0.0,0
2005-07-18,2.84,2.84,2.81,2.81,7100,0.0,0
2005-07-19,2.84,2.85,2.8,2.83,93600,0.0,0
2005-07-20,2.82,2.83,2.77,2.83,33900,0.0,0
2005-07-21,2.83,2.83,2.81,2.81,2000,0.0,0
2005-07-22,2.84,2.84,2.82,2.82,3700,0.0,0
2005-07-25,2.92,3.2,2.86,2.92,185200,0.0,0
2005-07-26,3.01,3.01,2.89,2.91,76600,0.0,0
2005-07-27,2.94,2.94,2.89,2.93,154000,0.0,0
2005-07-28,2.92,2.93,2.87,2.88,58700,0.0,0
2005-07-29,2.9,2.93,2.89,2.89,44900,0.0,0
2005-08-01,2.89,3.06,2.89,2.91,123000,0.0,0
2005-08-02,2.94,2.97,2.91,2.93,46600,0.0,0
