Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-05-06,210.0,211.35,166.95,206.55,60400,0,0.0
2015-05-07,204.75,223.35,191.85,209.1,10453,0,0.0
2015-05-08,208.35,217.5,197.85,214.2,2727,0,0.0
2015-05-11,217.5,221.55,209.7,219.6,6033,0,0.0
2015-05-12,212.25,222.75,210.0,210.15,9173,0,0.0
2015-05-13,214.95,222.0,212.25,212.7,2080,0,0.0
2015-05-14,220.05,220.05,213.3,215.4,647,0,0.0
2015-05-15,214.5,217.5,210.0,212.7,5420,0,0.0
2015-05-18,210.45,219.75,210.36,213.45,12133,0,0.0
2015-05-19,211.5,219.75,202.5,213.0,11447,0,0.0
2015-05-20,217.5,217.5,205.8,210.75,3420,0,0.0
2015-05-21,217.5,217.5,204.9,210.9,9060,0,0.0
2015-05-22,212.7,217.05,191.55,211.65,12687,0,0.0
2015-05-26,207.15,216.45,203.55,207.45,1647,0,0.0
2015-05-27,204.0,216.0,193.2,214.2,8600,0,0.0
2015-05-28,210.75,213.6,204.0,210.0,1887,0,0.0
2015-05-29,205.35,216.0,203.4,215.25,2227,0,0.0
2015-06-01,213.0,213.0,195.0,208.65,1067,0,0.0
2015-06-02,214.8,260.7,209.745,242.4,13487,0,0.0
2015-06-03,249.75,296.25,241.275,263.4,15093,0,0.0
2015-06-04,256.05,272.505,214.5,229.65,6653,0,0.0
2015-06-05,230.85,253.5,221.55,234.15,2060,0,0.0
2015-06-08,240.27,267.3,235.65,248.25,1753,0,0.0
2015-06-09,251.55,258.45,239.55,242.85,10000,0,0.0
2015-06-10,247.2,251.85,223.5,230.4,12880,0,0.0
2015-06-11,227.25,238.05,218.55,228.45,3907,0,0.0
2015-06-12,235.5,235.5,219.015,229.05,6893,0,0.0
2015-06-15,222.3,234.0,222.3,231.6,2347,0,0.0
2015-06-16,227.1,241.05,225.0,231.15,4040,0,0.0
2015-06-17,229.65,234.75,211.2,220.8,15087,0,0.0
2015-06-18,221.25,225.15,220.05,221.4,1800,0,0.0
2015-06-19,223.05,224.4,202.5,205.65,13080,0,0.0
2015-06-22,210.0,212.25,181.5,195.75,21687,0,0.0
2015-06-23,195.0,196.65,183.9,185.985,2813,0,0.0
2015-06-24,185.85,188.7,174.15,174.15,4167,0,0.0
2015-06-25,175.35,181.95,161.25,169.35,10647,0,0.0
2015-06-26,171.75,178.2,165.6,169.95,6653,0,0.0
2015-06-29,165.15,171.0,153.3,161.1,1253,0,0.0
2015-06-30,163.35,171.45,157.8,167.25,8540,0,0.0
2015-07-01,166.35,185.4,160.5,179.85,8487,0,0.0
2015-07-02,178.8,186.6,174.0,186.6,947,0,0.0
2015-07-06,185.85,193.8,177.3,188.85,1087,0,0.0
2015-07-07,187.35,187.35,175.65,180.15,3433,0,0.0
2015-07-08,175.95,186.075,173.55,173.55,1800,0,0.0
2015-07-09,177.0,181.8,170.7,176.7,6153,0,0.0
2015-07-10,177.0,178.05,174.6,174.6,3160,0,0.0
2015-07-13,177.3,180.15,165.3,171.15,3393,0,0.0
2015-07-14,172.65,172.65,150.6,160.35,1113,0,0.0
2015-07-15,161.7,166.5,157.5,157.65,1053,0,0.0
2015-07-16,157.8,172.05,157.8,160.5,3140,0,0.0
2015-07-17,161.385,169.2,161.385,161.4,167,0,0.0
2015-07-20,163.05,168.3,149.55,157.5,1513,0,0.0
2015-07-21,157.95,162.9,155.1,155.1,2193,0,0.0
2015-07-22,155.85,166.95,152.25,155.7,973,0,0.0
2015-07-23,154.2,167.4,153.3,156.6,887,0,0.0
2015-07-24,156.6,169.95,153.45,155.55,1007,0,0.0
2015-07-27,156.0,161.85,149.7,149.7,1740,0,0.0
2015-07-28,150.45,156.9,149.85,156.15,880,0,0.0
2015-07-29,155.25,157.2,148.8,148.95,967,0,0.0
2015-07-30,148.8,151.35,135.0,138.45,6040,0,0.0
2015-07-31,139.2,142.275,130.95,131.7,1767,0,0.0
2015-08-03,131.7,131.7,118.5,121.2,2527,0,0.0
2015-08-04,119.25,119.25,111.3,116.1,1980,0,0.0
2015-08-05,119.7,120.15,102.165,108.9,3380,0,0.0
2015-08-06,135.0,145.65,111.0,126.3,6740,0,0.0
2015-08-07,119.25,127.65,111.75,114.6,2960,0,0.0
2015-08-10,114.45,119.7,110.97,113.25,567,0,0.0
2015-08-11,110.85,115.05,109.5,110.25,2907,0,0.0
2015-08-12,115.35,115.74,108.9,108.9,1640,0,0.0
2015-08-13,109.8,115.2,86.1,90.75,1520,0,0.0
2015-08-14,93.0,100.875,82.8,87.0,1000,0,0.0
2015-08-17,87.45,95.55,84.75,85.95,2127,0,0.0
2015-08-18,88.95,89.64,84.9,86.25,1680,0,0.0
2015-08-19,87.75,90.0,81.75,81.75,580,0,0.0
2015-08-20,84.0,93.75,83.7,83.7,1480,0,0.0
2015-08-21,84.6,90.285,81.75,83.7,853,0,0.0
2015-08-24,77.4,82.65,69.6,78.9,1800,0,0.0
2015-08-25,82.5,91.05,82.5,82.8,1333,0,0.0
2015-08-26,90.0,90.0,82.65,85.8,2860,0,0.0
2015-08-27,87.0,90.3,79.5,81.75,2840,0,0.0
2015-08-28,82.2,85.35,82.2,85.35,300,0,0.0
2015-08-31,85.5,87.0,83.25,83.55,560,0,0.0
2015-09-01,83.55,90.75,82.8,87.675,460,0,0.0
2015-09-02,88.125,88.2,82.65,83.7,880,0,0.0
2015-09-03,84.0,90.075,84.0,85.5,440,0,0.0
2015-09-04,86.55,90.45,85.2,88.95,753,0,0.0
2015-09-08,90.75,93.45,88.65,92.85,1213,0,0.0
2015-09-09,91.35,94.2,88.65,93.15,440,0,0.0
2015-09-10,95.55,97.17,91.8,97.05,313,0,0.0
2015-09-11,99.75,109.95,96.15,107.4,1847,0,0.0
2015-09-14,108.15,120.0,104.1,120.0,867,0,0.0
2015-09-15,121.35,124.05,109.5,121.5,473,0,0.0
2015-09-16,119.4,133.5,115.35,129.75,573,0,0.0
2015-09-17,154.8,169.35,135.15,169.35,3213,0,0.0
2015-09-18,172.5,196.5,163.23,172.05,3673,0,0.0
2015-09-21,185.1,190.395,170.25,178.35,1373,0,0.0
2015-09-22,171.0,173.55,165.45,170.55,420,0,0.0
2015-09-23,165.45,170.1,165.3,169.65,580,0,0.0
2015-09-24,165.6,166.8,138.24,166.8,1067,0,0.0
2015-09-25,163.8,168.15,150.6,151.95,1080,0,0.0
2015-09-28,133.5,141.45,121.65,124.35,1107,0,0.0
2015-09-29,122.85,139.5,117.15,117.15,740,0,0.0
2015-09-30,119.4,132.75,112.5,114.3,1927,0,0.0
2015-10-01,136.215,136.215,110.7,113.67,573,0,0.0
2015-10-02,116.7,122.85,113.25,114.75,387,0,0.0
2015-10-05,117.3,143.85,117.3,130.95,453,0,0.0
2015-10-06,127.5,130.5,120.6,120.6,353,0,0.0
2015-10-07,122.55,123.0,115.8,115.8,527,0,0.0
2015-10-08,115.35,123.0,101.4,109.95,787,0,0.0
2015-10-09,114.75,118.5,99.9,102.6,3360,0,0.0
2015-10-12,103.65,103.65,90.0,91.95,267,0,0.0
2015-10-13,109.8,109.8,90.0,91.2,300,0,0.0
2015-10-14,90.15,102.0,90.0,90.3,613,0,0.0
2015-10-15,91.5,99.0,91.5,93.75,673,0,0.0
2015-10-16,93.3,93.3,84.9,84.9,333,0,0.0
2015-10-19,87.6,88.5,78.9,81.9,1793,0,0.0
