Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-12-10,48.5,48.5,21.41,21.88,131800,0,0
2020-12-11,26.89,26.89,18.5,19.7,601100,0,0
2020-12-14,17.98,18.42,15.73,17.75,541300,0,0
2020-12-15,17.58,17.7,16.16,17.05,405600,0,0
2020-12-16,16.79,17.89,16.0,17.4,244700,0,0
2020-12-17,17.89,17.89,16.03,16.44,170500,0,0
2020-12-18,17.0,17.27,16.05,16.16,109400,0,0
2020-12-21,16.0,17.39,15.27,16.23,193900,0,0
2020-12-22,17.0,17.85,16.23,16.61,269800,0,0
2020-12-23,17.53,22.25,17.33,19.91,1108400,0,0
2020-12-24,23.5,23.89,19.12,20.05,799400,0,0
2020-12-28,21.49,21.5,18.5,19.85,388000,0,0
2020-12-29,19.24,19.53,18.3,19.0,296400,0,0
2020-12-30,19.04,19.49,18.6,18.73,122200,0,0
2020-12-31,18.32,18.55,17.45,18.43,112600,0,0
2021-01-04,17.94,18.19,16.53,16.83,283300,0,0
2021-01-05,16.8,17.42,15.69,16.2,339700,0,0
2021-01-06,16.8,17.8,15.21,16.05,354500,0,0
2021-01-07,17.25,18.49,16.95,18.09,481800,0,0
2021-01-08,19.5,19.86,17.88,18.9,465000,0,0
2021-01-11,18.5,18.6,17.25,18.03,293700,0,0
2021-01-12,18.0,19.35,17.05,19.29,516200,0,0
2021-01-13,20.2,22.4,18.9,21.5,1432800,0,0
2021-01-14,21.75,25.87,21.75,24.68,2171200,0,0
2021-01-15,24.85,25.0,22.05,23.86,760000,0,0
2021-01-19,24.45,25.85,23.5,24.34,809800,0,0
2021-01-20,25.04,25.2,22.73,22.97,579300,0,0
2021-01-21,22.61,24.0,20.61,22.59,1129200,0,0
2021-01-22,21.83,22.49,20.9,21.17,477600,0,0
2021-01-25,21.8,21.9,18.92,20.57,761900,0,0
2021-01-26,20.61,23.16,20.61,21.8,914800,0,0
2021-01-27,20.31,21.5,19.81,21.12,649200,0,0
2021-01-28,21.18,24.45,21.1,22.77,922200,0,0
2021-01-29,22.47,22.59,19.75,20.7,634400,0,0
2021-02-01,21.05,21.13,19.83,20.28,264200,0,0
2021-02-02,20.37,20.58,19.33,20.3,315400,0,0
2021-02-03,20.53,20.8,19.8,20.3,235600,0,0
2021-02-04,20.12,20.31,19.0,19.42,350800,0,0
2021-02-05,19.4,20.5,19.4,20.2,418000,0,0
2021-02-08,20.29,20.98,19.61,20.79,321700,0,0
2021-02-09,20.68,21.18,19.67,21.15,377300,0,0
2021-02-10,21.15,21.18,19.65,20.1,303300,0,0
2021-02-11,19.92,20.09,18.81,19.06,233400,0,0
2021-02-12,19.0,19.44,18.58,18.87,191000,0,0
2021-02-16,19.07,19.81,19.07,19.31,287900,0,0
2021-02-17,18.9,18.9,16.87,18.29,563100,0,0
2021-02-18,18.22,18.28,16.76,18.11,447300,0,0
2021-02-19,18.25,19.92,18.22,19.2,270200,0,0
2021-02-22,18.91,19.42,18.39,18.56,297500,0,0
2021-02-23,17.62,17.8,16.28,17.65,628100,0,0
2021-02-24,17.57,17.74,16.79,16.98,246500,0,0
2021-02-25,16.98,17.1,15.06,15.38,452000,0,0
2021-02-26,15.2,15.61,14.05,15.38,391900,0,0
2021-03-01,15.98,16.6,15.85,16.21,239600,0,0
2021-03-02,16.35,16.49,15.85,15.91,153600,0,0
2021-03-03,15.79,16.46,14.67,14.91,233400,0,0
2021-03-04,15.86,16.32,14.2,14.76,578400,0,0
2021-03-05,15.1,15.22,13.26,13.69,818900,0,0
2021-03-08,13.6,13.77,12.16,12.34,418900,0,0
2021-03-09,12.99,13.56,12.7,13.49,363100,0,0
2021-03-10,14.26,14.9,13.13,13.48,527200,0,0
2021-03-11,13.89,14.73,13.26,14.64,566200,0,0
2021-03-12,14.29,15.66,14.2,15.66,308600,0,0
2021-03-15,16.11,17.15,16.04,16.8,294200,0,0
2021-03-16,17.0,17.0,14.75,15.1,411800,0,0
2021-03-17,14.44,14.9,13.91,14.47,294800,0,0
2021-03-18,14.51,15.26,14.22,14.49,229700,0,0
2021-03-19,14.42,14.9,13.64,14.83,311300,0,0
2021-03-22,14.86,15.28,14.62,15.21,130900,0,0
2021-03-23,14.92,15.2,14.14,14.4,107800,0,0
2021-03-24,14.5,14.75,12.86,12.91,219100,0,0
2021-03-25,12.5,12.94,12.03,12.49,426900,0,0
2021-03-26,12.52,12.96,11.75,12.2,260500,0,0
2021-03-29,12.2,12.49,11.34,11.45,221800,0,0
2021-03-30,11.45,12.76,11.06,12.74,232400,0,0
2021-03-31,12.98,13.52,12.91,13.4,199900,0,0
2021-04-01,13.9,13.9,12.81,13.03,125500,0,0
2021-04-05,13.5,13.5,12.54,12.87,110200,0,0
2021-04-06,12.97,13.5,12.84,13.44,74900,0,0
2021-04-07,13.25,13.36,12.75,12.82,89600,0,0
2021-04-08,13.69,13.69,12.85,13.29,133700,0,0
2021-04-09,13.11,13.15,12.55,12.59,116500,0,0
2021-04-12,12.5,12.55,11.8,12.01,149000,0,0
2021-04-13,12.05,12.76,11.98,12.76,178300,0,0
2021-04-14,12.8,13.39,12.8,13.11,174900,0,0
2021-04-15,13.37,13.39,12.2,12.6,194200,0,0
2021-04-16,12.57,12.57,11.56,12.0,199300,0,0
2021-04-19,12.0,12.19,11.39,11.52,140100,0,0
2021-04-20,11.58,11.69,10.83,11.32,194100,0,0
2021-04-21,11.17,11.99,11.02,11.98,130300,0,0
2021-04-22,12.06,12.55,11.81,12.46,111100,0,0
2021-04-23,12.43,12.93,12.23,12.61,97200,0,0
2021-04-26,12.83,13.15,12.66,12.89,96000,0,0
2021-04-27,12.79,13.11,12.51,12.53,89500,0,0
2021-04-28,12.63,13.13,12.17,13.05,79300,0,0
2021-04-29,13.04,13.15,12.34,12.91,101400,0,0
2021-04-30,12.74,12.85,12.39,12.82,101700,0,0
2021-05-03,12.78,12.8,11.76,12.51,111500,0,0
2021-05-04,12.25,12.25,11.52,11.81,86900,0,0
