Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1981-12-31,2.01,2.03,1.99,1.99,68040,0.0,0.0
1982-01-04,2.04,2.07,2.01,2.06,106560,0.0,0.0
1982-01-05,2.05,2.08,2.01,2.02,240840,0.0,0.0
1982-01-06,2.01,2.03,1.98,2.01,239040,0.0,0.0
1982-01-07,2.0,2.01,1.99,2.01,162720,0.0,0.0
1982-01-08,2.01,2.03,2.0,2.02,210960,0.0,0.0
1982-01-11,2.01,2.03,1.98,1.98,218160,0.0,0.0
1982-01-12,1.98,1.98,1.96,1.97,198360,0.0,0.0
1982-01-13,1.97,1.98,1.96,1.97,465120,0.0,0.0
1982-01-14,1.94,1.96,1.92,1.94,288360,0.0,0.0
1982-01-15,1.93,1.94,1.93,1.93,408240,0.0,0.0
1982-01-18,1.91,1.93,1.89,1.9,623520,0.0,0.0
1982-01-19,1.89,1.92,1.86,1.87,420840,0.0,0.0
1982-01-20,1.85,1.87,1.83,1.86,345960,0.0,0.0
1982-01-21,1.86,1.86,1.84,1.85,340200,0.0,0.0
1982-01-22,1.84,1.85,1.83,1.83,257760,0.0,0.0
1982-01-25,1.85,1.86,1.83,1.83,269280,0.0,0.0
1982-01-26,1.81,1.84,1.78,1.79,187200,0.0,0.0
1982-01-27,1.8,1.81,1.78,1.8,236880,0.0,0.0
1982-01-28,1.88,1.95,1.81,1.95,448920,0.0,0.0
1982-01-29,2.02,2.04,1.99,2.03,432360,0.0,0.0
1982-02-01,1.97,2.01,1.93,1.94,315120,0.0,1.5
1982-02-02,1.94,1.95,1.92,1.95,206640,0.0,0.0
1982-02-03,1.97,1.99,1.95,1.99,153600,0.0,0.0
1982-02-04,1.93,1.97,1.88,1.92,201600,0.0,0.0
1982-02-05,1.98,2.02,1.94,2.01,310320,0.0,0.0
1982-02-08,2.04,2.11,1.96,2.02,374400,0.0,0.0
1982-02-09,2.02,2.07,1.96,1.97,225840,0.0,0.0
1982-02-10,2.02,2.05,1.97,2.03,233520,0.0,0.0
1982-02-11,2.03,2.06,1.98,2.02,239520,0.0,0.0
1982-02-12,2.06,2.09,2.02,2.07,180000,0.0,0.0
1982-02-16,2.04,2.06,2.02,2.04,340800,0.0,0.0
1982-02-17,2.08,2.1,2.05,2.08,212880,0.0,0.0
1982-02-18,2.12,2.15,2.09,2.13,199440,0.0,0.0
1982-02-19,2.17,2.22,2.11,2.18,434880,0.0,0.0
1982-02-22,2.17,2.23,2.09,2.09,430320,0.0,0.0
1982-02-23,2.08,2.12,2.04,2.09,280080,0.0,0.0
1982-02-24,2.09,2.13,2.05,2.13,235200,0.0,0.0
1982-02-25,2.15,2.2,2.11,2.13,209040,0.0,0.0
1982-02-26,2.11,2.17,2.05,2.09,200400,0.0,0.0
1982-03-01,2.14,2.18,2.11,2.12,157920,0.0,0.0
1982-03-02,2.12,2.12,2.11,2.11,69600,0.0,0.0
1982-03-03,2.09,2.11,2.06,2.07,171840,0.0,0.0
1982-03-04,2.02,2.05,1.97,2.03,269520,0.0,0.0
1982-03-05,1.97,2.02,1.92,1.97,148560,0.0,0.0
1982-03-08,1.92,1.99,1.83,1.85,444240,0.0,0.0
1982-03-09,1.91,2.01,1.81,1.96,366960,0.0,0.0
1982-03-10,1.95,1.97,1.92,1.92,103200,0.0,0.0
1982-03-11,1.89,1.92,1.85,1.87,471600,0.0,0.0
1982-03-12,1.83,1.9,1.77,1.78,321120,0.0,0.0
1982-03-15,1.79,1.81,1.76,1.8,185280,0.0,0.0
1982-03-16,1.83,1.87,1.8,1.82,317760,0.0,0.0
1982-03-17,1.78,1.83,1.72,1.75,852720,0.0,0.0
