Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2005-02-14,15.79,15.82,15.47,15.79,4827700.0,0.0,0.0
2005-02-15,15.79,16.56,15.79,16.5,5801400.0,0.0,0.0
2005-02-16,16.75,17.04,16.46,16.74,4271000.0,0.0,0.0
2005-02-17,16.73,16.78,16.35,16.66,2111400.0,0.0,0.0
2005-02-18,16.66,17.19,16.66,17.01,2910200.0,0.0,0.0
2005-02-22,16.88,17.27,16.72,16.9,1528300.0,0.0,0.0
2005-02-23,16.99,17.4,16.82,17.33,1123500.0,0.0,0.0
2005-02-24,17.33,18.33,17.28,18.26,2297400.0,0.0,0.0
2005-02-25,18.33,19.33,18.33,18.37,3390600.0,0.0,0.0
2005-02-28,18.75,18.75,17.85,18.4,1673600.0,0.0,0.0
2005-03-01,18.44,18.66,17.91,18.17,2358000.0,0.0,0.0
2005-03-02,18.14,18.47,17.9,18.16,1414700.0,0.0,0.0
2005-03-03,18.2,18.2,17.99,18.04,500500.0,0.0,0.0
2005-03-04,18.01,18.62,18.01,18.17,1488800.0,0.0,0.0
2005-03-07,18.17,18.35,18.08,18.08,1905100.0,0.0,0.0
2005-03-08,18.08,18.08,17.26,17.75,1549500.0,0.0,0.0
2005-03-09,17.72,18.31,17.72,17.79,1233700.0,0.0,0.0
2005-03-10,17.85,18.08,17.28,17.56,1098300.0,0.0,0.0
2005-03-11,17.56,17.95,17.5,17.74,845600.0,0.0,0.0
2005-03-14,17.66,17.69,16.48,17.35,2277900.0,0.0,0.0
2005-03-15,17.43,17.55,16.82,17.05,630600.0,0.0,0.0
2005-03-16,16.53,16.75,15.76,16.43,4051000.0,0.0,0.0
2005-03-17,16.37,16.86,16.27,16.85,1131000.0,0.0,0.0
2005-03-18,16.72,16.77,16.22,16.46,765400.0,0.0,0.0
2005-03-21,16.43,16.46,15.79,16.05,457600.0,0.0,0.0
2005-03-22,15.92,16.56,15.92,16.43,974900.0,0.0,0.0
2005-03-23,16.6,16.92,15.99,16.08,870000.0,0.0,0.0
2005-03-24,16.07,16.24,15.47,15.57,1626700.0,0.0,0.0
2005-03-28,15.5,15.69,15.01,15.29,1801400.0,0.0,0.0
2005-03-29,14.97,15.56,14.92,14.96,1416700.0,0.0,0.0
2005-03-30,14.85,14.92,14.18,14.66,4545800.0,0.0,0.0
2005-03-31,14.81,15.21,14.66,15.03,3508900.0,0.0,0.0
2005-04-01,15.09,15.32,14.67,15.07,1654500.0,0.0,0.0
2005-04-04,14.95,15.01,14.83,14.89,558300.0,0.0,0.0
2005-04-05,14.85,14.9,14.42,14.49,1760900.0,0.0,0.0
2005-04-06,14.37,14.59,14.06,14.18,1548400.0,0.0,0.0
2005-04-07,14.27,14.58,14.05,14.53,1365000.0,0.0,0.0
2005-04-08,14.53,14.53,14.25,14.42,907300.0,0.0,0.0
2005-04-11,14.42,14.5,14.31,14.4,643300.0,0.0,0.0
2005-04-12,14.38,14.69,14.27,14.53,3012500.0,0.0,0.0
2005-04-13,14.5,14.51,14.14,14.32,3356300.0,0.0,0.0
2005-04-14,14.31,14.31,13.34,13.78,2637700.0,0.0,0.0
2005-04-15,13.73,13.73,13.37,13.5,2945900.0,0.0,0.0
2005-04-18,13.4,13.49,13.02,13.17,1258800.0,0.0,0.0
2005-04-19,13.37,13.79,13.37,13.64,1620300.0,0.0,0.0
2005-04-20,13.76,13.76,12.83,13.07,556400.0,0.0,0.0
2005-04-21,13.4,13.73,13.2,13.66,501800.0,0.0,0.0
2005-04-22,13.76,13.76,12.75,12.89,777200.0,0.0,0.0
2005-04-25,12.79,13.92,12.79,13.82,1381200.0,0.0,0.0
2005-04-26,13.76,14.36,13.18,13.53,1166800.0,0.0,0.0
2005-04-27,13.53,13.53,12.78,13.09,755700.0,0.0,0.0
2005-04-28,13.27,13.46,12.63,13.01,727200.0,0.0,0.0
2005-04-29,13.34,13.56,13.02,13.56,679800.0,0.0,0.0
2005-05-02,13.63,13.97,13.63,13.92,981600.0,0.0,0.0
2005-05-03,13.85,14.28,13.78,14.28,673300.0,0.0,0.0
2005-05-04,14.89,14.98,14.35,14.83,1361600.0,0.0,0.0
2005-05-05,14.92,15.04,14.65,14.8,734100.0,0.0,0.0
2005-05-06,14.95,14.96,14.53,14.66,874800.0,0.0,0.0
2005-05-09,14.66,14.95,14.05,14.95,745500.0,0.0,0.0
2005-05-10,14.95,14.95,14.4,14.63,720000.0,0.0,0.0
2005-05-11,14.63,14.63,14.05,14.18,786800.0,0.0,0.0
2005-05-12,14.11,14.32,13.67,13.8,1890400.0,0.0,0.0
2005-05-13,13.8,13.8,12.83,13.04,1095400.0,0.0,0.0
2005-05-16,12.97,12.97,11.82,12.31,1943700.0,0.0,0.0
2005-05-17,12.31,12.43,11.79,12.13,595600.0,0.0,0.0
2005-05-18,12.21,12.72,12.15,12.44,1965700.0,0.0,0.0
2005-05-19,12.63,12.86,12.57,12.58,418200.0,0.0,0.0
2005-05-20,12.6,12.6,12.24,12.35,267800.0,0.0,0.0
2005-05-23,12.24,12.47,12.2,12.39,521800.0,0.0,0.0
2005-05-24,12.42,12.44,12.08,12.13,993000.0,0.0,0.0
2005-05-25,12.18,12.18,11.9,11.99,524000.0,0.0,0.0
2005-05-26,12.02,12.18,11.7,11.9,2427200.0,0.0,0.0
2005-05-27,11.99,12.15,11.8,12.11,468800.0,0.0,0.0
2005-05-31,12.16,12.47,11.95,12.4,916900.0,0.0,0.0
2005-06-01,12.37,12.57,12.08,12.26,1337600.0,0.0,0.0
2005-06-02,12.18,12.24,11.97,12.2,569700.0,0.0,0.0
2005-06-03,12.2,12.31,11.89,12.08,656700.0,0.0,0.0
2005-06-06,12.11,12.11,11.91,12.08,411900.0,0.0,0.0
2005-06-07,12.13,12.39,11.84,11.95,984700.0,0.0,0.0
2005-06-08,11.97,12.02,11.8,12.02,688700.0,0.0,0.0
2005-06-09,11.99,12.14,11.85,12.11,489000.0,0.0,0.0
2005-06-10,12.11,12.34,12.07,12.18,464300.0,0.0,0.0
2005-06-13,12.18,12.42,12.18,12.34,536800.0,0.0,0.0
2005-06-14,12.39,12.79,12.3,12.74,653100.0,0.0,0.0
2005-06-15,12.8,13.04,12.73,13.01,873500.0,0.0,0.0
2005-06-16,13.11,13.48,13.09,13.23,1542600.0,0.0,0.0
2005-06-17,13.26,13.34,12.6,12.75,1113600.0,0.0,0.0
2005-06-20,12.86,12.87,12.33,12.53,996200.0,0.0,0.0
2005-06-21,12.53,12.63,12.13,12.2,1028700.0,0.0,0.0
2005-06-22,12.22,12.37,12.22,12.36,592600.0,0.0,0.0
2005-06-23,12.42,12.71,12.4,12.59,592100.0,0.0,0.0
2005-06-24,12.59,12.73,12.29,12.4,408800.0,0.0,0.0
2005-06-27,12.37,12.57,12.37,12.48,472900.0,0.0,0.0
2005-06-28,12.61,13.08,12.57,13.03,501300.0,0.0,0.0
2005-06-29,13.19,13.64,12.95,13.04,750200.0,0.0,0.0
2005-06-30,13.07,13.15,12.89,13.06,461000.0,0.0,0.0
2005-07-01,13.11,13.2,12.98,13.15,172700.0,0.0,0.0
2005-07-05,13.23,13.4,13.04,13.36,221300.0,0.0,0.0
2005-07-06,13.85,14.26,13.67,13.89,1029700.0,0.0,0.0
2005-07-07,13.78,13.95,13.53,13.94,1182000.0,0.0,0.0
2005-07-08,13.87,14.74,13.75,14.69,1217000.0,0.0,0.0
2005-07-11,14.8,15.34,14.76,15.26,1141900.0,0.0,0.0
2005-07-12,15.28,15.39,14.88,15.18,697500.0,0.0,0.0
2005-07-13,15.14,15.21,14.63,14.8,374500.0,0.0,0.0
2005-07-14,14.82,15.2,14.63,14.83,512400.0,0.0,0.0
2005-07-15,14.85,15.0,14.4,14.89,393100.0,0.0,0.0
2005-07-18,14.86,15.28,14.83,15.0,252100.0,0.0,0.0
2005-07-19,15.34,15.75,15.24,15.47,638600.0,0.0,0.0
2005-07-20,15.37,15.66,15.24,15.48,488000.0,0.0,0.0
2005-07-21,15.53,15.53,15.08,15.24,309400.0,0.0,0.0
2005-07-22,15.14,15.24,14.82,14.96,411900.0,0.0,0.0
2005-07-25,14.8,14.9,14.29,14.38,869200.0,0.0,0.0
2005-07-26,14.26,14.34,14.02,14.13,469800.0,0.0,0.0
2005-07-27,14.18,14.61,14.18,14.54,230800.0,0.0,0.0
2005-07-28,14.51,15.4,14.4,15.4,471300.0,0.0,0.0
2005-07-29,15.41,15.41,14.95,15.01,287600.0,0.0,0.0
2005-08-01,15.05,15.24,14.89,15.08,197800.0,0.0,0.0
2005-08-02,15.14,15.43,14.99,15.25,449100.0,0.0,0.0
2005-08-03,15.26,15.3,14.6,15.14,520200.0,0.0,0.0
2005-08-04,14.04,14.85,14.04,14.09,1473600.0,0.0,0.0
2005-08-05,14.05,14.21,13.66,13.92,672200.0,0.0,0.0
2005-08-08,13.93,13.98,13.73,13.83,500200.0,0.0,0.0
2005-08-09,13.87,13.94,13.55,13.67,387900.0,0.0,0.0
2005-08-10,13.71,13.98,13.55,13.84,305700.0,0.0,0.0
2005-08-11,13.84,14.71,13.84,14.64,768900.0,0.0,0.0
2005-08-12,14.56,14.57,14.07,14.14,381700.0,0.0,0.0
2005-08-15,14.14,14.14,13.73,13.76,322300.0,0.0,0.0
2005-08-16,13.76,13.85,13.21,13.22,620900.0,0.0,0.0
2005-08-17,13.22,13.4,12.96,13.12,208100.0,0.0,0.0
2005-08-18,13.08,13.18,12.86,13.09,337700.0,0.0,0.0
2005-08-19,13.21,13.37,13.07,13.31,278600.0,0.0,0.0
2005-08-22,13.35,13.51,13.34,13.44,296100.0,0.0,0.0
2005-08-23,13.44,13.49,13.24,13.4,463400.0,0.0,0.0
2005-08-24,13.4,13.43,13.11,13.16,576200.0,0.0,0.0
2005-08-25,13.17,13.18,12.63,12.77,856400.0,0.0,0.0
2005-08-26,12.77,12.77,12.33,12.35,1246500.0,0.0,0.0
2005-08-29,12.34,12.54,12.2,12.3,919000.0,0.0,0.0
2005-08-30,12.15,12.37,11.87,11.91,978300.0,0.0,0.0
2005-08-31,11.93,12.18,11.86,12.14,789100.0,0.0,0.0
2005-09-01,12.21,12.73,12.0,12.46,701300.0,0.0,0.0
2005-09-02,12.44,12.86,12.31,12.37,314000.0,0.0,0.0
2005-09-06,12.34,12.69,12.34,12.5,788800.0,0.0,0.0
2005-09-07,12.5,12.82,12.33,12.73,989400.0,0.0,0.0
2005-09-08,12.82,13.02,12.49,12.68,613300.0,0.0,0.0
2005-09-09,12.68,12.72,12.41,12.47,321400.0,0.0,0.0
2005-09-12,12.47,12.59,12.24,12.37,732200.0,0.0,0.0
2005-09-13,12.37,12.37,11.76,11.81,1308700.0,0.0,0.0
2005-09-14,11.83,12.02,11.73,11.77,520500.0,0.0,0.0
2005-09-15,11.77,11.82,11.4,11.52,705900.0,0.0,0.0
2005-09-16,11.53,11.55,11.37,11.43,300700.0,0.0,0.0
2005-09-19,11.53,11.53,11.19,11.26,405000.0,0.0,0.0
2005-09-20,11.37,11.55,11.21,11.21,732900.0,0.0,0.0
2005-09-21,11.14,11.31,10.95,10.95,328800.0,0.0,0.0
2005-09-22,11.02,11.05,10.63,10.79,1111700.0,0.0,0.0
2005-09-23,10.81,11.41,10.79,11.25,1083200.0,0.0,0.0
2005-09-26,11.6,11.72,11.44,11.53,1066800.0,0.0,0.0
2005-09-27,11.66,11.66,11.17,11.31,844200.0,0.0,0.0
2005-09-28,11.3,11.56,11.21,11.5,654000.0,0.0,0.0
2005-09-29,11.48,12.35,11.44,12.31,1996500.0,0.0,0.0
2005-09-30,12.28,12.86,12.22,12.6,1476000.0,0.0,0.0
2005-10-03,12.6,12.73,12.31,12.35,963800.0,0.0,0.0
2005-10-04,12.35,12.61,12.31,12.43,433000.0,0.0,0.0
2005-10-05,12.42,12.55,12.12,12.19,330900.0,0.0,0.0
2005-10-06,12.19,12.2,11.93,12.08,469500.0,0.0,0.0
2005-10-07,12.24,12.6,12.24,12.53,1183500.0,0.0,0.0
2005-10-10,12.63,12.73,12.3,12.42,312000.0,0.0,0.0
2005-10-11,12.42,12.42,12.14,12.19,622700.0,0.0,0.0
2005-10-12,12.22,12.27,11.9,12.19,429800.0,0.0,0.0
2005-10-13,12.17,12.21,11.95,12.12,389300.0,0.0,0.0
2005-10-14,12.19,12.36,12.19,12.31,451700.0,0.0,0.0
2005-10-17,12.31,12.48,12.27,12.35,293700.0,0.0,0.0
2005-10-18,12.35,12.49,12.28,12.29,145600.0,0.0,0.0
2005-10-19,12.29,12.29,11.79,11.94,872700.0,0.0,0.0
2005-10-20,11.95,12.28,11.95,12.08,693400.0,0.0,0.0
2005-10-21,12.14,12.26,12.08,12.18,759200.0,0.0,0.0
2005-10-24,12.3,12.82,12.18,12.71,870200.0,0.0,0.0
2005-10-25,12.65,12.95,12.42,12.6,673400.0,0.0,0.0
2005-10-26,12.59,12.89,12.5,12.61,366300.0,0.0,0.0
2005-10-27,12.68,12.78,12.54,12.73,707900.0,0.0,0.0
2005-10-28,12.86,12.89,12.6,12.8,335200.0,0.0,0.0
2005-10-31,12.88,13.09,12.76,12.81,765000.0,0.0,0.0
2005-11-01,12.81,13.21,12.81,13.07,490700.0,0.0,0.0
2005-11-02,13.08,13.08,12.13,12.4,2468600.0,0.0,0.0
2005-11-03,12.4,12.97,12.4,12.92,1985900.0,0.0,0.0
2005-11-04,12.92,13.11,12.33,12.57,534100.0,0.0,0.0
2005-11-07,12.53,12.71,12.43,12.46,494100.0,0.0,0.0
2005-11-08,12.47,12.49,12.31,12.31,353000.0,0.0,0.0
2005-11-09,12.33,12.89,12.33,12.38,593900.0,0.0,0.0
2005-11-10,12.37,12.57,12.26,12.44,404800.0,0.0,0.0
2005-11-11,12.37,12.61,12.35,12.5,776900.0,0.0,0.0
2005-11-14,12.49,12.58,12.19,12.32,774200.0,0.0,0.0
2005-11-15,12.32,12.44,12.22,12.4,837200.0,0.0,0.0
2005-11-16,12.57,12.57,12.0,12.02,1579300.0,0.0,0.0
