Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-05-03,10.0,10.0,9.94,9.94,92900,0,0
2021-05-04,9.95,9.97,9.92,9.93,145800,0,0
2021-05-05,9.95,9.95,9.92,9.93,40000,0,0
2021-05-06,9.98,9.99,9.94,9.95,116700,0,0
2021-05-07,9.94,9.97,9.92,9.93,136500,0,0
2021-05-10,9.94,9.94,9.86,9.9,55400,0,0
2021-05-11,9.9,9.96,9.9,9.96,272200,0,0
2021-05-12,9.91,9.91,9.89,9.89,31600,0,0
2021-05-13,9.92,9.92,9.88,9.9,149700,0,0
2021-05-14,9.95,10.02,9.95,10.0,177500,0,0
2021-05-17,9.95,9.99,9.91,9.95,599700,0,0
2021-05-18,9.94,9.94,9.9,9.9,45000,0,0
2021-05-19,9.9,9.9,9.87,9.88,10200,0,0
2021-05-20,9.9,9.9,9.88,9.9,3900,0,0
2021-05-21,9.91,9.91,9.9,9.9,9900,0,0
