Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1985-12-16,0.0,0.52,0.51,0.52,41100,0.0,0
1985-12-17,0.0,0.52,0.51,0.52,52400,0.0,0
1985-12-18,0.0,0.52,0.51,0.52,16300,0.0,0
1985-12-19,0.0,0.52,0.51,0.52,21900,0.0,0
1985-12-20,0.0,0.52,0.51,0.51,21100,0.0,0
1985-12-23,0.0,0.52,0.51,0.52,16600,0.0,0
1985-12-24,0.0,0.52,0.51,0.52,26900,0.0,0
1985-12-26,0.0,0.52,0.51,0.51,19900,0.0,0
1985-12-27,0.0,0.52,0.5,0.52,28400,0.0,0
1985-12-30,0.0,0.52,0.5,0.51,12400,0.0,0
1985-12-31,0.0,0.51,0.5,0.5,11100,0.0,0
1986-01-02,0.0,0.51,0.5,0.5,10800,0.0,0
1986-01-03,0.0,0.52,0.5,0.52,22400,0.0,0
1986-01-06,0.0,0.52,0.51,0.51,15600,0.0,0
1986-01-07,0.0,0.52,0.5,0.52,17500,0.0,0
1986-01-08,0.0,0.52,0.51,0.52,14600,0.0,0
1986-01-09,0.0,0.52,0.5,0.51,151500,0.0,0
1986-01-10,0.0,0.51,0.5,0.5,13900,0.0,0
1986-01-13,0.0,0.52,0.51,0.52,42000,0.0,0
1986-01-14,0.0,0.54,0.51,0.53,33900,0.0,0
1986-01-15,0.0,0.54,0.54,0.54,51200,0.0,0
1986-01-16,0.0,0.56,0.54,0.54,42700,0.0,0
1986-01-17,0.0,0.55,0.54,0.55,27300,0.0,0
1986-01-20,0.0,0.55,0.54,0.54,38800,0.0,0
1986-01-21,0.0,0.54,0.53,0.53,37000,0.0,0
1986-01-22,0.0,0.54,0.53,0.54,55400,0.0,0
1986-01-23,0.0,0.54,0.54,0.54,18300,0.0,0
1986-01-24,0.0,0.54,0.52,0.53,48300,0.0,0
1986-01-27,0.0,0.54,0.54,0.54,19100,0.0,0
1986-01-28,0.0,0.54,0.53,0.54,12400,0.0,0
1986-01-29,0.0,0.54,0.53,0.53,15800,0.0,0
1986-01-30,0.0,0.54,0.53,0.53,13200,0.0,0
1986-01-31,0.0,0.54,0.53,0.53,11500,0.0,0
1986-02-03,0.0,0.54,0.52,0.53,17700,0.0,0
1986-02-04,0.0,0.52,0.52,0.52,11600,0.0,0
1986-02-05,0.0,0.52,0.51,0.51,21200,0.0,0
1986-02-06,0.0,0.52,0.51,0.52,15300,0.0,0
1986-02-07,0.0,0.52,0.52,0.52,13100,0.0,0
1986-02-10,0.0,0.52,0.51,0.52,18700,0.0,0
1986-02-11,0.0,0.52,0.5,0.5,32700,0.0,0
1986-02-12,0.0,0.52,0.51,0.52,35800,0.0,0
1986-02-13,0.0,0.53,0.52,0.53,14600,0.0,0
1986-02-14,0.0,0.52,0.51,0.52,32600,0.0,0
1986-02-18,0.0,0.53,0.52,0.52,29500,0.0,0
1986-02-19,0.0,0.52,0.52,0.52,21900,0.0,0
1986-02-20,0.0,0.52,0.51,0.52,16900,0.0,0
1986-02-21,0.0,0.52,0.51,0.52,30200,0.0,0
1986-02-24,0.0,0.53,0.52,0.52,20000,0.0,0
1986-02-25,0.0,0.52,0.52,0.52,15800,0.0,0
1986-02-26,0.0,0.53,0.52,0.52,18700,0.0,0
1986-02-27,0.0,0.53,0.52,0.53,9900,0.0,0
1986-02-28,0.0,0.53,0.52,0.53,14400,0.0,0
1986-03-03,0.0,0.54,0.52,0.54,11400,0.0,0
1986-03-04,0.0,0.54,0.53,0.53,16300,0.0,0
1986-03-05,0.0,0.54,0.53,0.54,13000,0.0,0
1986-03-06,0.0,0.54,0.53,0.53,18600,0.0,0
1986-03-07,0.0,0.54,0.53,0.53,12000,0.0,0
1986-03-10,0.0,0.54,0.53,0.54,17700,0.0,0
1986-03-11,0.0,0.54,0.53,0.54,9500,0.0,0
1986-03-12,0.0,0.54,0.53,0.53,35100,0.0,0
1986-03-13,0.0,0.54,0.53,0.54,13600,0.0,0
1986-03-14,0.0,0.54,0.54,0.54,12600,0.0,0
1986-03-17,0.0,0.54,0.53,0.54,18200,0.0,0
1986-03-18,0.0,0.54,0.54,0.54,20000,0.0,0
1986-03-19,0.0,0.56,0.54,0.56,23800,0.0,0
1986-03-20,0.0,0.63,0.55,0.61,94500,0.0,0
1986-03-21,0.0,0.63,0.6,0.62,84600,0.0,0
1986-03-24,0.0,0.62,0.6,0.6,36500,0.0,0
1986-03-25,0.0,0.6,0.58,0.6,23000,0.0,0
1986-03-26,0.0,0.6,0.58,0.6,28900,0.0,0
1986-03-27,0.0,0.6,0.58,0.59,30600,0.0,0
1986-03-31,0.0,0.6,0.59,0.6,36100,0.0,0
1986-04-01,0.0,0.6,0.6,0.6,40900,0.0,0
1986-04-02,0.0,0.6,0.59,0.59,23600,0.0,0
1986-04-03,0.0,0.6,0.59,0.59,25800,0.0,0
1986-04-04,0.0,0.59,0.58,0.58,25100,0.0,0
1986-04-07,0.0,0.6,0.59,0.6,20700,0.0,0
1986-04-08,0.0,0.6,0.59,0.59,44000,0.0,0
1986-04-09,0.0,0.6,0.58,0.59,33900,0.0,0
1986-04-10,0.0,0.6,0.59,0.6,17500,0.0,0
1986-04-11,0.0,0.59,0.58,0.59,16900,0.0,0
1986-04-14,0.0,0.59,0.58,0.59,17900,0.0,0
1986-04-15,0.0,0.58,0.58,0.58,16800,0.0,0
1986-04-16,0.0,0.6,0.58,0.59,31900,0.0,0
1986-04-17,0.0,0.6,0.58,0.59,25500,0.0,0
1986-04-18,0.0,0.6,0.58,0.6,39600,0.0,0
1986-04-21,0.0,0.61,0.59,0.59,11200,0.0,0
1986-04-22,0.0,0.6,0.58,0.59,25200,0.0,0
1986-04-23,0.0,0.6,0.59,0.6,40500,0.0,0
1986-04-24,0.0,0.6,0.59,0.6,20800,0.0,0
1986-04-25,0.0,0.6,0.59,0.6,20200,0.0,0
1986-04-28,0.0,0.62,0.6,0.6,41200,0.0,0
1986-04-29,0.0,0.61,0.6,0.6,15900,0.0,0
1986-04-30,0.0,0.6,0.59,0.6,16700,0.0,0
1986-05-01,0.0,0.61,0.59,0.6,30700,0.0,0
1986-05-02,0.0,0.62,0.6,0.62,15100,0.0,0
1986-05-05,0.0,0.63,0.59,0.63,20000,0.0,0
1986-05-06,0.0,0.64,0.63,0.64,54800,0.0,0
1986-05-07,0.0,0.64,0.62,0.63,26600,0.0,0
1986-05-08,0.0,0.64,0.63,0.64,12100,0.0,0
1986-05-09,0.0,0.64,0.63,0.64,26500,0.0,0
1986-05-12,0.0,0.66,0.64,0.66,32500,0.0,0
1986-05-13,0.0,0.65,0.62,0.63,52600,0.0,0
1986-05-14,0.0,0.62,0.6,0.61,26200,0.0,0
1986-05-15,0.0,0.62,0.57,0.61,11700,0.0,0
1986-05-16,0.0,0.6,0.59,0.6,24500,0.0,0
1986-05-19,0.0,0.62,0.6,0.61,8300,0.0,0
1986-05-20,0.0,0.6,0.58,0.59,11900,0.0,0
1986-05-21,0.0,0.59,0.58,0.58,10700,0.0,0
1986-05-22,0.0,0.58,0.57,0.57,12200,0.0,0
1986-05-23,0.0,0.56,0.54,0.55,20000,0.0,0
1986-05-27,0.0,0.56,0.54,0.56,22200,0.0,0
1986-05-28,0.0,0.57,0.55,0.56,12400,0.0,0
1986-05-29,0.0,0.57,0.56,0.57,10300,0.0,0
1986-05-30,0.0,0.56,0.56,0.56,11800,0.0,0
1986-06-02,0.0,0.56,0.55,0.55,30800,0.0,0
1986-06-03,0.0,0.55,0.54,0.54,25500,0.0,0
1986-06-04,0.0,0.54,0.54,0.54,14100,0.0,0
1986-06-05,0.0,0.54,0.52,0.52,58000,0.0,0
1986-06-06,0.0,0.52,0.52,0.52,25400,0.0,0
1986-06-09,0.0,0.53,0.52,0.53,13000,0.0,0
1986-06-10,0.0,0.54,0.52,0.53,9700,0.0,0
1986-06-11,0.0,0.53,0.52,0.52,9500,0.0,0
1986-06-12,0.0,0.52,0.52,0.52,6100,0.0,0
1986-06-13,0.0,0.52,0.52,0.52,11700,0.0,0
1986-06-16,0.0,0.53,0.52,0.52,13300,0.0,0
1986-06-17,0.0,0.53,0.52,0.53,13800,0.0,0
1986-06-18,0.0,0.52,0.52,0.52,6600,0.0,0
1986-06-19,0.0,0.52,0.51,0.51,11100,0.0,0
1986-06-20,0.0,0.52,0.51,0.51,6500,0.0,0
