Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1997-09-19,8.3,8.91,8.3,8.64,2250800,0.0,0
1997-09-22,8.73,9.16,8.73,9.0,456900,0.0,0
1997-09-23,9.09,9.34,9.09,9.13,181700,0.0,0
1997-09-24,9.06,9.16,8.94,8.94,126500,0.0,0
1997-09-25,8.82,8.97,8.82,8.94,88300,0.0,0
1997-09-26,8.94,9.0,8.91,8.94,112500,0.0,0
1997-09-29,9.0,9.03,8.94,9.03,63000,0.0,0
1997-09-30,9.09,9.09,8.94,8.94,104900,0.0,0
1997-10-01,9.03,9.03,9.0,9.03,71700,0.0,0
1997-10-02,9.03,9.06,9.0,9.06,26400,0.0,0
1997-10-03,9.16,9.16,8.97,8.97,105600,0.0,0
1997-10-06,8.97,9.03,8.97,9.03,18000,0.0,0
1997-10-07,9.03,9.46,8.97,9.46,55500,0.0,0
1997-10-08,9.58,9.58,9.19,9.31,73400,0.0,0
1997-10-09,9.28,9.4,9.25,9.4,83500,0.0,0
1997-10-10,9.43,9.43,9.28,9.31,33800,0.0,0
1997-10-13,9.28,9.28,9.25,9.25,8700,0.0,0
1997-10-14,9.22,9.52,9.22,9.49,26700,0.0,0
1997-10-15,9.52,9.64,9.46,9.61,15600,0.0,0
1997-10-16,9.58,9.7,9.52,9.61,41700,0.0,0
1997-10-17,9.55,9.55,9.46,9.52,30900,0.0,0
1997-10-20,9.49,9.83,9.49,9.83,68600,0.0,0
1997-10-21,10.19,10.19,9.83,9.89,88400,0.0,0
1997-10-22,9.89,9.89,9.67,9.67,18200,0.0,0
1997-10-23,9.55,9.55,9.09,9.25,147800,0.0,0
1997-10-24,9.25,9.28,9.03,9.09,76800,0.0,0
1997-10-27,9.0,9.0,7.69,7.81,102100,0.0,0
1997-10-28,7.57,8.24,7.02,8.21,27900,0.0,0
1997-10-29,8.33,8.91,8.33,8.42,13600,0.0,0
1997-10-30,8.3,8.3,8.06,8.12,14300,0.0,0
1997-10-31,8.18,8.42,8.18,8.3,24300,0.0,0
1997-11-03,8.3,8.55,8.3,8.55,7000,0.0,0
1997-11-04,8.42,8.55,8.33,8.33,8900,0.0,0
1997-11-05,8.36,8.58,8.36,8.36,3400,0.0,0
1997-11-06,8.3,8.36,8.3,8.3,6700,0.0,0
1997-11-07,8.18,8.3,7.93,8.18,7100,0.0,0
1997-11-10,8.24,8.24,7.84,7.84,4700,0.0,0
1997-11-11,7.78,8.12,7.78,8.03,3200,0.0,0
1997-11-12,7.9,8.0,7.81,7.9,2400,0.0,0
1997-11-13,8.03,8.06,7.81,7.87,9000,0.0,0
1997-11-14,8.24,8.42,8.0,8.42,17300,0.0,0
1997-11-17,8.55,8.55,8.45,8.55,7600,0.0,0
1997-11-18,8.48,8.58,8.48,8.58,9200,0.0,0
1997-11-19,8.55,8.55,8.42,8.48,15300,0.0,0
1997-11-20,8.42,8.55,8.3,8.55,24800,0.0,0
1997-11-21,8.48,8.79,8.48,8.64,26300,0.0,0
1997-11-24,8.58,8.58,8.3,8.3,2100,0.0,0
1997-11-25,8.3,8.42,8.24,8.42,6100,0.0,0
1997-11-26,8.36,8.67,8.36,8.61,10900,0.0,0
1997-11-28,8.67,8.67,8.58,8.58,700,0.0,0
1997-12-01,8.45,9.03,8.45,9.03,39200,0.0,0
1997-12-02,9.03,9.19,8.97,9.19,18300,0.0,0
1997-12-03,9.16,9.19,9.13,9.16,15800,0.0,0
1997-12-04,9.09,9.28,9.09,9.25,7700,0.0,0
1997-12-05,9.22,9.28,9.16,9.19,3800,0.0,0
1997-12-08,9.22,9.28,9.22,9.28,9600,0.0,0
1997-12-09,9.22,9.34,9.16,9.34,2200,0.0,0
1997-12-10,9.28,9.4,9.28,9.31,18700,0.0,0
1997-12-11,9.22,9.22,9.03,9.09,102900,0.0,0
1997-12-12,9.0,9.09,9.0,9.06,9700,0.0,0
1997-12-15,9.06,9.4,9.06,9.28,22600,0.0,0
1997-12-16,9.28,9.34,9.16,9.16,38400,0.0,0
1997-12-17,9.09,9.52,8.85,9.28,26600,0.0,0
1997-12-18,9.28,9.46,9.28,9.4,24900,0.0,0
1997-12-19,9.28,9.28,9.22,9.22,1100,0.0,0
1997-12-22,9.22,9.22,9.03,9.03,25300,0.0,0
1997-12-23,9.03,9.09,9.03,9.03,13000,0.0,0
1997-12-24,8.97,8.97,8.97,8.97,5900,0.0,0
1997-12-26,8.94,8.97,8.88,8.97,3400,0.0,0
1997-12-29,9.03,9.58,9.03,9.46,8900,0.0,0
1997-12-30,9.4,9.49,9.4,9.49,800,0.0,0
1997-12-31,9.37,9.52,9.31,9.52,4900,0.0,0
1998-01-02,9.52,9.52,9.52,9.52,0,0.0,0
1998-01-05,9.4,9.46,9.22,9.31,16500,0.0,0
1998-01-06,9.4,9.46,9.31,9.31,12700,0.0,0
1998-01-07,9.22,9.4,9.16,9.34,2900,0.0,0
1998-01-08,9.22,9.22,9.16,9.16,600,0.0,0
1998-01-09,9.16,9.16,8.79,8.79,3700,0.0,0
1998-01-12,8.67,8.67,8.48,8.55,1200,0.0,0
1998-01-13,8.67,9.03,8.55,9.0,15300,0.0,0
1998-01-14,8.97,8.97,8.97,8.97,200,0.0,0
1998-01-15,8.85,8.85,8.79,8.79,1800,0.0,0
1998-01-16,8.79,8.91,8.64,8.91,6900,0.0,0
1998-01-20,8.79,9.09,8.79,8.97,4600,0.0,0
1998-01-21,8.91,8.91,8.91,8.91,200,0.0,0
1998-01-22,8.97,8.97,8.85,8.85,600,0.0,0
1998-01-23,8.79,8.79,8.67,8.67,4800,0.0,0
1998-01-26,8.61,8.7,8.61,8.64,1700,0.0,0
1998-01-27,8.67,8.76,8.61,8.73,3700,0.0,0
1998-01-28,8.67,8.7,8.61,8.61,4800,0.0,0
1998-01-29,8.55,8.55,8.18,8.27,10600,0.0,0
1998-01-30,8.33,8.33,8.06,8.06,27700,0.0,0
1998-02-02,8.0,8.3,8.0,8.18,104600,0.0,0
1998-02-03,8.27,8.42,8.27,8.42,8400,0.0,0
1998-02-04,8.48,8.48,8.36,8.42,6000,0.0,0
1998-02-05,8.36,8.51,8.24,8.51,8000,0.0,0
1998-02-06,8.51,8.51,8.51,8.51,0,0.0,0
1998-02-09,8.48,8.48,8.36,8.36,300,0.0,0
1998-02-10,8.36,8.36,8.36,8.36,30100,0.0,0
1998-02-11,8.45,8.45,8.36,8.36,29800,0.0,0
1998-02-12,8.3,8.3,8.24,8.27,8900,0.0,0
1998-02-13,8.18,8.3,8.18,8.3,4000,0.0,0
1998-02-17,8.24,8.24,7.69,8.18,27900,0.0,0
1998-02-18,8.18,8.18,8.18,8.18,1500,0.0,0
1998-02-19,8.06,8.18,8.06,8.18,900,0.0,0
1998-02-20,8.15,8.15,8.0,8.0,400,0.0,0
1998-02-23,8.0,8.12,8.0,8.12,7200,0.0,0
1998-02-24,8.06,8.09,8.06,8.09,16700,0.0,0
1998-02-25,7.97,8.06,7.93,8.06,122000,0.0,0
1998-02-26,8.0,8.06,7.93,8.0,55700,0.0,0
1998-02-27,8.0,8.12,8.0,8.03,35000,0.0,0
1998-03-02,8.06,8.06,8.06,8.06,5000,0.0,0
1998-03-03,8.03,8.06,8.03,8.06,5200,0.0,0
1998-03-04,8.06,8.09,8.03,8.03,1200,0.0,0
1998-03-05,8.0,8.0,7.97,7.97,2100,0.0,0
