Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-02-06,5.92,6.5,5.9,6.12,234530,0.0,0.0
2014-02-07,6.02,6.34,6.0,6.17,101405,0.0,0.0
2014-02-10,6.16,6.29,6.08,6.14,39676,0.0,0.0
2014-02-11,6.11,6.23,6.11,6.14,29505,0.0,0.0
2014-02-12,6.29,6.29,6.02,6.06,81668,0.0,0.0
2014-02-13,6.0,6.16,5.97,6.08,40179,0.0,0.0
2014-02-14,6.19,6.19,5.89,5.99,45013,0.0,0.0
2014-02-18,6.19,6.19,5.93,6.03,45919,0.0,0.0
2014-02-19,6.03,6.16,6.0,6.14,47631,0.0,0.0
2014-02-20,6.04,6.6,6.04,6.21,33835,0.0,0.0
2014-02-21,6.23,6.39,6.06,6.23,64247,0.0,0.0
2014-02-24,6.19,6.31,6.12,6.16,10976,0.0,0.0
2014-02-25,6.19,6.31,6.1,6.19,35950,0.0,0.0
2014-02-26,6.21,6.21,6.1,6.16,26988,0.0,0.0
2014-02-27,6.19,6.19,6.1,6.15,26283,0.0,0.0
2014-02-28,6.19,6.19,6.0,6.01,48537,0.0,0.0
2014-03-03,6.0,6.19,5.9,6.03,39776,0.0,0.0
2014-03-04,6.0,6.18,6.0,6.07,59413,0.0,0.0
2014-03-05,6.07,6.07,5.9,5.95,33835,0.0,0.0
2014-03-06,5.98,6.05,5.92,5.99,39676,0.0,0.0
2014-03-07,5.98,6.0,5.91,5.96,33835,0.0,0.0
2014-03-10,6.0,6.16,6.0,6.04,31418,0.0,0.0
2014-03-11,6.07,6.08,5.96,6.04,37259,0.0,0.0
2014-03-12,6.04,6.04,5.91,6.04,44207,0.0,0.0
2014-03-13,6.04,6.04,5.9,5.98,20744,0.0,0.0
2014-03-14,6.04,6.07,5.91,6.07,22154,0.0,0.0
2014-03-17,6.08,6.08,5.81,5.82,54378,0.0,0.0
2014-03-18,5.93,6.01,5.83,5.83,77338,0.0,0.0
2014-03-19,5.83,6.02,5.83,6.0,30512,0.0,0.0
2014-03-20,5.99,6.07,5.89,5.95,24671,0.179742,0.0
2014-03-21,6.07,6.15,5.91,6.11,178642,0.0,0.0
2014-03-24,6.08,6.09,5.95,6.0,26685,0.0,0.0
2014-03-25,6.01,6.02,5.91,5.97,8257,0.0,0.0
2014-03-26,5.95,5.99,5.91,5.94,40582,0.0,0.0
