Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-02-21,0.0,7.3057,7.3057,7.3057,2500,0.0,0
1973-02-22,0.0,7.4736,7.4736,7.4736,700,0.0,0
1973-02-23,0.0,7.6416,7.6416,7.6416,400,0.0,0
1973-02-26,0.0,7.3896,7.3896,7.3896,600,0.0,0
1973-02-27,0.0,7.3477,7.3477,7.3477,1800,0.0,0
1973-02-28,0.0,7.2217,7.2217,7.2217,2800,0.0,0
1973-03-01,0.0,7.3057,7.3057,7.3057,5200,0.0,0
1973-03-02,0.0,7.2217,7.2217,7.2217,800,0.0,0
1973-03-05,0.0,7.2637,7.2637,7.2637,200,0.0,0
1973-03-06,0.0,7.3477,7.3477,7.3477,900,0.0,0
1973-03-07,0.0,7.2217,7.2217,7.2217,1200,0.0,0
1973-03-08,0.0,7.3477,7.3477,7.3477,300,0.0,0
1973-03-09,0.0,7.3057,7.3057,7.3057,600,0.0,0
1973-03-12,0.0,7.3477,7.3477,7.3477,200,0.0,0
1973-03-13,0.0,7.3477,7.3477,7.3477,3800,0.0,0
1973-03-14,0.0,7.3477,7.3477,7.3477,100,0.0,0
1973-03-15,0.0,7.3477,7.3477,7.3477,100,0.0,0
1973-03-16,0.0,7.2217,7.2217,7.2217,1100,0.0,0
1973-03-19,0.0,7.0957,7.0957,7.0957,2500,0.0,0
1973-03-20,0.0,7.0957,7.0957,7.0957,100,0.0,0
1973-03-21,0.0,6.8858,6.8858,6.8858,2100,0.0,0
1973-03-22,0.0,6.9698,6.9698,6.9698,300,0.0,0
1973-03-23,0.0,6.9698,6.9698,6.9698,1200,0.0,0
1973-03-26,0.0,6.8018,6.8018,6.8018,1600,0.0,0
1973-03-27,0.0,6.8858,6.8858,6.8858,3400,0.0,0
1973-03-28,0.0,6.9698,6.9698,6.9698,700,0.0,0
1973-03-29,0.0,6.9698,6.9698,6.9698,1200,0.0,0
1973-03-30,0.0,6.9698,6.9698,6.9698,300,0.0,0
1973-04-02,0.0,6.9698,6.9698,6.9698,800,0.0,0
1973-04-03,0.0,6.9698,6.9698,6.9698,200,0.0,0
1973-04-04,0.0,6.9698,6.9698,6.9698,300,0.0,0
1973-04-05,0.0,6.8858,6.8858,6.8858,3500,0.0,0
1973-04-06,0.0,6.6759,6.6759,6.6759,6200,0.0,0
1973-04-09,0.0,6.8018,6.8018,6.8018,1700,0.0,0
1973-04-10,0.0,6.8438,6.8438,6.8438,100,0.0,0
1973-04-11,0.0,6.7179,6.7179,6.7179,1400,0.0,0
1973-04-12,0.0,6.5499,6.5499,6.5499,5000,0.0,0
1973-04-13,0.0,6.7179,6.7179,6.7179,1300,0.0,0
1973-04-16,0.0,6.7179,6.7179,6.7179,200,0.0,0
1973-04-17,0.0,6.8018,6.8018,6.8018,1200,0.0,0
1973-04-18,0.0,7.0537,7.0537,7.0537,800,0.0,0
1973-04-19,0.0,7.1377,7.1377,7.1377,800,0.0,0
1973-04-23,0.0,6.9698,6.9698,6.9698,900,0.0,0
1973-04-24,0.0,7.0118,7.0118,7.0118,600,0.0,0
1973-04-25,0.0,7.0118,7.0118,7.0118,200,0.0,0
1973-04-26,0.0,7.0537,7.0537,7.0537,600,0.0,0
1973-04-27,0.0,7.0537,7.0537,7.0537,500,0.0,0
1973-04-30,0.0,7.0118,7.0118,7.0118,700,0.0,0
1973-05-01,0.0,7.0537,7.0537,7.0537,2600,0.0,0
1973-05-02,0.0,7.0537,7.0537,7.0537,700,0.0,0
1973-05-03,0.0,6.9698,6.9698,6.9698,200,0.0,0
1973-05-04,6.9698,6.9698,6.9698,6.9698,0,0.0,0
1973-05-07,0.0,7.0537,6.9698,7.0537,1700,0.0,0
1973-05-08,0.0,7.0537,7.0537,7.0537,100,0.0,0
1973-05-09,0.0,7.0537,7.0537,7.0537,100,0.0,0
1973-05-10,0.0,7.1377,7.0118,7.0118,500,0.0,0
1973-05-11,0.0,7.2217,7.0957,7.2217,1100,0.0,0
1973-05-14,0.0,7.1377,7.1377,7.1377,100,0.0,0
1973-05-15,0.0,7.0957,7.0118,7.0118,300,0.0,0
1973-05-16,0.0,7.2217,7.0537,7.0537,2000,0.0,0
1973-05-17,0.0,7.1797,7.0957,7.1797,1800,0.0,0
1973-05-18,0.0,7.2217,7.1377,7.1377,600,0.0,0
1973-05-21,0.0,7.0957,6.8438,6.8438,2200,0.0,0
1973-05-22,0.0,6.9698,6.9278,6.9698,300,0.0,0
1973-05-23,0.0,7.0118,6.9278,6.9278,700,0.0,0
1973-05-24,0.0,7.0537,6.8858,7.0537,700,0.0,0
1973-05-25,0.0,6.9278,6.8438,6.8438,500,0.0,0
1973-05-29,0.0,6.8018,6.6759,6.6759,900,0.0,0
1973-05-30,0.0,6.8018,6.8018,6.8018,300,0.0,0
1973-05-31,0.0,6.8438,6.7598,6.8438,3400,0.0,0
1973-06-01,0.0,6.7598,6.6759,6.6759,300,0.0,0
1973-06-04,0.0,6.6759,6.4239,6.4239,2000,0.0,0
1973-06-05,0.0,6.382,6.214,6.214,2400,0.0,0
1973-06-06,0.0,6.214,6.0881,6.214,900,0.0,0
1973-06-07,0.0,6.298,6.256,6.298,400,0.0,0
1973-06-08,0.0,6.5499,6.13,6.5499,2000,0.0,0
1973-06-11,0.0,6.5079,6.5079,6.5079,600,0.0,0
1973-06-12,0.0,6.4239,6.34,6.382,900,0.0,0
1973-06-13,6.382,6.382,6.382,6.382,0,0.0,0
1973-06-14,0.0,6.382,6.382,6.382,200,0.0,0
1973-06-15,0.0,6.382,6.298,6.298,300,0.0,0
1973-06-18,0.0,6.298,6.298,6.298,500,0.0,0
