Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-03-26,22.4,37.61,19.01,32.0,2507800,0,0
2021-03-29,28.25,33.69,24.52,28.3,413700,0,0
2021-03-30,28.8,30.24,23.81,25.6,320200,0,0
2021-03-31,25.01,28.68,24.38,28.25,377800,0,0
2021-04-01,27.01,27.01,23.18,26.0,256400,0,0
2021-04-05,25.52,25.95,22.48,23.5,421500,0,0
2021-04-06,23.76,24.77,21.42,22.22,188300,0,0
2021-04-07,22.06,23.15,19.5,20.46,328400,0,0
2021-04-08,20.47,21.52,18.41,18.95,118000,0,0
2021-04-09,18.97,19.02,15.75,16.05,133600,0,0
2021-04-12,16.33,26.99,14.16,17.2,2968500,0,0
2021-04-13,15.49,18.0,14.36,17.89,275500,0,0
2021-04-14,17.09,18.39,16.99,17.68,143500,0,0
2021-04-15,18.49,18.74,17.0,18.45,121800,0,0
2021-04-16,18.12,18.49,17.14,17.99,55200,0,0
2021-04-19,17.72,20.17,17.0,19.94,130000,0,0
2021-04-20,19.94,21.32,18.06,18.39,99600,0,0
2021-04-21,18.55,19.55,18.42,19.24,105800,0,0
2021-04-22,19.04,20.15,18.95,20.03,134700,0,0
2021-04-23,20.39,21.5,19.34,20.94,239000,0,0
2021-04-26,21.03,22.73,20.44,22.01,187300,0,0
2021-04-27,22.25,22.25,20.61,22.06,78200,0,0
2021-04-28,22.23,22.74,21.02,22.05,304800,0,0
2021-04-29,21.93,23.34,21.67,22.84,103900,0,0
2021-04-30,22.55,24.9,22.55,24.47,128500,0,0
2021-05-03,24.9,25.45,24.04,24.73,104400,0,0
2021-05-04,24.48,25.25,23.11,24.62,190200,0,0
2021-05-05,24.62,26.49,23.84,25.64,197400,0,0
2021-05-06,25.37,25.83,22.75,23.4,445700,0,0
2021-05-07,23.51,24.38,23.51,23.81,69600,0,0
2021-05-10,23.74,24.25,22.11,22.32,164100,0,0
2021-05-11,21.89,23.11,19.49,19.74,182100,0,0
2021-05-12,19.51,20.48,19.35,19.55,45100,0,0
2021-05-13,19.63,19.74,16.85,16.89,442400,0,0
2021-05-14,16.79,18.97,16.3,18.33,115400,0,0
2021-05-17,18.52,19.69,16.97,17.41,134400,0,0
2021-05-18,17.41,18.16,16.99,17.79,48600,0,0
2021-05-19,17.63,18.25,16.7,17.95,81100,0,0
2021-05-20,18.12,19.01,17.9,18.88,64000,0,0
2021-05-21,19.28,19.3,18.61,19.11,82200,0,0
