Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1995-11-21,23.0912,23.3132,23.0912,23.0912,44985,0.0,0.0
1995-11-22,23.0912,23.3132,23.0912,23.0912,6930,0.0,0.0
1995-11-24,23.0912,23.0912,23.0912,23.0912,1290,0.0,0.0
1995-11-27,23.0912,23.3132,23.0912,23.3132,3750,0.0,0.0
1995-11-28,23.0912,23.0912,23.0912,23.0912,2700,0.0,0.0
1995-11-29,23.0912,23.0912,22.2031,22.2031,34020,0.0,0.0
1995-11-30,22.2031,22.6471,22.2031,22.2031,2220,0.0,0.0
1995-12-01,22.2031,23.0912,22.2031,23.0912,7080,0.0,0.0
1995-12-04,22.6471,22.6471,22.2031,22.2031,14880,0.0,0.0
1995-12-05,22.2031,22.8692,22.2031,22.6471,14970,0.0,0.0
1995-12-06,22.6471,23.0912,22.6471,23.0912,3390,0.0,0.0
1995-12-07,22.6471,23.3132,22.6471,22.8691,16305,0.0,0.0
1995-12-08,22.8691,23.0912,22.8691,23.0912,4455,0.0,0.0
1995-12-11,23.0912,23.0912,23.0912,23.0912,11040,0.0,0.0
1995-12-12,23.0912,23.0912,22.6471,22.6471,3435,0.0,0.0
1995-12-13,22.8692,22.8692,22.4251,22.4251,2730,0.0,0.0
1995-12-14,22.6471,22.6471,22.4251,22.4251,1095,0.0,0.0
1995-12-15,22.6471,22.6471,22.2031,22.4251,2025,0.0,0.0
1995-12-18,22.4251,22.4251,21.3149,21.759,7830,0.0,0.0
1995-12-19,21.981,22.4251,21.759,22.4251,2100,0.0,0.0
1995-12-20,22.2031,22.8692,22.2031,22.4251,4410,0.0,0.0
1995-12-21,22.6471,23.0912,22.4251,23.0912,3900,0.0,0.0
1995-12-22,22.6471,23.3132,22.6471,23.3132,3165,0.0,0.0
1995-12-26,23.0912,23.0912,22.6471,23.0912,2880,0.0,0.0
1995-12-27,23.0912,23.0912,22.4251,22.8691,2175,0.0,0.0
1995-12-28,23.0912,23.0912,22.6471,23.0912,2565,0.0,0.0
1995-12-29,23.0912,23.5352,22.8692,23.5352,1590,0.0,0.0
1996-01-02,23.5352,23.5352,22.8692,23.3132,1005,0.0,0.0
1996-01-03,23.0912,23.5352,22.8691,23.0912,3495,0.0,0.0
1996-01-04,23.3132,23.5352,23.0912,23.3132,4575,0.0,0.0
