Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-11-16,8.9,9.74,8.86,9.74,2600,0.0,0
2016-11-17,8.88,15.54,8.88,15.07,7400,0.0,0
2016-11-18,14.11,14.11,12.8,13.73,700,0.0,0
2016-11-21,13.84,13.84,13.84,13.84,200,0.0,0
2016-11-22,15.22,15.22,15.22,15.22,100,0.0,0
2016-11-23,15.81,15.86,15.64,15.75,1100,0.0,0
2016-11-25,15.75,15.75,15.75,15.75,0,0.0,0
2016-11-28,15.24,15.62,15.24,15.62,700,0.0,0
2016-11-29,15.62,15.62,15.62,15.62,0,0.0,0
2016-11-30,15.25,15.25,14.76,14.76,1500,0.0,0
2016-12-01,14.12,16.43,12.37,12.75,382700,0.0,0
2016-12-02,12.65,12.7,10.86,11.4,329600,0.0,0
2016-12-05,11.1,11.1,10.2,10.47,325483,0.0,0
2016-12-06,10.49,12.08,10.49,11.81,216100,0.0,0
2016-12-07,11.81,12.73,11.8,12.32,194600,0.0,0
2016-12-08,12.51,14.22,12.51,13.33,351500,0.0,0
2016-12-09,13.68,14.21,13.61,14.13,192200,0.0,0
2016-12-12,14.38,14.76,14.18,14.65,224400,0.0,0
2016-12-13,14.65,14.76,13.96,14.02,229900,0.0,0
2016-12-14,13.99,14.3,13.31,13.6,182000,0.0,0
2016-12-15,13.57,13.95,13.39,13.5,197300,0.0,0
2016-12-16,13.55,13.99,13.5,13.82,494500,0.0,0
2016-12-19,13.77,14.04,13.61,13.73,105500,0.0,0
2016-12-20,13.75,13.85,13.34,13.47,94200,0.0,0
2016-12-21,13.39,13.57,12.86,13.09,121400,0.0,0
2016-12-22,13.16,13.16,12.39,12.81,84700,0.0,0
2016-12-23,13.1,13.88,13.1,13.78,390400,0.0,0
2016-12-27,13.88,14.11,13.51,13.68,288400,0.0,0
2016-12-28,13.78,13.83,13.55,13.71,174700,0.0,0
2016-12-29,13.79,13.84,13.58,13.63,64100,0.0,0
2016-12-30,13.62,13.87,13.53,13.82,109000,0.0,0
2017-01-03,13.92,14.62,13.92,14.16,317900,0.0,0
2017-01-04,14.22,14.77,14.22,14.57,337500,0.0,0
2017-01-05,14.78,14.86,14.5,14.79,463500,0.0,0
2017-01-06,14.83,15.15,14.59,15.09,172500,0.0,0
2017-01-09,15.09,15.89,14.81,15.64,91500,0.0,0
2017-01-10,15.73,15.93,15.41,15.59,153300,0.0,0
2017-01-11,15.65,15.84,14.97,15.5,120600,0.0,0
2017-01-12,15.49,15.75,15.48,15.62,181500,0.0,0
2017-01-13,15.65,15.88,15.57,15.72,74100,0.0,0
2017-01-17,15.86,16.34,15.65,16.3,101100,0.0,0
2017-01-18,16.34,17.07,16.21,16.77,155800,0.0,0
2017-01-19,16.83,17.08,16.69,16.8,144500,0.0,0
2017-01-20,16.81,17.03,16.38,16.9,92200,0.0,0
2017-01-23,16.89,17.03,16.76,16.82,106900,0.0,0
2017-01-24,16.92,17.7,16.92,17.66,85100,0.0,0
2017-01-25,17.67,17.88,17.67,17.83,76400,0.0,0
2017-01-26,17.77,17.81,17.52,17.7,138400,0.0,0
2017-01-27,17.68,17.94,17.66,17.82,138900,0.0,0
2017-01-30,17.7,17.94,17.47,17.5,228100,0.0,0
2017-01-31,17.42,17.58,16.99,17.11,92400,0.0,0
2017-02-01,17.29,17.44,16.96,17.19,80800,0.0,0
2017-02-02,17.22,17.22,16.8,16.82,99600,0.0,0
2017-02-03,16.94,17.17,16.78,17.13,70200,0.0,0
2017-02-06,17.13,17.43,17.11,17.13,90300,0.0,0
2017-02-07,17.22,17.35,16.84,17.01,151400,0.0,0
2017-02-08,16.92,17.42,16.56,17.3,352500,0.0,0
2017-02-09,17.38,17.6,17.37,17.52,88600,0.0,0
2017-02-10,17.52,17.72,17.45,17.51,112300,0.0,0
2017-02-13,17.58,17.72,17.47,17.69,115800,0.0,0
2017-02-14,17.66,18.03,17.66,17.92,94500,0.0,0
2017-02-15,18.04,18.07,17.84,17.96,97000,0.0,0
2017-02-16,17.93,18.15,17.89,18.02,118800,0.0,0
2017-02-17,18.14,18.3,18.02,18.22,91700,0.0,0
2017-02-21,18.31,18.41,18.23,18.38,83900,0.0,0
2017-02-22,18.42,18.48,18.23,18.48,110700,0.0,0
2017-02-23,18.48,18.73,18.42,18.57,87900,0.0,0
2017-02-24,18.4,19.0,18.35,18.79,109100,0.0,0
2017-02-27,18.79,19.05,18.7,18.76,816200,0.0,0
2017-02-28,18.67,18.8,18.39,18.46,317900,0.0,0
2017-03-01,18.47,18.72,18.34,18.41,434700,0.0,0
2017-03-02,18.41,18.6,18.37,18.5,157100,0.0,0
2017-03-03,18.55,18.68,18.38,18.41,83700,0.0,0
2017-03-06,18.43,18.69,18.27,18.47,224200,0.0,0
2017-03-07,18.63,18.69,17.77,18.16,280100,0.0,0
2017-03-08,18.2,18.38,17.99,17.99,78000,0.0,0
2017-03-09,18.09,18.2,17.85,18.01,83900,0.0,0
2017-03-10,18.17,18.25,18.07,18.19,115600,0.0,0
2017-03-13,18.28,18.55,18.28,18.47,632000,0.0,0
2017-03-14,18.36,18.58,18.24,18.28,285200,0.0,0
2017-03-15,18.29,18.57,18.27,18.57,323700,0.0,0
2017-03-16,18.65,18.74,18.52,18.67,168300,0.0,0
2017-03-17,18.59,18.89,18.39,18.6,706900,0.0,0
2017-03-20,18.58,18.89,18.58,18.76,108300,0.0,0
2017-03-21,18.8,19.44,18.75,19.38,194500,0.0,0
2017-03-22,19.3,19.56,19.17,19.54,104000,0.0,0
2017-03-23,19.52,19.64,19.17,19.53,92300,0.0,0
2017-03-24,19.54,19.65,19.44,19.54,57400,0.0,0
2017-03-27,19.36,19.58,19.05,19.53,98900,0.0,0
2017-03-28,19.52,20.13,19.38,20.09,211800,0.0,0
2017-03-29,18.71,19.22,17.98,18.83,482800,0.0,0
2017-03-30,18.72,18.93,18.6,18.91,138500,0.0,0
2017-03-31,18.88,18.91,18.59,18.82,144700,0.0,0
2017-04-03,18.8,18.93,18.46,18.87,212300,0.0,0
2017-04-04,18.85,18.9,18.28,18.52,240200,0.0,0
2017-04-05,18.44,18.7,18.35,18.43,206800,0.0,0
2017-04-06,18.41,18.71,18.37,18.68,153500,0.0,0
2017-04-07,18.72,18.72,18.48,18.56,100200,0.0,0
2017-04-10,18.48,19.05,18.48,18.87,102900,0.0,0
2017-04-11,18.87,19.05,18.82,18.9,122300,0.0,0
2017-04-12,18.83,18.83,18.48,18.5,72700,0.0,0
