Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1998-05-13,12.17,13.89,12.17,13.59,329800,0.0,0.0
1998-05-14,13.59,13.77,13.39,13.56,779400,0.0,0.0
1998-05-15,13.56,13.56,13.18,13.18,45200,0.0,0.0
1998-05-18,13.23,13.23,12.78,12.78,6400,0.0,0.0
1998-05-19,12.73,12.73,11.36,11.36,275400,0.0,0.0
1998-05-20,11.36,11.36,11.36,11.36,4800,0.0,0.0
1998-05-21,11.36,11.36,11.36,11.36,0,0.0,0.0
1998-05-22,11.36,11.41,9.53,9.84,1117000,0.0,0.0
1998-05-26,9.74,9.74,9.1,9.23,1335200,0.0,0.0
1998-05-27,9.25,9.43,8.57,8.57,797600,0.0,0.0
1998-05-28,8.67,9.23,8.67,8.82,1562400,0.0,0.0
1998-05-29,8.72,8.98,8.72,8.85,399400,0.0,0.0
1998-06-01,8.87,8.87,8.06,8.37,454000,0.0,0.0
1998-06-02,8.37,8.42,7.81,8.01,496600,0.0,0.0
1998-06-03,7.96,8.47,7.96,8.21,327200,0.0,0.0
1998-06-04,8.21,8.21,8.01,8.11,370400,0.0,0.0
1998-06-05,7.81,8.21,7.81,8.21,511800,0.0,0.0
1998-06-08,8.19,8.39,8.11,8.32,452600,0.0,0.0
1998-06-09,8.27,8.82,8.27,8.6,387800,0.0,0.0
1998-06-10,8.6,8.9,8.57,8.77,469200,0.0,0.0
1998-06-11,8.77,8.77,8.32,8.32,422000,0.0,0.0
1998-06-12,8.24,8.24,7.81,7.96,562800,0.0,0.0
1998-06-15,7.94,8.11,7.86,7.89,602800,0.0,0.0
1998-06-16,7.78,8.01,7.53,7.71,505400,0.0,0.0
1998-06-17,7.45,7.83,7.45,7.71,406800,0.0,0.0
1998-06-18,7.71,7.71,7.58,7.68,142000,0.0,0.0
1998-06-19,7.66,7.71,7.2,7.38,522400,0.0,0.0
1998-06-22,7.38,7.73,7.35,7.45,247200,0.0,0.0
1998-06-23,7.53,7.53,7.4,7.45,196200,0.0,0.0
1998-06-24,7.5,7.61,7.5,7.58,350400,0.0,0.0
1998-06-25,7.63,7.89,7.61,7.89,374200,0.0,0.0
1998-06-26,7.83,7.96,7.83,7.91,341000,0.0,0.0
1998-06-29,7.94,8.21,7.94,8.19,265600,0.0,0.0
1998-06-30,8.16,8.21,8.06,8.11,953600,0.0,0.0
1998-07-01,8.11,8.21,7.94,8.11,216000,0.0,0.0
1998-07-02,8.19,8.19,8.01,8.04,139800,0.0,0.0
1998-07-06,8.01,8.04,7.91,7.96,54600,0.0,0.0
1998-07-07,7.99,8.14,7.96,8.01,173400,0.0,0.0
1998-07-08,7.96,7.96,7.58,7.61,426400,0.0,0.0
1998-07-09,7.61,7.71,7.61,7.71,138200,0.0,0.0
1998-07-10,7.68,7.76,7.68,7.76,152000,0.0,0.0
1998-07-13,7.76,7.86,7.76,7.83,258600,0.0,0.0
1998-07-14,7.83,7.86,7.78,7.83,298400,0.0,0.0
1998-07-15,7.83,7.91,7.83,7.91,11200,0.0,0.0
1998-07-16,7.89,7.89,7.83,7.89,51200,0.0,0.0
1998-07-17,7.89,7.99,7.89,7.99,173200,0.0,0.0
1998-07-20,8.06,8.06,7.91,7.94,326200,0.0,0.0
1998-07-21,7.91,8.09,7.89,8.01,130800,0.0,0.0
1998-07-22,7.96,7.96,7.89,7.91,114200,0.0,0.0
1998-07-23,7.91,7.94,7.86,7.91,167000,0.0,0.0
1998-07-24,7.86,7.86,7.35,7.45,232800,0.0,0.0
1998-07-27,7.35,7.35,7.25,7.3,156400,0.0,0.0
1998-07-28,7.5,7.78,7.5,7.58,745000,0.0,0.0
1998-07-29,7.58,7.86,7.58,7.83,1084400,0.0,0.0
1998-07-30,7.81,8.09,7.81,8.04,91600,0.0,0.0
1998-07-31,8.04,8.34,8.04,8.34,145600,0.0,0.0
1998-08-03,8.24,8.24,8.11,8.14,202600,0.0,0.0
1998-08-04,8.19,8.19,7.91,7.91,314600,0.0,0.0
1998-08-05,7.91,7.91,7.68,7.71,79800,0.0,0.0
1998-08-06,7.61,7.72,7.61,7.71,199800,0.0,0.0
1998-08-07,7.73,7.91,7.61,7.61,84800,0.0,0.0
1998-08-10,7.61,7.61,7.5,7.5,58800,0.0,0.0
1998-08-11,7.43,7.45,7.2,7.3,102200,0.0,0.0
1998-08-12,7.33,7.5,7.3,7.5,188600,0.0,0.0
1998-08-13,7.45,7.81,7.45,7.81,78000,0.0,0.0
1998-08-14,7.86,7.91,7.81,7.91,164600,0.0,0.0
1998-08-17,7.96,7.96,7.76,7.78,131800,0.0,0.0
1998-08-18,7.83,7.86,7.73,7.81,769400,0.0,0.0
1998-08-19,7.76,7.78,7.66,7.66,141400,0.0,0.0
1998-08-20,7.68,7.68,7.66,7.66,18400,0.0,0.0
1998-08-21,7.68,7.68,7.28,7.38,60400,0.0,0.0
1998-08-24,7.33,7.4,6.85,6.9,112600,0.0,0.0
1998-08-25,6.9,7.23,6.9,7.18,137000,0.0,0.0
1998-08-26,7.18,7.23,7.1,7.18,117400,0.0,0.0
1998-08-27,7.15,7.15,6.85,6.85,178600,0.0,0.0
1998-08-28,6.79,6.79,6.49,6.49,51000,0.0,0.0
1998-08-31,6.49,6.49,6.24,6.24,74000,0.0,0.0
1998-09-01,6.24,6.34,6.21,6.34,68400,0.0,0.0
1998-09-02,6.21,6.74,6.21,6.74,89600,0.0,0.0
1998-09-03,6.69,7.15,6.69,7.1,143200,0.0,0.0
1998-09-04,7.1,7.35,7.1,7.23,160600,0.0,0.0
1998-09-08,7.3,7.38,6.92,6.95,143800,0.0,0.0
1998-09-09,6.92,6.95,6.74,6.74,23000,0.0,0.0
1998-09-10,6.69,6.74,6.19,6.34,103600,0.0,0.0
1998-09-11,6.31,6.41,6.24,6.24,67000,0.0,0.0
1998-09-14,6.29,6.29,5.93,5.96,90600,0.0,0.0
1998-09-15,5.83,5.83,5.53,5.65,350200,0.0,0.0
1998-09-16,5.63,5.76,5.53,5.65,416400,0.0,0.0
1998-09-17,5.63,5.63,5.43,5.63,128400,0.0,0.0
1998-09-18,5.63,5.78,5.63,5.76,218000,0.0,0.0
1998-09-21,5.7,5.88,5.7,5.81,26200,0.0,0.0
1998-09-22,5.76,5.91,5.76,5.88,95000,0.0,0.0
1998-09-23,5.88,6.19,5.88,6.19,37600,0.0,0.0
1998-09-24,6.19,6.21,6.06,6.06,25400,0.0,0.0
1998-09-25,6.03,6.11,6.03,6.03,75000,0.0,0.0
1998-09-28,6.03,6.03,5.83,5.83,11200,0.0,0.0
1998-09-29,5.83,5.83,5.65,5.68,148000,0.0,0.0
1998-09-30,5.63,5.63,5.58,5.58,28400,0.0,0.0
1998-10-01,5.58,5.65,5.55,5.58,194800,0.0,0.0
1998-10-02,5.58,5.6,5.35,5.6,67200,0.0,0.0
1998-10-05,5.6,5.6,5.38,5.38,57000,0.0,0.0
1998-10-06,5.38,5.38,5.17,5.22,60800,0.0,0.0
1998-10-07,5.17,5.25,5.15,5.17,55000,0.0,0.0
1998-10-08,5.15,5.15,4.77,4.87,301800,0.0,0.0
1998-10-09,4.87,4.92,4.82,4.89,73000,0.0,0.0
1998-10-12,4.94,4.94,4.82,4.84,34000,0.0,0.0
1998-10-13,4.82,4.94,4.64,4.69,109200,0.0,0.0
1998-10-14,4.69,5.17,4.69,5.17,61000,0.0,0.0
1998-10-15,5.22,5.76,5.22,5.68,154400,0.0,0.0
1998-10-16,5.68,5.73,5.63,5.73,48200,0.0,0.0
1998-10-19,5.7,5.93,5.7,5.91,33200,0.0,0.0
1998-10-20,5.96,6.31,5.96,6.29,38000,0.0,0.0
1998-10-21,6.29,6.31,5.7,5.7,75400,0.0,0.0
1998-10-22,5.76,6.26,5.76,6.24,69000,0.0,0.0
1998-10-23,6.24,6.26,5.93,5.93,166600,0.0,0.0
1998-10-26,5.88,5.98,5.73,5.98,21200,0.0,0.0
1998-10-27,6.03,6.08,5.81,5.81,16400,0.0,0.0
1998-10-28,5.76,5.76,5.63,5.68,51000,0.0,0.0
1998-10-29,5.68,5.76,5.68,5.73,16000,0.0,0.0
1998-10-30,5.78,5.91,5.78,5.86,115800,0.0,0.0
1998-11-02,5.88,5.93,5.48,5.58,84400,0.0,0.0
1998-11-03,5.6,5.6,5.43,5.45,184200,0.0,0.0
1998-11-04,5.48,5.68,5.48,5.68,104200,0.0,0.0
1998-11-05,5.65,5.83,5.55,5.83,92200,0.0,0.0
1998-11-06,5.81,5.96,5.7,5.91,98200,0.0,0.0
1998-11-09,5.91,5.91,5.88,5.88,43200,0.0,0.0
1998-11-10,5.86,5.88,5.4,5.45,71800,0.0,0.0
1998-11-11,5.5,5.7,5.48,5.65,52000,0.0,0.0
1998-11-12,5.68,5.73,5.6,5.6,38600,0.0,0.0
1998-11-13,5.63,5.68,5.5,5.5,37800,0.0,0.0
1998-11-16,5.58,5.65,5.43,5.43,770400,0.0,0.0
1998-11-17,5.4,5.4,5.32,5.4,48200,0.0,0.0
1998-11-18,5.45,5.45,5.3,5.35,76200,0.0,0.0
1998-11-19,5.3,5.38,5.3,5.38,246200,0.0,0.0
1998-11-20,5.38,5.43,5.38,5.43,5000,0.0,0.0
1998-11-23,5.43,5.63,5.43,5.63,41400,0.0,0.0
1998-11-24,5.58,5.68,5.58,5.63,139600,0.0,0.0
1998-11-25,5.68,5.93,5.68,5.83,89200,0.0,0.0
1998-11-27,5.81,5.86,5.81,5.86,4600,0.0,0.0
1998-11-30,5.88,5.88,5.81,5.88,50000,0.0,0.0
1998-12-01,5.93,6.01,5.91,5.96,48800,0.0,0.0
1998-12-02,5.96,6.08,5.96,6.08,36800,0.0,0.0
1998-12-03,6.08,6.31,6.08,6.24,26000,0.0,0.0
1998-12-04,6.34,6.52,6.34,6.49,192200,0.0,0.0
1998-12-07,6.59,6.69,6.52,6.54,136000,0.0,0.0
1998-12-08,6.54,6.59,6.49,6.57,124000,0.0,0.0
1998-12-09,6.57,6.57,6.44,6.44,105800,0.0,0.0
1998-12-10,6.49,6.57,6.49,6.54,67800,0.0,0.0
1998-12-11,6.54,6.64,6.52,6.52,33800,0.0,0.0
1998-12-14,6.52,6.52,6.41,6.41,133800,0.0,0.0
1998-12-15,6.36,6.47,6.08,6.08,38600,0.0,0.0
1998-12-16,6.08,6.08,5.73,5.96,93800,0.0,0.0
1998-12-17,5.96,6.03,5.96,5.96,49800,0.0,0.0
