Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-02-01,1.42,1.42,1.39,1.41,13718000,0.0,0.0
1996-02-02,1.41,1.42,1.39,1.42,3828600,0.0,0.0
1996-02-05,1.42,1.42,1.39,1.39,908000,0.0,0.0
1996-02-06,1.39,1.42,1.39,1.39,509200,0.0,0.0
1996-02-07,1.39,1.42,1.39,1.39,366100,0.0,0.0
1996-02-08,1.39,1.42,1.39,1.39,794600,0.0,0.0
1996-02-09,1.39,1.42,1.39,1.39,515700,0.0,0.0
1996-02-12,1.39,1.42,1.39,1.39,351500,0.0,0.0
1996-02-13,1.39,1.42,1.39,1.39,216800,0.0,0.0
1996-02-14,1.39,1.42,1.39,1.39,460000,0.0,0.0
1996-02-15,1.39,1.39,1.39,1.39,250600,0.0,0.0
1996-02-16,1.39,1.42,1.37,1.37,491700,0.0,0.0
1996-02-20,1.37,1.39,1.26,1.26,769300,0.0,0.0
1996-02-21,1.26,1.31,1.26,1.26,580800,0.0,0.0
1996-02-22,1.26,1.31,1.26,1.26,251800,0.0,0.0
1996-02-23,1.26,1.31,1.26,1.29,486300,0.0,0.0
1996-02-26,1.31,1.35,1.29,1.33,218200,0.0,0.0
1996-02-27,1.33,1.37,1.33,1.37,1286000,0.0,0.0
1996-02-28,1.35,1.37,1.33,1.35,219100,0.0,0.0
1996-02-29,1.37,1.39,1.35,1.38,289200,0.0,0.0
1996-03-01,1.37,1.39,1.37,1.39,528200,0.0,0.0
1996-03-04,1.37,1.39,1.37,1.37,477500,0.0,0.0
1996-03-05,1.37,1.39,1.37,1.37,175200,0.0,0.0
1996-03-06,1.37,1.37,1.31,1.31,1273100,0.0,0.0
1996-03-07,1.31,1.35,1.31,1.32,612600,0.0,0.0
1996-03-08,1.31,1.33,1.24,1.24,657300,0.0,0.0
1996-03-11,1.29,1.29,1.24,1.26,346100,0.0,0.0
1996-03-12,1.26,1.31,1.26,1.31,297100,0.0,0.0
1996-03-13,1.26,1.31,1.26,1.31,135700,0.0,0.0
1996-03-14,1.3,1.31,1.26,1.26,405500,0.0,0.0
1996-03-15,1.26,1.29,1.26,1.26,57800,0.0,0.0
1996-03-18,1.26,1.33,1.26,1.26,278100,0.0,0.0
1996-03-19,1.26,1.33,1.26,1.33,21800,0.0,0.0
1996-03-20,1.33,1.33,1.24,1.26,1378000,0.0,0.0
1996-03-21,1.24,1.29,1.24,1.29,24000,0.0,0.0
1996-03-22,1.24,1.27,1.24,1.24,72100,0.0,0.0
1996-03-25,1.29,1.29,1.2,1.2,203900,0.0,0.0
1996-03-26,1.2,1.24,1.2,1.2,1286000,0.0,0.0
1996-03-27,1.24,1.24,1.2,1.24,119700,0.0,0.0
1996-03-28,1.22,1.31,1.22,1.26,1144600,0.0,0.0
1996-03-29,1.31,1.33,1.26,1.33,52600,0.0,0.0
1996-04-01,1.33,1.39,1.33,1.35,124100,0.0,0.0
1996-04-02,1.35,1.37,1.35,1.35,59400,0.0,0.0
1996-04-03,1.35,1.37,1.35,1.35,78000,0.0,0.0
1996-04-04,1.35,1.37,1.35,1.35,45800,0.0,0.0
1996-04-08,1.33,1.35,1.33,1.33,61400,0.0,0.0
1996-04-09,1.35,1.35,1.26,1.3,72100,0.0,0.0
1996-04-10,1.26,1.31,1.26,1.26,33100,0.0,0.0
1996-04-11,1.27,1.31,1.26,1.31,182100,0.0,0.0
1996-04-12,1.31,1.31,1.26,1.29,69200,0.0,0.0
1996-04-15,1.26,1.29,1.26,1.27,343200,0.0,0.0
1996-04-16,1.26,1.31,1.26,1.31,85300,0.0,0.0
