Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-03-29,9.72,9.72,9.7,9.7,1900,0,0
2021-03-30,9.75,9.75,9.6,9.6,164400,0,0
2021-03-31,9.6,9.75,9.6,9.69,135000,0,0
2021-04-01,9.71,9.73,9.62,9.7,224800,0,0
2021-04-05,9.66,9.77,9.66,9.77,25500,0,0
2021-04-06,9.7,9.76,9.7,9.72,90100,0,0
2021-04-07,9.77,9.78,9.77,9.78,27900,0,0
2021-04-08,9.78,9.78,9.73,9.77,16500,0,0
2021-04-09,9.72,9.8,9.72,9.8,129900,0,0
2021-04-12,9.74,9.8,9.74,9.78,70000,0,0
2021-04-13,9.76,9.79,9.72,9.79,116800,0,0
2021-04-14,9.74,9.81,9.74,9.81,246200,0,0
2021-04-15,9.76,9.84,9.76,9.82,119100,0,0
2021-04-16,9.85,9.85,9.75,9.82,165900,0,0
2021-04-19,9.76,9.82,9.76,9.82,50000,0,0
2021-04-20,9.8,9.8,9.77,9.8,86900,0,0
2021-04-21,9.78,9.85,9.77,9.84,94600,0,0
2021-04-22,9.81,9.85,9.76,9.85,42600,0,0
2021-04-23,9.82,9.82,9.79,9.81,9700,0,0
2021-04-26,9.8,9.8,9.78,9.78,71200,0,0
2021-04-27,9.8,9.8,9.77,9.78,80200,0,0
2021-04-28,9.78,9.8,9.77,9.79,65700,0,0
2021-04-29,9.8,9.8,9.79,9.79,1600,0,0
2021-04-30,9.8,9.8,9.78,9.8,16400,0,0
2021-05-03,9.8,9.8,9.79,9.8,28700,0,0
2021-05-04,9.78,9.8,9.77,9.8,40100,0,0
2021-05-05,9.8,9.8,9.79,9.8,81600,0,0
2021-05-06,9.79,9.8,9.79,9.79,3200,0,0
2021-05-07,9.78,9.8,9.78,9.79,66200,0,0
2021-05-10,9.75,9.79,9.75,9.79,1900,0,0
2021-05-11,9.76,9.79,9.76,9.79,3400,0,0
2021-05-12,9.76,9.8,9.76,9.8,5600,0,0
2021-05-13,9.79,9.79,9.73,9.74,141800,0,0
2021-05-14,9.74,9.79,9.72,9.74,157100,0,0
2021-05-17,9.74,9.74,9.67,9.7,166200,0,0
2021-05-18,9.7,9.71,9.68,9.69,13500,0,0
2021-05-19,9.7,9.72,9.68,9.69,29200,0,0
2021-05-20,9.7,9.72,9.67,9.72,30900,0,0
2021-05-21,9.72,9.8,9.69,9.77,18900,0,0
