Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-03-28,4.74,4.75,4.74,4.74,283700,0.0,0
2007-03-29,4.74,4.75,4.74,4.74,18500,0.0,0
2007-03-30,4.74,4.74,4.74,4.74,23100,0.0,0
2007-04-02,4.74,4.76,4.74,4.74,6500,0.0,0
2007-04-03,4.74,4.75,4.74,4.75,21700,0.0,0
2007-04-04,4.75,4.75,4.74,4.74,8800,0.0,0
2007-04-05,4.75,4.75,4.74,4.74,6600,0.0,0
2007-04-09,4.74,4.74,4.74,4.74,17800,0.0,0
2007-04-10,4.74,4.74,4.74,4.74,4100,0.0,0
2007-04-11,4.74,4.74,4.74,4.74,10900,0.0,0
2007-04-12,4.74,5.12,4.74,4.74,72400,0.0,0
2007-04-13,4.74,4.76,4.74,4.74,6100,0.0,0
2007-04-16,4.75,4.76,4.74,4.75,3800,0.0,0
2007-04-17,4.74,4.78,4.74,4.78,12500,0.0,0
2007-04-18,4.75,4.8,4.74,4.75,13700,0.0,0
2007-04-19,4.77,4.8,4.76,4.79,6800,0.0,0
2007-04-20,4.8,4.8,4.76,4.78,12100,0.0,0
2007-04-23,4.75,4.78,4.74,4.75,20900,0.0,0
2007-04-24,4.74,4.78,4.74,4.74,31700,0.0,0
2007-04-25,4.74,4.75,4.74,4.74,27100,0.0,0
2007-04-26,4.74,4.76,4.62,4.74,62700,0.0,0
2007-04-27,4.74,4.75,4.74,4.74,12800,0.0,0
2007-04-30,4.74,4.75,4.74,4.74,18200,0.0,0
2007-05-01,4.76,4.76,4.74,4.74,12400,0.0,0
2007-05-02,4.74,4.74,4.74,4.74,32100,0.0,0
2007-05-03,4.74,4.74,4.74,4.74,10300,0.0,0
2007-05-04,4.74,4.74,4.74,4.74,10800,0.0,0
2007-05-07,4.73,4.74,4.65,4.74,30600,0.0,0
2007-05-08,4.74,4.74,4.66,4.74,106800,0.0,0
2007-05-09,4.66,4.73,4.64,4.67,54900,0.0,0
2007-05-10,4.7,4.72,4.53,4.67,52800,0.0,0
2007-05-11,4.66,4.7,4.62,4.68,22500,0.0,0
2007-05-14,4.65,4.72,4.64,4.72,19600,0.0,0
2007-05-15,4.7,4.74,4.64,4.74,46800,0.0,0
2007-05-16,4.69,4.74,4.67,4.74,31900,0.0,0
2007-05-17,4.72,4.74,4.68,4.73,17800,0.0,0
2007-05-18,4.71,4.74,4.68,4.73,16600,0.0,0
2007-05-21,4.72,4.72,4.64,4.67,20500,0.0,0
2007-05-22,4.64,4.66,4.59,4.64,33100,0.0,0
2007-05-23,4.68,4.7,4.63,4.65,20500,0.0,0
2007-05-24,4.65,4.65,4.58,4.58,35700,0.0,0
2007-05-25,4.56,4.65,4.56,4.57,29700,0.0,0
2007-05-29,4.56,4.59,4.51,4.55,45100,0.0,0
