Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-11-24,10.36,10.41,10.35,10.41,9700,0.0,0
2014-11-25,10.47,10.47,10.32,10.34,34000,0.0,0
2014-11-26,10.32,10.41,10.32,10.36,139200,0.0,0
2014-11-28,10.38,10.38,10.26,10.36,84900,0.0,0
2014-12-01,10.27,10.36,10.26,10.3,181500,0.0,0
2014-12-02,10.28,10.34,10.24,10.25,180800,0.0,0
2014-12-03,10.11,10.23,10.06,10.18,176500,0.0,0
2014-12-04,10.18,10.2,10.14,10.18,180500,0.0,0
2014-12-05,10.17,10.18,10.15,10.17,214200,0.0,0
2014-12-08,10.12,10.13,9.93,10.05,204500,0.0,0
2014-12-09,9.98,10.01,9.94,9.97,125600,0.0,0
2014-12-10,9.95,9.97,9.88,9.94,138100,0.0,0
2014-12-11,9.94,9.96,9.9,9.95,110400,0.0,0
2014-12-12,9.76,9.92,9.76,9.8,136800,0.0,0
2014-12-15,9.76,9.83,9.69,9.7,148000,0.0,0
2014-12-16,9.66,9.82,9.66,9.76,181800,0.0,0
2014-12-17,9.73,9.83,9.67,9.83,134800,0.0,0
2014-12-18,9.87,9.88,9.76,9.77,161100,0.0,0
2014-12-19,9.8,9.93,9.78,9.91,182700,0.0,0
2014-12-22,9.91,9.92,9.84,9.88,232500,0.0,0
2014-12-23,9.87,9.99,9.86,9.97,100400,0.0,0
2014-12-24,9.93,10.03,9.93,10.03,77800,0.0,0
2014-12-26,10.01,10.11,10.01,10.09,197500,0.0,0
2014-12-29,10.09,10.09,9.97,10.04,276800,0.0,0
2014-12-30,10.02,10.06,9.95,9.95,366200,0.0,0
2014-12-31,9.97,10.01,9.77,9.77,854800,0.0,0
2015-01-02,9.85,9.9,9.84,9.86,415200,0.0,0
2015-01-05,9.87,9.95,9.87,9.93,83100,0.0,0
2015-01-06,9.97,10.02,9.94,10.0,154200,0.0,0
2015-01-07,9.99,10.03,9.96,10.02,147900,0.0,0
2015-01-08,10.02,10.09,10.01,10.07,235500,0.0,0
2015-01-09,10.05,10.18,10.02,10.1,133200,0.0,0
2015-01-12,9.92,9.97,9.71,9.72,170600,0.0,0
2015-01-13,9.81,9.93,9.73,9.73,96800,0.126,0
2015-01-14,9.7,9.7,9.64,9.64,118200,0.0,0
2015-01-15,9.64,9.65,9.58,9.63,127400,0.0,0
2015-01-16,9.36,9.63,9.3,9.6,248900,0.0,0
2015-01-20,9.49,9.6,9.41,9.51,418100,0.0,0
2015-01-21,9.56,9.6,9.53,9.56,187000,0.0,0
2015-01-22,9.6,9.6,9.53,9.54,138500,0.0,0
2015-01-23,9.53,9.67,9.53,9.66,114000,0.0,0
2015-01-26,9.66,9.66,9.57,9.58,67700,0.0,0
2015-01-27,9.53,9.64,9.53,9.58,116100,0.0,0
2015-01-28,9.72,9.72,9.54,9.56,134200,0.0,0
2015-01-29,9.56,9.58,9.54,9.58,114900,0.0,0
2015-01-30,9.53,9.57,9.53,9.53,96100,0.0,0
2015-02-02,9.6,9.63,9.55,9.6,152400,0.0,0
2015-02-03,9.61,9.67,9.56,9.64,169700,0.0,0
2015-02-04,9.54,9.61,9.54,9.59,152500,0.0,0
2015-02-05,9.6,9.66,9.6,9.62,125900,0.0,0
2015-02-06,9.61,9.66,9.58,9.6,74400,0.0,0
2015-02-09,9.6,9.7,9.6,9.69,123500,0.0,0
2015-02-10,9.65,9.72,9.65,9.72,101400,0.0,0
2015-02-11,9.71,9.77,9.71,9.76,65200,0.126,0
2015-02-12,9.79,9.85,9.74,9.85,300200,0.0,0
2015-02-13,9.82,9.86,9.76,9.79,112900,0.0,0
2015-02-17,9.81,9.81,9.72,9.72,72100,0.0,0
