Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-03,1.15,1.17,1.15,1.17,4500,0.0,0.0
2000-01-04,1.2,1.2,1.2,1.2,500,0.0,0.0
2000-01-05,1.2,1.2,1.2,1.2,0,0.0,0.0
2000-01-06,1.2,1.2,1.2,1.2,0,0.0,0.0
2000-01-07,1.09,1.09,1.09,1.09,0,0.0,0.0
2000-01-10,1.16,1.16,1.16,1.16,1000,0.0,0.0
2000-01-11,1.19,1.19,1.19,1.19,2000,0.0,0.0
2000-01-12,1.17,1.17,1.11,1.15,4500,0.0,0.0
2000-01-13,1.17,1.17,1.17,1.17,5000,0.0,0.0
2000-01-14,1.17,1.17,1.17,1.17,0,0.0,0.0
2000-01-18,1.17,1.17,1.17,1.17,0,0.0,0.0
2000-01-19,1.17,1.17,1.17,1.17,0,0.0,0.0
2000-01-20,1.17,1.17,1.17,1.17,0,0.0,0.0
2000-01-21,1.16,1.16,1.16,1.16,5500,0.0,0.0
2000-01-24,1.16,1.16,1.16,1.16,0,0.0,0.0
2000-01-25,1.16,1.2,1.09,1.2,4000,0.0,0.0
2000-01-26,1.2,1.2,1.2,1.2,0,0.0,0.0
2000-01-27,1.2,1.2,1.2,1.2,0,0.0,0.0
2000-01-28,1.2,1.2,1.2,1.2,0,0.0,0.0
2000-01-31,1.2,1.2,1.2,1.2,0,0.0,0.0
2000-02-01,1.2,1.2,1.2,1.2,0,0.0,0.0
2000-02-02,1.2,1.2,1.2,1.2,0,0.0,0.0
2000-02-03,1.2,1.2,1.2,1.2,0,0.0,0.0
2000-02-04,1.2,1.2,1.2,1.2,0,0.0,0.0
2000-02-07,1.0,1.0,1.0,1.0,3000,0.0,0.0
2000-02-08,1.0,1.0,1.0,1.0,3000,0.0,0.0
2000-02-09,1.03,1.03,1.03,1.03,1500,0.0,0.0
2000-02-10,1.0,1.0,1.0,1.0,500,0.0,0.0
2000-02-11,1.0,1.0,1.0,1.0,0,0.0,0.0
2000-02-14,1.0,1.0,1.0,1.0,0,0.0,0.0
2000-02-15,0.93,0.93,0.88,0.93,500,0.0,0.0
2000-02-16,0.92,0.92,0.92,0.92,1500,0.0,0.0
2000-02-17,0.92,0.92,0.92,0.92,500,0.0,0.0
2000-02-18,0.92,0.92,0.92,0.92,500,0.0,0.0
2000-02-22,0.92,0.92,0.92,0.92,0,0.0,0.0
2000-02-23,0.92,0.92,0.92,0.92,0,0.0,0.0
2000-02-24,0.97,0.97,0.97,0.97,1000,0.0,0.0
2000-02-25,0.94,0.94,0.94,0.94,3000,0.0,0.0
2000-02-28,0.94,0.94,0.94,0.94,0,0.0,0.0
2000-02-29,0.94,0.94,0.94,0.94,0,0.0,0.0
2000-03-01,0.94,0.94,0.94,0.94,0,0.0,0.0
2000-03-02,0.97,0.97,0.97,0.97,0,0.0,0.0
2000-03-03,0.97,0.97,0.97,0.97,0,0.0,0.0
2000-03-06,0.97,0.97,0.97,0.97,0,0.0,0.0
2000-03-07,0.97,0.97,0.97,0.97,0,0.0,0.0
2000-03-08,0.97,0.97,0.97,0.97,0,0.0,0.0
2000-03-09,0.92,0.92,0.92,0.92,500,0.0,0.0
2000-03-10,0.92,0.92,0.92,0.92,0,0.0,0.0
2000-03-13,1.09,1.09,1.09,1.09,500,0.0,0.0
2000-03-14,1.09,1.09,1.09,1.09,1500,0.0,0.0
2000-03-15,1.09,1.09,1.09,1.09,0,0.0,0.0
2000-03-16,1.09,1.09,1.09,1.09,0,0.0,0.0
2000-03-17,1.03,1.03,1.03,1.03,500,0.0,0.0
2000-03-20,1.03,1.03,1.03,1.03,0,0.0,0.0
2000-03-21,0.97,0.97,0.97,0.97,500,0.0,0.0
2000-03-22,0.97,0.97,0.97,0.97,0,0.0,0.0
2000-03-23,0.97,0.97,0.97,0.97,0,0.0,0.0
2000-03-24,0.97,0.97,0.97,0.97,0,0.0,0.0
2000-03-27,0.97,0.97,0.97,0.97,0,0.0,0.0
2000-03-28,0.97,0.97,0.97,0.97,0,0.0,0.0
2000-03-29,1.06,1.06,1.06,1.06,1500,0.0,0.0
2000-03-30,1.06,1.06,1.06,1.06,0,0.0,0.0
2000-03-31,1.06,1.06,1.06,1.06,0,0.0,0.0
2000-04-03,1.0,1.0,1.0,1.0,0,0.0,0.0
2000-04-04,1.09,1.09,1.09,1.09,0,0.0,0.0
2000-04-05,1.15,1.15,1.15,1.15,500,0.0,0.0
2000-04-06,1.06,1.06,1.06,1.06,0,0.0,0.0
2000-04-07,1.06,1.06,1.06,1.06,0,0.0,0.0
2000-04-10,1.06,1.06,1.06,1.06,0,0.0,0.0
2000-04-11,1.06,1.06,1.06,1.06,0,0.0,0.0
2000-04-12,1.06,1.06,1.06,1.06,0,0.0,0.0
2000-04-13,1.06,1.06,1.06,1.06,0,0.0,0.0
2000-04-14,1.06,1.06,1.06,1.06,0,0.0,0.0
2000-04-17,1.06,1.06,1.06,1.06,0,0.0,0.0
2000-04-18,1.06,1.06,1.06,1.06,0,0.0,0.0
2000-04-19,1.06,1.06,1.06,1.06,0,0.0,0.0
2000-04-20,1.06,1.06,1.06,1.06,0,0.0,0.0
2000-04-24,1.09,1.09,1.09,1.09,0,0.0,0.0
2000-04-25,1.09,1.09,1.09,1.09,0,0.0,0.0
2000-04-26,1.09,1.09,1.09,1.09,0,0.0,0.0
2000-04-27,1.09,1.09,1.09,1.09,0,0.0,0.0
2000-04-28,1.09,1.09,1.09,1.09,0,0.0,0.0
2000-05-01,1.09,1.09,1.09,1.09,0,0.0,0.0
2000-05-02,1.09,1.09,1.09,1.09,0,0.0,0.0
2000-05-03,1.09,1.09,1.09,1.09,0,0.0,0.0
2000-05-04,1.09,1.09,1.03,1.03,0,0.0,0.0
2000-05-05,1.03,1.03,1.03,1.03,0,0.0,0.0
2000-05-08,1.03,1.03,1.03,1.03,0,0.0,0.0
2000-05-09,1.03,1.03,1.03,1.03,0,0.0,0.0
2000-05-10,1.03,1.03,1.03,1.03,0,0.0,0.0
2000-05-11,1.03,1.03,1.03,1.03,0,0.0,0.0
2000-05-12,1.0,1.0,1.0,1.0,1000,0.0,0.0
2000-05-15,1.0,1.0,1.0,1.0,1500,0.0,0.0
2000-05-16,1.0,1.0,1.0,1.0,0,0.0,0.0
2000-05-17,1.0,1.0,1.0,1.0,0,0.0,0.0
2000-05-18,1.0,1.0,1.0,1.0,0,0.0,0.0
2000-05-19,1.0,1.0,1.0,1.0,0,0.0,0.0
