Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-02-05,10.37,10.49,10.32,10.42,13589900,0,0
2021-02-08,10.54,10.75,10.5,10.66,1582000,0,0
2021-02-09,10.6,10.73,10.58,10.65,261600,0,0
2021-02-10,10.63,10.81,10.53,10.59,420900,0,0
2021-02-11,10.67,10.67,10.43,10.45,342100,0,0
2021-02-12,10.47,10.56,10.42,10.5,552000,0,0
2021-02-16,10.59,10.59,10.49,10.51,216700,0,0
2021-02-17,10.51,10.6,10.46,10.52,240900,0,0
2021-02-18,10.55,10.58,10.46,10.53,98900,0,0
2021-02-19,10.79,10.9,10.59,10.8,1048800,0,0
2021-02-22,10.8,10.84,10.73,10.73,141000,0,0
2021-02-23,10.66,10.66,10.46,10.63,521200,0,0
2021-02-24,10.63,10.63,10.51,10.51,231500,0,0
2021-02-25,10.68,10.68,10.46,10.5,182600,0,0
2021-02-26,10.5,10.57,10.3,10.35,361500,0,0
2021-03-01,10.41,10.55,10.25,10.34,244900,0,0
2021-03-02,10.35,10.35,10.02,10.23,425500,0,0
2021-03-03,10.22,10.22,10.1,10.19,393900,0,0
2021-03-04,10.1,10.18,9.95,10.11,488100,0,0
2021-03-05,10.13,10.25,10.04,10.15,1141800,0,0
2021-03-08,10.16,10.25,10.07,10.11,190400,0,0
2021-03-09,10.11,10.23,10.0,10.18,463300,0,0
2021-03-10,10.18,10.22,10.15,10.17,61200,0,0
2021-03-11,10.11,10.24,10.09,10.12,182500,0,0
2021-03-12,10.1,10.18,10.08,10.18,153800,0,0
2021-03-15,10.14,10.19,10.1,10.12,155300,0,0
2021-03-16,10.17,10.17,10.1,10.15,66000,0,0
2021-03-17,10.17,10.19,10.11,10.16,100000,0,0
2021-03-18,10.2,10.2,10.0,10.08,372100,0,0
2021-03-19,10.04,10.12,9.98,10.05,19400,0,0
2021-03-22,10.0,10.12,9.97,9.99,139000,0,0
2021-03-23,9.96,10.02,9.72,9.85,341900,0,0
2021-03-24,9.9,9.94,9.82,9.89,108300,0,0
2021-03-25,9.83,9.94,9.71,9.84,366900,0,0
2021-03-26,9.89,9.99,9.88,9.99,529000,0,0
2021-03-29,9.91,9.97,9.86,9.87,39000,0,0
2021-03-30,9.93,9.94,9.85,9.92,13800,0,0
2021-03-31,9.9,9.95,9.85,9.95,627900,0,0
2021-04-01,9.95,9.99,9.93,9.97,52500,0,0
2021-04-05,9.97,9.98,9.88,9.95,33400,0,0
2021-04-06,9.97,10.01,9.92,9.98,138500,0,0
2021-04-07,9.91,10.0,9.9,10.0,201700,0,0
2021-04-08,10.0,10.24,9.95,10.1,278700,0,0
2021-04-09,10.08,10.1,10.04,10.06,52200,0,0
2021-04-12,10.07,10.28,10.05,10.2,46100,0,0
2021-04-13,10.07,10.15,10.07,10.15,65900,0,0
2021-04-14,10.06,10.24,10.06,10.11,180100,0,0
2021-04-15,10.11,10.11,10.06,10.08,2300,0,0
2021-04-16,10.07,10.15,9.98,10.14,132000,0,0
2021-04-19,10.08,10.1,10.06,10.1,19200,0,0
2021-04-20,10.06,10.1,9.98,10.0,43000,0,0
2021-04-21,9.99,10.06,9.96,10.06,21200,0,0
2021-04-22,10.06,10.07,10.0,10.02,76600,0,0
2021-04-23,9.99,10.05,9.97,10.0,74200,0,0
2021-04-26,9.98,10.05,9.98,10.0,13600,0,0
2021-04-27,9.99,10.03,9.99,10.0,213100,0,0
2021-04-28,10.0,10.1,9.98,10.0,563500,0,0
2021-04-29,10.05,10.05,9.97,9.98,25100,0,0
2021-04-30,9.99,10.02,9.99,10.01,93300,0,0
2021-05-03,10.07,10.1,10.07,10.09,29600,0,0
2021-05-04,10.06,10.06,10.01,10.05,7300,0,0
2021-05-05,10.02,10.1,10.02,10.09,19700,0,0
2021-05-06,10.05,10.05,10.02,10.02,11400,0,0
2021-05-07,10.03,10.03,10.0,10.0,6100,0,0
2021-05-10,9.98,10.08,9.98,10.04,7700,0,0
2021-05-11,10.0,10.08,10.0,10.06,47800,0,0
2021-05-12,10.02,10.08,10.01,10.07,9400,0,0
2021-05-13,10.05,10.05,9.98,9.98,8500,0,0
2021-05-14,9.99,10.04,9.98,9.98,19200,0,0
2021-05-17,9.95,10.0,9.95,10.0,7300,0,0
2021-05-18,10.0,10.0,9.96,10.0,19700,0,0
2021-05-19,10.0,10.0,9.95,9.98,161400,0,0
2021-05-20,9.93,9.94,9.9,9.94,8600,0,0
2021-05-21,9.94,9.98,9.9,9.95,14900,0,0
