Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2003-03-31,3.04,3.04,3.02,3.04,111000,0.0,0
2003-04-01,3.04,3.04,3.03,3.03,166400,0.0,0
2003-04-02,3.04,3.05,3.03,3.05,151700,0.0,0
2003-04-03,3.05,3.05,3.03,3.05,151200,0.0,0
2003-04-04,3.05,3.05,3.04,3.04,144700,0.0,0
2003-04-07,3.05,3.05,3.02,3.04,217700,0.0,0
2003-04-08,3.04,3.07,3.04,3.07,152600,0.0,0
2003-04-09,3.06,3.07,3.04,3.07,146800,0.0,0
2003-04-10,3.07,3.07,3.05,3.06,150400,0.0,0
2003-04-11,3.07,3.08,3.06,3.08,141600,0.0,0
2003-04-14,3.08,3.08,3.06,3.07,126500,0.0,0
2003-04-15,3.06,3.1,3.06,3.09,209000,0.0,0
2003-04-16,3.09,3.1,3.07,3.1,206900,0.0,0
2003-04-17,3.09,3.11,3.09,3.1,175100,0.0,0
2003-04-21,3.09,3.1,3.03,3.03,448100,0.0,0
2003-04-22,3.03,3.05,3.02,3.03,369500,0.0,0
2003-04-23,3.03,3.04,3.02,3.03,226700,0.0,0
2003-04-24,3.03,3.05,3.03,3.03,220700,0.0,0
2003-04-25,3.04,3.06,3.03,3.05,192900,0.0,0
2003-04-28,3.06,3.06,3.03,3.04,229900,0.0,0
2003-04-29,3.04,3.05,3.03,3.05,161900,0.0,0
2003-04-30,3.03,3.05,3.02,3.05,429500,0.0,0
2003-05-01,3.05,3.06,3.04,3.04,200700,0.0,0
2003-05-02,3.04,3.07,3.04,3.05,195300,0.0,0
2003-05-05,3.05,3.07,3.04,3.06,223800,0.0,0
2003-05-06,3.06,3.07,3.05,3.06,173100,0.0,0
2003-05-07,3.07,3.07,3.05,3.06,161100,0.0,0
2003-05-08,3.06,3.07,3.04,3.05,190400,0.0,0
2003-05-09,3.06,3.08,3.05,3.08,217200,0.0,0
2003-05-12,3.09,3.09,3.06,3.09,325000,0.0,0
2003-05-13,3.09,3.09,3.07,3.08,283200,0.0,0
2003-05-14,3.09,3.1,3.07,3.08,266800,0.101,0
2003-05-15,3.08,3.08,3.06,3.07,208900,0.0,0
2003-05-16,3.08,3.08,3.06,3.07,228100,0.0,0
2003-05-19,3.08,3.08,3.06,3.08,210000,0.0,0
2003-05-20,3.08,3.08,3.07,3.08,189000,0.0,0
2003-05-21,3.09,3.09,3.07,3.08,237200,0.0,0
2003-05-22,3.08,3.09,3.07,3.07,218300,0.0,0
2003-05-23,3.08,3.13,3.07,3.12,439800,0.0,0
2003-05-27,3.12,3.13,3.09,3.09,311300,0.0,0
2003-05-28,3.09,3.1,3.08,3.09,189500,0.0,0
2003-05-29,3.1,3.11,3.09,3.09,227400,0.0,0
2003-05-30,3.1,3.11,3.09,3.11,233100,0.0,0
2003-06-02,3.11,3.12,3.09,3.1,242800,0.0,0
2003-06-03,3.1,3.12,3.09,3.12,207100,0.0,0
2003-06-04,3.13,3.13,3.1,3.12,255800,0.0,0
2003-06-05,3.13,3.14,3.11,3.13,197900,0.0,0
2003-06-06,3.13,3.14,3.11,3.13,195200,0.0,0
2003-06-09,3.14,3.14,3.11,3.14,169800,0.0,0
2003-06-10,3.12,3.14,3.12,3.13,167200,0.0,0
2003-06-11,3.12,3.15,3.12,3.15,212700,0.101,0
2003-06-12,3.15,3.16,3.12,3.16,279500,0.0,0
2003-06-13,3.16,3.17,3.15,3.16,258500,0.0,0
2003-06-16,3.16,3.16,3.14,3.16,265200,0.0,0
2003-06-17,3.16,3.17,3.15,3.16,315100,0.0,0
2003-06-18,3.16,3.16,3.11,3.14,233600,0.0,0
2003-06-19,3.12,3.14,3.1,3.14,177700,0.0,0
2003-06-20,3.14,3.14,3.11,3.14,151400,0.0,0
2003-06-23,3.12,3.14,3.09,3.1,279200,0.0,0
2003-06-24,3.12,3.13,3.09,3.09,200800,0.0,0
2003-06-25,3.08,3.12,3.08,3.11,266100,0.0,0
2003-06-26,3.13,3.14,3.11,3.14,199500,0.0,0
2003-06-27,3.14,3.16,3.14,3.15,137700,0.0,0
2003-06-30,3.15,3.16,3.13,3.16,160400,0.0,0
2003-07-01,3.16,3.16,3.14,3.16,223000,0.0,0
2003-07-02,3.16,3.17,3.15,3.17,207000,0.0,0
2003-07-03,3.17,3.17,3.15,3.16,90500,0.0,0
2003-07-07,3.16,3.17,3.16,3.16,226300,0.0,0
2003-07-08,3.16,3.17,3.16,3.16,248500,0.0,0
2003-07-09,3.16,3.17,3.15,3.17,218700,0.0,0
2003-07-10,3.17,3.17,3.16,3.16,174600,0.0,0
2003-07-11,3.15,3.17,3.15,3.17,198400,0.101,0
2003-07-14,3.17,3.17,3.13,3.14,206200,0.0,0
2003-07-15,3.17,3.17,3.1,3.1,227100,0.0,0
2003-07-16,3.14,3.14,2.99,3.05,434500,0.0,0
2003-07-17,3.07,3.08,3.05,3.08,197700,0.0,0
2003-07-18,3.09,3.12,3.08,3.09,257700,0.0,0
2003-07-21,3.13,3.13,3.08,3.1,273000,0.0,0
2003-07-22,3.12,3.12,3.05,3.08,198500,0.0,0
2003-07-23,3.08,3.08,3.07,3.07,175100,0.0,0
2003-07-24,3.07,3.08,3.07,3.08,220600,0.0,0
2003-07-25,3.08,3.1,3.08,3.09,141700,0.0,0
2003-07-28,3.08,3.08,2.96,3.01,368200,0.0,0
2003-07-29,2.99,3.01,2.88,3.0,456300,0.0,0
2003-07-30,3.02,3.04,2.97,3.02,178900,0.0,0
2003-07-31,3.04,3.04,2.95,3.0,160900,0.0,0
2003-08-01,3.04,3.04,2.9,2.98,197800,0.0,0
2003-08-04,2.94,2.95,2.8,2.81,539700,0.0,0
2003-08-05,2.8,2.9,2.8,2.9,260100,0.0,0
2003-08-06,2.91,2.93,2.86,2.93,195600,0.0,0
2003-08-07,2.94,3.0,2.9,2.99,141000,0.0,0
2003-08-08,3.0,3.03,2.99,3.03,137000,0.0,0
2003-08-11,3.03,3.03,2.95,3.0,126900,0.0,0
2003-08-12,2.96,3.0,2.96,2.99,129900,0.0,0
2003-08-13,2.97,3.0,2.93,2.93,186400,0.101,0
2003-08-14,2.93,2.94,2.88,2.9,171300,0.0,0
2003-08-15,2.89,2.93,2.88,2.92,94400,0.0,0
2003-08-18,2.92,2.94,2.85,2.87,152600,0.0,0
2003-08-19,2.87,2.89,2.86,2.89,210300,0.0,0
2003-08-20,2.9,2.9,2.88,2.9,164400,0.0,0
2003-08-21,2.9,2.9,2.87,2.88,168200,0.0,0
2003-08-22,2.88,2.93,2.88,2.9,164800,0.0,0
2003-08-25,2.9,2.92,2.87,2.88,199600,0.0,0
2003-08-26,2.87,2.89,2.85,2.85,264200,0.0,0
2003-08-27,2.87,2.89,2.85,2.89,175100,0.0,0
2003-08-28,2.89,2.91,2.88,2.9,113000,0.0,0
2003-08-29,2.92,2.95,2.92,2.95,131400,0.0,0
2003-09-02,2.97,2.97,2.95,2.96,149800,0.0,0
2003-09-03,2.97,2.99,2.95,2.95,162200,0.0,0
2003-09-04,2.97,2.98,2.95,2.97,132400,0.0,0
2003-09-05,2.99,2.99,2.96,2.99,111400,0.0,0
2003-09-08,2.99,3.0,2.96,2.98,154900,0.0,0
2003-09-09,2.97,3.0,2.97,2.99,154300,0.0,0
2003-09-10,2.98,3.0,2.97,2.99,154000,0.0,0
2003-09-11,3.01,3.01,2.97,2.98,192500,0.101,0
2003-09-12,3.01,3.02,2.98,3.01,151300,0.0,0
2003-09-15,3.02,3.02,2.99,3.0,128300,0.0,0
2003-09-16,2.98,3.05,2.97,2.99,204400,0.0,0
2003-09-17,2.99,3.01,2.98,2.99,166000,0.0,0
2003-09-18,3.01,3.02,2.99,3.01,148800,0.0,0
2003-09-19,3.02,3.02,2.99,3.01,156300,0.0,0
2003-09-22,3.02,3.02,2.97,2.98,199500,0.0,0
2003-09-23,2.98,2.99,2.96,2.98,209500,0.0,0
2003-09-24,2.99,3.0,2.97,2.97,349000,0.0,0
2003-09-25,2.98,2.99,2.95,2.96,202300,0.0,0
2003-09-26,2.98,2.98,2.96,2.97,148900,0.0,0
2003-09-29,2.97,2.98,2.96,2.98,134800,0.0,0
2003-09-30,3.0,3.0,2.97,2.99,212600,0.0,0
2003-10-01,3.0,3.02,2.98,3.02,199700,0.0,0
2003-10-02,3.02,3.04,2.98,2.98,180200,0.0,0
2003-10-03,3.0,3.03,2.99,3.0,148500,0.0,0
2003-10-06,3.03,3.04,3.0,3.03,143000,0.0,0
2003-10-07,3.04,3.07,3.03,3.04,237100,0.0,0
2003-10-08,3.05,3.08,3.05,3.08,175200,0.0,0
2003-10-09,3.08,3.09,3.05,3.05,207700,0.0,0
2003-10-10,3.07,3.08,3.05,3.08,138300,0.101,0
2003-10-13,3.09,3.09,3.08,3.09,145800,0.0,0
2003-10-14,3.09,3.1,3.08,3.09,126400,0.0,0
2003-10-15,3.1,3.1,3.06,3.08,163600,0.0,0
2003-10-16,3.09,3.09,3.05,3.09,194100,0.0,0
2003-10-17,3.09,3.09,3.08,3.09,113000,0.0,0
2003-10-20,3.09,3.09,3.05,3.07,174000,0.0,0
2003-10-21,3.09,3.09,3.05,3.05,187300,0.0,0
2003-10-22,3.06,3.07,3.04,3.07,149800,0.0,0
2003-10-23,3.08,3.08,3.06,3.08,135500,0.0,0
2003-10-24,3.08,3.09,3.07,3.08,112300,0.0,0
2003-10-27,3.08,3.1,3.07,3.08,183900,0.0,0
2003-10-28,3.08,3.09,3.06,3.08,192800,0.0,0
2003-10-29,3.09,3.12,3.07,3.12,222900,0.0,0
2003-10-30,3.13,3.14,3.11,3.12,243600,0.0,0
2003-10-31,3.13,3.13,3.1,3.12,313200,0.0,0
2003-11-03,3.14,3.15,3.11,3.11,255700,0.0,0
2003-11-04,3.13,3.15,3.12,3.12,265400,0.0,0
2003-11-05,3.13,3.15,3.11,3.11,202800,0.0,0
2003-11-06,3.12,3.13,3.11,3.13,151500,0.0,0
2003-11-07,3.14,3.15,3.11,3.14,162200,0.0,0
2003-11-10,3.14,3.15,3.12,3.13,346800,0.0,0
2003-11-11,3.13,3.15,3.12,3.13,190500,0.0,0
2003-11-12,3.13,3.14,3.11,3.13,225700,0.101,0
2003-11-13,3.15,3.16,3.13,3.16,183300,0.0,0
2003-11-14,3.16,3.17,3.14,3.17,202200,0.0,0
2003-11-17,3.17,3.17,3.13,3.14,214300,0.0,0
2003-11-18,3.17,3.17,3.13,3.15,281000,0.0,0
2003-11-19,3.16,3.17,3.14,3.16,344600,0.0,0
2003-11-20,3.16,3.16,3.13,3.13,275200,0.0,0
