Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2003-06-26,2.76,2.77,2.76,2.77,490900,0.0,0
2003-06-27,2.77,2.78,2.76,2.77,226700,0.0,0
2003-06-30,2.77,2.77,2.76,2.76,173700,0.0,0
2003-07-01,2.76,2.78,2.76,2.76,306000,0.0,0
2003-07-02,2.77,2.77,2.76,2.76,301100,0.0,0
2003-07-03,2.78,2.78,2.77,2.77,92000,0.0,0
2003-07-07,2.77,2.78,2.77,2.78,236900,0.0,0
2003-07-08,2.78,2.79,2.77,2.78,236400,0.0,0
2003-07-09,2.78,2.82,2.77,2.8,295500,0.0,0
2003-07-10,2.8,2.8,2.79,2.8,181700,0.0,0
2003-07-11,2.8,2.81,2.79,2.8,162600,0.0,0
2003-07-14,2.77,2.77,2.76,2.76,465800,0.0,0
2003-07-15,2.76,2.76,2.76,2.76,498600,0.0,0
2003-07-16,2.76,2.77,2.76,2.76,397100,0.0,0
2003-07-17,2.76,2.76,2.76,2.76,421100,0.0,0
2003-07-18,2.76,2.76,2.76,2.76,157800,0.0,0
2003-07-21,2.76,2.76,2.76,2.76,278500,0.0,0
2003-07-22,2.76,2.76,2.76,2.76,456000,0.0,0
2003-07-23,2.76,2.76,2.76,2.76,392200,0.0,0
2003-07-24,2.76,2.76,2.76,2.76,207900,0.0,0
2003-07-25,2.76,2.76,2.76,2.76,190100,0.0,0
2003-07-28,2.76,2.76,2.76,2.76,551400,0.0,0
2003-07-29,2.76,2.76,2.73,2.73,1333700,0.0,0
2003-07-30,2.7,2.71,2.69,2.7,393700,0.0,0
2003-07-31,2.7,2.7,2.7,2.7,308000,0.0,0
2003-08-01,2.7,2.7,2.7,2.7,188200,0.0,0
2003-08-04,2.7,2.7,2.5,2.54,888200,0.0,0
2003-08-05,2.54,2.56,2.48,2.56,414500,0.0,0
2003-08-06,2.56,2.56,2.52,2.54,180500,0.0,0
2003-08-07,2.53,2.58,2.53,2.58,128800,0.0,0
2003-08-08,2.61,2.64,2.58,2.61,127200,0.0,0
2003-08-11,2.64,2.65,2.57,2.59,145300,0.0,0
2003-08-12,2.6,2.61,2.58,2.61,142000,0.0,0
2003-08-13,2.61,2.62,2.59,2.61,193600,0.0,0
2003-08-14,2.59,2.62,2.56,2.6,149500,0.098,0
2003-08-15,2.6,2.6,2.58,2.59,95000,0.0,0
2003-08-18,2.6,2.6,2.44,2.5,494100,0.0,0
2003-08-19,2.48,2.52,2.47,2.5,248500,0.0,0
2003-08-20,2.52,2.53,2.5,2.51,182400,0.0,0
2003-08-21,2.52,2.55,2.51,2.54,182100,0.0,0
2003-08-22,2.54,2.56,2.52,2.54,107800,0.0,0
2003-08-25,2.53,2.56,2.5,2.52,279700,0.0,0
2003-08-26,2.51,2.52,2.46,2.48,409600,0.0,0
2003-08-27,2.49,2.53,2.47,2.52,275500,0.0,0
2003-08-28,2.52,2.53,2.5,2.53,200200,0.0,0
2003-08-29,2.54,2.56,2.53,2.56,200500,0.0,0
2003-09-02,2.57,2.61,2.57,2.59,258800,0.0,0
2003-09-03,2.59,2.61,2.57,2.59,198700,0.0,0
2003-09-04,2.6,2.6,2.57,2.59,180400,0.0,0
2003-09-05,2.58,2.6,2.58,2.6,194800,0.0,0
2003-09-08,2.58,2.61,2.58,2.59,212900,0.0,0
2003-09-09,2.59,2.61,2.57,2.6,181300,0.0,0
2003-09-10,2.58,2.62,2.58,2.62,151600,0.0,0
2003-09-11,2.6,2.62,2.6,2.61,185900,0.098,0
2003-09-12,2.61,2.61,2.59,2.61,126800,0.0,0
2003-09-15,2.62,2.64,2.59,2.61,173700,0.0,0
2003-09-16,2.6,2.62,2.59,2.6,186100,0.0,0
2003-09-17,2.6,2.61,2.59,2.6,183600,0.0,0
2003-09-18,2.6,2.61,2.59,2.59,213200,0.0,0
2003-09-19,2.6,2.6,2.59,2.6,151600,0.0,0
2003-09-22,2.61,2.61,2.58,2.59,242300,0.0,0
2003-09-23,2.58,2.6,2.58,2.59,237600,0.0,0
2003-09-24,2.59,2.6,2.57,2.59,272800,0.0,0
2003-09-25,2.59,2.6,2.58,2.59,262100,0.0,0
2003-09-26,2.6,2.6,2.58,2.6,166800,0.0,0
2003-09-29,2.59,2.61,2.59,2.61,208300,0.0,0
