Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-04-09,91.0,92.12,73.5,77.84,110679,0,0.0
2015-04-10,78.68,81.76,70.42,74.06,16393,0,0.0
2015-04-13,72.66,74.2,70.14,70.56,8807,0,0.0
2015-04-14,70.28,77.0,70.14,74.62,3829,0,0.0
2015-04-15,75.46,83.16,75.46,78.54,16171,0,0.0
2015-04-16,80.36,82.32,75.32,75.46,24650,0,0.0
2015-04-17,79.8,90.58,73.64,85.26,13179,0,0.0
2015-04-20,90.16,110.32,82.6,102.62,24621,0,0.0
2015-04-21,104.72,122.78,96.04,103.6,43471,0,0.0
2015-04-22,96.6,103.88,91.0,98.28,10200,0,0.0
2015-04-23,99.4,111.02,99.4,105.84,13529,0,0.0
2015-04-24,110.6,110.6,99.4,104.3,4629,0,0.0
2015-04-27,107.38,107.38,91.7,95.9,10329,0,0.0
2015-04-28,94.5,95.2,80.5,81.76,9893,0,0.0
2015-04-29,82.32,84.0,70.42,72.8,10264,0,0.0
2015-04-30,70.0,75.74,65.52,70.56,8671,0,0.0
2015-05-01,70.84,76.86,70.84,75.88,2336,0,0.0
2015-05-04,84.28,89.18,80.64,83.86,13564,0,0.0
2015-05-05,84.28,91.14,77.84,82.18,21236,0,0.0
2015-05-06,82.04,86.83,74.9,77.7,5300,0,0.0
2015-05-07,78.26,83.86,73.92,79.8,7129,0,0.0
2015-05-08,77.14,84.0,76.75,83.44,6936,0,0.0
2015-05-11,84.0,84.0,78.26,82.18,5071,0,0.0
2015-05-12,79.8,93.94,79.8,91.84,16179,0,0.0
2015-05-13,92.54,97.72,90.44,97.58,7236,0,0.0
2015-05-14,98.98,101.92,94.36,101.36,6829,0,0.0
2015-05-15,101.5,109.76,101.5,107.8,14986,0,0.0
2015-05-18,109.34,112.7,102.76,106.54,17729,0,0.0
2015-05-19,107.1,109.31,98.14,100.24,10543,0,0.0
2015-05-20,98.98,104.72,91.42,103.04,3207,0,0.0
2015-05-21,103.18,106.68,100.24,105.14,3421,0,0.0
