Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-01-15,6.6,6.6,6.21,6.28,41700,0.0,0
2015-01-16,6.19,6.3,6.13,6.23,105300,0.0,0
2015-01-20,6.15,6.15,6.12,6.13,36200,0.0,0
2015-01-21,5.95,5.98,5.89,5.89,30600,0.0,0
2015-01-22,5.93,6.24,5.92,6.17,26300,0.0,0
2015-01-23,6.08,6.13,5.91,5.91,32300,0.0,0
2015-01-26,6.01,6.28,5.94,6.28,12800,0.0,0
2015-01-27,6.23,6.23,6.18,6.19,1700,0.0,0
2015-01-28,6.35,6.35,6.29,6.29,700,0.0,0
2015-01-29,6.31,6.31,5.99,6.23,7800,0.0,0
2015-01-30,6.13,6.21,6.13,6.17,7200,0.0,0
2015-02-02,6.0,6.06,5.89,6.02,39300,0.0,0
2015-02-03,5.99,6.02,5.91,5.98,4600,0.0,0
2015-02-04,5.93,5.93,5.81,5.81,7400,0.0,0
2015-02-05,5.95,6.07,5.95,5.99,5100,0.0,0
2015-02-06,5.99,5.99,5.99,5.99,0,0.0,0
2015-02-09,5.85,6.1,5.85,5.94,2200,0.0,0
2015-02-10,6.06,6.06,5.96,6.03,11700,0.0,0
2015-02-11,6.17,6.21,6.17,6.21,900,0.0,0
2015-02-12,6.38,6.42,6.33,6.33,3100,0.0,0
2015-02-13,6.33,6.33,6.33,6.33,0,0.0,0
2015-02-17,6.49,6.51,6.49,6.5,5100,0.0,0
2015-02-18,6.54,6.6,6.53,6.6,1600,0.0,0
2015-02-19,6.6,6.69,6.58,6.62,7100,0.0,0
2015-02-20,6.62,6.62,6.62,6.62,0,0.0,0
2015-02-23,6.63,6.69,6.63,6.69,1500,0.0,0
2015-02-24,6.54,6.62,6.54,6.62,1100,0.0,0
2015-02-25,6.61,6.61,6.61,6.61,200,0.0,0
2015-02-26,6.61,6.61,6.61,6.61,0,0.0,0
2015-02-27,6.56,6.56,6.56,6.56,0,0.0,0
2015-03-02,6.41,6.43,6.41,6.43,1600,0.0,0
2015-03-03,6.68,6.83,6.68,6.77,10400,0.0,0
2015-03-04,6.77,6.87,6.77,6.85,4600,0.0,0
2015-03-05,6.85,6.85,6.85,6.85,0,0.0,0
2015-03-06,6.75,6.75,6.69,6.73,1500,0.0,0
2015-03-09,6.77,6.8,6.75,6.8,2300,0.0,0
2015-03-10,6.66,6.66,6.63,6.63,5300,0.0,0
2015-03-11,6.62,6.68,6.61,6.66,3100,0.0,0
2015-03-12,6.69,6.75,6.67,6.75,2100,0.0,0
2015-03-13,6.79,6.79,6.79,6.79,200,0.0,0
2015-03-16,6.86,6.86,6.86,6.86,200,0.0,0
2015-03-17,6.86,6.86,6.86,6.86,0,0.0,0
2015-03-18,6.72,6.86,6.68,6.86,1800,0.0,0
2015-03-19,6.71,6.73,6.5,6.61,6700,0.0,0
2015-03-20,6.55,6.65,6.55,6.64,900,0.0,0
2015-03-23,6.67,7.0,6.67,7.0,5200,0.0,0
2015-03-24,7.13,7.17,7.08,7.08,3400,0.0,0
2015-03-25,6.77,6.97,6.77,6.95,4600,0.0,0
2015-03-26,6.9,6.9,6.75,6.86,1700,0.0,0
2015-03-27,6.86,6.86,6.86,6.86,0,0.0,0
2015-03-30,6.88,6.94,6.88,6.9,400,0.0,0
2015-03-31,7.02,7.02,6.87,6.91,5000,0.0,0
2015-04-01,7.09,7.16,7.03,7.13,2800,0.0,0
2015-04-02,7.11,7.22,7.11,7.22,21500,0.0,0
2015-04-06,7.03,7.23,7.03,7.23,2000,0.0,0
2015-04-07,7.21,7.42,7.19,7.28,8900,0.0,0
2015-04-08,7.36,7.37,7.35,7.35,3900,0.0,0
2015-04-09,7.39,7.4,7.39,7.4,300,0.0,0
2015-04-10,7.4,7.4,7.4,7.4,0,0.0,0
2015-04-13,7.4,7.4,7.4,7.4,0,0.0,0
2015-04-14,7.33,7.45,7.33,7.44,9200,0.0,0
2015-04-15,7.33,7.33,7.32,7.32,4800,0.0,0
2015-04-16,7.27,7.37,7.27,7.37,3000,0.0,0
2015-04-17,7.38,7.38,7.38,7.38,400,0.0,0
2015-04-20,7.39,7.44,7.39,7.39,2300,0.0,0
2015-04-21,7.68,7.82,7.68,7.77,14400,0.0,0
2015-04-22,7.85,7.91,7.84,7.86,1100,0.0,0
2015-04-23,7.93,7.93,7.84,7.84,1100,0.0,0
2015-04-24,7.67,7.92,7.67,7.92,4600,0.0,0
2015-04-27,7.89,7.89,7.77,7.8,4400,0.0,0
2015-04-28,7.8,7.8,7.8,7.8,0,0.0,0
2015-04-29,7.8,7.8,7.8,7.8,0,0.0,0
2015-04-30,7.91,7.95,7.83,7.85,10200,0.0,0
2015-05-01,7.91,7.91,7.91,7.91,100,0.0,0
2015-05-04,7.93,7.93,7.79,7.82,2500,0.0,0
2015-05-05,7.61,7.61,7.52,7.52,600,0.0,0
2015-05-06,7.59,7.59,7.57,7.58,1600,0.0,0
2015-05-07,7.47,7.56,7.47,7.56,1700,0.0,0
2015-05-08,7.75,7.75,7.61,7.64,5800,0.0,0
2015-05-11,7.64,7.69,7.59,7.59,2300,0.0,0
2015-05-12,7.47,7.54,7.47,7.53,1300,0.0,0
2015-05-13,7.52,7.52,7.52,7.52,300,0.0,0
2015-05-14,7.57,7.57,7.57,7.57,300,0.0,0
2015-05-15,7.57,7.57,7.57,7.57,0,0.0,0
2015-05-18,7.57,7.57,7.57,7.57,0,0.0,0
2015-05-19,7.91,8.08,7.91,8.03,6600,0.0,0
2015-05-20,7.94,7.94,7.94,7.94,400,0.0,0
2015-05-21,7.79,7.79,7.77,7.77,1000,0.0,0
2015-05-22,7.77,7.77,7.77,7.77,0,0.0,0
2015-05-26,7.57,7.57,7.44,7.44,1000,0.0,0
2015-05-27,7.62,7.62,7.62,7.62,800,0.0,0
2015-05-28,7.55,7.56,7.46,7.56,300,0.0,0
