Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-10-26,3.7,3.9,3.58,3.7,2600,0.0,0.0
1999-10-27,3.7,3.7,3.7,3.7,0,0.0,0.0
1999-10-28,3.7,3.7,3.58,3.7,2200,0.0,0.0
1999-10-29,3.7,3.7,3.7,3.7,0,0.0,0.0
1999-11-01,3.7,3.7,3.7,3.7,0,0.0,0.0
1999-11-02,3.7,3.7,3.7,3.7,0,0.0,0.0
1999-11-03,3.7,3.7,3.7,3.7,0,0.0,0.0
1999-11-04,3.7,3.7,3.7,3.7,0,0.0,0.0
1999-11-05,3.35,3.35,3.35,3.35,3000,0.0,0.0
1999-11-08,3.11,3.35,3.11,3.11,2000,0.0,0.0
1999-11-09,2.87,2.87,2.87,2.87,2000,0.0,0.0
1999-11-10,2.87,2.87,2.87,2.87,0,0.0,0.0
1999-11-11,2.87,2.87,2.87,2.87,0,0.0,0.0
1999-11-12,3.11,3.11,3.11,3.11,2000,0.0,0.0
1999-11-15,3.35,3.58,3.35,3.58,400,0.0,0.0
1999-11-16,3.82,3.82,3.58,3.82,2500,0.0,0.0
1999-11-17,3.82,3.82,3.82,3.82,400,0.0,0.0
1999-11-18,3.86,3.86,3.86,3.86,1800,0.0,0.0
1999-11-19,3.11,3.11,3.11,3.11,0,0.0,0.0
1999-11-22,3.11,3.11,3.11,3.11,0,0.0,0.0
1999-11-23,3.11,3.11,3.11,3.11,0,0.0,0.0
1999-11-24,3.11,3.11,3.11,3.11,0,0.0,0.0
1999-11-26,3.86,3.86,3.86,3.86,2300,0.0,0.0
1999-11-29,4.06,4.06,3.86,4.06,800,0.0,0.0
1999-11-30,4.06,4.06,4.06,4.06,0,0.0,0.0
1999-12-01,4.54,4.54,4.3,4.3,600,0.0,0.0
1999-12-02,4.3,4.3,4.3,4.3,0,0.0,0.0
1999-12-03,4.3,4.3,4.3,4.3,400,0.0,0.0
1999-12-06,4.3,4.3,4.3,4.3,0,0.0,0.0
1999-12-07,4.3,4.3,4.3,4.3,0,0.0,0.0
1999-12-08,4.3,4.3,4.3,4.3,0,0.0,0.0
1999-12-09,4.3,4.3,4.3,4.3,0,0.0,0.0
1999-12-10,4.3,4.3,4.3,4.3,0,0.0,0.0
1999-12-13,4.06,4.06,4.06,4.06,200,0.0,0.0
1999-12-14,3.82,4.06,3.47,3.47,1600,0.0,0.0
1999-12-15,3.47,3.47,3.47,3.47,0,0.0,0.0
1999-12-16,3.47,3.47,3.47,3.47,0,0.0,0.0
1999-12-17,3.47,3.47,3.47,3.47,0,0.0,0.0
1999-12-20,3.47,3.47,3.47,3.47,1000,0.0,0.0
1999-12-21,3.58,3.7,3.47,3.7,3100,0.0,0.0
1999-12-22,3.47,3.47,3.47,3.47,400,0.0,0.0
1999-12-23,3.47,3.47,3.47,3.47,0,0.0,0.0
1999-12-27,3.7,3.7,3.7,3.7,200,0.0,0.0
1999-12-28,3.47,3.47,3.47,3.47,700,0.0,0.0
1999-12-29,3.58,3.58,3.35,3.35,1600,0.0,0.0
1999-12-30,3.58,3.58,3.58,3.58,2900,0.0,0.0
1999-12-31,3.58,3.7,3.58,3.58,800,0.0,0.0
2000-01-03,3.58,3.58,3.58,3.58,0,0.0,0.0
2000-01-04,3.58,3.58,3.58,3.58,0,0.0,0.0
2000-01-05,3.58,3.58,3.58,3.58,0,0.0,0.0
2000-01-06,3.58,3.58,3.58,3.58,0,0.0,0.0
2000-01-07,3.7,3.7,3.7,3.7,1000,0.0,0.0
2000-01-10,3.7,3.7,3.7,3.7,600,0.0,0.0
2000-01-11,3.7,3.7,3.58,3.58,400,0.0,0.0
2000-01-12,3.58,3.58,3.58,3.58,0,0.0,0.0
2000-01-13,3.82,3.82,3.82,3.82,200,0.0,0.0
2000-01-14,3.82,3.82,3.82,3.82,0,0.0,0.0
2000-01-18,3.58,3.58,3.58,3.58,0,0.0,0.0
2000-01-19,3.7,3.7,3.7,3.7,600,0.0,0.0
2000-01-20,3.7,3.7,3.7,3.7,0,0.0,0.0
2000-01-21,3.7,3.7,3.7,3.7,3400,0.0,0.0
2000-01-24,3.7,3.7,3.7,3.7,800,0.0,0.0
2000-01-25,3.7,3.7,3.7,3.7,0,0.0,0.0
2000-01-26,3.7,3.7,3.7,3.7,1500,0.0,0.0
2000-01-27,3.7,3.7,3.7,3.7,0,0.0,0.0
2000-01-28,3.7,3.7,3.7,3.7,0,0.0,0.0
2000-01-31,3.7,3.7,3.7,3.7,1600,0.0,0.0
2000-02-01,3.58,3.58,3.58,3.58,100,0.0,0.0
2000-02-02,3.58,3.58,3.58,3.58,0,0.0,0.0
2000-02-03,3.94,3.94,3.7,3.94,6300,0.0,0.0
2000-02-04,3.94,4.06,3.94,3.94,1600,0.0,0.0
2000-02-07,3.82,3.82,3.82,3.82,500,0.0,0.0
2000-02-08,3.82,3.82,3.82,3.82,800,0.0,0.0
2000-02-09,3.7,3.7,3.7,3.7,0,0.0,0.0
2000-02-10,3.58,3.58,3.58,3.58,1000,0.0,0.0
2000-02-11,3.7,3.7,3.7,3.7,0,0.0,0.0
2000-02-14,3.58,3.58,3.58,3.58,4500,0.0,0.0
2000-02-15,3.58,3.58,3.58,3.58,0,0.0,0.0
2000-02-16,3.47,3.47,3.47,3.47,0,0.0,0.0
2000-02-17,3.47,3.47,3.47,3.47,0,0.0,0.0
2000-02-18,3.47,3.47,3.47,3.47,1500,0.0,0.0
2000-02-22,3.47,3.47,3.47,3.47,0,0.0,0.0
2000-02-23,3.47,3.47,3.47,3.47,0,0.0,0.0
2000-02-24,3.47,3.47,3.47,3.47,0,0.0,0.0
2000-02-25,3.47,3.47,3.47,3.47,0,0.0,0.0
2000-02-28,3.47,3.47,3.47,3.47,0,0.0,0.0
2000-02-29,3.47,3.47,3.47,3.47,300,0.0,0.0
2000-03-01,3.47,3.47,3.47,3.47,0,0.0,0.0
2000-03-02,3.47,3.47,3.47,3.47,800,0.0,0.0
2000-03-03,3.47,3.47,3.47,3.47,100,0.0,0.0
2000-03-06,3.47,3.47,3.47,3.47,0,0.0,0.0
2000-03-07,3.82,3.82,3.82,3.82,200,0.0,0.0
2000-03-08,3.94,3.94,3.94,3.94,200,0.0,0.0
2000-03-09,3.94,3.94,3.94,3.94,0,0.0,0.0
2000-03-10,3.94,3.94,3.94,3.94,0,0.0,0.0
2000-03-13,3.47,3.47,3.47,3.47,100,0.0,0.0
2000-03-14,2.99,3.47,2.99,2.99,1100,0.0,0.0
2000-03-15,3.58,3.58,3.58,3.58,500,0.0,0.0
2000-03-16,3.35,3.35,3.35,3.35,700,0.0,0.0
2000-03-17,3.58,3.58,3.58,3.58,4000,0.0,0.0
2000-03-20,3.7,3.7,3.7,3.7,500,0.0,0.0
2000-03-21,3.7,3.7,3.7,3.7,0,0.0,0.0
2000-03-22,3.58,3.58,3.58,3.58,200,0.0,0.0
2000-03-23,3.58,3.58,3.58,3.58,0,0.0,0.0
2000-03-24,3.58,3.58,3.58,3.58,0,0.0,0.0
2000-03-27,3.58,3.58,3.58,3.58,400,0.0,0.0
2000-03-28,3.58,3.58,3.58,3.58,0,0.0,0.0
2000-03-29,3.58,3.58,3.58,3.58,0,0.0,0.0
2000-03-30,3.58,3.58,3.11,3.11,1200,0.0,0.0
2000-03-31,3.11,3.11,3.11,3.11,0,0.0,0.0
2000-04-03,3.11,3.11,3.11,3.11,300,0.0,0.0
2000-04-04,3.11,3.11,3.11,3.11,1400,0.0,0.0
2000-04-05,3.11,3.11,3.11,3.11,0,0.0,0.0
2000-04-06,3.11,3.11,3.11,3.11,0,0.0,0.0
2000-04-07,3.11,3.11,3.11,3.11,0,0.0,0.0
2000-04-10,3.11,3.11,3.11,3.11,0,0.0,0.0
2000-04-11,3.11,3.11,3.11,3.11,0,0.0,0.0
2000-04-12,3.11,3.11,3.11,3.11,0,0.0,0.0
2000-04-13,3.11,3.11,3.11,3.11,0,0.0,0.0
2000-04-14,3.11,3.11,3.11,3.11,0,0.0,0.0
2000-04-17,3.11,3.11,3.11,3.11,0,0.0,0.0
2000-04-18,3.11,3.11,3.11,3.11,0,0.0,0.0
2000-04-19,2.15,2.15,2.15,2.15,0,0.0,0.0
2000-04-20,2.15,2.15,2.15,2.15,0,0.0,0.0
2000-04-24,2.15,2.15,2.15,2.15,0,0.0,0.0
2000-04-25,2.15,2.15,2.15,2.15,0,0.0,0.0
2000-04-26,2.15,2.15,2.15,2.15,0,0.0,0.0
2000-04-27,2.15,2.15,2.15,2.15,0,0.0,0.0
2000-04-28,2.39,2.39,2.39,2.39,0,0.0,0.0
