Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-04-10,10.22,10.22,9.67,9.68,5488900,0.0,0
2013-04-11,9.66,9.81,9.49,9.76,602900,0.0,0
2013-04-12,9.77,9.94,9.57,9.88,543800,0.0,0
2013-04-15,9.77,9.93,9.77,9.88,259000,0.0,0
2013-04-16,9.82,9.86,9.73,9.86,134000,0.0,0
2013-04-17,9.82,9.88,9.77,9.8,159700,0.0,0
2013-04-18,9.77,9.8,9.76,9.79,232500,0.0,0
2013-04-19,9.78,9.82,9.77,9.81,253000,0.0,0
2013-04-22,9.79,9.89,9.76,9.86,34900,0.0,0
2013-04-23,9.97,9.97,9.83,9.87,44300,0.0,0
2013-04-24,9.82,9.85,9.8,9.83,16500,0.0,0
2013-04-25,9.79,9.9,9.79,9.9,24600,0.0,0
2013-04-26,9.86,9.93,9.84,9.91,32000,0.0,0
2013-04-29,9.97,9.97,9.91,9.97,46500,0.0,0
2013-04-30,9.92,10.02,9.91,9.95,177700,0.0,0
2013-05-01,9.99,10.03,9.85,9.99,124200,0.0,0
2013-05-02,9.91,10.11,9.89,10.09,89500,0.0,0
2013-05-03,10.11,10.17,10.0,10.15,80800,0.0,0
2013-05-06,10.19,10.27,10.15,10.21,158800,0.0,0
2013-05-07,10.26,10.43,10.12,10.4,95100,0.0,0
2013-05-08,10.34,10.66,10.27,10.44,142600,0.0,0
2013-05-09,10.38,10.45,10.12,10.4,56500,0.0,0
2013-05-10,10.35,10.44,10.24,10.39,26500,0.0,0
2013-05-13,10.44,10.61,10.35,10.55,72800,0.0,0
2013-05-14,10.5,10.53,10.36,10.44,42600,0.0,0
2013-05-15,10.5,10.5,10.21,10.35,135000,0.0,0
2013-05-16,10.33,10.55,10.15,10.35,60600,0.0,0
2013-05-17,10.32,10.54,10.27,10.5,5900,0.0,0
2013-05-20,10.51,10.8,10.29,10.72,23300,0.0,0
2013-05-21,10.69,10.91,10.58,10.91,18600,0.0,0
2013-05-22,10.68,10.98,10.67,10.88,21300,0.0,0
2013-05-23,10.84,10.88,10.54,10.68,65400,0.0,0
2013-05-24,10.77,10.82,10.57,10.71,29700,0.0,0
2013-05-28,10.81,10.89,10.64,10.73,21600,0.0,0
2013-05-29,10.75,10.75,10.53,10.67,51300,0.0,0
2013-05-30,10.61,10.68,10.48,10.66,26200,0.0,0
2013-05-31,10.4,10.58,10.22,10.37,46300,0.0,0
2013-06-03,10.4,10.51,10.22,10.39,49400,0.0,0
2013-06-04,10.28,10.54,10.28,10.45,24700,0.0,0
2013-06-05,10.36,10.38,9.98,10.14,74300,0.0,0
2013-06-06,10.11,10.26,10.04,10.13,33000,0.0,0
2013-06-07,10.25,10.25,10.09,10.21,22900,0.0,0
2013-06-10,10.14,10.22,9.98,10.16,46800,0.0,0
2013-06-11,10.05,10.1,9.92,10.0,29800,0.0,0
2013-06-12,10.05,10.1,10.0,10.04,20100,0.0,0
2013-06-13,10.01,10.1,9.91,10.1,43700,0.0,0
2013-06-14,10.1,10.19,10.01,10.17,28400,0.0,0
2013-06-17,10.11,10.26,10.05,10.15,8600,0.0,0
2013-06-18,9.93,10.18,9.93,10.11,13100,0.0,0
2013-06-19,10.11,10.33,9.92,10.01,44700,0.0,0
2013-06-20,9.91,9.99,9.81,9.81,23900,0.0,0
2013-06-21,9.91,10.07,9.57,9.69,38900,0.0,0
2013-06-24,9.68,9.73,9.19,9.55,57300,0.0,0
2013-06-25,9.55,9.74,9.36,9.37,75300,0.0,0
2013-06-26,9.46,9.78,9.46,9.66,21600,0.0,0
2013-06-27,9.66,9.94,9.66,9.86,20100,0.0,0
2013-06-28,9.37,9.91,9.37,9.78,10400,0.0,0
2013-07-01,9.76,10.16,9.76,9.93,12400,0.0,0
2013-07-02,9.56,10.2,9.56,10.11,9400,0.0,0
2013-07-03,10.12,10.15,9.97,10.0,35100,0.0,0
2013-07-05,10.09,10.31,9.74,9.85,19300,0.0,0
2013-07-08,10.05,10.23,9.84,9.95,105400,0.0,0
2013-07-09,10.06,10.15,9.82,10.0,18000,0.0,0
2013-07-10,10.02,10.09,9.83,10.02,197000,0.0,0
2013-07-11,10.06,10.33,10.06,10.19,26400,0.0,0
2013-07-12,10.2,11.01,10.2,10.48,93300,0.0,0
2013-07-15,10.49,10.77,10.48,10.49,24800,0.0,0
2013-07-16,10.46,10.65,10.46,10.54,8700,0.0,0
2013-07-17,10.54,10.6,10.32,10.32,12500,0.0,0
2013-07-18,10.25,10.71,10.25,10.64,26100,0.0,0
2013-07-19,10.48,10.9,10.36,10.48,8000,0.0,0
2013-07-22,10.61,10.77,10.49,10.65,21300,0.0,0
2013-07-23,11.11,11.63,10.6,11.28,48700,0.0,0
2013-07-24,11.31,11.31,10.75,10.83,107000,0.0,0
2013-07-25,10.89,11.09,10.8,10.8,17000,0.0,0
2013-07-26,10.81,10.99,10.34,10.66,19200,0.0,0
2013-07-29,10.66,11.0,10.54,10.93,14700,0.0,0
2013-07-30,11.11,11.11,10.65,10.82,11100,0.0,0
2013-07-31,10.77,10.91,10.6,10.77,15800,0.0,0
2013-08-01,10.83,11.16,10.66,10.79,22500,0.317,0
2013-08-02,10.7,10.87,10.66,10.74,24100,0.0,0
2013-08-05,10.67,10.8,10.23,10.48,39200,0.0,0
2013-08-06,10.63,10.63,10.26,10.35,4600,0.0,0
2013-08-07,10.47,10.76,10.31,10.54,11500,0.0,0
2013-08-08,10.31,10.58,10.26,10.35,7600,0.0,0
2013-08-09,10.38,10.42,10.0,10.06,14300,0.0,0
2013-08-12,10.24,10.66,10.21,10.43,13500,0.0,0
2013-08-13,10.54,10.54,10.31,10.32,21600,0.0,0
2013-08-14,10.24,10.45,10.21,10.45,14300,0.0,0
2013-08-15,10.3,10.65,10.22,10.62,9000,0.0,0
2013-08-16,10.71,10.88,10.47,10.71,20500,0.0,0
2013-08-19,10.76,10.76,10.4,10.56,24500,0.0,0
2013-08-20,10.69,10.69,10.49,10.65,8400,0.0,0
2013-08-21,10.76,11.04,10.52,10.61,22000,0.0,0
2013-08-22,10.81,11.02,10.81,10.81,28200,0.0,0
2013-08-23,10.87,11.02,10.82,10.83,19100,0.0,0
2013-08-26,10.96,11.07,10.63,10.85,41500,0.0,0
2013-08-27,10.92,10.93,10.81,10.83,5900,0.0,0
2013-08-28,11.0,11.13,10.98,11.1,13600,0.0,0
2013-08-29,11.03,11.04,10.9,10.9,20400,0.0,0
2013-08-30,11.03,11.16,10.81,10.83,45200,0.0,0
2013-09-03,11.02,11.11,10.85,10.85,9300,0.0,0
2013-09-04,10.86,11.03,10.7,10.81,21400,0.0,0
2013-09-05,10.88,10.94,10.8,10.91,15400,0.0,0
2013-09-06,10.86,11.03,10.36,10.87,40800,0.0,0
2013-09-09,10.86,11.14,10.82,10.94,21800,0.0,0
2013-09-10,10.97,11.14,10.74,10.8,63700,0.0,0
2013-09-11,10.85,11.05,10.83,10.92,14800,0.0,0
2013-09-12,11.04,11.04,10.92,10.92,27000,0.0,0
2013-09-13,10.92,11.04,10.83,10.83,11300,0.0,0
2013-09-16,10.95,11.17,10.89,11.07,8500,0.0,0
2013-09-17,11.01,11.14,10.85,10.87,19200,0.0,0
2013-09-18,10.88,11.03,10.86,10.87,18300,0.0,0
2013-09-19,11.0,11.28,10.89,11.07,35100,0.0,0
2013-09-20,11.02,11.36,11.02,11.25,32800,0.0,0
2013-09-23,11.18,11.34,11.03,11.25,38300,0.0,0
2013-09-24,11.25,11.37,11.25,11.37,3400,0.0,0
2013-09-25,11.37,11.38,11.06,11.36,17000,0.0,0
2013-09-26,11.18,11.31,10.85,10.86,19500,0.0,0
2013-09-27,10.91,11.21,10.8,10.92,29000,0.0,0
2013-09-30,10.91,10.94,10.83,10.83,10300,0.0,0
2013-10-01,10.84,11.21,10.84,10.89,11900,0.0,0
2013-10-02,10.89,11.02,10.8,10.81,20800,0.0,0
2013-10-03,10.81,10.98,10.81,10.84,22800,0.0,0
2013-10-04,10.84,10.88,10.81,10.84,15200,0.0,0
2013-10-07,10.81,11.11,10.81,10.89,25600,0.0,0
2013-10-08,10.91,10.94,10.84,10.88,14200,0.0,0
2013-10-09,10.93,10.93,10.77,10.84,15400,0.0,0
2013-10-10,10.8,10.92,10.79,10.79,13000,0.0,0
2013-10-11,10.83,11.03,10.81,10.81,21600,0.0,0
2013-10-14,10.91,11.09,10.84,11.03,12100,0.0,0
2013-10-15,11.02,11.25,11.02,11.11,23200,0.0,0
2013-10-16,11.11,11.18,10.77,10.77,27300,0.0,0
2013-10-17,10.84,10.94,10.7,10.7,30000,0.0,0
2013-10-18,10.75,10.81,10.73,10.8,7800,0.0,0
2013-10-21,10.84,11.18,10.78,11.09,8200,0.0,0
2013-10-22,11.0,11.35,11.0,11.32,10100,0.0,0
2013-10-23,11.36,11.36,11.26,11.32,2000,0.0,0
2013-10-24,11.37,11.7,11.3,11.39,8900,0.0,0
2013-10-25,11.48,11.48,11.36,11.38,7600,0.0,0
2013-10-28,11.47,11.74,11.31,11.61,14700,0.0,0
2013-10-29,11.53,11.56,11.42,11.44,19900,0.0,0
2013-10-30,11.45,11.67,11.44,11.52,6000,0.0,0
2013-10-31,11.58,11.85,11.46,11.65,14700,0.435,0
2013-11-01,11.6,11.72,11.54,11.64,15700,0.0,0
2013-11-04,11.53,11.95,11.53,11.68,19000,0.0,0
2013-11-05,11.68,11.82,11.68,11.72,7800,0.0,0
2013-11-06,11.83,11.87,11.71,11.75,69300,0.0,0
2013-11-07,11.87,11.88,11.71,11.83,13500,0.0,0
2013-11-08,11.69,11.91,11.68,11.89,14800,0.0,0
2013-11-11,11.74,11.88,11.68,11.8,6400,0.0,0
2013-11-12,11.87,11.9,11.8,11.84,11100,0.0,0
2013-11-13,11.88,11.95,11.84,11.9,8800,0.0,0
2013-11-14,11.86,11.95,11.85,11.93,4900,0.0,0
2013-11-15,12.21,12.27,11.96,12.16,15400,0.0,0
2013-11-18,12.24,12.32,12.02,12.04,23200,0.0,0
2013-11-19,12.23,12.49,12.23,12.36,19600,0.0,0
2013-11-20,12.28,12.36,12.02,12.02,29000,0.0,0
2013-11-21,12.08,12.27,11.97,12.15,21700,0.0,0
2013-11-22,12.15,12.27,12.05,12.05,44900,0.0,0
2013-11-25,12.18,12.36,12.1,12.36,33700,0.0,0
2013-11-26,12.36,12.53,12.2,12.29,19500,0.0,0
2013-11-27,12.3,12.56,12.2,12.56,15600,0.0,0
2013-11-29,12.51,13.01,12.49,12.85,8400,0.0,0
2013-12-02,12.87,12.93,12.55,12.72,15900,0.0,0
2013-12-03,12.59,12.7,12.29,12.7,20200,0.0,0
2013-12-04,12.59,12.75,12.46,12.75,8900,0.0,0
2013-12-05,12.69,12.82,12.27,12.36,11800,0.0,0
2013-12-06,12.33,12.45,12.14,12.14,29000,0.0,0
2013-12-09,12.36,12.36,11.84,11.99,23900,0.0,0
2013-12-10,11.94,12.13,11.68,11.76,21300,0.0,0
2013-12-11,11.75,11.93,11.68,11.69,5700,0.0,0
2013-12-12,11.73,11.91,11.68,11.74,28700,0.0,0
2013-12-13,11.84,12.5,11.63,11.65,56300,0.0,0
2013-12-16,11.72,11.82,11.49,11.79,31000,0.0,0
2013-12-17,11.68,11.84,11.51,11.81,24300,0.0,0
2013-12-18,11.61,12.07,11.45,11.91,18100,0.0,0
2013-12-19,11.91,12.12,11.86,11.93,6900,0.0,0
2013-12-20,12.14,12.59,11.68,12.59,12000,0.0,0
2013-12-23,12.53,12.82,12.45,12.82,12600,0.0,0
2013-12-24,12.65,12.68,12.5,12.68,2400,0.0,0
2013-12-26,12.73,13.46,12.43,13.28,19500,0.0,0
2013-12-27,13.28,13.28,12.82,12.99,13700,0.0,0
2013-12-30,13.04,13.12,12.71,12.71,21700,0.0,0
2013-12-31,12.83,13.19,12.75,12.87,12600,0.0,0
2014-01-02,12.88,13.05,12.49,12.63,24600,0.0,0
2014-01-03,12.1,12.58,10.76,12.41,38200,0.0,0
2014-01-06,12.27,12.59,12.27,12.59,11900,0.0,0
2014-01-07,12.58,12.58,12.39,12.48,10500,0.0,0
