Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-03-17,9.95,9.95,9.9,9.95,7118800,0,0
2021-03-18,9.95,9.95,9.89,9.89,713900,0,0
2021-03-19,9.9,9.97,9.86,9.9,529200,0,0
2021-03-22,9.9,9.9,9.86,9.9,247200,0,0
2021-03-23,9.88,9.88,9.8,9.81,540700,0,0
2021-03-24,9.82,9.91,9.82,9.89,47600,0,0
2021-03-25,9.82,9.85,9.73,9.85,71100,0,0
2021-03-26,9.88,9.93,9.85,9.9,173800,0,0
2021-03-29,9.95,9.95,9.87,9.9,161300,0,0
2021-03-30,9.89,9.9,9.87,9.9,9500,0,0
2021-03-31,9.92,9.92,9.88,9.88,21200,0,0
2021-04-01,9.88,9.95,9.88,9.88,700,0,0
2021-04-05,9.93,9.95,9.93,9.95,29800,0,0
2021-04-06,9.96,9.99,9.96,9.99,141800,0,0
2021-04-07,9.96,10.0,9.96,10.0,100800,0,0
2021-04-08,9.95,10.01,9.95,9.99,36400,0,0
2021-04-09,10.0,10.0,10.0,10.0,10600,0,0
2021-04-12,9.92,9.95,9.92,9.95,1700,0,0
2021-04-13,9.95,9.95,9.95,9.95,0,0,0
2021-04-14,9.95,9.97,9.95,9.96,2200,0,0
2021-04-15,9.98,9.98,9.98,9.98,1200,0,0
2021-04-16,9.99,10.01,9.97,10.0,147400,0,0
2021-04-19,9.97,9.98,9.97,9.98,24500,0,0
2021-04-20,10.01,10.01,9.95,9.97,35200,0,0
2021-04-21,9.94,9.98,9.94,9.98,284700,0,0
2021-04-22,9.98,9.98,9.93,9.93,500,0,0
2021-04-23,9.93,9.93,9.93,9.93,0,0,0
2021-04-26,9.94,9.99,9.94,9.99,2300,0,0
2021-04-27,9.92,9.97,9.87,9.87,953400,0,0
2021-04-28,9.89,9.97,9.89,9.97,9900,0,0
2021-04-29,9.99,9.99,9.92,9.99,2400,0,0
2021-04-30,9.98,9.99,9.98,9.99,5200,0,0
2021-05-03,9.93,10.03,9.93,9.98,14000,0,0
2021-05-04,9.94,10.0,9.94,9.97,3700,0,0
