Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-02-05,10.62,10.9,10.55,10.68,14297000,0,0
2021-02-08,10.86,10.88,10.6,10.83,2241800,0,0
2021-02-09,10.83,11.49,10.83,10.95,1535800,0,0
2021-02-10,10.86,10.97,10.65,10.72,529300,0,0
2021-02-11,10.75,10.85,10.5,10.59,1075000,0,0
2021-02-12,10.68,10.7,10.57,10.57,303500,0,0
2021-02-16,10.65,10.65,10.52,10.55,763000,0,0
2021-02-17,10.57,10.6,10.5,10.5,411900,0,0
2021-02-18,10.56,10.56,10.41,10.41,430000,0,0
2021-02-19,10.45,10.62,10.42,10.53,376400,0,0
2021-02-22,10.58,10.58,10.48,10.48,296800,0,0
2021-02-23,10.44,10.54,10.28,10.41,264100,0,0
2021-02-24,10.5,10.5,10.37,10.4,791600,0,0
2021-02-25,10.4,10.5,10.27,10.31,352700,0,0
2021-02-26,10.25,10.31,10.15,10.25,578200,0,0
2021-03-01,10.27,10.43,10.1,10.2,635700,0,0
2021-03-02,10.2,10.21,10.0,10.13,327000,0,0
2021-03-03,10.16,10.19,9.98,10.09,649200,0,0
2021-03-04,10.05,10.08,9.98,10.01,226800,0,0
2021-03-05,9.97,10.19,9.93,10.18,1279800,0,0
2021-03-08,10.07,10.15,9.9,10.03,357700,0,0
2021-03-09,9.88,10.08,9.56,10.0,714100,0,0
2021-03-10,9.96,10.02,9.96,9.99,149300,0,0
2021-03-11,10.0,10.04,9.98,9.99,397400,0,0
2021-03-12,9.98,10.06,9.98,9.99,437000,0,0
2021-03-15,10.0,10.02,9.98,9.98,40300,0,0
2021-03-16,9.97,9.99,9.97,9.98,32300,0,0
2021-03-17,9.91,9.98,9.91,9.97,138500,0,0
2021-03-18,10.02,10.02,9.86,9.92,458600,0,0
2021-03-19,9.94,9.95,9.87,9.92,64000,0,0
2021-03-22,9.85,9.9,9.84,9.88,453500,0,0
2021-03-23,9.88,9.88,9.75,9.79,130500,0,0
2021-03-24,9.8,9.84,9.75,9.84,210500,0,0
2021-03-25,9.78,9.81,9.74,9.78,37000,0,0
2021-03-26,9.76,9.93,9.76,9.89,93700,0,0
2021-03-29,9.85,9.95,9.81,9.95,52900,0,0
2021-03-30,9.87,9.96,9.87,9.94,700200,0,0
2021-03-31,9.93,9.93,9.73,9.88,22500,0,0
2021-04-01,9.9,9.97,9.9,9.97,102900,0,0
2021-04-05,9.92,9.92,9.75,9.91,434700,0,0
2021-04-06,9.81,9.94,9.81,9.94,30000,0,0
2021-04-07,9.88,10.0,9.88,9.93,38900,0,0
2021-04-08,9.98,10.0,9.84,9.94,5100,0,0
2021-04-09,9.92,10.02,9.89,10.02,19500,0,0
2021-04-12,10.02,10.02,9.95,9.96,2100,0,0
2021-04-13,10.13,10.3,10.1,10.3,1520100,0,0
2021-04-14,10.22,10.34,10.15,10.15,659700,0,0
2021-04-15,10.13,10.2,10.13,10.17,12500,0,0
2021-04-16,10.12,10.2,10.12,10.15,19800,0,0
2021-04-19,10.08,10.19,9.93,10.02,60200,0,0
2021-04-20,9.97,10.05,9.97,9.99,22000,0,0
2021-04-21,9.91,10.02,9.91,9.99,16500,0,0
2021-04-22,9.95,10.07,9.95,10.05,13800,0,0
2021-04-23,10.02,10.07,10.02,10.04,4500,0,0
2021-04-26,10.0,10.0,9.94,9.97,8600,0,0
2021-04-27,9.9,10.0,9.89,9.93,217200,0,0
2021-04-28,9.93,10.0,9.93,9.96,12100,0,0
2021-04-29,9.92,10.03,9.91,9.93,7200,0,0
2021-04-30,9.95,10.0,9.95,9.97,3800,0,0
2021-05-03,9.95,10.0,9.92,9.96,12300,0,0
2021-05-04,9.92,10.0,9.9,9.95,24600,0,0
