Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-10-19,24.16,24.28,22.46,23.17,569300,0.0,0
2020-10-20,23.28,23.57,23.19,23.32,248600,0.0,0
2020-10-21,23.37,23.62,23.33,23.48,135700,0.0,0
2020-10-22,23.3,23.56,23.3,23.51,67000,0.0,0
2020-10-23,23.57,23.71,23.52,23.7,75700,0.0,0
2020-10-26,23.81,23.85,23.59,23.7,107100,0.125,0
2020-10-27,23.75,23.77,23.6,23.7,123200,0.0,0
2020-10-28,23.59,23.68,23.3,23.38,83600,0.0,0
2020-10-29,23.38,23.58,23.38,23.53,64200,0.0,0
2020-10-30,23.55,24.25,23.3,24.25,702200,0.0,0
2020-11-02,24.17,24.17,23.88,24.03,78200,0.0,0
2020-11-03,24.06,24.06,23.84,23.98,45700,0.0,0
2020-11-04,23.98,24.04,23.71,23.88,56700,0.0,0
2020-11-05,23.89,23.93,23.72,23.84,46100,0.0,0
2020-11-06,23.89,23.89,23.65,23.75,29100,0.0,0
2020-11-09,23.88,23.88,23.44,23.58,106700,0.0,0
2020-11-10,23.59,23.64,23.45,23.56,61800,0.0,0
2020-11-11,23.57,23.6,23.49,23.52,92300,0.0,0
2020-11-12,23.53,23.56,23.44,23.47,20300,0.0,0
2020-11-13,23.53,23.58,23.44,23.57,50500,0.0,0
2020-11-16,23.68,23.74,23.5,23.63,150800,0.0,0
2020-11-17,23.65,23.79,23.57,23.65,57400,0.0,0
2020-11-18,23.75,23.75,23.63,23.64,119600,0.0,0
2020-11-19,23.75,24.02,23.71,24.02,215500,0.0,0
2020-11-20,24.08,24.17,24.03,24.08,95400,0.0,0
2020-11-23,24.17,24.25,24.04,24.07,72300,0.0,0
2020-11-24,24.23,24.38,24.11,24.38,52300,0.125,0
2020-11-25,24.39,24.39,24.22,24.38,27500,0.0,0
2020-11-27,24.39,24.39,24.25,24.3,26600,0.0,0
2020-11-30,24.33,24.33,24.15,24.22,37900,0.0,0
2020-12-01,24.29,24.37,24.14,24.17,43100,0.0,0
2020-12-02,24.21,24.33,24.17,24.2,37600,0.0,0
2020-12-03,24.27,24.35,24.23,24.27,18700,0.0,0
2020-12-04,24.36,24.36,24.13,24.13,76500,0.0,0
2020-12-07,24.17,24.28,24.12,24.13,54100,0.0,0
2020-12-08,24.2,24.23,24.02,24.06,73500,0.0,0
2020-12-09,24.15,24.17,23.85,23.9,82500,0.0,0
2020-12-10,23.91,24.04,23.81,23.82,102700,0.0,0
2020-12-11,23.89,24.01,23.87,23.99,106900,0.0,0
2020-12-14,24.15,24.36,24.06,24.21,169600,0.0,0
2020-12-15,24.28,24.35,24.19,24.27,80200,0.0,0
2020-12-16,24.31,24.36,24.25,24.28,62400,0.0,0
2020-12-17,24.3,24.37,24.27,24.35,62400,0.0,0
2020-12-18,24.35,24.37,24.18,24.22,48000,0.0,0
2020-12-21,24.28,24.38,24.25,24.28,71500,0.0,0
2020-12-22,24.37,24.37,24.26,24.27,39500,0.0,0
