Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-06-23,35.78,35.78,35.78,35.78,100,0,0.0
2015-06-24,35.78,35.78,35.78,35.78,0,0,0.0
2015-06-25,35.78,35.78,35.78,35.78,0,0,0.0
2015-06-26,35.78,35.78,35.78,35.78,0,0,0.0
2015-06-29,35.78,35.78,35.78,35.78,0,0,0.0
2015-06-30,35.78,35.78,35.78,35.78,0,0,0.0
2015-07-01,65.81,65.81,65.81,65.81,200,0,0.0
2015-07-02,43.56,51.79,43.56,45.29,2263000,0,0.0
2015-07-06,44.68,46.49,42.84,44.58,744100,0,0.0
2015-07-07,43.89,44.68,42.37,42.43,715500,0,0.0
2015-07-08,42.79,42.84,40.33,40.91,1174600,0,0.0
2015-07-09,40.5,41.07,38.82,39.44,1079200,0,0.0
2015-07-10,38.84,41.17,38.22,40.54,1404300,0,0.0
2015-07-13,40.12,43.72,39.69,43.54,1324400,0,0.0
2015-07-14,42.89,43.52,41.47,42.7,648600,0,0.0
2015-07-15,42.72,42.97,42.15,42.69,456300,0,0.0
2015-07-16,42.71,43.23,42.43,42.89,803100,0,0.0
2015-07-17,42.88,46.52,42.64,46.05,675100,0,0.0
2015-07-20,45.99,46.13,44.87,45.32,236500,0,0.0
2015-07-21,45.77,45.77,44.26,44.3,295900,0,0.0
2015-07-22,44.46,45.16,43.47,44.02,256000,0,0.0
2015-07-23,43.98,44.05,43.37,43.72,239900,0,0.0
2015-07-24,44.07,44.07,42.63,42.81,509600,0,0.0
2015-07-27,42.62,42.93,41.29,41.53,252800,0,0.0
2015-07-28,41.43,42.91,40.49,41.37,208100,0,0.0
2015-07-29,40.92,42.03,40.11,40.32,228300,0,0.0
2015-07-30,40.5,42.2,40.49,40.77,74200,0,0.0
2015-07-31,40.89,41.2,40.02,40.07,315300,0,0.0
2015-08-03,39.94,41.57,39.68,40.05,308900,0,0.0
2015-08-04,40.13,40.8,39.92,40.67,272200,0,0.0
2015-08-05,41.06,41.82,40.11,40.68,497400,0,0.0
2015-08-06,40.22,40.49,39.74,40.03,314600,0,0.0
2015-08-07,39.98,40.04,38.87,39.28,210300,0,0.0
2015-08-10,39.53,39.53,38.77,39.07,240100,0,0.0
2015-08-11,38.9,39.19,37.99,38.13,224200,0,0.0
2015-08-12,38.04,38.48,37.13,37.19,406600,0,0.0
2015-08-13,37.21,37.21,36.63,36.69,373500,0,0.0
2015-08-14,36.63,37.18,36.61,36.81,197900,0,0.0
2015-08-17,36.53,36.94,36.24,36.4,228600,0,0.0
2015-08-18,36.35,36.45,35.81,36.08,254700,0,0.0
2015-08-19,35.44,35.97,35.05,35.14,172600,0,0.0
2015-08-20,34.53,35.06,34.53,34.86,162000,0,0.0
2015-08-21,34.84,35.32,34.16,34.27,177000,0,0.0
2015-08-24,32.88,33.98,31.58,32.59,262300,0,0.0
2015-08-25,32.98,33.18,31.45,31.73,325600,0,0.0
2015-08-26,31.88,32.07,30.7,30.89,393800,0,0.0
2015-08-27,31.12,32.19,31.12,31.85,282900,0,0.0
2015-08-28,32.02,32.31,31.9,32.07,101700,0,0.0
2015-08-31,32.07,32.2,31.3,31.31,205700,0,0.0
2015-09-01,31.07,31.53,30.24,30.37,218900,0,0.0
2015-09-02,30.57,30.78,30.22,30.62,98900,0,0.0
2015-09-03,30.77,31.34,30.6,30.91,214800,0,0.0
2015-09-04,30.51,30.91,30.13,30.78,187900,0,0.0
2015-09-08,31.71,33.1,31.07,32.69,276100,0,0.0
2015-09-09,33.09,34.0,32.85,33.49,258700,0,0.0
2015-09-10,33.48,36.37,33.48,36.15,377200,0,0.0
2015-09-11,35.82,37.63,35.82,37.31,460600,0,0.0
2015-09-14,37.08,37.47,34.41,34.62,244200,0,0.0
2015-09-15,34.76,34.98,34.46,34.83,140300,0,0.0
2015-09-16,34.75,35.11,33.75,34.32,118300,0,0.0
2015-09-17,34.5,35.39,34.31,35.2,259100,0,0.0
2015-09-18,34.84,35.12,34.1,34.34,298700,0,0.0
2015-09-21,34.72,34.84,33.68,34.19,73900,0,0.0
2015-09-22,33.89,34.83,32.49,32.53,104000,0,0.0
2015-09-23,32.51,32.68,32.09,32.22,66500,0,0.0
