Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-04-06,21.84,23.5,18.52,19.35,247500,0.0,0
2000-04-07,19.7,20.89,18.75,19.67,176300,0.0,0
2000-04-10,20.0,22.79,18.75,19.05,115600,0.0,0
2000-04-11,19.05,19.05,17.51,17.57,90700,0.0,0
2000-04-12,17.92,18.52,13.83,15.07,314900,0.0,0
2000-04-13,15.37,16.14,15.19,15.37,1152700,0.0,0
2000-04-14,14.87,15.07,13.06,14.24,130200,0.0,0
2000-04-17,13.77,15.67,12.58,14.96,441600,0.0,0
2000-04-18,15.31,15.67,14.72,15.67,161200,0.0,0
2000-04-19,15.79,19.23,15.19,17.74,157000,0.0,0
2000-04-20,17.92,17.92,16.85,17.74,56800,0.0,0
2000-04-24,15.9,18.52,15.67,18.04,42700,0.0,0
2000-04-25,19.76,19.82,17.33,18.28,124800,0.0,0
2000-04-26,19.35,19.35,17.15,17.21,154000,0.0,0
2000-04-27,17.0,17.57,16.14,16.68,109200,0.0,0
2000-04-28,16.5,18.28,16.5,17.69,293800,0.0,0
2000-05-01,18.28,21.96,18.04,21.25,229700,0.0,0
2000-05-02,19.94,21.36,19.35,21.01,65000,0.0,0
2000-05-03,20.77,21.72,19.7,20.06,44400,0.0,0
2000-05-04,19.47,20.89,19.47,20.3,75900,0.0,0
2000-05-05,20.18,20.53,18.99,20.18,48400,0.0,0
2000-05-08,20.53,21.66,19.94,20.77,65400,0.0,0
2000-05-09,20.53,20.95,20.18,20.65,64200,0.0,0
2000-05-10,20.53,20.89,18.99,20.36,37000,0.0,0
2000-05-11,20.42,20.95,20.42,20.89,134200,0.0,0
2000-05-12,20.95,23.26,20.83,22.2,96900,0.0,0
2000-05-15,22.02,23.5,21.13,23.5,95300,0.0,0
2000-05-16,23.74,27.48,23.74,27.48,160500,0.0,0
2000-05-17,27.71,30.27,26.29,30.27,115100,0.0,0
2000-05-18,30.44,35.25,27.54,27.54,286500,0.0,0
2000-05-19,28.19,31.81,27.77,31.34,157200,0.0,0
2000-05-22,30.74,31.81,28.96,30.86,245900,0.0,0
2000-05-23,30.27,31.57,28.72,29.02,62700,0.0,0
2000-05-24,28.9,29.44,28.13,28.55,145900,0.0,0
2000-05-25,28.55,29.44,27.24,27.89,80900,0.0,0
2000-05-26,27.06,27.3,26.65,26.71,127000,0.0,0
2000-05-30,26.59,26.82,25.64,25.99,68400,0.0,0
2000-05-31,25.64,29.2,25.16,29.2,288400,0.0,0
2000-06-01,30.39,30.39,27.66,28.13,221200,0.0,0
2000-06-02,29.67,29.67,27.06,27.06,32800,0.0,0
2000-06-05,27.77,27.77,25.64,26.05,91700,0.0,0
2000-06-06,25.64,30.5,25.4,29.44,260400,0.0,0
2000-06-07,28.96,29.2,27.77,28.84,166400,0.0,0
2000-06-08,28.61,29.2,28.13,29.02,124200,0.0,0
2000-06-09,28.84,30.5,28.25,30.5,399200,0.0,0
2000-06-12,30.42,33.23,28.72,29.2,149200,0.0,0
2000-06-13,29.41,29.61,27.6,27.77,115800,0.0,0
2000-06-14,27.83,28.01,25.64,26.94,119300,0.0,0
2000-06-15,26.82,32.05,26.71,31.22,55600,0.0,0
2000-06-16,30.98,31.34,29.2,31.1,12100,0.0,0
2000-06-19,30.44,33.35,30.15,33.35,44200,0.0,0
2000-06-20,33.2,39.88,30.39,38.81,170200,0.0,0
2000-06-21,35.61,40.83,35.37,37.98,161600,0.0,0
2000-06-22,38.55,38.69,34.9,34.9,61100,0.0,0
2000-06-23,35.25,37.27,35.13,36.85,100600,0.0,0
2000-06-26,38.46,38.46,35.61,36.2,140600,0.0,0
2000-06-27,37.03,37.27,32.76,36.79,114800,0.0,0
2000-06-28,35.37,36.91,34.18,35.13,30100,0.0,0
2000-06-29,34.21,38.69,34.21,37.03,53900,0.0,0
2000-06-30,37.03,40.12,37.03,39.52,185800,0.0,0
2000-07-03,39.5,39.64,36.91,38.81,27500,0.0,0
2000-07-05,38.69,39.64,37.39,39.64,94500,0.0,0
2000-07-06,39.52,39.52,37.74,38.1,54700,0.0,0
2000-07-07,38.69,47.48,38.69,42.73,145600,0.0,0
2000-07-10,43.98,51.28,43.98,51.04,133200,0.0,0
2000-07-11,50.21,50.21,47.71,48.78,163400,0.0,0
2000-07-12,48.66,60.89,48.66,58.69,172100,0.0,0
2000-07-13,58.87,59.11,51.51,53.12,176000,0.0,0
2000-07-14,53.29,53.29,42.73,45.58,346900,0.0,0
2000-07-17,45.64,46.53,43.09,44.98,139600,0.0,0
2000-07-18,45.22,45.22,39.52,39.52,138900,0.0,0
2000-07-19,42.61,42.73,40.83,42.36,200500,0.0,0
2000-07-20,42.61,43.92,38.93,43.56,138300,0.0,0
2000-07-21,43.56,45.58,42.67,44.63,73300,0.0,0
2000-07-24,43.8,50.09,42.73,45.04,198800,0.0,0
2000-07-25,45.13,46.53,42.73,42.73,169200,0.0,0
2000-07-26,39.41,41.19,35.13,40.53,133100,0.0,0
2000-07-27,33.41,37.51,33.35,37.03,95700,0.0,0
2000-07-28,36.79,37.15,33.71,34.78,56700,0.0,0
2000-07-31,34.96,35.49,32.28,34.42,73000,0.0,0
2000-08-01,33.23,34.66,32.05,33.83,86000,0.0,0
2000-08-02,33.47,36.08,33.23,34.78,93300,0.0,0
2000-08-03,32.58,35.37,32.52,35.25,91500,0.0,0
2000-08-04,35.37,36.08,35.13,35.49,102100,0.0,0
2000-08-07,36.08,40.36,35.49,37.15,63300,0.0,0
2000-08-08,37.98,40.82,37.98,39.64,42900,0.0,0
2000-08-09,39.05,39.41,36.56,38.93,74300,0.0,0
2000-08-10,40.12,40.83,38.93,40.59,198600,0.0,0
2000-08-11,40.36,40.95,40.06,40.71,145900,0.0,0
2000-08-14,40.36,40.59,37.03,38.58,81800,0.0,0
2000-08-15,37.09,37.98,37.03,37.27,17300,0.0,0
2000-08-16,38.04,38.93,37.27,38.28,77600,0.0,0
2000-08-17,37.98,38.93,36.14,36.91,31100,0.0,0
2000-08-18,34.3,35.61,34.18,34.72,74700,0.0,0
2000-08-21,34.3,38.93,34.3,36.59,31600,0.0,0
2000-08-22,35.85,38.69,35.73,36.08,81700,0.0,0
2000-08-23,35.19,35.96,34.9,35.25,154300,0.0,0
2000-08-24,35.73,36.56,35.13,35.85,164000,0.0,0
2000-08-25,36.56,37.98,35.37,37.39,25300,0.0,0
2000-08-28,35.85,37.98,35.73,37.98,28400,0.0,0
2000-08-29,37.98,39.88,37.15,38.1,42200,0.0,0
2000-08-30,39.64,39.64,37.74,38.1,21900,0.0,0
2000-08-31,37.74,38.87,37.33,37.98,43200,0.0,0
2000-09-01,38.9,38.93,37.74,37.98,45900,0.0,0
2000-09-05,37.92,38.93,34.18,34.3,48100,0.0,0
2000-09-06,34.18,35.9,32.17,34.18,76700,0.0,0
2000-09-07,34.12,37.98,33.12,36.56,144500,0.0,0
2000-09-08,36.79,37.09,34.18,34.18,162900,0.0,0
2000-09-11,33.5,33.71,29.91,30.5,140700,0.0,0
2000-09-12,30.15,30.86,26.59,26.82,187400,0.0,0
2000-09-13,28.01,28.13,25.04,26.11,468400,0.0,0
2000-09-14,26.59,29.73,26.35,28.84,164300,0.0,0
2000-09-15,28.61,29.67,28.25,29.08,249500,0.0,0
2000-09-18,28.61,28.96,28.61,28.72,156900,0.0,0
2000-09-19,28.75,28.9,27.42,27.66,334400,0.0,0
2000-09-20,27.71,27.71,26.11,26.17,57300,0.0,0
2000-09-21,26.17,26.35,24.69,24.98,167000,0.0,0
