Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-07-24,10.32,10.44,10.32,10.44,12400,0,0
2020-07-27,10.44,10.48,10.32,10.48,6000,0,0
2020-07-28,10.45,10.45,10.35,10.4,30000,0,0
2020-07-29,10.36,10.45,10.3,10.32,129900,0,0
2020-07-30,10.32,10.32,10.23,10.23,19800,0,0
2020-07-31,10.24,10.25,10.12,10.2,199100,0,0
2020-08-03,10.19,10.27,10.19,10.27,35500,0,0
2020-08-04,10.3,10.3,10.19,10.24,187200,0,0
2020-08-05,10.25,10.28,10.2,10.2,7400,0,0
2020-08-06,10.22,10.23,10.2,10.21,5600,0,0
2020-08-07,10.2,10.25,10.19,10.22,60000,0,0
2020-08-10,10.2,10.25,10.18,10.25,21600,0,0
2020-08-11,10.19,10.2,10.17,10.18,41700,0,0
2020-08-12,10.2,10.22,10.16,10.16,383500,0,0
2020-08-13,10.15,10.25,10.15,10.15,600,0,0
2020-08-14,10.17,10.2,10.15,10.15,14500,0,0
2020-08-17,10.16,10.16,10.08,10.11,17400,0,0
2020-08-18,10.08,10.1,10.06,10.07,4800,0,0
2020-08-19,10.09,10.19,10.07,10.07,490500,0,0
2020-08-20,10.09,10.1,10.07,10.1,274600,0,0
2020-08-21,10.1,10.12,10.1,10.1,2500,0,0
2020-08-24,10.08,10.08,10.06,10.06,2000,0,0
2020-08-25,10.06,10.14,10.06,10.14,287400,0,0
2020-08-26,10.12,10.2,10.1,10.16,40300,0,0
2020-08-27,10.22,10.22,10.17,10.17,10400,0,0
2020-08-28,10.19,10.2,10.16,10.16,26000,0,0
2020-08-31,10.2,10.2,10.12,10.13,91500,0,0
2020-09-01,10.15,10.19,10.15,10.18,22600,0,0
2020-09-02,10.2,10.2,10.15,10.16,9700,0,0
2020-09-03,10.19,10.21,10.17,10.18,158200,0,0
2020-09-04,10.18,10.23,10.18,10.21,991700,0,0
2020-09-08,10.2,10.23,10.19,10.2,128700,0,0
2020-09-09,10.2,10.26,10.2,10.26,307000,0,0
2020-09-10,10.27,10.3,10.25,10.3,528600,0,0
2020-09-11,10.3,10.3,10.2,10.25,31100,0,0
2020-09-14,10.2,10.2,10.2,10.2,2200,0,0
2020-09-15,10.2,10.3,10.2,10.25,95000,0,0
2020-09-16,10.26,10.37,10.21,10.36,462100,0,0
2020-09-17,10.31,10.4,10.31,10.37,47800,0,0
2020-09-18,10.34,10.45,10.27,10.45,169900,0,0
2020-09-21,10.4,10.44,10.3,10.33,125800,0,0
2020-09-22,10.43,10.43,10.33,10.33,1500,0,0
2020-09-23,10.32,10.45,10.3,10.36,52900,0,0
2020-09-24,10.26,10.45,10.2,10.25,143400,0,0
2020-09-25,10.25,10.29,10.19,10.19,35900,0,0
2020-09-28,10.22,10.34,10.2,10.3,26800,0,0
2020-09-29,10.3,10.3,10.24,10.24,152600,0,0
2020-09-30,10.34,10.34,10.2,10.22,57400,0,0
2020-10-01,10.25,10.3,10.25,10.28,14900,0,0
2020-10-02,10.25,10.32,10.19,10.29,17200,0,0
2020-10-05,10.27,10.3,10.2,10.29,4300,0,0
2020-10-06,10.39,10.39,10.2,10.23,53900,0,0
2020-10-07,10.27,10.27,10.19,10.19,24100,0,0
2020-10-08,10.3,10.3,10.2,10.2,3100,0,0
2020-10-09,10.26,10.26,10.2,10.2,7400,0,0
2020-10-12,10.26,10.26,10.16,10.16,19100,0,0
2020-10-13,10.18,10.18,10.15,10.15,7000,0,0
2020-10-14,10.15,10.15,10.15,10.15,0,0,0
2020-10-15,10.14,10.14,10.12,10.12,8300,0,0
2020-10-16,10.13,10.13,10.13,10.13,300,0,0
2020-10-19,10.15,10.18,10.15,10.17,11400,0,0
2020-10-20,10.17,10.25,10.15,10.2,51100,0,0
2020-10-21,10.21,10.25,10.2,10.22,23900,0,0
2020-10-22,10.19,10.27,10.16,10.17,9883000,0,0
2020-10-23,10.19,10.2,10.16,10.18,2217100,0,0
2020-10-26,10.19,10.24,10.12,10.12,199000,0,0
2020-10-27,10.12,10.16,10.12,10.15,817200,0,0
2020-10-28,10.17,10.17,10.08,10.1,562100,0,0
2020-10-29,10.1,10.15,10.1,10.1,189400,0,0
2020-10-30,10.08,10.16,10.08,10.12,366400,0,0
2020-11-02,10.08,10.14,10.08,10.08,618000,0,0
2020-11-03,10.1,10.13,10.08,10.09,255400,0,0
2020-11-04,10.1,10.15,10.09,10.13,36000,0,0
2020-11-05,10.15,10.15,10.1,10.11,56900,0,0
2020-11-06,10.18,10.18,10.1,10.13,321100,0,0
2020-11-09,10.18,10.18,10.08,10.1,60400,0,0
2020-11-10,10.13,10.13,10.09,10.1,77400,0,0
2020-11-11,10.14,10.14,10.1,10.1,12100,0,0
2020-11-12,10.11,10.13,10.1,10.12,14000,0,0
2020-11-13,10.17,10.17,10.1,10.11,26600,0,0
2020-11-16,10.11,10.15,10.1,10.15,32900,0,0
2020-11-17,10.13,10.15,10.1,10.11,222300,0,0
2020-11-18,10.15,10.15,10.11,10.11,128200,0,0
2020-11-19,10.14,10.15,10.1,10.13,126900,0,0
2020-11-20,10.13,10.18,10.11,10.17,438700,0,0
2020-11-23,10.18,10.19,10.11,10.17,734700,0,0
2021-01-21,11.31,12.7,11.18,12.3,8460500,0,0
2021-01-22,12.05,12.2,11.32,11.49,7054900,0,0
2021-01-25,12.15,12.9,11.4,11.64,7758800,0,0
2021-01-26,11.5,11.52,10.81,11.31,8403800,0,0
2021-01-27,10.75,11.59,10.26,10.84,10868800,0,0
2021-01-28,11.46,11.5,10.66,10.82,7536300,0,0
2021-01-29,10.68,11.16,10.13,10.44,8289500,0,0
2021-02-01,10.5,10.66,10.17,10.23,9150600,0,0
2021-02-02,10.67,10.76,10.22,10.28,6683700,0,0
2021-02-03,10.35,10.44,10.2,10.28,4533200,0,0
2021-02-04,10.26,10.27,9.61,9.98,8275400,0,0
2021-02-05,9.95,10.0,9.32,9.59,8515500,0,0
2021-02-08,9.65,9.68,8.89,9.08,9680400,0,0
2021-02-09,9.08,9.87,8.66,9.77,7858900,0,0
2021-02-10,9.71,9.72,9.06,9.35,4505500,0,0
2021-02-11,9.29,9.34,8.91,9.1,4098900,0,0
2021-02-12,8.93,9.33,8.8,9.11,2786600,0,0
2021-02-16,9.5,9.93,9.11,9.67,7767200,0,0
2021-02-17,9.46,10.93,9.38,10.66,8375900,0,0
2021-02-18,10.16,10.91,10.1,10.33,4293100,0,0
2021-02-19,10.71,10.75,10.08,10.14,3643200,0,0
2021-02-22,9.8,10.2,9.64,9.76,2943200,0,0
2021-02-23,8.91,9.57,8.22,9.38,4606000,0,0
2021-02-24,9.26,9.94,9.13,9.77,3567500,0,0
2021-02-25,10.76,10.85,9.04,9.34,9786400,0,0
2021-02-26,9.32,9.5,8.76,8.92,4028000,0,0
2021-03-01,9.15,10.26,9.11,10.01,4719100,0,0
2021-03-02,9.97,10.15,9.61,9.91,2405000,0,0
2021-03-03,9.83,10.12,9.34,9.47,2606900,0,0
2021-03-04,9.21,9.48,7.77,8.18,6792800,0,0
2021-03-05,8.3,8.4,6.45,7.89,6982500,0,0
2021-03-08,8.25,8.4,7.49,7.56,4624700,0,0
2021-03-09,7.94,8.49,7.75,8.3,3301200,0,0
